Qualitaets_ID;Produktionsauftrag_ID;Fehlerart;Ausschussmenge;Nachbearbeitungsmenge
79338;392511;Maschinenfehler;82;32
392099;721346;Maschinenfehler;70;28
80589;607987;Materialfehler;120;48
75056;502920;Sonstige;304;121
98324;716703;Montagefehler;144;57
41266;385041;Maschinenfehler;215;86
4707;258329;Bedienfehler;47;18
80585;427145;Maschinenfehler;152;60
90277;373227;Bedienfehler;787;314
70664;230696;Bedienfehler;229;91
346052;153468;Messfehler;367;146
130069;316476;Materialfehler;123;49
101492;226188;Messfehler;174;69
34914;677331;Bedienfehler;508;203
135811;655505;Montagefehler;518;207
90099;94444;Materialfehler;185;74
351648;436184;Materialfehler;260;104
76011;13750;Materialfehler;215;86
161850;39379;Bedienfehler;31;12
530;499361;Montagefehler;144;57
174677;224914;Materialfehler;344;137
197922;676263;Materialfehler;21;8
260216;171158;Sonstige;96;38
157912;420283;Maschinenfehler;477;190
253139;746291;Bedienfehler;49;19
254332;659444;Materialfehler;256;102
184372;74611;Bedienfehler;356;142
183643;518815;Materialfehler;171;68
229004;558442;Materialfehler;322;128
172158;779045;Materialfehler;494;197
167903;600355;Materialfehler;228;91
237672;17094;Materialfehler;166;66
195354;93014;Bedienfehler;432;172
150639;321637;Maschinenfehler;418;167
126100;769491;Materialfehler;55;22
398100;287609;Maschinenfehler;515;206
261075;572035;Maschinenfehler;831;332
34046;398785;Messfehler;69;27
393897;629048;Maschinenfehler;67;26
334430;196858;Materialfehler;43;17
45722;226957;Messfehler;260;104
395992;413486;Messfehler;307;122
313653;99805;Maschinenfehler;213;85
302778;482092;Maschinenfehler;193;77
369635;183107;Messfehler;48;19
52445;83368;Bedienfehler;68;27
245564;70010;Bedienfehler;333;133
16137;89095;Maschinenfehler;123;49
235105;513688;Maschinenfehler;320;128
362879;141241;Maschinenfehler;275;110
36228;352424;Montagefehler;89;35
106576;317848;Materialfehler;358;143
125155;465028;Maschinenfehler;99;39
81170;603525;Materialfehler;338;135
235379;355086;Maschinenfehler;125;50
12274;29456;Bedienfehler;59;23
78741;552447;Maschinenfehler;279;111
113672;57153;Maschinenfehler;120;48
205653;390088;Bedienfehler;55;22
390661;244190;Materialfehler;74;29
94616;466107;Bedienfehler;407;162
39658;666340;Materialfehler;341;136
152776;35117;Materialfehler;106;42
92404;660507;Materialfehler;181;72
299402;83304;Messfehler;220;88
112626;340148;Materialfehler;96;38
133132;479132;Maschinenfehler;94;37
185998;36970;Montagefehler;504;201
78901;631094;Materialfehler;416;166
375740;307655;Messfehler;377;150
309672;673534;Maschinenfehler;438;175
293972;794712;Materialfehler;271;108
387791;478482;Bedienfehler;178;71
288733;275933;Maschinenfehler;400;160
25247;464561;Maschinenfehler;158;63
245214;495276;Materialfehler;476;190
73800;781820;Sonstige;318;127
349088;251368;Materialfehler;237;94
392030;518992;Maschinenfehler;213;85
350154;192209;Materialfehler;283;113
212582;772873;Materialfehler;422;168
96888;651966;Materialfehler;87;34
3758;200963;Materialfehler;135;54
349444;1065;Bedienfehler;83;33
120910;37227;Maschinenfehler;69;27
250012;122084;Maschinenfehler;73;29
163617;626985;Bedienfehler;582;232
43161;84761;Bedienfehler;130;52
291469;433972;Bedienfehler;330;132
10638;423456;Bedienfehler;43;17
390213;367256;Bedienfehler;222;88
73080;37232;Messfehler;239;95
137679;469524;Materialfehler;325;130
47212;465160;Maschinenfehler;392;156
322979;731976;Messfehler;23;9
4670;243648;Bedienfehler;319;127
60703;286122;Bedienfehler;480;192
187037;598354;Bedienfehler;136;54
140587;254812;Bedienfehler;340;136
105406;392741;Materialfehler;825;330
305496;13947;Bedienfehler;89;35
214086;362590;Bedienfehler;503;201
308714;638790;Maschinenfehler;71;28
332137;458702;Maschinenfehler;355;142
280679;559376;Materialfehler;366;146
35912;406011;Materialfehler;331;132
31006;783389;Materialfehler;449;179
334924;658779;Montagefehler;173;69
355276;446064;Sonstige;642;256
20494;403792;Maschinenfehler;287;114
227438;440324;Bedienfehler;163;65
324547;341532;Montagefehler;133;53
623;284415;Maschinenfehler;212;84
308859;371581;Maschinenfehler;219;87
283936;80218;Materialfehler;171;68
36389;726937;Maschinenfehler;210;84
376656;351902;Materialfehler;382;152
14311;576077;Materialfehler;207;82
46820;784905;Bedienfehler;143;57
91128;94656;Materialfehler;260;104
265236;185929;Materialfehler;315;126
137394;332127;Materialfehler;258;103
199248;755013;Montagefehler;397;158
284108;728665;Maschinenfehler;81;32
22237;561165;Montagefehler;353;141
255418;107690;Bedienfehler;32;12
381236;667040;Materialfehler;69;27
153513;662183;Montagefehler;345;138
75335;520058;Bedienfehler;92;36
171974;191877;Sonstige;477;190
63217;481785;Montagefehler;81;32
14916;490281;Materialfehler;110;44
35709;577712;Sonstige;127;50
322294;681393;Maschinenfehler;223;89
79418;224075;Messfehler;49;19
149246;304099;Materialfehler;88;35
249359;298593;Montagefehler;202;80
365765;72925;Maschinenfehler;575;230
59202;36865;Montagefehler;250;100
271647;435588;Maschinenfehler;341;136
98066;111419;Maschinenfehler;168;67
206293;330619;Materialfehler;231;92
308514;376060;Messfehler;110;44
18265;249194;Maschinenfehler;47;18
352097;46688;Maschinenfehler;470;188
98889;192658;Materialfehler;18;7
390258;670854;Messfehler;107;42
41415;265863;Materialfehler;52;20
103569;707906;Materialfehler;470;188
268234;337006;Maschinenfehler;370;148
257633;578818;Sonstige;102;40
2795;287728;Maschinenfehler;71;28
161697;511454;Maschinenfehler;117;46
96577;75638;Maschinenfehler;262;104
247039;774072;Materialfehler;77;30
383781;746600;Sonstige;37;14
211160;612068;Messfehler;590;236
160622;765092;Materialfehler;124;49
189708;723354;Sonstige;182;72
142643;641755;Messfehler;516;206
355444;454453;Maschinenfehler;62;24
273748;371487;Bedienfehler;607;242
190272;774554;Bedienfehler;542;216
278355;646888;Materialfehler;41;16
181113;518520;Maschinenfehler;218;87
309508;760641;Bedienfehler;327;130
297448;103474;Montagefehler;166;66
59868;679232;Maschinenfehler;223;89
134571;578393;Montagefehler;36;14
305786;441722;Montagefehler;579;231
93850;607629;Materialfehler;77;30
142209;268212;Materialfehler;110;44
315840;692157;Messfehler;187;74
99047;295047;Sonstige;459;183
372394;467764;Maschinenfehler;360;144
277005;131911;Materialfehler;275;110
386846;202575;Maschinenfehler;124;49
95395;385689;Materialfehler;262;104
146993;270531;Bedienfehler;207;82
164151;278092;Messfehler;328;131
77812;302300;Bedienfehler;561;224
148784;288652;Materialfehler;58;23
116898;146594;Materialfehler;50;20
99040;237046;Maschinenfehler;451;180
144137;106190;Materialfehler;216;86
49646;705377;Materialfehler;379;151
5128;642278;Materialfehler;140;56
310506;724074;Sonstige;392;156
100199;635001;Montagefehler;384;153
204812;576287;Maschinenfehler;294;117
207442;301121;Montagefehler;138;55
125204;791063;Bedienfehler;415;166
109598;195742;Materialfehler;400;160
81760;356724;Maschinenfehler;115;46
223632;158452;Materialfehler;416;166
111664;500061;Bedienfehler;280;112
129532;54140;Montagefehler;309;123
69563;121495;Bedienfehler;265;106
209054;2340;Materialfehler;50;20
164810;588101;Materialfehler;486;194
198837;726751;Bedienfehler;41;16
232573;573296;Materialfehler;396;158
153481;365591;Montagefehler;352;140
296302;767793;Messfehler;71;28
136528;178406;Materialfehler;489;195
246147;522793;Materialfehler;151;60
79638;467307;Bedienfehler;45;18
206488;121241;Bedienfehler;222;88
13775;643674;Montagefehler;73;29
24058;161656;Materialfehler;226;90
86737;369300;Materialfehler;247;98
33512;25921;Materialfehler;237;94
362402;54143;Bedienfehler;435;174
291448;33114;Maschinenfehler;306;122
260091;133832;Bedienfehler;242;96
136052;625482;Maschinenfehler;239;95
111629;25365;Maschinenfehler;213;85
84818;736895;Bedienfehler;464;185
132424;601641;Maschinenfehler;326;130
274848;122357;Montagefehler;334;133
233195;517505;Materialfehler;244;97
145699;45386;Bedienfehler;45;18
278439;192344;Sonstige;196;78
370943;127262;Materialfehler;577;230
66783;139286;Materialfehler;410;164
88812;694349;Materialfehler;301;120
100899;400212;Bedienfehler;250;100
3695;240261;Materialfehler;214;85
268449;678921;Maschinenfehler;326;130
209400;206909;Montagefehler;168;67
79399;623468;Montagefehler;630;252
314022;70830;Maschinenfehler;37;14
272927;234082;Maschinenfehler;23;9
378188;672498;Materialfehler;121;48
398956;304600;Maschinenfehler;439;175
40030;129611;Maschinenfehler;266;106
382017;20282;Materialfehler;333;133
195625;789677;Maschinenfehler;330;132
276919;297971;Montagefehler;445;178
133381;729852;Materialfehler;229;91
101254;494908;Maschinenfehler;165;66
334933;785123;Bedienfehler;279;111
204817;454883;Messfehler;381;152
264410;262574;Materialfehler;156;62
68854;336690;Materialfehler;314;125
259315;563646;Materialfehler;210;84
151649;204181;Bedienfehler;376;150
24134;689147;Bedienfehler;337;134
348428;15215;Bedienfehler;40;16
334794;749538;Montagefehler;191;76
287717;424828;Materialfehler;470;188
269528;229468;Montagefehler;221;88
163301;11116;Sonstige;206;82
371880;139074;Materialfehler;240;96
326595;26390;Montagefehler;151;60
333451;39255;Maschinenfehler;90;36
386908;231595;Maschinenfehler;83;33
161696;751240;Materialfehler;255;102
127979;672400;Montagefehler;210;84
77898;205416;Montagefehler;411;164
77894;654908;Materialfehler;171;68
140613;258580;Maschinenfehler;66;26
192551;63476;Maschinenfehler;313;125
343784;543777;Materialfehler;356;142
5167;606338;Materialfehler;223;89
327302;109810;Materialfehler;260;104
204461;604803;Montagefehler;364;145
196667;693354;Montagefehler;464;185
111109;288562;Messfehler;328;131
110877;745666;Materialfehler;215;86
118518;672884;Materialfehler;304;121
148291;270311;Bedienfehler;333;133
1878;609520;Maschinenfehler;234;93
323040;446196;Maschinenfehler;268;107
147445;313381;Sonstige;258;103
262779;747551;Materialfehler;371;148
133824;422106;Materialfehler;31;12
396592;158787;Materialfehler;110;44
111031;170466;Bedienfehler;298;119
41810;111624;Materialfehler;106;42
