Schicht_ID;Datum;Schichtart;Schichtleiter_ID;Mitarbeiteranzahl;Überstunden
4744;05.11.2022;Nacht;1401;22;7,3
1324;16.10.2020;Früh;591;21;2,5
7002;14.03.2024;Früh;1416;39;1,8
3279;19.12.2021;Früh;1065;32;0,1
1821;02.02.2021;Früh;1109;29;1,8
9096;15.06.2025;Nacht;1427;27;3,4
1874;14.02.2021;Nacht;230;13;6,7
1501;24.11.2020;Spät;1370;24;3,1
4464;04.09.2022;Früh;1196;26;0,4
6941;29.02.2024;Nacht;165;13;2,6
9725;31.10.2025;Früh;818;34;0,6
3162;23.11.2021;Früh;160;27;2,5
9565;26.09.2025;Früh;916;33;1,7
1558;07.12.2020;Spät;1018;27;4,8
9960;22.12.2025;Früh;93;30;0,8
6604;17.12.2023;Nacht;1355;11;2
2416;13.06.2021;Nacht;1285;13;7
1177;14.09.2020;Nacht;384;19;7,4
3022;23.10.2021;Spät;619;20;2,2
5826;30.06.2023;Früh;1084;33;1,1
7272;12.05.2024;Nacht;1468;25;2
2669;07.08.2021;Spät;603;28;4,3
8918;07.05.2025;Nacht;234;10;3,4
6206;21.09.2023;Nacht;477;23;4,5
2445;19.06.2021;Spät;1437;22;2,2
4773;11.11.2022;Früh;131;22;2,8
5864;08.07.2023;Spät;983;29;2,9
2231;03.05.2021;Spät;305;22;4,2
5404;29.03.2023;Früh;1320;34;2,1
3754;02.04.2022;Spät;1460;23;3,3
6939;29.02.2024;Spät;699;25;1,6
7441;18.06.2024;Spät;909;26;1,5
7338;26.05.2024;Früh;690;39;1,4
3977;21.05.2022;Früh;1420;39;1,5
7767;28.08.2024;Früh;1126;34;2,9
8716;24.03.2025;Nacht;1079;13;2,2
3542;14.02.2022;Nacht;1396;20;6,4
4912;12.12.2022;Spät;1303;23;1,1
9847;27.11.2025;Nacht;198;11;3,9
3290;21.12.2021;Früh;545;35;2
136;30.01.2020;Früh;1396;25;2,9
137;30.01.2020;Spät;597;26;4,1
1701;07.01.2021;Nacht;386;22;3,2
1073;22.08.2020;Früh;1048;31;0,7
4910;11.12.2022;Spät;582;34;4,3
5358;19.03.2023;Nacht;1034;13;4,9
2734;21.08.2021;Nacht;337;28;3,1
3796;11.04.2022;Spät;145;18;3
4977;26.12.2022;Früh;1401;21;1,7
9008;27.05.2025;Spät;427;33;3,8
6409;05.11.2023;Spät;901;24;4,6
5998;07.08.2023;Nacht;1315;19;5
6779;25.01.2024;Nacht;427;12;4,4
5297;06.03.2023;Spät;1488;23;1,1
1822;03.02.2021;Früh;400;32;2,7
2023;19.03.2021;Nacht;1215;13;7,1
2421;14.06.2021;Früh;247;25;3
4403;22.08.2022;Früh;1221;31;0,1
154;03.02.2020;Spät;467;19;2,6
5112;24.01.2023;Nacht;1125;28;3,4
3971;19.05.2022;Nacht;349;20;4,2
3767;05.04.2022;Spät;17;25;2,9
6910;22.02.2024;Spät;771;25;1,4
9234;16.07.2025;Spät;522;19;4
1589;13.12.2020;Spät;2;17;2,4
6778;24.01.2024;Spät;880;34;2,7
2525;07.07.2021;Nacht;335;14;3,9
8205;02.12.2024;Spät;1395;32;3,2
6229;26.09.2023;Nacht;410;27;2,8
9499;12.09.2025;Nacht;245;27;5,3
5011;02.01.2023;Früh;848;37;2,6
9510;14.09.2025;Früh;696;26;0,7
5980;03.08.2023;Spät;1342;27;3,7
3131;16.11.2021;Nacht;1009;10;5,4
7642;01.08.2024;Früh;143;30;1,5
2908;28.09.2021;Früh;733;31;2,7
5317;10.03.2023;Früh;1160;37;2,9
4097;16.06.2022;Früh;294;31;0,8
7149;15.04.2024;Spät;862;30;3,1
7854;16.09.2024;Früh;951;30;1,5
5380;24.03.2023;Früh;864;23;2,1
177;08.02.2020;Spät;1370;27;2,2
9826;22.11.2025;Nacht;388;17;2,4
179;09.02.2020;Nacht;833;26;7,7
8592;25.02.2025;Früh;582;38;2,8
7066;28.03.2024;Spät;910;27;3,7
4211;11.07.2022;Früh;556;20;2,9
1580;11.12.2020;Spät;1337;33;2,8
9417;25.08.2025;Spät;945;31;3,3
8732;28.03.2025;Spät;117;17;1,7
8172;25.11.2024;Nacht;1399;22;6,5
3983;22.05.2022;Früh;1162;34;2,8
3114;13.11.2021;Früh;341;33;1,4
958;28.07.2020;Früh;1083;23;0
190;11.02.2020;Früh;1475;32;0,3
9312;02.08.2025;Früh;255;26;1,4
9604;05.10.2025;Früh;1435;29;2,1
3810;14.04.2022;Früh;396;34;1,6
6359;25.10.2023;Nacht;225;14;4,8
9515;15.09.2025;Spät;1244;21;4
8983;22.05.2025;Spät;629;15;2,5
1911;22.02.2021;Früh;306;27;2,3
5972;01.08.2023;Früh;832;23;2
8634;06.03.2025;Spät;954;26;1,9
9699;26.10.2025;Spät;494;19;4,4
201;13.02.2020;Spät;1212;30;3,3
5954;28.07.2023;Spät;527;34;4,1
203;14.02.2020;Früh;162;27;1,4
8760;03.04.2025;Spät;1061;26;3,5
5693;01.06.2023;Spät;865;24;5
7542;10.07.2024;Früh;180;34;2,8
8266;16.12.2024;Früh;1112;35;1,2
9640;13.10.2025;Früh;519;36;0,4
2281;14.05.2021;Früh;425;36;1,3
5471;13.04.2023;Spät;269;24;3,4
211;16.02.2020;Spät;855;30;3,4
8544;14.02.2025;Spät;28;27;1,1
5667;26.05.2023;Spät;682;19;3,4
4953;21.12.2022;Spät;1498;33;4,9
2981;14.10.2021;Spät;1305;30;2,1
6491;23.11.2023;Spät;334;25;1,8
1061;20.08.2020;Nacht;799;16;2,7
218;17.02.2020;Spät;1226;17;3,8
7047;23.03.2024;Spät;473;19;3,3
3390;12.01.2022;Spät;703;31;2,5
4627;10.10.2022;Früh;738;22;1
2616;27.07.2021;Früh;834;29;2,4
5883;12.07.2023;Früh;1212;21;0,5
224;18.02.2020;Früh;560;37;1,4
8496;04.02.2025;Nacht;749;17;4,3
3890;02.05.2022;Spät;390;17;4,2
3809;14.04.2022;Früh;1244;35;2,3
7727;19.08.2024;Früh;249;31;0,7
7942;06.10.2024;Spät;10;20;4,5
230;20.02.2020;Spät;867;16;2,6
7814;07.09.2024;Spät;40;28;1,6
6583;13.12.2023;Spät;1182;20;4,8
6123;03.09.2023;Früh;1380;20;2
2877;22.09.2021;Spät;587;33;3
8389;11.01.2025;Spät;989;26;2,3
6991;11.03.2024;Nacht;354;18;3,3
237;21.02.2020;Früh;517;23;1,7
5934;24.07.2023;Nacht;334;18;3,8
7474;25.06.2024;Spät;304;34;4,7
8173;25.11.2024;Spät;1327;25;3,5
3413;17.01.2022;Früh;401;36;0,5
7489;28.06.2024;Spät;684;27;3,6
9136;24.06.2025;Spät;1164;26;1,1
244;23.02.2020;Früh;1204;26;0,3
1085;25.08.2020;Nacht;7;21;2,8
6990;11.03.2024;Früh;852;24;1,9
5527;25.04.2023;Spät;689;16;3,8
8097;09.11.2024;Früh;1249;32;2,4
1756;19.01.2021;Nacht;1370;25;3,8
2876;21.09.2021;Spät;1418;29;3,6
7534;08.07.2024;Spät;1081;17;4,6
2496;30.06.2021;Spät;826;17;1,2
7235;04.05.2024;Früh;707;35;0,2
9691;24.10.2025;Nacht;1075;28;7,5
9665;18.10.2025;Früh;954;20;0
6126;04.09.2023;Nacht;799;10;2,6
6360;25.10.2023;Spät;336;15;4
258;26.02.2020;Spät;488;24;4,3
1847;08.02.2021;Früh;458;25;1,5
5873;10.07.2023;Spät;328;26;3,8
4922;14.12.2022;Spät;791;22;3,6
3635;07.03.2022;Früh;1083;20;0,6
9553;24.09.2025;Spät;1229;28;1,6
959;28.07.2020;Früh;1478;33;1,7
8563;19.02.2025;Spät;703;31;4
6660;30.12.2023;Früh;662;39;1,6
6559;08.12.2023;Nacht;543;17;2,2
1640;25.12.2020;Nacht;471;22;3,1
6841;07.02.2024;Nacht;441;22;6,9
5160;04.02.2023;Früh;300;22;0,4
4503;13.09.2022;Früh;731;35;2,1
9092;15.06.2025;Früh;818;37;0,7
7172;20.04.2024;Nacht;1080;25;3,4
1732;14.01.2021;Spät;910;22;3,7
2962;10.10.2021;Früh;501;23;1,8
1816;01.02.2021;Nacht;1137;20;6,4
277;01.03.2020;Nacht;303;19;5,2
4103;17.06.2022;Spät;380;19;3,6
9809;19.11.2025;Nacht;934;25;2,4
9327;05.08.2025;Nacht;668;11;5,2
3504;06.02.2022;Früh;1045;25;1
9922;13.12.2025;Nacht;746;12;7,3
7606;24.07.2024;Spät;1336;27;2,8
1699;07.01.2021;Nacht;590;13;5,5
3775;06.04.2022;Spät;1297;32;3,1
3790;10.04.2022;Nacht;1075;19;2,6
1294;10.10.2020;Spät;736;22;4,3
3318;27.12.2021;Früh;1354;24;0,9
4653;16.10.2022;Spät;982;28;4,1
290;04.03.2020;Spät;49;23;4,1
6856;11.02.2024;Früh;1476;35;2,6
6786;26.01.2024;Nacht;750;27;2,8
3715;24.03.2022;Nacht;106;16;5,4
9679;21.10.2025;Spät;1002;25;2,7
3710;23.03.2022;Nacht;1129;21;3,3
4116;20.06.2022;Früh;1473;21;0,5
860;07.07.2020;Früh;637;38;2,6
298;06.03.2020;Früh;584;25;2,2
3004;20.10.2021;Spät;848;24;2,7
5407;30.03.2023;Nacht;7;17;4,8
9681;22.10.2025;Spät;62;34;2,7
2504;02.07.2021;Nacht;473;18;2,2
7004;14.03.2024;Nacht;161;21;5,4
7838;13.09.2024;Spät;662;18;1,9
5555;02.05.2023;Nacht;90;28;4,4
3052;30.10.2021;Spät;70;24;4,7
7267;11.05.2024;Früh;936;32;1,6
4606;06.10.2022;Nacht;1228;22;4,1
309;08.03.2020;Nacht;913;18;3,8
310;08.03.2020;Früh;1131;32;1,1
4970;24.12.2022;Spät;829;21;4,3
7984;15.10.2024;Früh;657;20;0,8
4816;21.11.2022;Nacht;1215;11;6
1956;04.03.2021;Nacht;371;11;7,6
9644;13.10.2025;Früh;1459;33;1,5
4999;31.12.2022;Nacht;280;26;6,6
3234;09.12.2021;Früh;263;37;0,3
5227;19.02.2023;Spät;1178;20;3
9011;28.05.2025;Früh;203;36;2,2
7682;10.08.2024;Spät;1038;22;3,8
4669;19.10.2022;Spät;837;15;2,1
2897;26.09.2021;Spät;879;32;1,9
1530;01.12.2020;Spät;464;31;3,2
9895;07.12.2025;Spät;968;27;1,6
5828;30.06.2023;Früh;584;37;1,2
6698;07.01.2024;Früh;860;26;1,7
7329;24.05.2024;Früh;679;35;2,2
2123;09.04.2021;Nacht;679;25;3,7
7823;09.09.2024;Spät;1452;29;1,3
1498;24.11.2020;Spät;1290;29;2,5
2805;06.09.2021;Spät;866;22;2,3
1257;02.10.2020;Früh;615;35;2,8
9116;20.06.2025;Spät;398;26;2,7
334;13.03.2020;Früh;1177;22;1,9
9732;02.11.2025;Spät;1469;33;1,1
1178;14.09.2020;Früh;1116;37;0,8
7919;01.10.2024;Früh;1249;23;2,5
2799;05.09.2021;Nacht;736;10;6,3
8974;20.05.2025;Früh;286;26;1,3
2685;11.08.2021;Früh;780;37;0,7
2083;01.04.2021;Spät;1168;16;3,6
4621;09.10.2022;Nacht;59;17;5,1
9598;03.10.2025;Früh;1154;27;2,2
9854;29.11.2025;Spät;175;16;4,9
4768;10.11.2022;Früh;860;30;2
4738;03.11.2022;Früh;569;30;1,8
1422;07.11.2020;Spät;750;19;4,2
348;17.03.2020;Früh;11;37;0,5
4059;08.06.2022;Nacht;1275;25;5
1209;21.09.2020;Früh;118;27;0,9
8944;13.05.2025;Nacht;1403;18;5,2
6535;02.12.2023;Früh;568;32;0,4
6387;31.10.2023;Spät;195;20;4,8
5546;30.04.2023;Früh;1270;22;2,9
9301;30.07.2025;Früh;382;21;1,7
356;18.03.2020;Spät;570;19;3,7
8636;07.03.2025;Nacht;1169;26;3
8208;03.12.2024;Früh;735;36;0,8
6562;08.12.2023;Früh;878;23;1,9
4499;12.09.2022;Früh;1422;27;0,3
7863;18.09.2024;Früh;633;32;2,9
5797;24.06.2023;Früh;726;26;2,8
4528;18.09.2022;Nacht;378;14;4,9
4616;08.10.2022;Früh;1387;31;1,3
8104;10.11.2024;Früh;1209;39;1,9
5439;06.04.2023;Früh;1357;26;2,7
7668;07.08.2024;Spät;649;21;2,3
368;21.03.2020;Nacht;14;16;5
1409;04.11.2020;Spät;119;29;2,9
370;21.03.2020;Früh;516;39;1,6
8178;26.11.2024;Spät;1183;25;1,4
8221;06.12.2024;Nacht;1279;27;7
5336;15.03.2023;Nacht;874;26;6,6
8623;04.03.2025;Spät;1232;18;1
1637;24.12.2020;Früh;156;25;0,6
3545;15.02.2022;Nacht;718;27;6,5
8052;30.10.2024;Früh;1307;26;0,6
9099;16.06.2025;Nacht;253;24;3,2
2078;31.03.2021;Spät;622;28;4,8
2773;30.08.2021;Nacht;1447;12;4
6544;04.12.2023;Früh;219;28;0,1
6381;29.10.2023;Spät;554;20;4
9526;18.09.2025;Spät;827;24;3,5
7622;27.07.2024;Spät;868;16;4,6
3019;23.10.2021;Früh;322;26;2,8
386;25.03.2020;Nacht;1335;11;4,7
5817;28.06.2023;Früh;1361;29;0,6
5209;15.02.2023;Nacht;1435;11;3,6
5920;20.07.2023;Spät;266;21;4,4
9555;24.09.2025;Spät;745;33;3,7
3517;09.02.2022;Früh;1052;24;2,3
392;26.03.2020;Spät;835;18;2,8
8405;15.01.2025;Spät;318;27;4,2
9638;12.10.2025;Früh;48;21;2,5
9041;03.06.2025;Früh;620;25;1,9
4719;30.10.2022;Spät;610;15;2,8
5528;26.04.2023;Früh;247;25;1,5
5251;24.02.2023;Früh;243;28;1,7
3848;22.04.2022;Spät;808;16;2,4
400;28.03.2020;Nacht;1404;27;7,4
1113;31.08.2020;Früh;111;30;0,5
8772;05.04.2025;Früh;277;30;0,2
3340;01.01.2022;Spät;1436;15;3
404;29.03.2020;Nacht;1278;23;4
3414;17.01.2022;Früh;1402;27;2,5
7077;30.03.2024;Spät;1490;20;1,7
3961;17.05.2022;Spät;700;22;4
4732;02.11.2022;Früh;1324;39;2,4
7851;16.09.2024;Früh;1362;39;1,8
7713;16.08.2024;Früh;205;35;1,8
1700;07.01.2021;Spät;792;30;1,7
5363;20.03.2023;Spät;1413;34;1,8
6748;18.01.2024;Früh;1083;30;2,6
8482;01.02.2025;Früh;639;25;0,2
2694;13.08.2021;Spät;1426;18;2,3
4849;28.11.2022;Nacht;1403;11;3,8
417;01.04.2020;Früh;157;27;0,2
3173;26.11.2021;Früh;951;28;0,6
419;01.04.2020;Spät;974;26;4,3
4651;15.10.2022;Früh;1222;31;1
5019;04.01.2023;Spät;1446;22;2
2774;30.08.2021;Spät;925;25;4,4
9963;22.12.2025;Spät;181;28;3,5
5578;07.05.2023;Nacht;652;15;3,7
3956;16.05.2022;Nacht;203;13;3,5
8524;10.02.2025;Spät;772;18;1,9
1860;11.02.2021;Spät;1423;16;1,8
900;15.07.2020;Früh;174;23;2,4
2056;26.03.2021;Spät;1350;28;3,3
7696;13.08.2024;Spät;685;31;4,3
6001;07.08.2023;Spät;1072;34;3,9
3498;05.02.2022;Nacht;206;18;6,3
4895;08.12.2022;Früh;236;23;2,3
434;04.04.2020;Früh;636;25;2
1650;27.12.2020;Spät;580;28;1,5
1817;01.02.2021;Früh;700;31;3
2333;25.05.2021;Spät;283;30;2,3
4386;18.08.2022;Spät;9;29;1,8
4881;05.12.2022;Früh;1420;28;0,7
5930;23.07.2023;Nacht;436;15;5,9
3087;07.11.2021;Spät;215;17;1,2
7101;04.04.2024;Früh;761;23;0,7
443;06.04.2020;Früh;1303;28;1
2466;24.06.2021;Früh;1382;29;1,7
5130;28.01.2023;Nacht;669;20;5,3
8201;01.12.2024;Früh;1058;26;3
7705;15.08.2024;Früh;1269;24;2,3
2719;18.08.2021;Nacht;1077;21;7,5
4603;05.10.2022;Nacht;1402;25;5,5
7132;11.04.2024;Spät;1216;34;4,3
4955;21.12.2022;Spät;578;27;2,1
2122;09.04.2021;Spät;1123;28;2,2
453;09.04.2020;Spät;498;30;4,1
9849;27.11.2025;Spät;1284;21;3,4
5949;27.07.2023;Spät;1171;23;2,7
2079;31.03.2021;Nacht;1130;12;3,2
9202;09.07.2025;Spät;782;31;4,6
8020;23.10.2024;Nacht;277;10;2,3
7744;23.08.2024;Früh;910;37;2,4
460;10.04.2020;Früh;258;39;2
4938;17.12.2022;Spät;1198;31;3,1
7595;22.07.2024;Früh;758;29;1
1438;10.11.2020;Spät;168;33;1,4
4583;01.10.2022;Nacht;784;24;5,4
8701;21.03.2025;Nacht;1351;21;3,2
1633;23.12.2020;Spät;1114;19;1,2
4061;08.06.2022;Früh;615;20;1,1
7300;18.05.2024;Spät;284;28;1,5
1372;27.10.2020;Früh;764;37;1,4
6844;08.02.2024;Früh;339;32;1,7
7724;19.08.2024;Spät;986;17;4,9
6183;16.09.2023;Früh;1325;27;0,3
9346;09.08.2025;Nacht;1161;10;7,4
474;13.04.2020;Nacht;82;26;3,7
2017;17.03.2021;Früh;425;29;2,5
7117;08.04.2024;Nacht;631;26;6,7
3593;26.02.2022;Spät;255;27;2,2
9284;27.07.2025;Früh;105;32;0,6
5257;25.02.2023;Früh;35;28;2,1
3271;17.12.2021;Früh;1230;28;1,8
8024;24.10.2024;Spät;1266;32;1,9
5663;25.05.2023;Nacht;1273;16;2,5
5237;21.02.2023;Spät;869;31;2,6
6590;14.12.2023;Nacht;643;25;7,4
1143;07.09.2020;Spät;199;25;1,1
9838;25.11.2025;Früh;221;25;1,9
1652;27.12.2020;Früh;582;26;0,7
8849;22.04.2025;Spät;128;22;4
3241;10.12.2021;Spät;47;34;4,7
6390;31.10.2023;Spät;1063;18;4,5
8348;03.01.2025;Früh;407;32;1,5
2881;23.09.2021;Früh;1444;27;2,2
8666;13.03.2025;Spät;1203;27;4,6
3410;16.01.2022;Früh;426;39;1,6
8507;06.02.2025;Früh;876;33;0,1
9473;06.09.2025;Nacht;1128;25;7,6
497;18.04.2020;Spät;207;30;1,8
3172;25.11.2021;Früh;1225;29;1,8
6650;27.12.2023;Nacht;1030;13;3,3
9233;15.07.2025;Nacht;1492;11;6,4
7398;08.06.2024;Nacht;153;16;5,6
2760;27.08.2021;Früh;333;35;1
4682;22.10.2022;Früh;105;36;2,1
7485;27.06.2024;Spät;1002;27;4,3
4990;29.12.2022;Nacht;4;21;5,4
6262;03.10.2023;Nacht;347;28;6
3787;09.04.2022;Spät;921;23;3,2
1195;18.09.2020;Früh;1173;21;1,9
4899;09.12.2022;Früh;222;32;0,7
2488;28.06.2021;Nacht;349;18;5,8
5104;23.01.2023;Früh;587;29;0,5
9100;16.06.2025;Früh;863;36;0,5
2423;14.06.2021;Nacht;414;24;3,9
3151;21.11.2021;Spät;365;19;2,9
5323;12.03.2023;Spät;517;26;2,5
5253;24.02.2023;Spät;1452;20;3,4
2339;27.05.2021;Früh;1044;26;2,8
6462;16.11.2023;Spät;786;27;3,8
8521;09.02.2025;Spät;115;20;3,8
933;23.07.2020;Nacht;175;29;7,7
2790;03.09.2021;Nacht;162;11;3,5
8064;01.11.2024;Früh;1126;28;2,1
1248;30.09.2020;Früh;289;35;1
8456;26.01.2025;Früh;802;36;0,5
6870;14.02.2024;Nacht;616;20;2,7
7024;18.03.2024;Nacht;110;28;4,2
4169;02.07.2022;Früh;100;27;1,1
9625;09.10.2025;Früh;283;27;0,1
2288;16.05.2021;Früh;135;31;0,9
8059;31.10.2024;Spät;766;18;4,3
531;26.04.2020;Nacht;702;23;3,9
2676;09.08.2021;Früh;190;32;1,6
7632;30.07.2024;Spät;461;25;4,8
3086;06.11.2021;Spät;350;23;5
4978;26.12.2022;Früh;1136;26;2,5
4270;24.07.2022;Nacht;290;18;5,8
6130;04.09.2023;Früh;1308;25;2,9
4749;06.11.2022;Früh;158;32;0,4
6211;22.09.2023;Spät;560;23;1,9
540;28.04.2020;Früh;143;21;2,6
7593;21.07.2024;Spät;1231;18;1
7168;19.04.2024;Spät;493;23;1,4
6995;12.03.2024;Nacht;464;20;7,3
2615;26.07.2021;Früh;341;20;0,9
2827;11.09.2021;Spät;404;15;1,4
2619;27.07.2021;Nacht;1066;11;7,7
8154;21.11.2024;Nacht;1222;27;3,4
6514;28.11.2023;Nacht;1409;20;2,4
3653;11.03.2022;Nacht;128;16;3,5
6508;26.11.2023;Nacht;127;29;5,9
8588;24.02.2025;Nacht;688;20;3,2
552;30.04.2020;Nacht;206;18;5,4
8094;08.11.2024;Nacht;782;12;4
2115;08.04.2021;Spät;146;29;4,4
6540;03.12.2023;Spät;1077;26;2,2
8128;15.11.2024;Nacht;136;21;7,7
5477;14.04.2023;Früh;515;26;2,3
9121;21.06.2025;Nacht;1214;25;4
9794;15.11.2025;Früh;756;34;0,2
2391;07.06.2021;Früh;117;28;0,7
2808;07.09.2021;Früh;547;28;1,2
9401;21.08.2025;Spät;327;18;2
4446;31.08.2022;Nacht;1435;13;5,6
564;03.05.2020;Früh;1294;30;2,8
9540;21.09.2025;Spät;488;27;1,8
3738;29.03.2022;Nacht;536;11;7,2
6932;27.02.2024;Früh;666;24;0,9
5879;11.07.2023;Spät;631;23;1,1
6690;05.01.2024;Früh;47;20;2,1
5034;07.01.2023;Spät;1123;26;3,6
4339;08.08.2022;Früh;164;32;0,4
9611;06.10.2025;Spät;245;30;3,4
5861;08.07.2023;Spät;720;24;4,2
7633;30.07.2024;Früh;1345;22;2,3
5664;25.05.2023;Spät;1341;25;3
576;05.05.2020;Nacht;844;24;4,8
1148;08.09.2020;Spät;1485;17;3,6
3229;08.12.2021;Früh;59;39;0,3
1519;28.11.2020;Früh;598;31;2,7
7820;09.09.2024;Spät;457;27;3,3
9268;23.07.2025;Früh;247;36;0,8
9538;20.09.2025;Nacht;852;10;5,5
5120;26.01.2023;Früh;302;37;2,9
4939;18.12.2022;Nacht;311;23;3,7
815;27.06.2020;Nacht;65;13;4,2
1149;08.09.2020;Nacht;183;19;6,4
6858;11.02.2024;Früh;424;30;2,7
5384;25.03.2023;Früh;109;21;2,8
589;08.05.2020;Früh;1033;20;0,1
1622;21.12.2020;Früh;495;22;2,5
591;09.05.2020;Früh;761;35;3
2697;13.08.2021;Spät;1066;34;2,9
7898;26.09.2024;Spät;381;16;1,9
2979;14.10.2021;Spät;52;20;3,1
9615;07.10.2025;Nacht;139;16;2,2
1044;16.08.2020;Spät;14;34;2,8
4501;13.09.2022;Spät;84;26;4,2
8374;08.01.2025;Spät;1057;15;3,7
3025;24.10.2021;Früh;1009;27;0,3
9786;14.11.2025;Nacht;319;15;3,2
7110;06.04.2024;Spät;1104;16;3,4
4940;18.12.2022;Nacht;1086;21;6
5276;01.03.2023;Früh;1063;36;2,8
7007;15.03.2024;Spät;1083;30;1,9
605;12.05.2020;Früh;1325;28;2,2
6417;06.11.2023;Früh;1487;20;0,4
8186;28.11.2024;Früh;133;30;2,5
8975;20.05.2025;Spät;1140;17;3,6
6755;19.01.2024;Früh;207;20;1,3
610;13.05.2020;Spät;327;18;2,9
8051;29.10.2024;Früh;641;27;0,7
8460;27.01.2025;Früh;1010;33;2,6
2913;30.09.2021;Spät;1313;34;4,5
6742;17.01.2024;Früh;13;27;2,1
1364;25.10.2020;Spät;1469;29;2,9
3999;26.05.2022;Spät;1234;33;4,9
5970;31.07.2023;Nacht;1075;19;3,5
6883;16.02.2024;Früh;729;39;2,2
4578;29.09.2022;Früh;34;34;1,8
620;15.05.2020;Spät;339;20;2,3
9609;06.10.2025;Früh;754;25;1,2
9997;30.12.2025;Nacht;702;24;4
5932;23.07.2023;Früh;640;37;2,5
