Bestellung_ID;Kunden_ID;Produkt_ID;Bestellmenge;Bestelldatum
130726;2212;216;8809;2024-09-25
187341;688;239;7451;2024-02-17
223293;1861;51;4056;2023-05-10
93328;1734;105;6762;2025-10-27
16903;1644;24;5504;2022-11-14
141813;2010;396;854;2024-10-05
104328;82;189;1834;2023-05-30
96776;1615;411;9336;2024-06-05
134628;651;87;9528;2020-06-28
137759;2075;299;2844;2025-06-08
157494;1238;141;9337;2020-05-14
189365;2971;86;1804;2020-11-09
225461;156;64;6967;2023-09-17
240984;2400;201;2378;2021-01-28
301;878;80;8304;2020-06-13
150976;1883;248;8131;2020-07-27
6036;164;258;2605;2023-10-30
168955;190;227;1857;2020-06-30
163798;2565;71;4685;2025-07-31
68281;2651;235;6771;2020-03-19
134571;1516;245;1255;2023-03-16
150285;1068;420;4598;2025-01-12
40705;2051;324;9318;2025-10-10
158697;2826;193;7898;2023-09-17
39720;1733;127;5871;2022-03-19
223082;2241;197;4325;2025-09-16
104926;1515;114;5280;2022-06-23
12246;421;396;5736;2023-07-19
237577;1446;418;968;2020-07-23
47984;2372;81;278;2023-02-10
232436;1811;226;9289;2024-01-01
121123;87;493;5828;2025-12-18
153274;1632;46;2166;2020-08-01
154093;2826;77;6114;2022-06-23
221427;1502;485;9172;2020-04-25
198066;1786;103;5949;2023-07-14
93461;1388;245;4424;2023-01-08
142821;2743;139;9395;2020-05-03
67450;1007;396;8266;2021-06-02
58998;2494;1;3716;2022-04-11
68538;1179;110;4227;2024-02-01
84418;184;191;8640;2020-12-20
223920;1;496;2441;2020-10-15
5236;1575;207;3447;2025-08-31
20772;2402;72;6718;2023-08-10
147082;340;215;159;2024-07-18
164935;2864;473;3301;2025-05-27
242934;2906;351;3864;2025-06-21
108818;553;379;1623;2020-05-26
45699;820;74;6067;2022-12-25
118558;2266;260;1688;2021-06-06
19318;275;348;2974;2022-03-23
246449;267;150;5986;2024-04-26
243098;1070;13;1865;2021-06-13
9263;689;411;7126;2021-12-15
127035;1825;422;4800;2023-01-19
23119;1495;221;2488;2022-09-05
51468;527;256;9858;2020-11-10
106763;2970;260;9084;2024-09-21
131977;2723;404;8722;2022-06-11
78008;1089;80;3506;2020-03-27
63557;575;415;1186;2021-04-07
51875;1563;10;5369;2021-02-21
96494;201;484;2661;2023-07-07
25561;2379;391;5814;2023-04-20
151544;2449;176;9560;2025-10-21
207033;271;346;9339;2020-09-24
172956;2897;7;562;2023-05-17
120951;62;226;2852;2021-08-06
177104;2332;435;2929;2025-09-26
60539;2112;126;4386;2024-11-17
66528;2733;354;6940;2021-09-20
75938;54;73;1639;2020-04-07
216730;1163;125;8963;2022-03-04
70207;2654;32;1531;2022-08-19
38304;2130;203;4493;2024-01-11
48030;2560;490;280;2020-01-11
140028;196;120;6495;2020-08-20
144768;1261;228;2804;2020-03-09
238893;1432;369;2625;2020-10-28
82918;1671;186;560;2020-07-04
69862;2857;128;7816;2023-12-11
100612;536;62;6256;2020-10-03
168519;472;367;4640;2021-09-19
127218;1930;315;7811;2025-09-08
129036;678;347;306;2023-08-22
92294;298;385;845;2025-06-16
81032;399;391;5039;2020-04-12
52618;178;452;3347;2024-03-31
240721;167;295;1132;2021-04-26
14863;1869;98;5153;2021-09-18
118738;1830;243;3623;2021-10-04
29812;840;39;3954;2023-12-13
46860;1739;404;1552;2021-08-10
1430;1665;344;678;2020-04-10
247902;562;382;5592;2024-02-06
174282;247;179;4662;2020-12-28
36560;2341;217;1770;2022-09-09
38438;1863;367;3249;2025-02-26
112643;1069;75;3011;2020-10-18
23619;1572;255;7204;2024-08-04
124080;632;96;3426;2024-08-08
58404;2349;122;6404;2023-05-24
113321;1389;432;6306;2025-10-26
197793;2474;387;5269;2022-03-03
132168;696;165;585;2021-10-17
228977;1101;61;5716;2024-11-19
67490;210;243;2847;2025-02-28
55619;2409;437;6017;2025-02-03
99691;2936;445;7791;2021-12-04
114739;245;136;5861;2022-09-28
37118;358;11;1259;2023-07-18
208580;2662;323;5296;2020-02-21
64109;892;9;1344;2020-07-13
244979;2254;250;3182;2024-10-17
147163;1683;10;5163;2020-05-03
121244;2993;180;7100;2024-08-06
121955;902;341;1607;2023-06-05
33889;105;407;2013;2025-06-07
32598;1814;118;6242;2020-08-28
165861;2136;291;8167;2022-11-17
73543;1171;109;5204;2022-09-10
23220;447;346;3771;2020-06-09
75674;1946;402;7570;2022-11-25
159360;681;56;5787;2024-12-19
28574;2621;4;8332;2020-02-04
18314;427;359;9310;2024-09-05
76122;1716;32;9869;2023-05-06
196123;2658;333;7554;2024-01-30
60298;619;445;7345;2023-06-21
101818;1686;259;8349;2024-03-22
244383;982;20;7223;2025-12-13
96168;1999;85;3224;2025-02-05
140426;537;379;116;2020-11-07
14180;2462;253;2185;2021-12-31
22460;2382;373;6214;2022-04-02
202041;557;80;4293;2021-03-05
91045;1278;235;304;2020-06-23
203997;2098;481;1318;2023-06-14
140742;506;170;85;2025-05-19
10025;1814;426;8151;2022-11-04
231996;911;53;3210;2024-09-12
20723;1323;42;3933;2021-03-19
81836;1975;316;1016;2020-04-14
128345;1322;250;7869;2020-04-28
56947;560;263;9396;2024-06-15
127441;2838;245;8392;2023-10-17
117662;2314;213;6197;2022-07-25
227787;2703;115;4925;2024-12-19
108297;1334;8;9488;2022-08-03
177041;1027;333;4354;2021-03-08
100157;2378;169;4756;2021-12-10
18855;2184;195;45;2021-10-08
127958;1391;269;656;2025-10-21
244155;2862;310;5370;2021-02-21
130490;160;49;163;2024-10-29
232406;1177;39;6244;2022-09-04
2500;2311;155;7938;2020-01-05
61344;2933;217;649;2024-02-17
152292;1606;141;4462;2025-01-31
174757;1867;39;7253;2024-11-21
38323;2154;188;410;2024-12-13
158007;495;66;8548;2021-10-16
134819;627;385;4332;2025-10-12
69150;1543;500;2066;2022-07-10
124067;1256;6;6500;2021-06-28
9521;1764;7;397;2020-02-02
75872;1296;390;9837;2024-02-11
103892;1012;392;1396;2025-09-28
107130;1354;292;9186;2020-04-01
245329;623;173;6999;2024-02-02
208779;2321;394;9841;2021-03-29
232478;337;424;3806;2021-07-25
12596;1545;141;8157;2023-02-09
82902;2770;433;8001;2021-01-02
49595;2755;57;5361;2022-11-21
40955;1533;84;271;2021-11-21
137849;1582;191;5152;2021-01-25
61571;2913;386;5547;2020-08-18
60899;724;12;6440;2020-09-21
37337;146;448;8716;2020-09-28
93336;1516;370;2595;2025-03-02
156812;2168;318;7528;2020-04-29
165837;881;40;9703;2024-02-06
91151;838;470;2008;2023-05-05
35409;1771;74;3498;2023-02-04
112586;1741;226;4048;2022-08-31
91546;201;484;761;2022-09-20
184817;604;45;2077;2020-12-07
63651;2146;133;9818;2021-05-15
11662;297;297;1385;2024-04-28
72277;280;239;4241;2020-07-21
147446;1034;52;377;2025-02-08
203633;43;223;850;2023-06-25
1857;714;282;2267;2021-01-15
53180;1162;109;5977;2023-09-04
106873;703;59;230;2020-10-08
147585;2197;376;391;2022-12-18
201686;1500;20;8606;2024-05-01
169449;438;318;5016;2023-12-30
215671;2063;495;2940;2020-08-25
187016;2544;439;7204;2025-08-17
216216;1678;389;4021;2025-08-03
29810;2042;40;4182;2021-01-20
13803;1044;237;710;2020-07-11
178687;2452;113;1090;2023-01-27
97703;345;444;2264;2025-08-11
81860;1238;395;3254;2021-07-15
239170;2621;68;6481;2024-07-01
192880;530;202;2508;2020-03-12
206290;1476;110;1000;2021-06-18
108185;1406;488;6425;2025-03-13
67671;2617;63;7733;2020-12-14
33534;2586;476;1418;2025-12-11
247342;1265;124;4645;2024-11-21
177487;2465;313;6468;2025-06-21
75165;737;346;8173;2021-06-12
249109;1593;60;3588;2020-02-21
58763;413;415;562;2023-09-23
3400;2037;447;3602;2023-03-20
229503;68;419;4330;2020-12-23
201629;1508;147;70;2023-04-01
166557;191;107;2647;2025-02-08
148163;1958;468;3434;2022-11-10
192667;1728;220;7548;2020-01-14
186836;2340;439;3311;2023-12-14
23523;38;117;2347;2022-04-03
185780;1150;23;6672;2023-02-16
102746;1899;379;1101;2022-01-06
99886;1654;323;395;2020-07-13
240386;2133;384;5392;2023-01-01
204025;1708;359;1110;2021-10-07
31483;2204;336;248;2020-04-28
223321;487;185;4309;2020-08-28
91924;1069;426;696;2022-12-12
137111;2319;25;4927;2021-10-21
45671;1932;338;9673;2024-08-13
120384;2277;430;7837;2022-09-03
208051;1228;85;7149;2022-03-15
174966;2139;221;2633;2025-06-12
124557;2957;64;3051;2020-06-03
152682;245;249;8355;2020-10-30
103079;2226;102;3487;2020-02-17
141525;637;2;1966;2022-11-29
246430;1691;78;208;2022-05-13
19627;2474;9;8778;2021-05-04
169097;855;440;1311;2022-02-16
47185;1903;344;5159;2022-09-09
205203;1795;18;6684;2021-12-04
235617;1720;234;8812;2023-08-24
100127;2424;89;558;2021-06-12
238533;1571;52;8251;2025-03-09
238562;786;71;545;2023-11-17
76354;1852;214;5397;2021-07-29
1426;2121;430;5826;2021-04-15
123182;1820;37;8118;2021-05-23
165664;1575;287;1001;2023-05-03
88828;1757;151;2964;2025-01-14
221543;122;77;1996;2022-11-29
45351;1419;219;8865;2021-03-06
24976;1058;348;979;2022-12-19
45929;476;145;3125;2021-04-16
221448;485;69;40;2024-05-28
77960;2441;407;8418;2024-05-19
10501;712;297;8134;2023-11-06
147249;676;244;3707;2020-08-25
127540;201;453;4544;2023-06-21
84870;2251;495;1151;2024-01-09
217795;1596;421;7661;2020-07-27
145192;2488;1;6968;2024-11-10
76559;1543;192;8642;2025-06-14
186148;1373;122;730;2023-08-21
207089;695;163;7209;2022-04-16
168626;2888;468;7772;2020-02-24
4697;2980;389;5589;2021-10-01
48498;2565;384;1728;2024-05-15
223173;523;472;8812;2023-03-05
121475;1752;211;6917;2025-10-17
132638;2563;373;135;2023-11-07
127121;1704;497;5649;2020-11-22
126595;2115;157;2260;2020-06-20
197546;1065;251;5581;2023-01-24
77322;1784;449;1100;2021-09-12
167097;561;319;8461;2020-11-17
129969;1993;152;4140;2023-02-21
49398;1124;487;3612;2025-06-06
116961;2787;34;5559;2024-09-20
52308;1490;484;9949;2024-03-12
199449;2236;400;4580;2020-10-05
176301;2903;355;5124;2021-06-05
124363;2685;194;1058;2023-02-25
39910;1492;228;879;2021-06-15
102176;2376;182;964;2020-09-14
17068;623;189;1997;2025-07-25
72204;533;423;230;2025-02-22
7695;868;175;274;2020-03-14
46684;2154;119;4183;2024-01-30
68894;2038;32;6506;2021-11-14
212488;1046;244;6742;2025-07-08
169078;2390;228;3671;2021-07-01
185310;2402;193;7092;2023-03-14
246111;2694;303;1516;2025-09-19
21439;1352;307;4386;2021-09-29
24107;587;446;5988;2021-05-08
178662;1998;32;8002;2025-07-12
107905;2017;201;9713;2022-03-03
40847;2996;327;827;2020-04-04
136494;1129;424;4678;2023-11-25
194247;578;472;7367;2020-02-19
98218;835;410;6461;2025-04-07
170945;499;260;6155;2024-04-26
33106;1799;240;6525;2023-08-17
82358;2880;398;8459;2020-04-12
143664;2899;185;8251;2021-10-28
33839;1235;336;5571;2025-07-28
242528;1308;294;7932;2023-07-27
206893;1814;158;6356;2025-03-11
152323;1905;201;1502;2025-09-01
44416;559;44;1482;2024-08-19
229096;2021;410;3346;2021-03-20
43156;1976;106;8509;2025-04-29
96559;991;312;9721;2025-01-21
46224;1160;69;6895;2024-10-10
66201;1913;320;3552;2024-04-07
215752;2989;375;2233;2021-07-29
47712;2566;176;2964;2024-01-20
221459;2213;448;4891;2023-08-07
109685;1317;355;9328;2022-10-03
41154;2316;471;1406;2020-01-05
102696;2943;133;3734;2023-10-06
88290;2123;486;6728;2023-12-27
234455;1861;125;6769;2021-01-07
120506;1990;61;19;2021-08-05
9876;568;60;4405;2023-10-09
32028;1605;216;5168;2025-04-21
110563;1171;460;2902;2021-09-18
11442;160;416;165;2020-03-25
80926;2024;88;1329;2023-09-24
106575;2346;396;4359;2022-07-16
131958;1377;237;862;2023-12-13
238320;2019;443;6992;2025-05-11
46462;2340;453;2067;2024-12-15
54750;1354;310;3054;2021-01-11
179603;25;478;4961;2021-05-19
54698;318;209;3641;2025-02-21
17840;59;397;2960;2021-06-19
9958;2757;428;2695;2023-03-23
147159;2849;375;680;2022-07-12
24851;1298;272;9093;2024-02-03
105057;1259;58;2286;2021-10-09
239804;885;309;4239;2021-04-04
188333;1223;231;6642;2021-06-06
52155;2036;373;2804;2020-10-06
143348;2296;141;8414;2023-01-24
195172;2792;131;1324;2020-01-30
164343;2363;498;7827;2020-06-25
242702;1879;294;5031;2025-01-09
55118;333;59;5015;2024-12-05
229284;514;216;5928;2022-12-02
174792;288;125;4980;2024-10-06
233237;344;46;5845;2022-12-31
67131;904;284;4179;2023-12-11
137635;2789;61;9028;2020-08-19
180708;1002;120;5557;2025-12-19
164711;234;408;169;2025-04-13
16665;1473;261;6313;2020-12-10
94525;1261;417;7752;2025-05-15
190740;1859;428;9813;2020-06-06
58000;2743;158;4943;2020-06-21
199733;1836;368;5631;2023-08-29
136918;2701;80;2828;2025-06-13
134315;1264;479;8692;2022-08-07
97683;686;104;5617;2025-06-14
193932;379;465;6262;2025-03-03
191774;2636;469;5387;2025-12-05
77146;1693;398;4895;2020-06-06
81759;2486;447;4444;2020-09-06
214858;869;126;5299;2022-02-06
243127;2993;104;4921;2024-03-17
123049;1123;1;5091;2021-08-01
134745;111;212;7411;2023-09-27
69455;2253;461;1669;2021-09-21
31401;1418;236;231;2020-06-27
90170;1506;269;3285;2025-09-03
164855;2999;450;4690;2025-05-31
194805;1331;75;464;2022-07-19
54637;1394;167;1889;2021-09-17
150057;2763;198;3830;2025-07-15
167819;2258;252;2763;2024-03-23
94244;1882;264;3763;2021-04-18
235032;149;252;940;2023-10-17
163874;169;36;9936;2020-05-15
188822;2624;270;8690;2023-05-17
123216;139;128;5597;2025-07-10
155689;2606;488;4453;2025-01-05
103119;100;57;5903;2025-10-14
100231;216;450;1071;2020-01-16
73771;1163;294;6543;2025-08-11
149752;285;40;6009;2021-06-24
202700;164;423;7133;2020-12-12
183337;1052;306;8384;2024-02-25
76916;192;288;3227;2021-09-13
112274;171;303;4322;2023-07-18
232473;1636;61;7699;2020-12-05
101720;1537;433;447;2021-09-08
135233;48;387;2431;2021-08-20
4935;1723;275;6433;2024-12-03
110528;2632;264;2934;2022-02-15
196945;1476;463;4580;2024-02-05
65966;2495;94;2910;2023-07-28
95575;795;189;6888;2023-05-24
97354;1121;118;721;2021-11-22
97563;1792;471;6507;2025-02-21
182514;1724;180;1050;2024-08-25
145598;1376;183;6630;2021-07-21
119619;2839;242;3965;2023-06-25
230425;261;56;6145;2024-11-18
84982;2793;370;6575;2023-10-25
127022;1885;244;4343;2023-03-30
74199;796;210;7610;2024-08-02
236741;2648;424;8666;2021-12-16
70328;763;43;3610;2024-08-22
32888;351;204;1381;2023-04-05
153294;2238;116;5943;2024-06-24
222454;2836;311;5718;2020-05-25
44538;538;414;1576;2025-08-30
125672;2439;461;6549;2020-01-30
159386;2041;377;3847;2022-05-28
195433;2150;38;3211;2023-12-16
76293;278;402;70;2025-01-16
92131;2709;120;2694;2021-10-24
170711;1767;313;2175;2021-11-26
61861;253;167;765;2020-08-21
139832;1489;423;8962;2025-09-29
186256;2392;165;9597;2022-09-20
46362;326;374;1209;2025-01-17
166354;1936;392;9271;2020-11-12
164239;2508;207;1161;2025-05-21
46954;2054;244;4568;2025-09-11
173401;2809;85;797;2022-12-19
44461;1320;163;2800;2022-02-15
158508;1372;156;8906;2024-11-19
52765;2143;135;799;2022-08-23
160393;848;170;3742;2024-05-03
80863;519;262;2571;2020-09-01
173283;2300;20;2413;2025-08-18
71911;392;71;5587;2024-06-28
185011;36;130;4827;2025-04-20
139420;1502;406;5229;2021-01-11
126073;2627;109;214;2022-08-18
206416;482;166;809;2021-04-06
83342;2794;226;5314;2021-05-29
98602;2524;298;6495;2022-06-28
160380;2896;87;5410;2024-03-18
188887;105;52;5461;2023-07-23
134991;2227;381;7595;2022-10-31
247562;1497;341;3243;2025-11-11
144922;806;490;6868;2023-01-15
37882;2578;488;9778;2025-06-11
129726;1567;304;6293;2024-04-17
44271;504;31;1190;2025-12-23
142032;557;38;8055;2025-04-22
125492;1183;89;8374;2023-03-31
101125;933;365;5102;2025-12-23
127006;1980;15;1261;2020-10-09
48005;1408;75;3240;2021-01-30
19031;2228;259;7955;2021-05-12
210759;2785;206;6133;2022-02-17
110517;2491;472;2273;2022-03-11
151535;1956;45;8168;2020-09-12
4573;1718;135;5112;2025-11-24
35410;656;476;6829;2025-06-27
207774;1893;227;2213;2023-06-18
68645;2832;452;4830;2024-04-21
42533;529;433;9259;2024-06-05
114100;1464;41;8349;2021-04-24
228595;2691;331;2033;2024-02-06
8744;611;215;9129;2020-02-09
105331;1227;37;7121;2020-01-22
209737;2884;354;3357;2023-05-05
179822;1142;394;6578;2025-12-01
101886;12;64;7247;2020-09-27
211999;1727;13;1656;2022-08-17
204138;1840;191;2918;2025-01-18
245385;2898;304;9331;2024-12-13
128757;1608;33;2955;2025-07-22
148602;1870;448;7815;2023-01-21
147908;2694;68;2196;2025-04-12
87425;1436;359;835;2021-10-21
214560;1683;398;9826;2023-04-24
140418;1697;475;7133;2025-04-01
120304;751;97;7772;2022-03-27
102949;1986;171;7295;2024-03-08
52556;1186;298;841;2023-07-06
117433;138;413;9116;2024-09-12
108647;1898;360;2594;2022-06-05
203611;2155;28;7196;2024-10-02
126486;1124;380;9749;2023-04-02
89872;572;439;6666;2022-07-23
73323;2183;262;876;2021-04-05
46212;43;456;7960;2020-02-09
129352;1483;95;4232;2023-04-23
124295;1860;316;7733;2023-07-22
81161;430;493;4511;2021-04-19
65382;162;94;1948;2020-02-13
161629;253;105;5023;2023-08-12
190336;363;19;1266;2021-06-04
