Energie_ID;Produktionsauftrag_ID;Maschinen_ID;Energieverbrauch;Energiekosten
123018;608137;196;8582,4;2574,72
364204;524348;146;6854,4;2056,32
236662;520886;81;2175,6;652,68
397989;219892;46;7342,8;2202,84
266886;568380;7;2114,8;634,44
130619;290250;280;11583,0;3474,9
45761;220831;94;8128,5;2438,55
44712;658862;98;3819,9;1145,97
53507;729415;118;9273,0;2781,9
10091;547134;197;3272,1;981,63
186176;427523;64;7498,7;2249,61
200703;223075;194;5450,2;1635,06
375915;47560;238;6152,0;1845,6
63853;706494;204;19655,5;5896,65
180730;82909;25;1555,4;466,62
390290;269149;69;4582,2;1374,66
17852;775202;18;7586,6;2275,98
72172;301096;212;16041,2;4812,36
154046;119073;143;12576,6;3772,98
317324;769664;168;9084,6;2725,38
50477;561664;238;3792,0;1137,6
229385;624669;132;7887,0;2366,1
266172;498492;234;2516,8;755,04
237736;4217;138;3544,0;1063,2
167777;231864;39;10438,0;3131,4
121321;585327;203;7979,4;2393,82
85958;329956;149;15675,0;4702,5
180460;42213;193;6395,2;1918,56
258741;395955;285;781,0;234,3
42297;206991;167;10675,6;3202,68
214733;153134;269;9559,5;2867,85
48643;306789;230;5173,2;1551,96
162834;255345;184;20432,3;6129,69
271395;50287;122;1775,4;532,62
334402;78997;61;6742,5;2022,75
285153;777274;155;19393,2;5817,96
201881;281861;116;1324,3;397,29
259630;745482;141;4408,1;1322,43
63126;272438;38;1837,2;551,16
326411;791260;95;13805,0;4141,5
274950;221073;78;4886,0;1465,8
338318;784281;204;15934,1;4780,23
371628;21505;199;7948,5;2384,55
56364;482058;284;4409,9;1322,97
384741;395284;126;10201,4;3060,42
371609;766277;127;5270,4;1581,12
325484;276455;97;1070,3;321,09
6569;546284;36;5935,5;1780,65
160009;605852;141;13812,5;4143,75
111940;792400;163;16913,8;5074,14
192840;238563;48;10860,4;3258,12
301239;544291;234;4030,6;1209,18
35175;310126;127;944,4;283,32
76133;78281;181;6603,3;1980,99
157205;346036;281;20328,0;6098,4
256638;41453;69;3355,8;1006,74
315657;192485;32;6165,5;1849,65
378345;458722;231;7605,4;2281,62
95328;225338;78;8802,0;2640,6
40263;72055;88;7040,0;2112,0
366710;787793;66;1180,4;354,12
196020;315577;265;14348,6;4304,58
377637;676660;246;11684,0;3505,2
318163;300569;181;5743,5;1723,05
394910;152586;95;7486,6;2245,98
369580;749386;88;3885,0;1165,5
30054;330652;182;10600,8;3180,24
81469;99445;199;13552,7;4065,81
170204;766693;210;928,2;278,46
250951;695666;111;9023,1;2706,93
176177;454692;69;10699,8;3209,94
125887;791679;97;10524,8;3157,44
187217;590562;13;5920,2;1776,06
328192;380599;252;12541,2;3762,36
303666;795066;179;5231,8;1569,54
230391;47677;209;4131,2;1239,36
388945;475568;272;13215,8;3964,74
352622;527213;65;9711,8;2913,54
46470;660855;81;9823,2;2946,96
160772;426532;273;6554,9;1966,47
358781;269040;234;7455,0;2236,5
284284;653546;231;9718,5;2915,55
193768;77522;72;9537,6;2861,28
157424;200017;24;3053,3;915,99
157578;236090;84;4701,6;1410,48
143090;721355;52;9247,5;2774,25
237303;588867;205;9205,2;2761,56
151993;25557;76;2010,4;603,12
383302;442963;26;10597,6;3179,28
43838;639500;16;9724,0;2917,2
300668;511856;200;8047,8;2414,34
286349;738165;285;3663,0;1098,9
332949;271978;47;7228,8;2168,64
360865;544764;143;11668,8;3500,64
230785;283192;165;1771,2;531,36
160202;314279;75;3754,8;1126,44
243129;337328;40;9031,0;2709,3
348070;245135;85;2326,8;698,04
27422;668707;54;13557,6;4067,28
296712;289792;46;4425,6;1327,68
133328;541940;292;4257,6;1277,28
350487;602966;186;5766,4;1729,92
178130;720471;247;9630,6;2889,18
234841;188366;128;10819,2;3245,76
54582;628394;117;14241,0;4272,3
296893;119137;187;9809,8;2942,94
332088;654190;82;2199,6;659,88
361555;545758;142;7216,2;2164,86
371077;375774;126;13350,1;4005,03
47894;135963;253;5098,8;1529,64
289448;453289;144;4448,4;1334,52
352047;108423;9;9688,8;2906,64
20331;509372;124;9422,0;2826,6
126348;554120;181;10904,4;3271,32
139829;520217;276;6976,8;2093,04
351704;750686;93;6123,0;1836,9
271835;613048;51;20608,2;6182,46
266719;530377;28;6748,2;2024,46
45624;6588;15;8179,2;2453,76
171357;285881;41;13254,4;3976,32
395562;158359;184;3213,0;963,9
198143;224609;86;15595,2;4678,56
390099;481830;120;2557,5;767,25
185335;224458;57;3486,0;1045,8
323701;181719;260;9576,0;2872,8
163352;699480;212;16816,0;5044,8
69051;580941;109;7709,9;2312,97
226240;239658;176;836,0;250,8
105495;736399;34;746,9;224,07
126209;668254;28;8369,2;2510,76
274559;288877;174;6319,6;1895,88
157928;793526;228;3451,0;1035,3
161628;284459;25;12715,5;3814,65
269021;507870;218;6142,5;1842,75
295138;116551;264;13348,8;4004,64
248509;708797;42;7326,0;2197,8
108865;636863;180;3201,1;960,33
95985;46381;218;4289,6;1286,88
267055;697754;213;13994,4;4198,32
285568;104950;88;4214,4;1264,32
356855;308989;7;4451,7;1335,51
119851;467091;54;8114,4;2434,32
172402;130260;281;10555,2;3166,56
321808;356132;222;15527,8;4658,34
248982;89351;235;11216,4;3364,92
396951;109876;213;5488,2;1646,46
363972;408653;246;6975,6;2092,68
128737;400895;290;10090,8;3027,24
323107;527473;48;1532,8;459,84
301649;87706;59;16117,7;4835,31
189412;219882;275;6606,2;1981,86
343116;362693;154;668,2;200,46
240679;596100;82;3304,8;991,44
116264;29228;15;8268,0;2480,4
119407;259180;169;11574,8;3472,44
334145;628903;205;19118,0;5735,4
138566;117054;46;3241,2;972,36
118093;17142;105;19992,0;5997,6
105961;33514;114;2564,9;769,47
127996;362242;143;5276,8;1583,04
121225;576026;94;2505,1;751,53
155679;101056;175;5008,8;1502,64
218546;72605;251;3106,8;932,04
25744;278392;6;8864,0;2659,2
212725;125017;44;5358,0;1607,4
272893;108122;28;5091,0;1527,3
202119;102213;292;3061,2;918,36
250735;518594;247;11143,6;3343,08
363482;172761;158;3598,0;1079,4
18505;165539;218;19693,8;5908,14
161350;362883;5;5787,6;1736,28
42858;548618;207;6369,0;1910,7
11514;696984;176;3978,7;1193,61
64771;66640;244;9441,3;2832,39
353575;620908;13;14372,8;4311,84
199026;110189;63;6952,0;2085,6
190510;361337;134;5992,5;1797,75
109122;594261;256;1738,0;521,4
171255;513155;211;19094,0;5728,2
351518;773220;23;15435,2;4630,56
51859;679807;298;716,1;214,83
366146;763980;6;4260,2;1278,06
333092;168128;293;13865,8;4159,74
228526;710710;72;4624,2;1387,26
63225;568187;262;11898,7;3569,61
333854;670733;78;8661,5;2598,45
206657;581989;11;6591,6;1977,48
129582;166723;74;3745,3;1123,59
341819;345359;111;2864,0;859,2
181230;508617;234;2105,6;631,68
307630;692845;183;5024,0;1507,2
209027;156567;218;3592,0;1077,6
301123;725088;87;1248,0;374,4
198920;704250;158;4326,0;1297,8
97023;446141;201;10848,6;3254,58
175370;306599;175;1800,7;540,21
304868;282511;132;1032,0;309,6
301610;261318;258;8126,8;2438,04
363483;781007;178;3106,8;932,04
373383;413992;272;13057,6;3917,28
134367;392818;75;4834,8;1450,44
143091;531988;105;1828,8;548,64
383109;689753;66;4826,0;1447,8
332372;102716;144;7061,6;2118,48
137769;436931;14;770,0;231,0
176861;68771;71;16131,0;4839,3
275873;35822;276;5796,0;1738,8
84532;573962;119;12399,0;3719,7
114926;173813;300;9976,5;2992,95
143444;540014;242;4710,1;1413,03
92062;222128;43;11568,2;3470,46
139166;73413;88;10600,2;3180,06
61133;609281;146;6104,0;1831,2
343841;55474;136;10074,6;3022,38
176084;352469;264;6838,2;2051,46
51519;796514;21;8694,4;2608,32
181720;702238;220;9775,0;2932,5
64032;135098;258;6235,9;1870,77
293040;649401;36;801,6;240,48
187714;329949;64;15802,5;4740,75
60556;546679;221;8986,0;2695,8
265238;507615;281;2177,0;653,1
189720;592540;86;19996,0;5998,8
352535;8789;39;5194,8;1558,44
319172;70729;273;6759,0;2027,7
147290;86239;74;15698,8;4709,64
288336;175637;238;3463,5;1039,05
5827;475159;154;10950,4;3285,12
73220;490078;40;12886,5;3865,95
365551;324122;78;2677,1;803,13
2493;415117;263;11319,0;3395,7
275009;501396;190;9463,9;2839,17
236906;268234;33;4916,8;1475,04
124940;167481;51;18516,4;5554,92
2896;359741;150;11996,6;3598,98
257335;537659;279;10737,6;3221,28
43102;277379;219;12542,4;3762,72
107637;224312;173;10112,3;3033,69
110505;55597;38;4806,4;1441,92
166311;51512;41;9899,2;2969,76
361551;399350;32;1674,4;502,32
279747;511669;232;1132,6;339,78
136661;799634;214;5910,0;1773,0
150917;777639;13;5108,0;1532,4
233277;757024;119;2356,5;706,95
141040;626920;106;5635,8;1690,74
303212;541676;131;9445,7;2833,71
54340;335938;194;5483,2;1644,96
72882;72172;37;3281,3;984,39
233438;392459;74;6490,6;1947,18
21049;468787;216;9560,1;2868,03
127932;172271;110;8831,2;2649,36
270561;440865;230;4406,4;1321,92
156065;59100;153;2391,9;717,57
388549;785771;142;10171,1;3051,33
205202;431672;127;15294,0;4588,2
387224;196913;254;5675,3;1702,59
100378;771423;300;2330,9;699,27
327867;418001;81;8514,0;2554,2
259152;612149;40;17720,0;5316,0
51219;109367;106;14910,0;4473,0
120351;510647;80;5764,2;1729,26
24482;691149;39;14242,5;4272,75
133058;590383;192;8553,6;2566,08
133430;122765;111;3517,8;1055,34
214213;403110;109;7977,2;2393,16
342457;4822;91;16416,0;4924,8
263560;738422;105;17520,0;5256,0
119203;462447;215;3923,2;1176,96
97675;501358;54;1736,4;520,92
41775;126014;42;15377,6;4613,28
57427;694099;159;1545,5;463,65
258181;577169;289;1069,2;320,76
86926;75629;210;7690,8;2307,24
162876;511508;29;703,2;210,96
279096;716286;41;7956,0;2386,8
141925;500009;255;3264,0;979,2
250415;607086;232;9642,5;2892,75
284522;83088;35;2090,0;627,0
357809;486613;265;10613,1;3183,93
243597;132768;181;11978,2;3593,46
135663;798628;242;16766,0;5029,8
108275;792896;224;2193,1;657,93
206787;198429;6;1117,2;335,16
113929;678457;115;7028,0;2108,4
390199;443148;148;16406,0;4921,8
29027;394150;183;7905,6;2371,68
247774;667108;60;19184,0;5755,2
38657;333951;30;7897,6;2369,28
315496;511020;165;9576,0;2872,8
20243;534968;77;10182,0;3054,6
55299;290172;176;4210,9;1263,27
119229;506071;227;8127,7;2438,31
374322;545725;279;3763,1;1128,93
347811;104656;258;2340,0;702,0
343035;635161;109;8233,2;2469,96
377281;24087;273;6562,6;1968,78
165718;142415;24;1610,0;483,0
11425;497775;234;1965,6;589,68
236403;419406;175;17452,8;5235,84
377661;103342;257;19310,0;5793,0
33023;45335;92;8146,5;2443,95
294177;35341;298;2101,4;630,42
118466;696242;236;6271,9;1881,57
54014;146311;184;4307,6;1292,28
112848;183133;217;11130,0;3339,0
266181;83049;283;10857,6;3257,28
285935;352341;193;14859,0;4457,7
228509;370216;298;3964,0;1189,2
182156;485381;93;5041,6;1512,48
124138;732686;114;21654,0;6496,2
201458;394684;286;11099,2;3329,76
187163;586378;18;11889,0;3566,7
82207;705183;296;8660,6;2598,18
261008;22109;73;3151,8;945,54
79442;226448;198;1630,5;489,15
295268;340912;152;12349,8;3704,94
133079;1947;163;7257,8;2177,34
12791;623390;146;9852,7;2955,81
76284;276322;9;9594,0;2878,2
87070;53659;137;6818,0;2045,4
121347;639770;275;19192,0;5757,6
42802;425191;145;2928,9;878,67
188467;441817;189;8632,6;2589,78
50207;489897;226;10798,5;3239,55
115261;704602;135;12739,5;3821,85
166868;333302;8;14820,6;4446,18
313678;43762;259;6716,6;2014,98
232378;681691;5;10864,0;3259,2
6349;590443;137;6373,8;1912,14
255325;278914;68;18747,3;5624,19
1617;417843;126;11353,5;3406,05
20891;482475;228;10798,4;3239,52
247084;569226;246;20209,6;6062,88
145428;616500;206;8356,8;2507,04
296615;213641;252;10336,3;3100,89
191168;15926;252;6784,5;2035,35
68260;221213;264;12745,8;3823,74
340456;768894;272;5953,2;1785,96
303508;616721;80;6127,5;1838,25
116986;73529;242;18302,0;5490,6
84498;81530;81;1807,2;542,16
117229;273464;264;3019,2;905,76
343570;14327;117;22328,0;6698,4
245336;113795;167;10922,0;3276,6
232347;727789;146;4282,5;1284,75
382260;480893;30;7316,4;2194,92
113015;598657;109;4289,4;1286,82
357137;241494;77;1008,8;302,64
162111;631512;1;2652,0;795,6
78016;506069;71;7465,2;2239,56
238133;588783;69;1123,5;337,05
168875;598401;161;7959,6;2387,88
35962;213788;49;5358,0;1607,4
57753;484838;195;4372,8;1311,84
120716;234213;292;7883,7;2365,11
54593;242036;31;19868,0;5960,4
327802;749630;246;3448,9;1034,67
5177;368475;215;11718,0;3515,4
371410;181080;54;5052,4;1515,72
312788;753799;75;7534,0;2260,2
350957;35133;6;6391,2;1917,36
348713;644854;111;13008,0;3902,4
187275;647760;287;3673,7;1102,11
264031;465382;252;4444,7;1333,41
156611;550385;152;2499,2;749,76
38911;544673;157;18468,0;5540,4
274841;406937;211;9431,6;2829,48
126476;174303;62;5252,4;1575,72
49276;221744;169;3234,4;970,32
269259;54329;1;5415,0;1624,5
48387;43856;272;12860,5;3858,15
320432;531034;208;8812,8;2643,84
33484;727602;160;6747,2;2024,16
29313;511911;139;12323,4;3697,02
307907;191281;3;13258,7;3977,61
389055;227108;243;10651,2;3195,36
38426;108403;125;6696,0;2008,8
263802;291752;203;11097,8;3329,34
149409;392076;108;13364,8;4009,44
100635;563975;107;8222,2;2466,66
225847;287530;24;5840,9;1752,27
136213;779365;177;5031,6;1509,48
92646;345237;62;9571,0;2871,3
137199;415101;106;8385,6;2515,68
158948;552091;183;7221,6;2166,48
5266;663375;203;3214,5;964,35
288571;177761;273;2913,6;874,08
370982;300789;272;3718,8;1115,64
4001;166399;125;3767,4;1130,22
339744;238732;170;15020,0;4506,0
176891;762930;106;5239,5;1571,85
173106;577251;260;6934,8;2080,44
210063;472657;242;2736,8;821,04
338405;786291;95;3337,1;1001,13
361213;679555;139;3413,3;1023,99
376332;281125;103;7442,4;2232,72
322037;6869;80;7322,0;2196,6
171964;531111;26;3451,0;1035,3
62126;324976;4;6744,6;2023,38
155091;93892;274;2643,2;792,96
284890;388950;233;3639,6;1091,88
59498;753472;61;6279,9;1883,97
209840;304497;175;9196,0;2758,8
252389;545626;130;11092,5;3327,75
47380;654741;230;1718,2;515,46
268958;244779;86;12472,5;3741,75
87547;195189;223;1098,0;329,4
113046;50566;221;3238,4;971,52
312821;584374;249;5564,8;1669,44
280134;99537;185;5798,7;1739,61
270088;591035;280;16580,0;4974,0
314015;9730;37;9508,8;2852,64
150500;584761;10;7256,7;2177,01
89953;421077;67;4658,4;1397,52
326658;339527;122;4967,3;1490,19
16522;109250;222;7633,5;2290,05
207925;720797;133;3678,4;1103,52
341279;134342;229;13848,9;4154,67
350124;73568;134;2860,2;858,06
179508;256250;111;7328,0;2198,4
374297;333798;245;2390,4;717,12
160488;148375;32;11541,0;3462,3
2692;86732;86;10304,0;3091,2
14083;523071;245;3326,4;997,92
250326;766357;187;16974,0;5092,2
331339;207494;185;12252,8;3675,84
58107;278778;252;2307,2;692,16
307393;257337;54;7096,0;2128,8
55939;230631;165;7945,2;2383,56
31764;348097;188;9237,8;2771,34
147776;673424;13;2820,8;846,24
382708;76988;262;9079,5;2723,85
349978;489059;190;6128,4;1838,52
254977;108347;292;7510,8;2253,24
104259;84705;60;10276,5;3082,95
181548;661498;291;5461,2;1638,36
11215;561714;115;14985,0;4495,5
133038;369582;174;3165,8;949,74
285799;189820;298;1708,5;512,55
89472;632587;255;5612,2;1683,66
286928;575312;90;11617,2;3485,16
386385;497418;291;6682,0;2004,6
145762;608521;6;3703,5;1111,05
170723;72835;75;19171,8;5751,54
67773;228839;219;14295,6;4288,68
74292;151485;165;2373,2;711,96
329919;588165;63;8706,6;2611,98
300851;397930;146;4776,2;1432,86
216803;168367;156;6235,2;1870,56
34615;381053;246;8380,8;2514,24
395350;719178;102;12832,4;3849,72
124321;607271;258;8385,3;2515,59
165585;201307;290;1923,2;576,96
199084;285670;261;3833,5;1150,05
20601;694561;115;16364,7;4909,41
5329;616560;179;10963,2;3288,96
377242;40651;210;7007,2;2102,16
312982;685283;198;2618,2;785,46
168646;193356;86;13049,2;3914,76
18918;699535;284;10133,2;3039,96
186635;386418;33;9292,4;2787,72
221071;510984;257;15175,8;4552,74
199887;254572;247;14346,0;4303,8
195871;344014;253;6758,4;2027,52
252921;682119;125;8204,9;2461,47
126922;560655;26;14212,8;4263,84
306531;459194;119;6580,5;1974,15
101710;1923;214;10784,8;3235,44
399325;209932;155;14918,8;4475,64
6164;181472;12;9026,6;2707,98
305374;526518;48;5881,6;1764,48
199133;451468;288;10593,6;3178,08
309674;528572;89;6820,4;2046,12
258705;446717;240;8809,2;2642,76
242068;109295;15;5509,5;1652,85
282352;723094;110;3894,4;1168,32
389760;102992;2;10504,8;3151,44
342638;272463;154;6187,5;1856,25
318617;594660;242;1845,2;553,56
317668;648282;87;14734,8;4420,44
257280;767547;25;8886,8;2666,04
340420;653106;33;11375,0;3412,5
150449;391778;157;9135,0;2740,5
126608;388868;271;8126,3;2437,89
21593;313582;214;5928,0;1778,4
118591;391546;17;5104,4;1531,32
177219;557700;119;13481,6;4044,48
372262;529160;152;5095,2;1528,56
164642;310595;268;13712,0;4113,6
73031;723321;72;2102,1;630,63
222425;559766;18;8705,7;2611,71
388081;485789;271;3764,2;1129,26
157939;318588;28;5535,2;1660,56
292157;139617;270;3661,2;1098,36
154742;139097;17;7670,4;2301,12
81249;249352;76;14513,4;4354,02
152684;487704;200;4025,6;1207,68
345527;788251;55;10227,6;3068,28
174909;415080;212;8152,0;2445,6
244755;347076;60;2922,3;876,69
202639;344747;23;7113,0;2133,9
324922;334578;130;7020,0;2106,0
176756;454944;173;1431,0;429,3
44782;113513;20;10328,0;3098,4
282814;226897;209;4095,0;1228,5
381219;569823;188;5968,5;1790,55
393805;390833;164;7294,1;2188,23
211607;355355;140;13351,8;4005,54
20003;284697;258;13615,3;4084,59
210724;8225;140;10497,6;3149,28
39910;63459;261;4912,0;1473,6
329189;47817;239;11739,2;3521,76
6790;424080;64;15531,2;4659,36
231277;593027;85;16089,0;4826,7
61627;715521;115;12226,5;3667,95
81841;663730;247;3662,1;1098,63
130544;789142;167;9245,6;2773,68
261481;420512;82;1820,0;546,0
385481;282419;53;4996,2;1498,86
49523;665829;110;1862,4;558,72
222546;565125;181;12543,0;3762,9
279168;169000;257;11296,5;3388,95
37234;786983;113;6452,0;1935,6
204995;788549;263;6498,0;1949,4
31998;646378;12;2990,4;897,12
