Kunden_ID;Kundenname;Land;Branche;Bonitaet
874;Kunde_874;Deutschland;Elektronik;A
2755;Kunde_2755;Tschechien;Elektronik;B
2879;Kunde_2879;Schweiz;Medizintechnik;C
2330;Kunde_2330;Frankreich;Luftfahrt;B
2127;Kunde_2127;Deutschland;Medizintechnik;A
2705;Kunde_2705;Polen;Automotive;B
1315;Kunde_1315;Österreich;Luftfahrt;B
1892;Kunde_1892;Österreich;Luftfahrt;C
63;Kunde_63;Niederlande;Maschinenbau;A
990;Kunde_990;Tschechien;Automotive;A
2640;Kunde_2640;Polen;Luftfahrt;B
2947;Kunde_2947;Niederlande;Elektronik;B
67;Kunde_67;Polen;Medizintechnik;B
2106;Kunde_2106;Tschechien;Luftfahrt;C
1572;Kunde_1572;Tschechien;Elektronik;B
70;Kunde_70;Österreich;Automotive;A
71;Kunde_71;Frankreich;Maschinenbau;B
1094;Kunde_1094;Schweiz;Luftfahrt;A
1053;Kunde_1053;Italien;Luftfahrt;B
2719;Kunde_2719;Italien;Maschinenbau;A
1536;Kunde_1536;Frankreich;Automotive;A
2751;Kunde_2751;Polen;Elektronik;A
1180;Kunde_1180;Italien;Automotive;B
1574;Kunde_1574;Österreich;Medizintechnik;B
1305;Kunde_1305;Frankreich;Elektronik;A
80;Kunde_80;Polen;Medizintechnik;A
2913;Kunde_2913;Österreich;Luftfahrt;B
2872;Kunde_2872;Österreich;Maschinenbau;C
2680;Kunde_2680;Schweiz;Elektronik;B
2992;Kunde_2992;Österreich;Maschinenbau;A
1670;Kunde_1670;Polen;Luftfahrt;B
86;Kunde_86;Italien;Automotive;B
2670;Kunde_2670;Italien;Medizintechnik;C
875;Kunde_875;Frankreich;Elektronik;A
89;Kunde_89;Polen;Medizintechnik;B
1451;Kunde_1451;Tschechien;Medizintechnik;C
2198;Kunde_2198;Tschechien;Maschinenbau;A
92;Kunde_92;Polen;Maschinenbau;B
2775;Kunde_2775;Tschechien;Medizintechnik;A
1794;Kunde_1794;Schweiz;Medizintechnik;A
2115;Kunde_2115;Niederlande;Elektronik;C
96;Kunde_96;Österreich;Medizintechnik;B
975;Kunde_975;Polen;Automotive;B
1127;Kunde_1127;Polen;Luftfahrt;B
952;Kunde_952;Polen;Automotive;C
1589;Kunde_1589;Schweiz;Elektronik;A
1353;Kunde_1353;Schweiz;Luftfahrt;C
1463;Kunde_1463;Niederlande;Luftfahrt;A
103;Kunde_103;Frankreich;Medizintechnik;A
1019;Kunde_1019;Tschechien;Automotive;A
105;Kunde_105;Frankreich;Maschinenbau;A
106;Kunde_106;Frankreich;Automotive;B
1874;Kunde_1874;Österreich;Maschinenbau;B
2701;Kunde_2701;Deutschland;Luftfahrt;B
2419;Kunde_2419;Niederlande;Elektronik;A
2519;Kunde_2519;Österreich;Medizintechnik;A
1988;Kunde_1988;Polen;Elektronik;B
112;Kunde_112;Schweiz;Elektronik;A
113;Kunde_113;Tschechien;Luftfahrt;A
2975;Kunde_2975;Niederlande;Medizintechnik;A
2395;Kunde_2395;Niederlande;Luftfahrt;B
1830;Kunde_1830;Deutschland;Elektronik;B
2031;Kunde_2031;Schweiz;Maschinenbau;A
118;Kunde_118;Österreich;Automotive;B
2331;Kunde_2331;Polen;Elektronik;B
120;Kunde_120;Niederlande;Elektronik;A
2972;Kunde_2972;Frankreich;Automotive;B
2547;Kunde_2547;Tschechien;Maschinenbau;A
123;Kunde_123;Frankreich;Medizintechnik;A
1623;Kunde_1623;Österreich;Automotive;A
2152;Kunde_2152;Schweiz;Medizintechnik;B
2906;Kunde_2906;Schweiz;Automotive;A
1283;Kunde_1283;Deutschland;Automotive;A
1208;Kunde_1208;Österreich;Luftfahrt;A
1218;Kunde_1218;Frankreich;Maschinenbau;C
130;Kunde_130;Polen;Medizintechnik;C
2951;Kunde_2951;Österreich;Luftfahrt;A
2887;Kunde_2887;Tschechien;Automotive;A
1999;Kunde_1999;Schweiz;Automotive;B
869;Kunde_869;Schweiz;Maschinenbau;B
135;Kunde_135;Schweiz;Automotive;A
136;Kunde_136;Niederlande;Medizintechnik;B
2003;Kunde_2003;Österreich;Medizintechnik;A
138;Kunde_138;Deutschland;Automotive;B
2092;Kunde_2092;Polen;Automotive;B
1216;Kunde_1216;Deutschland;Elektronik;A
2148;Kunde_2148;Niederlande;Luftfahrt;B
142;Kunde_142;Deutschland;Luftfahrt;C
1214;Kunde_1214;Österreich;Medizintechnik;A
931;Kunde_931;Schweiz;Luftfahrt;B
1040;Kunde_1040;Italien;Luftfahrt;B
2412;Kunde_2412;Italien;Medizintechnik;B
2774;Kunde_2774;Polen;Medizintechnik;B
1469;Kunde_1469;Polen;Automotive;B
2095;Kunde_2095;Schweiz;Automotive;A
2408;Kunde_2408;Schweiz;Elektronik;A
809;Kunde_809;Österreich;Automotive;A
152;Kunde_152;Italien;Maschinenbau;C
1654;Kunde_1654;Schweiz;Elektronik;A
1232;Kunde_1232;Tschechien;Medizintechnik;B
2468;Kunde_2468;Deutschland;Luftfahrt;A
156;Kunde_156;Frankreich;Elektronik;B
157;Kunde_157;Schweiz;Maschinenbau;A
2512;Kunde_2512;Deutschland;Maschinenbau;B
159;Kunde_159;Deutschland;Medizintechnik;A
1679;Kunde_1679;Österreich;Maschinenbau;A
2438;Kunde_2438;Italien;Medizintechnik;B
2162;Kunde_2162;Niederlande;Luftfahrt;A
2733;Kunde_2733;Tschechien;Elektronik;B
164;Kunde_164;Polen;Luftfahrt;A
1503;Kunde_1503;Österreich;Maschinenbau;B
1509;Kunde_1509;Tschechien;Medizintechnik;A
2764;Kunde_2764;Deutschland;Maschinenbau;A
805;Kunde_805;Österreich;Maschinenbau;B
1007;Kunde_1007;Polen;Automotive;A
1245;Kunde_1245;Schweiz;Elektronik;A
171;Kunde_171;Tschechien;Medizintechnik;A
1947;Kunde_1947;Deutschland;Luftfahrt;C
2934;Kunde_2934;Deutschland;Automotive;C
1341;Kunde_1341;Schweiz;Maschinenbau;C
927;Kunde_927;Niederlande;Medizintechnik;A
1505;Kunde_1505;Schweiz;Automotive;A
2860;Kunde_2860;Schweiz;Luftfahrt;C
178;Kunde_178;Italien;Medizintechnik;A
2644;Kunde_2644;Deutschland;Luftfahrt;A
2171;Kunde_2171;Italien;Luftfahrt;B
1811;Kunde_1811;Frankreich;Maschinenbau;A
1901;Kunde_1901;Polen;Elektronik;C
2143;Kunde_2143;Österreich;Luftfahrt;C
184;Kunde_184;Italien;Automotive;B
2963;Kunde_2963;Tschechien;Medizintechnik;C
186;Kunde_186;Niederlande;Medizintechnik;B
187;Kunde_187;Frankreich;Medizintechnik;C
188;Kunde_188;Schweiz;Maschinenbau;A
1780;Kunde_1780;Tschechien;Medizintechnik;B
2422;Kunde_2422;Italien;Elektronik;B
2958;Kunde_2958;Schweiz;Luftfahrt;B
1915;Kunde_1915;Tschechien;Maschinenbau;B
193;Kunde_193;Deutschland;Luftfahrt;A
1073;Kunde_1073;Frankreich;Elektronik;A
1355;Kunde_1355;Frankreich;Automotive;B
196;Kunde_196;Frankreich;Luftfahrt;B
197;Kunde_197;Frankreich;Maschinenbau;A
1746;Kunde_1746;Frankreich;Elektronik;A
2042;Kunde_2042;Schweiz;Medizintechnik;B
2616;Kunde_2616;Polen;Elektronik;B
2717;Kunde_2717;Frankreich;Elektronik;B
2372;Kunde_2372;Polen;Automotive;B
203;Kunde_203;Schweiz;Elektronik;B
204;Kunde_204;Deutschland;Medizintechnik;B
205;Kunde_205;Polen;Maschinenbau;B
206;Kunde_206;Niederlande;Medizintechnik;A
207;Kunde_207;Tschechien;Maschinenbau;A
2501;Kunde_2501;Österreich;Maschinenbau;A
846;Kunde_846;Niederlande;Elektronik;B
210;Kunde_210;Niederlande;Medizintechnik;C
211;Kunde_211;Schweiz;Luftfahrt;B
212;Kunde_212;Schweiz;Medizintechnik;A
2582;Kunde_2582;Schweiz;Elektronik;B
998;Kunde_998;Polen;Automotive;C
2117;Kunde_2117;Niederlande;Medizintechnik;A
216;Kunde_216;Niederlande;Maschinenbau;B
1196;Kunde_1196;Niederlande;Luftfahrt;B
1432;Kunde_1432;Niederlande;Elektronik;C
219;Kunde_219;Tschechien;Elektronik;B
1182;Kunde_1182;Tschechien;Luftfahrt;B
2082;Kunde_2082;Polen;Medizintechnik;B
1462;Kunde_1462;Niederlande;Luftfahrt;B
1972;Kunde_1972;Niederlande;Maschinenbau;B
2518;Kunde_2518;Österreich;Elektronik;B
2834;Kunde_2834;Deutschland;Medizintechnik;A
226;Kunde_226;Frankreich;Maschinenbau;B
2440;Kunde_2440;Italien;Maschinenbau;A
228;Kunde_228;Österreich;Maschinenbau;B
1265;Kunde_1265;Österreich;Elektronik;B
1616;Kunde_1616;Italien;Elektronik;B
1081;Kunde_1081;Italien;Maschinenbau;B
2098;Kunde_2098;Frankreich;Medizintechnik;A
2025;Kunde_2025;Niederlande;Medizintechnik;A
2737;Kunde_2737;Schweiz;Luftfahrt;C
2620;Kunde_2620;Schweiz;Maschinenbau;A
2617;Kunde_2617;Österreich;Medizintechnik;A
1310;Kunde_1310;Polen;Automotive;B
2489;Kunde_2489;Polen;Automotive;A
2178;Kunde_2178;Polen;Maschinenbau;A
2735;Kunde_2735;Tschechien;Automotive;B
1074;Kunde_1074;Italien;Automotive;C
242;Kunde_242;Schweiz;Medizintechnik;B
1268;Kunde_1268;Polen;Maschinenbau;B
841;Kunde_841;Schweiz;Automotive;A
1163;Kunde_1163;Frankreich;Elektronik;A
246;Kunde_246;Österreich;Automotive;B
247;Kunde_247;Deutschland;Luftfahrt;A
1333;Kunde_1333;Schweiz;Maschinenbau;A
2995;Kunde_2995;Österreich;Medizintechnik;A
250;Kunde_250;Italien;Luftfahrt;B
2509;Kunde_2509;Polen;Maschinenbau;B
1556;Kunde_1556;Niederlande;Maschinenbau;A
2024;Kunde_2024;Deutschland;Luftfahrt;A
2528;Kunde_2528;Deutschland;Luftfahrt;B
255;Kunde_255;Deutschland;Luftfahrt;A
1622;Kunde_1622;Frankreich;Automotive;B
1766;Kunde_1766;Tschechien;Automotive;B
1773;Kunde_1773;Deutschland;Elektronik;A
1837;Kunde_1837;Österreich;Elektronik;C
260;Kunde_260;Italien;Medizintechnik;A
1853;Kunde_1853;Österreich;Automotive;A
1649;Kunde_1649;Deutschland;Elektronik;B
1578;Kunde_1578;Frankreich;Automotive;B
2500;Kunde_2500;Polen;Medizintechnik;A
2679;Kunde_2679;Schweiz;Maschinenbau;B
2855;Kunde_2855;Frankreich;Maschinenbau;A
2137;Kunde_2137;Österreich;Automotive;A
268;Kunde_268;Tschechien;Elektronik;C
1189;Kunde_1189;Italien;Luftfahrt;B
1411;Kunde_1411;Polen;Medizintechnik;C
1396;Kunde_1396;Österreich;Automotive;B
2734;Kunde_2734;Polen;Automotive;B
2902;Kunde_2902;Frankreich;Automotive;A
1145;Kunde_1145;Polen;Medizintechnik;B
2215;Kunde_2215;Frankreich;Automotive;A
2882;Kunde_2882;Niederlande;Elektronik;C
882;Kunde_882;Österreich;Medizintechnik;B
2627;Kunde_2627;Frankreich;Automotive;A
1388;Kunde_1388;Polen;Automotive;B
2222;Kunde_2222;Italien;Luftfahrt;A
2954;Kunde_2954;Frankreich;Maschinenbau;A
1115;Kunde_1115;Schweiz;Automotive;B
816;Kunde_816;Niederlande;Maschinenbau;A
284;Kunde_284;Schweiz;Automotive;B
1077;Kunde_1077;Österreich;Elektronik;B
2125;Kunde_2125;Frankreich;Luftfahrt;A
1118;Kunde_1118;Niederlande;Elektronik;C
2823;Kunde_2823;Niederlande;Maschinenbau;B
1219;Kunde_1219;Niederlande;Elektronik;B
290;Kunde_290;Tschechien;Medizintechnik;A
1571;Kunde_1571;Frankreich;Automotive;B
292;Kunde_292;Italien;Luftfahrt;B
1806;Kunde_1806;Italien;Elektronik;B
2242;Kunde_2242;Italien;Maschinenbau;B
1183;Kunde_1183;Tschechien;Luftfahrt;A
296;Kunde_296;Polen;Medizintechnik;A
1637;Kunde_1637;Deutschland;Medizintechnik;B
1464;Kunde_1464;Italien;Medizintechnik;A
1735;Kunde_1735;Deutschland;Automotive;B
2386;Kunde_2386;Österreich;Medizintechnik;C
1066;Kunde_1066;Italien;Maschinenbau;B
1156;Kunde_1156;Deutschland;Luftfahrt;B
1800;Kunde_1800;Deutschland;Medizintechnik;C
974;Kunde_974;Italien;Automotive;A
2140;Kunde_2140;Frankreich;Luftfahrt;A
2427;Kunde_2427;Schweiz;Medizintechnik;B
1634;Kunde_1634;Schweiz;Elektronik;A
1302;Kunde_1302;Polen;Elektronik;C
1220;Kunde_1220;Italien;Medizintechnik;B
2060;Kunde_2060;Schweiz;Maschinenbau;C
801;Kunde_801;Deutschland;Medizintechnik;A
312;Kunde_312;Schweiz;Luftfahrt;B
1661;Kunde_1661;Italien;Automotive;B
1916;Kunde_1916;Frankreich;Medizintechnik;B
1948;Kunde_1948;Frankreich;Maschinenbau;B
2466;Kunde_2466;Italien;Luftfahrt;C
1914;Kunde_1914;Österreich;Elektronik;B
1699;Kunde_1699;Deutschland;Luftfahrt;B
2035;Kunde_2035;Niederlande;Maschinenbau;A
1215;Kunde_1215;Frankreich;Luftfahrt;C
321;Kunde_321;Tschechien;Luftfahrt;B
1995;Kunde_1995;Niederlande;Elektronik;B
2097;Kunde_2097;Frankreich;Medizintechnik;B
2915;Kunde_2915;Deutschland;Elektronik;B
1665;Kunde_1665;Italien;Medizintechnik;A
1846;Kunde_1846;Schweiz;Automotive;A
2638;Kunde_2638;Frankreich;Elektronik;B
1774;Kunde_1774;Polen;Elektronik;A
2756;Kunde_2756;Schweiz;Automotive;A
934;Kunde_934;Deutschland;Medizintechnik;C
331;Kunde_331;Deutschland;Medizintechnik;B
1224;Kunde_1224;Schweiz;Elektronik;B
2181;Kunde_2181;Polen;Elektronik;A
334;Kunde_334;Italien;Medizintechnik;B
2303;Kunde_2303;Italien;Medizintechnik;A
336;Kunde_336;Tschechien;Maschinenbau;B
337;Kunde_337;Niederlande;Medizintechnik;B
338;Kunde_338;Italien;Maschinenbau;B
2579;Kunde_2579;Polen;Medizintechnik;B
1889;Kunde_1889;Schweiz;Automotive;B
341;Kunde_341;Italien;Maschinenbau;A
1358;Kunde_1358;Italien;Luftfahrt;C
343;Kunde_343;Italien;Automotive;C
344;Kunde_344;Frankreich;Luftfahrt;A
2221;Kunde_2221;Tschechien;Automotive;A
346;Kunde_346;Schweiz;Luftfahrt;A
945;Kunde_945;Niederlande;Elektronik;A
2456;Kunde_2456;Niederlande;Luftfahrt;A
1440;Kunde_1440;Italien;Automotive;A
1675;Kunde_1675;Deutschland;Medizintechnik;A
1652;Kunde_1652;Österreich;Automotive;A
352;Kunde_352;Deutschland;Automotive;A
2239;Kunde_2239;Polen;Maschinenbau;A
2156;Kunde_2156;Polen;Luftfahrt;B
1209;Kunde_1209;Deutschland;Medizintechnik;B
2064;Kunde_2064;Tschechien;Luftfahrt;B
2905;Kunde_2905;Tschechien;Automotive;A
1732;Kunde_1732;Italien;Automotive;A
1602;Kunde_1602;Schweiz;Medizintechnik;A
1113;Kunde_1113;Tschechien;Medizintechnik;C
2935;Kunde_2935;Deutschland;Automotive;A
2642;Kunde_2642;Polen;Medizintechnik;A
2605;Kunde_2605;Schweiz;Automotive;B
1678;Kunde_1678;Italien;Luftfahrt;B
1139;Kunde_1139;Polen;Elektronik;B
2837;Kunde_2837;Österreich;Maschinenbau;C
2270;Kunde_2270;Polen;Elektronik;B
2090;Kunde_2090;Niederlande;Maschinenbau;B
369;Kunde_369;Italien;Elektronik;B
370;Kunde_370;Schweiz;Automotive;B
1691;Kunde_1691;Österreich;Maschinenbau;B
1166;Kunde_1166;Frankreich;Luftfahrt;B
1091;Kunde_1091;Polen;Luftfahrt;A
1006;Kunde_1006;Niederlande;Luftfahrt;B
918;Kunde_918;Polen;Elektronik;B
2591;Kunde_2591;Frankreich;Maschinenbau;A
2394;Kunde_2394;Schweiz;Automotive;B
378;Kunde_378;Deutschland;Luftfahrt;B
2336;Kunde_2336;Polen;Automotive;B
1339;Kunde_1339;Österreich;Automotive;B
381;Kunde_381;Tschechien;Elektronik;B
1817;Kunde_1817;Frankreich;Automotive;A
1022;Kunde_1022;Deutschland;Elektronik;B
384;Kunde_384;Niederlande;Elektronik;B
2928;Kunde_2928;Frankreich;Maschinenbau;C
386;Kunde_386;Tschechien;Automotive;B
1343;Kunde_1343;Schweiz;Medizintechnik;B
2199;Kunde_2199;Österreich;Elektronik;A
389;Kunde_389;Deutschland;Luftfahrt;A
2111;Kunde_2111;Polen;Maschinenbau;B
1643;Kunde_1643;Niederlande;Maschinenbau;A
2149;Kunde_2149;Österreich;Automotive;B
1478;Kunde_1478;Tschechien;Elektronik;B
2822;Kunde_2822;Italien;Automotive;C
861;Kunde_861;Polen;Medizintechnik;A
1389;Kunde_1389;Schweiz;Automotive;A
2479;Kunde_2479;Österreich;Maschinenbau;B
2867;Kunde_2867;Polen;Luftfahrt;A
1721;Kunde_1721;Österreich;Maschinenbau;A
855;Kunde_855;Schweiz;Automotive;C
2269;Kunde_2269;Niederlande;Luftfahrt;B
830;Kunde_830;Tschechien;Elektronik;B
1418;Kunde_1418;Schweiz;Medizintechnik;A
2342;Kunde_2342;Italien;Luftfahrt;B
405;Kunde_405;Tschechien;Automotive;C
1105;Kunde_1105;Österreich;Automotive;B
1644;Kunde_1644;Frankreich;Maschinenbau;A
2858;Kunde_2858;Niederlande;Automotive;B
2782;Kunde_2782;Frankreich;Automotive;B
1848;Kunde_1848;Tschechien;Elektronik;C
411;Kunde_411;Italien;Medizintechnik;A
412;Kunde_412;Tschechien;Medizintechnik;B
2387;Kunde_2387;Frankreich;Medizintechnik;A
1994;Kunde_1994;Deutschland;Elektronik;B
415;Kunde_415;Italien;Automotive;C
1768;Kunde_1768;Deutschland;Medizintechnik;C
1763;Kunde_1763;Italien;Automotive;B
418;Kunde_418;Frankreich;Maschinenbau;B
2116;Kunde_2116;Österreich;Luftfahrt;C
1287;Kunde_1287;Frankreich;Elektronik;C
1455;Kunde_1455;Deutschland;Elektronik;A
422;Kunde_422;Frankreich;Elektronik;A
423;Kunde_423;Österreich;Maschinenbau;B
424;Kunde_424;Italien;Luftfahrt;A
1036;Kunde_1036;Frankreich;Luftfahrt;B
1900;Kunde_1900;Frankreich;Elektronik;A
2511;Kunde_2511;Polen;Luftfahrt;C
2516;Kunde_2516;Polen;Medizintechnik;A
2437;Kunde_2437;Österreich;Automotive;B
970;Kunde_970;Italien;Medizintechnik;B
2195;Kunde_2195;Deutschland;Automotive;B
432;Kunde_432;Österreich;Automotive;A
2070;Kunde_2070;Italien;Maschinenbau;A
2568;Kunde_2568;Frankreich;Luftfahrt;B
906;Kunde_906;Frankreich;Automotive;A
2506;Kunde_2506;Schweiz;Medizintechnik;C
1793;Kunde_1793;Schweiz;Automotive;A
1831;Kunde_1831;Frankreich;Maschinenbau;A
2672;Kunde_2672;Polen;Automotive;A
440;Kunde_440;Italien;Medizintechnik;B
2795;Kunde_2795;Polen;Maschinenbau;B
1772;Kunde_1772;Italien;Automotive;B
2062;Kunde_2062;Österreich;Luftfahrt;C
444;Kunde_444;Tschechien;Automotive;B
445;Kunde_445;Polen;Luftfahrt;B
446;Kunde_446;Italien;Elektronik;B
2008;Kunde_2008;Schweiz;Elektronik;B
1991;Kunde_1991;Polen;Maschinenbau;A
449;Kunde_449;Schweiz;Medizintechnik;B
1607;Kunde_1607;Frankreich;Elektronik;B
1920;Kunde_1920;Deutschland;Medizintechnik;B
1570;Kunde_1570;Österreich;Automotive;A
1635;Kunde_1635;Niederlande;Maschinenbau;B
2754;Kunde_2754;Österreich;Medizintechnik;B
2815;Kunde_2815;Polen;Maschinenbau;A
1415;Kunde_1415;Frankreich;Luftfahrt;A
2634;Kunde_2634;Polen;Medizintechnik;A
2073;Kunde_2073;Tschechien;Maschinenbau;B
1633;Kunde_1633;Tschechien;Medizintechnik;B
943;Kunde_943;Tschechien;Automotive;A
804;Kunde_804;Deutschland;Medizintechnik;B
2572;Kunde_2572;Deutschland;Automotive;B
2851;Kunde_2851;Tschechien;Medizintechnik;B
1923;Kunde_1923;Polen;Luftfahrt;B
465;Kunde_465;Polen;Luftfahrt;A
2136;Kunde_2136;Niederlande;Luftfahrt;B
1050;Kunde_1050;Deutschland;Automotive;A
2869;Kunde_2869;Polen;Luftfahrt;A
1470;Kunde_1470;Deutschland;Medizintechnik;B
2575;Kunde_2575;Niederlande;Luftfahrt;B
1481;Kunde_1481;Italien;Medizintechnik;C
2403;Kunde_2403;Schweiz;Elektronik;B
1833;Kunde_1833;Polen;Automotive;B
474;Kunde_474;Polen;Luftfahrt;A
2982;Kunde_2982;Tschechien;Maschinenbau;A
1439;Kunde_1439;Tschechien;Medizintechnik;B
937;Kunde_937;Österreich;Medizintechnik;A
2004;Kunde_2004;Tschechien;Maschinenbau;B
1238;Kunde_1238;Tschechien;Elektronik;B
1285;Kunde_1285;Schweiz;Automotive;B
1012;Kunde_1012;Niederlande;Luftfahrt;B
482;Kunde_482;Österreich;Maschinenbau;A
1986;Kunde_1986;Österreich;Medizintechnik;B
2230;Kunde_2230;Polen;Luftfahrt;B
2328;Kunde_2328;Schweiz;Automotive;A
1064;Kunde_1064;Niederlande;Luftfahrt;B
834;Kunde_834;Polen;Automotive;B
488;Kunde_488;Polen;Automotive;C
1434;Kunde_1434;Polen;Luftfahrt;B
803;Kunde_803;Deutschland;Automotive;B
999;Kunde_999;Tschechien;Automotive;A
2142;Kunde_2142;Frankreich;Elektronik;B
2671;Kunde_2671;Italien;Luftfahrt;A
2486;Kunde_2486;Italien;Automotive;B
876;Kunde_876;Italien;Maschinenbau;B
1842;Kunde_1842;Österreich;Automotive;C
2209;Kunde_2209;Frankreich;Elektronik;B
1135;Kunde_1135;Italien;Maschinenbau;B
1715;Kunde_1715;Österreich;Medizintechnik;C
500;Kunde_500;Polen;Automotive;C
1065;Kunde_1065;Österreich;Automotive;C
2721;Kunde_2721;Österreich;Medizintechnik;B
1504;Kunde_1504;Italien;Elektronik;B
1613;Kunde_1613;Tschechien;Maschinenbau;B
1870;Kunde_1870;Frankreich;Elektronik;B
2703;Kunde_2703;Tschechien;Elektronik;A
2899;Kunde_2899;Frankreich;Maschinenbau;B
852;Kunde_852;Frankreich;Elektronik;B
2007;Kunde_2007;Tschechien;Automotive;B
1706;Kunde_1706;Tschechien;Elektronik;B
511;Kunde_511;Deutschland;Maschinenbau;A
1005;Kunde_1005;Deutschland;Luftfahrt;B
513;Kunde_513;Schweiz;Automotive;A
514;Kunde_514;Österreich;Medizintechnik;A
1610;Kunde_1610;Italien;Maschinenbau;B
2207;Kunde_2207;Italien;Maschinenbau;B
2187;Kunde_2187;Niederlande;Medizintechnik;B
2960;Kunde_2960;Niederlande;Luftfahrt;A
519;Kunde_519;Tschechien;Maschinenbau;A
2601;Kunde_2601;Österreich;Medizintechnik;C
1406;Kunde_1406;Tschechien;Elektronik;C
898;Kunde_898;Polen;Medizintechnik;B
1250;Kunde_1250;Polen;Automotive;A
2621;Kunde_2621;Schweiz;Medizintechnik;B
1252;Kunde_1252;Österreich;Medizintechnik;B
2897;Kunde_2897;Frankreich;Automotive;B
527;Kunde_527;Italien;Luftfahrt;C
528;Kunde_528;Frankreich;Luftfahrt;A
529;Kunde_529;Frankreich;Luftfahrt;A
1764;Kunde_1764;Schweiz;Elektronik;C
1207;Kunde_1207;Niederlande;Medizintechnik;B
532;Kunde_532;Tschechien;Medizintechnik;C
1591;Kunde_1591;Polen;Automotive;C
534;Kunde_534;Deutschland;Luftfahrt;C
535;Kunde_535;Italien;Medizintechnik;B
1872;Kunde_1872;Niederlande;Medizintechnik;B
2580;Kunde_2580;Frankreich;Maschinenbau;C
1756;Kunde_1756;Tschechien;Medizintechnik;B
2275;Kunde_2275;Tschechien;Elektronik;A
540;Kunde_540;Frankreich;Luftfahrt;A
1495;Kunde_1495;Österreich;Medizintechnik;C
1937;Kunde_1937;Italien;Luftfahrt;A
1579;Kunde_1579;Österreich;Maschinenbau;C
544;Kunde_544;Frankreich;Maschinenbau;B
2310;Kunde_2310;Italien;Elektronik;A
1403;Kunde_1403;Deutschland;Automotive;C
547;Kunde_547;Niederlande;Medizintechnik;B
548;Kunde_548;Polen;Medizintechnik;C
549;Kunde_549;Frankreich;Elektronik;A
2158;Kunde_2158;Italien;Maschinenbau;A
2920;Kunde_2920;Österreich;Medizintechnik;A
1497;Kunde_1497;Tschechien;Maschinenbau;A
1526;Kunde_1526;Italien;Maschinenbau;B
2335;Kunde_2335;Niederlande;Medizintechnik;A
555;Kunde_555;Deutschland;Luftfahrt;B
1405;Kunde_1405;Frankreich;Elektronik;B
2819;Kunde_2819;Schweiz;Medizintechnik;A
2122;Kunde_2122;Polen;Automotive;B
1243;Kunde_1243;Schweiz;Medizintechnik;A
560;Kunde_560;Österreich;Automotive;A
2625;Kunde_2625;Polen;Luftfahrt;C
562;Kunde_562;Italien;Maschinenbau;C
563;Kunde_563;Schweiz;Medizintechnik;C
1336;Kunde_1336;Österreich;Elektronik;B
