Downtime_ID;Produktionsauftrag_ID;Maschinen_ID;Downtime_h;Ursache;Ausfallkosten
44695;103163;191;15,42;Geplante Wartung;18327,1
14409;628315;178;3,35;Geplante Wartung;3556,37
2062;369421;17;2,56;Materialmangel;5728,33
2045;280882;149;13,98;Geplante Wartung;24700,88
36754;313434;5;19,61;Geplante Wartung;45301,03
31598;45663;119;0,49;Mechanischer Defekt;679,83
16691;396464;144;5,54;Werkzeugwechsel;7902,07
27459;431292;177;4,69;Elektrischer Defekt;8578,79
15216;614798;43;10,39;Materialmangel;17642,58
48175;408483;139;5,07;Mechanischer Defekt;5008,54
33922;66190;213;5,04;Mechanischer Defekt;7651,17
32108;732131;20;5,47;Softwarefehler;4768,02
33610;273825;10;4,47;Elektrischer Defekt;6736,35
10440;279499;300;17,68;Elektrischer Defekt;23984,87
17763;185692;86;3,4;Elektrischer Defekt;6148,64
47514;733377;286;17,52;Werkzeugwechsel;33209,05
45133;649369;196;4,09;Materialmangel;7973,92
47151;41144;251;1,75;Geplante Wartung;1593,32
35712;700001;142;5,22;Mechanischer Defekt;5731,84
44366;729288;72;12,68;Geplante Wartung;13925,56
15976;184936;161;3,74;Geplante Wartung;4107,73
15253;650539;41;17,65;Mechanischer Defekt;33984,2
47704;320104;198;0,7;Mechanischer Defekt;980,23
42291;769918;223;10,73;Mechanischer Defekt;16968,63
36653;143793;92;1,97;Werkzeugwechsel;2888,4
33684;187301;246;1,04;Geplante Wartung;864,3
43520;508508;52;1,25;Elektrischer Defekt;625,41
29188;261605;184;1,13;Werkzeugwechsel;2170,7
38920;552895;3;5,96;Mechanischer Defekt;10084,82
27287;40396;258;2,84;Mechanischer Defekt;4972,84
32883;356127;68;0,62;Werkzeugwechsel;635,1
4829;262769;130;5,68;Elektrischer Defekt;13399,54
48180;608057;29;1,74;Mechanischer Defekt;1837,75
40246;541045;177;5,24;Elektrischer Defekt;4177,43
26710;467086;163;2,52;Werkzeugwechsel;2703,57
24065;133342;239;3,3;Mechanischer Defekt;5594,89
6679;97498;138;5,79;Materialmangel;5091,28
39507;407018;24;5,61;Werkzeugwechsel;7897,73
30971;632511;25;4,27;Geplante Wartung;4485,15
23303;719239;145;3,26;Elektrischer Defekt;6310,24
17039;353229;183;0,37;Softwarefehler;400,88
48790;348220;47;4,87;Materialmangel;4515,16
18410;591959;288;4,55;Materialmangel;3532,44
41842;285147;24;4,89;Elektrischer Defekt;11386,26
38758;268287;31;1,76;Werkzeugwechsel;3625,42
23846;682771;84;14,02;Mechanischer Defekt;11669,09
35509;665098;287;2,4;Mechanischer Defekt;2431,99
41227;293388;107;4,15;Materialmangel;2443,82
21397;343153;94;1,65;Materialmangel;2967,3
7870;386308;16;9,88;Mechanischer Defekt;13308,7
4992;501376;298;19,25;Materialmangel;46372,52
6138;136556;251;3,06;Softwarefehler;5330,34
12353;783874;149;5,36;Mechanischer Defekt;3745,42
19863;560929;168;11,3;Mechanischer Defekt;10355,92
44489;440511;206;12,96;Softwarefehler;13510,88
7123;415086;127;1,81;Materialmangel;1879,49
45278;210627;186;5,49;Mechanischer Defekt;8295,36
23242;531698;37;4,96;Elektrischer Defekt;11046,04
17785;171338;259;5,74;Mechanischer Defekt;12113,57
47793;64373;96;3,58;Mechanischer Defekt;7345,14
146;420567;178;5,79;Mechanischer Defekt;7054,78
48772;434261;199;0,41;Elektrischer Defekt;662,49
22316;133332;139;1,75;Mechanischer Defekt;4229,52
27524;269255;230;3,25;Materialmangel;2905,3
7055;688000;215;4,53;Elektrischer Defekt;9879,74
11999;35373;162;1,49;Softwarefehler;1901,02
36618;376339;30;5,4;Geplante Wartung;12022,87
37168;359657;280;1,57;Elektrischer Defekt;1547,86
2895;670477;57;5,01;Mechanischer Defekt;11609,03
44677;299835;292;5,29;Mechanischer Defekt;7596,31
18161;747062;28;2,79;Werkzeugwechsel;4718,75
14490;31942;234;3,16;Elektrischer Defekt;3038,94
31604;356066;237;1,26;Geplante Wartung;2822,32
28709;783528;166;0,77;Geplante Wartung;1277,96
13084;362808;11;6,55;Werkzeugwechsel;10141,26
14433;577066;2;1,84;Mechanischer Defekt;3022,32
8392;221427;277;1,7;Mechanischer Defekt;1419,71
1700;38118;285;1,92;Materialmangel;4625,98
47436;373630;39;5,62;Mechanischer Defekt;11913,28
41356;126111;14;10,15;Softwarefehler;6780,31
36317;629342;33;13,56;Elektrischer Defekt;13550,31
16524;611685;146;6,91;Materialmangel;10986,46
36721;612543;54;0,4;Werkzeugwechsel;360,89
22383;67332;45;4,06;Mechanischer Defekt;6759,5
26936;101642;281;1,56;Werkzeugwechsel;3665,39
31443;630918;98;5,72;Werkzeugwechsel;4569,04
15552;57958;275;1,15;Elektrischer Defekt;2695,78
26747;200413;136;4,1;Elektrischer Defekt;3724,0
8586;457437;213;1,88;Elektrischer Defekt;4363,22
10886;669657;119;0,5;Werkzeugwechsel;530,57
44474;790239;221;5,24;Mechanischer Defekt;3457,55
29316;13626;89;0,69;Mechanischer Defekt;497,51
12943;733512;30;13,1;Mechanischer Defekt;17294,36
30419;665903;110;8,91;Geplante Wartung;13316,68
46405;644553;199;0,89;Mechanischer Defekt;1980,69
30646;734998;39;2,07;Mechanischer Defekt;3193,51
17937;603633;164;1,03;Werkzeugwechsel;1722,74
38517;181084;299;1,6;Elektrischer Defekt;1237,47
25646;233675;282;3,53;Softwarefehler;7434,3
15612;88391;172;8,62;Werkzeugwechsel;10307,65
17914;421600;209;15,05;Softwarefehler;22761,4
16952;798842;31;4,1;Mechanischer Defekt;5608,82
19200;248231;220;1,1;Mechanischer Defekt;1977,79
7966;690409;174;10,88;Mechanischer Defekt;23118,27
40711;1617;285;3,55;Elektrischer Defekt;6474,51
40397;700794;63;1,79;Mechanischer Defekt;912,57
39103;196785;138;5,65;Materialmangel;11637,29
23084;791592;134;3,5;Elektrischer Defekt;6835,11
49909;59327;106;14,83;Mechanischer Defekt;23338,04
13351;244686;73;13,56;Softwarefehler;17153,72
15401;258211;169;5,91;Materialmangel;7864,95
35692;415882;169;15,65;Elektrischer Defekt;20242,92
14875;548469;254;5,59;Geplante Wartung;8729,64
3412;302406;196;3,48;Mechanischer Defekt;2216,1
13457;654910;5;9,21;Mechanischer Defekt;13757,42
8949;77421;103;2,71;Mechanischer Defekt;4350,56
44079;459426;181;2,23;Werkzeugwechsel;2235,5
49268;65558;7;13,22;Elektrischer Defekt;21565,14
25692;204300;160;1,92;Elektrischer Defekt;3561,75
26157;133848;104;4,73;Geplante Wartung;7573,41
20881;557157;284;11,21;Elektrischer Defekt;24123,0
19415;794074;99;15,31;Materialmangel;18733,55
7860;617524;204;0,3;Mechanischer Defekt;369,39
2588;453707;120;1,17;Werkzeugwechsel;2804,73
8450;569710;278;3,91;Geplante Wartung;2175,85
5248;56599;90;5,73;Geplante Wartung;3820,12
39081;81248;291;9,46;Mechanischer Defekt;6814,32
865;520519;5;18,83;Elektrischer Defekt;16928,5
1858;518625;198;0,52;Elektrischer Defekt;397,27
18274;711353;283;2,37;Geplante Wartung;3193,25
216;401827;2;1,77;Mechanischer Defekt;1565,05
18818;510361;66;2,73;Mechanischer Defekt;1449,56
18409;96437;110;11,7;Elektrischer Defekt;25378,08
10043;391351;72;5,78;Mechanischer Defekt;8307,17
2687;524553;80;6,24;Mechanischer Defekt;7831,61
24405;244375;273;1,43;Geplante Wartung;1368,81
43509;667614;212;5,87;Geplante Wartung;5824,62
37306;59505;220;0,97;Mechanischer Defekt;2145,18
48535;308918;181;2,61;Softwarefehler;4205,62
18086;182275;24;2,76;Elektrischer Defekt;3215,4
15140;707993;264;3,08;Geplante Wartung;5336,37
42107;615550;144;2,8;Materialmangel;6068,69
27144;260448;42;5,72;Elektrischer Defekt;5230,95
2934;415420;179;0,36;Materialmangel;637,8
33915;592576;193;1,34;Mechanischer Defekt;974,21
17699;263234;38;11,8;Materialmangel;6179,26
26649;192309;104;5,21;Mechanischer Defekt;3532,73
15731;560048;55;1,88;Geplante Wartung;3353,18
32919;278933;99;9,57;Elektrischer Defekt;13398,56
12970;70289;261;3,16;Mechanischer Defekt;2405,83
43431;466508;288;3,51;Werkzeugwechsel;5161,03
6159;621200;80;17,75;Mechanischer Defekt;9575,31
9832;135584;262;0,37;Geplante Wartung;199,94
22382;180063;33;10,81;Elektrischer Defekt;18952,42
44389;783485;59;11,55;Werkzeugwechsel;7375,52
11330;665514;252;1,21;Mechanischer Defekt;1242,73
38740;297165;55;2,69;Materialmangel;3951,57
22253;54835;287;3,49;Materialmangel;4316,88
38245;460331;158;0,6;Werkzeugwechsel;1390,53
35546;769837;244;4,9;Elektrischer Defekt;4195,27
3805;740823;53;0,16;Mechanischer Defekt;346,96
24328;322176;134;1,08;Mechanischer Defekt;2274,09
14574;623041;45;5,83;Geplante Wartung;8587,64
35553;61991;16;19,92;Materialmangel;38714,39
4426;203280;3;5,76;Elektrischer Defekt;9758,13
4109;42430;74;1,32;Geplante Wartung;1521,77
24991;93887;119;0,37;Materialmangel;456,68
29988;76243;49;3,61;Mechanischer Defekt;3622,64
37555;243869;222;4,68;Mechanischer Defekt;11617,94
42883;501604;13;1,8;Elektrischer Defekt;4495,25
20831;318833;270;4,23;Geplante Wartung;8208,56
14362;649185;176;13,1;Geplante Wartung;17265,36
44838;557965;53;0,5;Elektrischer Defekt;1005,94
25441;782042;259;2,56;Elektrischer Defekt;1906,65
7465;681383;254;2,83;Elektrischer Defekt;6563,9
261;95187;57;15,59;Materialmangel;22161,64
10745;774996;253;0,63;Elektrischer Defekt;733,34
49541;275305;225;3,64;Mechanischer Defekt;9066,48
1533;652669;290;4,95;Werkzeugwechsel;6762,86
26967;137279;55;3,86;Softwarefehler;2131,8
12068;690698;154;1,38;Softwarefehler;2513,03
917;200632;72;19,81;Mechanischer Defekt;47827,2
34382;347876;135;0,26;Mechanischer Defekt;458,02
4630;696930;141;0,82;Materialmangel;1509,85
44943;345793;21;2,95;Materialmangel;4432,69
16481;529252;36;1,54;Elektrischer Defekt;3232,89
7078;15399;123;5,56;Materialmangel;13283,63
35065;126206;62;2,0;Mechanischer Defekt;4725,48
31761;59603;14;11,38;Softwarefehler;9953,74
22006;62928;63;0,67;Elektrischer Defekt;952,94
6593;394143;264;1,99;Elektrischer Defekt;2994,8
11408;214151;256;3,98;Materialmangel;3940,04
9858;685037;145;3,95;Materialmangel;7647,67
3194;47288;230;1,37;Elektrischer Defekt;1026,49
4083;388209;162;2,03;Materialmangel;3975,63
34310;411370;118;16,43;Elektrischer Defekt;39023,55
282;312601;63;0,05;Elektrischer Defekt;44,2
48937;280103;186;5,92;Mechanischer Defekt;5453,85
46190;193041;190;8,75;Elektrischer Defekt;7075,32
32852;763072;143;3,52;Mechanischer Defekt;7897,98
44045;451950;154;2,02;Mechanischer Defekt;3737,11
24335;638545;194;2,75;Materialmangel;6084,93
33166;233328;202;8,11;Mechanischer Defekt;12574,44
9954;443960;51;1,91;Mechanischer Defekt;1900,34
290;543579;63;1,86;Materialmangel;1621,06
26065;477806;258;5,05;Geplante Wartung;9731,8
41728;24231;116;1,86;Mechanischer Defekt;4613,94
8927;290841;291;18,45;Materialmangel;20617,11
48693;505851;87;1,96;Softwarefehler;2595,37
8602;59707;152;18,08;Werkzeugwechsel;38825,06
3760;794758;273;1,21;Geplante Wartung;1872,94
22519;481084;81;1,86;Mechanischer Defekt;4050,75
25536;594873;24;4,88;Werkzeugwechsel;6672,33
48249;146619;27;15,0;Softwarefehler;17598,95
35118;323708;184;1,67;Mechanischer Defekt;1172,31
18563;602672;280;0,07;Mechanischer Defekt;123,55
18724;200528;171;2,04;Geplante Wartung;3151,05
38168;487017;50;11,29;Materialmangel;15554,25
46835;287288;87;5,92;Elektrischer Defekt;4735,68
44991;522804;64;5,97;Elektrischer Defekt;12487,38
9255;208459;38;16,18;Geplante Wartung;21434,25
7586;413112;146;7,83;Werkzeugwechsel;9065,74
1890;425980;227;1,14;Softwarefehler;2170,02
3198;499620;90;5,39;Geplante Wartung;5241,3
21737;630685;32;8,53;Elektrischer Defekt;18534,2
43285;373422;222;4,69;Materialmangel;9271,03
312;332249;38;12,5;Mechanischer Defekt;11999,15
19157;159421;240;8,67;Mechanischer Defekt;4735,66
10902;420997;70;0,58;Materialmangel;813,97
34817;659002;176;7,38;Geplante Wartung;12616,43
42989;399970;259;1,02;Elektrischer Defekt;2116,94
36115;652686;26;1,21;Mechanischer Defekt;2266,3
40929;607511;20;1,59;Softwarefehler;3078,1
5866;606235;62;1,77;Elektrischer Defekt;3860,64
33279;432846;134;5,42;Softwarefehler;7004,79
46560;203594;195;1,22;Geplante Wartung;2178,0
48529;5781;169;14,15;Mechanischer Defekt;15164,15
17944;571731;80;18,34;Materialmangel;35057,75
29886;209658;298;13,3;Mechanischer Defekt;14135,41
18288;334324;184;1,08;Softwarefehler;2617,5
33451;671177;39;3,83;Geplante Wartung;2197,61
23361;460070;127;0,99;Werkzeugwechsel;1201,6
49720;702200;246;0,85;Geplante Wartung;1980,13
14074;654514;137;4,8;Softwarefehler;7323,85
26734;310685;213;2,87;Geplante Wartung;3881,77
41485;453115;68;1,76;Mechanischer Defekt;1064,06
27843;436889;173;3,46;Elektrischer Defekt;2466,67
31267;398604;220;0,39;Materialmangel;311,84
49355;622919;20;2,71;Materialmangel;5191,54
43111;287179;133;8,88;Softwarefehler;7542,62
1419;433322;132;5,44;Elektrischer Defekt;5056,44
9604;623163;174;12,93;Mechanischer Defekt;12771,86
12526;674855;164;5,42;Materialmangel;8338,29
10744;626177;55;2,44;Materialmangel;2796,89
40295;378147;231;0,3;Mechanischer Defekt;741,42
48448;355507;126;1,19;Elektrischer Defekt;1571,82
19316;108185;257;0,1;Softwarefehler;230,11
343;128898;291;6,46;Mechanischer Defekt;5510,51
9762;468691;153;11,78;Mechanischer Defekt;22528,25
40485;429869;204;0,85;Softwarefehler;663,88
37414;88582;86;1,8;Softwarefehler;1358,84
11720;40255;10;5,08;Elektrischer Defekt;8278,42
16657;739382;36;0,08;Materialmangel;62,53
34283;365348;91;7,48;Geplante Wartung;12733,71
32529;471813;25;2,26;Mechanischer Defekt;2801,55
37129;294188;276;5,65;Softwarefehler;7949,36
16486;183328;213;5,02;Materialmangel;3506,62
38482;521741;10;5,81;Mechanischer Defekt;8559,21
43376;121011;210;8,86;Mechanischer Defekt;14082,07
44376;374136;209;9,0;Elektrischer Defekt;19847,87
38753;132385;264;2,88;Geplante Wartung;4653,97
33694;642893;189;4,17;Materialmangel;7502,55
19219;563131;245;16,07;Materialmangel;18929,16
30906;326264;105;1,56;Geplante Wartung;3501,45
45914;675232;208;5,99;Mechanischer Defekt;5246,74
13628;669547;270;3,95;Mechanischer Defekt;8660,6
24122;155732;254;5,75;Materialmangel;8859,65
1066;416622;191;10,58;Werkzeugwechsel;10046,38
30231;96827;98;2,6;Werkzeugwechsel;4531,17
3557;191020;57;9,61;Mechanischer Defekt;9571,51
35019;201784;295;8,21;Materialmangel;18487,09
4310;232962;285;3,7;Geplante Wartung;7415,83
27664;139123;107;3,58;Mechanischer Defekt;2311,0
35204;569883;83;5,04;Materialmangel;3954,6
30953;313714;188;1,68;Materialmangel;3802,19
40835;152313;164;5,44;Mechanischer Defekt;9592,97
42678;733285;56;0,29;Elektrischer Defekt;595,54
20778;161324;124;16,88;Elektrischer Defekt;16182,88
14021;696160;221;2,8;Geplante Wartung;3935,63
43562;587751;227;0,65;Mechanischer Defekt;1244,21
33031;546952;102;3,6;Mechanischer Defekt;7508,21
44552;246666;73;12,0;Geplante Wartung;10054,17
34679;490407;181;5,74;Elektrischer Defekt;7768,42
4100;657110;203;19,69;Mechanischer Defekt;41675,72
7519;356652;60;2,2;Geplante Wartung;3373,6
19702;667816;24;1,12;Elektrischer Defekt;1043,43
47808;761112;87;4,86;Materialmangel;8208,21
12133;263378;180;15,46;Mechanischer Defekt;14149,46
9689;433901;136;4,38;Elektrischer Defekt;4432,64
45610;435880;219;4,73;Geplante Wartung;10948,53
49181;797065;115;3,54;Mechanischer Defekt;7053,25
8388;6986;129;12,21;Elektrischer Defekt;28338,15
43043;371494;277;1,2;Mechanischer Defekt;876,66
18991;38457;85;1,13;Elektrischer Defekt;879,6
5900;767137;45;2,6;Materialmangel;4766,44
34849;90239;208;3,28;Mechanischer Defekt;6546,85
27330;700121;14;7,19;Softwarefehler;13307,57
9105;351056;41;16,92;Mechanischer Defekt;40596,59
10612;168709;69;6,76;Geplante Wartung;10256,86
6948;99099;237;1,18;Mechanischer Defekt;2540,5
33783;18113;94;4,96;Elektrischer Defekt;12308,34
41035;342073;189;2,59;Materialmangel;1497,7
46421;409100;95;1,83;Mechanischer Defekt;4476,01
20370;598557;262;0,84;Elektrischer Defekt;607,35
30779;32151;275;3,73;Geplante Wartung;7571,43
16354;163580;127;0,04;Softwarefehler;65,7
43283;463129;260;8,2;Geplante Wartung;18437,4
29092;528874;6;9,7;Softwarefehler;8117,25
27764;40461;203;5,73;Mechanischer Defekt;10037,1
14380;564904;153;16,96;Mechanischer Defekt;29470,12
5602;726045;186;2,82;Elektrischer Defekt;6251,14
38429;746854;88;3,49;Geplante Wartung;2212,93
17964;385213;138;4,5;Elektrischer Defekt;2429,56
44472;444887;174;11,2;Materialmangel;17110,31
19384;339575;146;16,05;Materialmangel;27619,08
38394;379185;87;4,95;Elektrischer Defekt;7212,0
20090;399019;134;1,71;Elektrischer Defekt;1399,68
26454;106369;166;0,36;Mechanischer Defekt;302,13
8489;509429;157;4,64;Mechanischer Defekt;6633,86
23664;591036;63;1,13;Softwarefehler;1662,32
21047;61167;231;0,75;Elektrischer Defekt;1562,33
43886;402772;46;1,63;Softwarefehler;3006,29
30128;132876;133;10,26;Elektrischer Defekt;19574,01
995;629463;280;0,54;Elektrischer Defekt;1181,8
47122;261643;291;14,93;Geplante Wartung;12048,21
41606;619953;296;1,91;Geplante Wartung;3036,76
10594;161352;40;4,2;Mechanischer Defekt;3542,03
9438;163749;137;2,58;Mechanischer Defekt;4985,2
21708;324606;250;0,56;Elektrischer Defekt;1020,4
11777;455060;273;1,18;Mechanischer Defekt;1771,41
12422;513680;113;0,42;Elektrischer Defekt;916,01
11281;220720;21;3,53;Mechanischer Defekt;3083,2
11947;287366;63;1,38;Elektrischer Defekt;2929,95
28871;2813;118;8,67;Geplante Wartung;20664,7
28092;389336;224;1,88;Mechanischer Defekt;1857,34
32825;201244;66;1,41;Geplante Wartung;2071,21
48853;364344;23;2,93;Materialmangel;2808,9
14480;105388;268;2,87;Mechanischer Defekt;5733,79
17030;721116;130;5,69;Elektrischer Defekt;8748,23
1585;254170;99;17,45;Softwarefehler;41403,08
46078;500503;117;1,2;Materialmangel;2267,59
21549;617171;40;3,36;Materialmangel;3319,35
43414;330222;45;4,58;Geplante Wartung;7494,14
21555;438317;159;12,33;Elektrischer Defekt;30707,35
23366;289009;118;19,62;Materialmangel;26143,19
1020;151765;299;2,61;Mechanischer Defekt;4106,08
2168;483784;28;3,4;Mechanischer Defekt;5634,7
25645;132429;92;3,43;Materialmangel;1868,55
19396;597742;264;1,3;Materialmangel;2417,04
37492;597940;8;1,62;Werkzeugwechsel;1826,36
42053;6670;188;2,51;Geplante Wartung;3969,31
25900;17919;65;2,25;Mechanischer Defekt;4236,93
15866;769549;59;15,54;Mechanischer Defekt;22325,87
955;714504;100;16,31;Elektrischer Defekt;24871,03
42058;291840;194;4,57;Mechanischer Defekt;9588,91
31968;434641;30;11,5;Geplante Wartung;24730,62
452;148331;251;5,03;Materialmangel;8914,34
18691;127156;103;4,61;Materialmangel;10548,8
24005;595681;201;2,1;Softwarefehler;5024,21
35771;668798;195;5,13;Werkzeugwechsel;5137,26
26792;725871;296;4,4;Werkzeugwechsel;2942,75
27522;785047;27;12,78;Geplante Wartung;7135,3
25251;140827;277;0,01;Geplante Wartung;5,45
11054;172775;204;1,79;Geplante Wartung;3188,0
46951;159439;206;8,41;Mechanischer Defekt;13614,38
27983;98688;88;4,57;Geplante Wartung;7219,51
46569;650471;259;4,21;Mechanischer Defekt;8851,47
39934;195636;4;1,95;Mechanischer Defekt;4789,13
19318;489138;82;5,46;Softwarefehler;9387,94
33907;262264;36;0,8;Elektrischer Defekt;1423,25
7307;538021;191;14,82;Geplante Wartung;28095,04
22773;623853;174;8,04;Softwarefehler;4445,6
15367;777715;55;2,15;Geplante Wartung;1560,4
9663;100396;41;11,53;Mechanischer Defekt;28166,77
12602;358654;294;4,17;Elektrischer Defekt;4602,36
19370;702193;54;1,1;Elektrischer Defekt;2091,61
25501;343652;298;10,23;Werkzeugwechsel;10547,85
27713;562703;224;5,02;Mechanischer Defekt;7411,15
20503;565956;80;15,88;Mechanischer Defekt;25010,01
20702;777296;118;9,72;Elektrischer Defekt;13883,32
6306;751576;122;0,62;Elektrischer Defekt;846,0
8737;573084;5;8,17;Elektrischer Defekt;12610,82
11300;117876;200;1,23;Mechanischer Defekt;2995,65
26556;470669;32;17,05;Elektrischer Defekt;17951,46
1910;163309;67;11,59;Mechanischer Defekt;17329,12
9875;400230;262;0,46;Materialmangel;637,8
22777;728033;69;6,27;Elektrischer Defekt;8182,91
16329;753393;201;5,97;Werkzeugwechsel;12470,54
18487;335928;142;3,67;Mechanischer Defekt;5578,6
15700;356953;9;5,56;Elektrischer Defekt;3035,64
2965;155670;38;9,63;Geplante Wartung;6551,1
45568;94553;282;2,99;Mechanischer Defekt;2503,09
9846;632285;17;4,45;Elektrischer Defekt;5514,29
23343;520847;85;1,57;Softwarefehler;1214,82
9936;620021;100;9,5;Mechanischer Defekt;10644,58
38548;404751;294;2,02;Werkzeugwechsel;4989,63
29283;43003;26;1,89;Geplante Wartung;3067,95
32603;780040;129;12,7;Mechanischer Defekt;22897,71
36310;255458;191;9,22;Mechanischer Defekt;19480,7
5481;550659;158;0,2;Geplante Wartung;160,39
5367;76557;285;4,27;Materialmangel;4029,02
23837;120340;146;10,59;Elektrischer Defekt;12629,95
49468;466364;8;0,74;Geplante Wartung;1699,64
28503;105975;28;3,35;Mechanischer Defekt;3572,22
8859;41598;285;2,28;Materialmangel;1781,47
16837;430192;83;4,83;Materialmangel;11486,81
41376;408242;191;14,62;Materialmangel;7416,48
40750;339235;186;2,81;Elektrischer Defekt;2939,69
44081;488888;155;1,56;Geplante Wartung;1028,73
22440;290739;145;2,91;Geplante Wartung;6469,37
15263;732285;296;4,93;Materialmangel;6448,36
43801;355973;85;4,97;Elektrischer Defekt;6935,76
5436;790354;273;1,14;Werkzeugwechsel;2161,31
49561;429394;102;4,87;Mechanischer Defekt;3380,65
10289;208955;103;5,58;Materialmangel;9109,91
48844;392015;90;5,48;Elektrischer Defekt;4763,44
47689;235384;71;1,68;Mechanischer Defekt;2983,39
17101;59477;55;1,73;Geplante Wartung;3590,84
39518;67732;35;1,38;Geplante Wartung;1736,71
27699;690287;295;9,66;Mechanischer Defekt;6320,28
34350;689799;156;5,22;Mechanischer Defekt;4799,16
18849;659054;255;5,41;Softwarefehler;9953,11
34289;579001;240;5,97;Mechanischer Defekt;11449,68
26485;762006;37;2,25;Materialmangel;5535,44
38962;507080;50;8,75;Materialmangel;21180,85
