Lieferung_ID;Kunden_ID;Produktionsauftrag_ID;Lieferzeit_Tage;Gelieferte_Menge
39097;836;584569;1;710
79693;321;555631;9;2824
119017;1044;79172;6;5767
193803;1658;237269;20;8272
94869;2368;331259;15;230
4776;962;516046;21;1773
203189;503;30110;28;5479
120617;1370;25728;20;3356
117087;863;758310;19;4171
167787;810;403056;12;1786
90000;2892;770574;28;2483
214773;753;214638;2;7147
73424;2303;176539;13;441
57382;2264;685520;6;7656
168338;1772;63901;13;6749
228876;494;314674;7;7707
84796;2228;580032;6;8529
174243;2066;308068;1;6439
232068;750;61251;2;5034
175862;928;279429;5;6222
77676;785;633152;10;9364
122793;2596;184995;23;5086
93840;1504;372829;23;9895
47011;2549;100008;4;204
70182;543;797703;19;2292
3933;2832;14921;23;3258
34886;1823;31129;12;1613
79978;1213;49645;27;342
11012;2516;342976;10;1511
37910;1200;420907;7;8611
217377;1690;222410;6;2315
118308;1296;69667;12;3726
71238;1150;261340;16;3980
36696;2511;363275;14;2619
242807;1073;512393;8;6660
157161;1262;504081;22;9909
22215;392;530308;24;9376
197298;1187;53410;27;7791
111655;335;488569;3;7806
199630;1664;325119;25;2191
200956;392;541123;14;844
126431;1403;273103;13;3417
132874;1702;493782;15;2579
165631;1389;59710;6;5424
23509;349;141024;26;2159
237403;1323;569384;1;7444
194972;871;14410;29;7092
10052;2469;612743;18;3299
169286;706;452293;7;9859
169522;1268;278164;22;1720
36649;2541;640496;24;4380
152494;957;597189;22;7965
76540;289;368928;7;915
174635;846;221751;25;6132
47540;2712;708254;17;732
52457;355;406227;24;1866
140921;537;327256;11;6902
51871;1548;55103;13;3318
127182;1650;99212;20;5327
78254;971;35470;4;1761
139717;838;59030;22;1605
101120;2832;414312;19;9481
187021;2882;783044;25;2118
114965;1759;391466;7;4125
50707;1312;331426;22;6417
228983;2754;30147;2;2905
212782;593;424328;29;9517
181603;1180;504157;14;8082
121385;21;661080;22;7848
57161;86;166719;1;6656
126797;2909;534555;23;8515
99355;2980;702569;11;7465
24752;96;776747;18;5961
60967;2789;302920;18;4299
153062;2765;565973;14;4294
171639;2820;56270;16;5889
79714;1050;737619;8;4816
202603;2964;82440;4;6597
192456;2275;709196;20;4077
220751;1588;469297;24;9866
235420;332;573739;14;9850
71951;1498;355291;17;3420
194647;1021;107503;19;7953
86072;1593;63210;8;1203
26529;958;109537;19;494
28605;641;325382;2;2636
82763;581;110475;3;485
47101;2608;669378;19;368
60422;1771;564924;29;1626
15895;2183;652905;27;6581
210266;2957;196953;7;812
50896;2156;425796;25;9680
97956;2840;134571;22;595
1553;1999;671080;2;3019
150300;1387;637536;23;5367
96371;598;328401;24;3828
135485;968;299804;3;999
108504;2992;26289;15;9648
164343;2363;341432;11;9710
90692;2737;449185;18;8178
245070;101;376394;4;5415
197881;2427;443036;2;1323
54858;242;589080;17;5095
190974;2434;172134;5;1126
176673;868;184766;25;9728
243960;2962;613651;26;1912
59348;1127;138146;5;7108
179577;2462;666138;25;9434
123854;1435;77309;10;7020
17291;1547;526628;2;9193
88089;558;438569;29;7570
120221;2166;404350;27;4603
99424;2189;271959;28;5833
24209;2152;157820;18;5817
206033;2577;93252;1;1150
177600;1491;19022;7;2646
234957;388;586552;19;536
213201;1174;515587;18;345
21905;2102;699682;29;4288
211691;304;139110;4;7740
142961;2702;441944;10;1121
247946;1592;456914;8;9161
248378;894;142545;18;4207
233665;232;144372;4;2328
231617;2756;659668;5;8421
100329;1596;375748;20;5848
206611;2443;442325;12;1971
125547;1676;580406;13;9692
177045;1753;248411;22;8931
2642;1828;123538;19;36
95332;338;325043;1;6327
100488;908;339886;11;7727
222431;1815;154592;13;5140
237629;40;168380;22;5276
147613;977;42449;13;3815
153027;191;162561;23;2716
141065;325;88436;5;9245
248380;2679;721907;16;7376
101588;2587;553299;29;6969
171342;552;600248;25;7333
34153;2556;475219;18;4484
8051;2759;137681;28;8456
164823;1041;793652;5;2091
46429;927;102279;28;2115
71731;184;486985;8;8172
64723;2160;111962;25;1729
180404;1866;518746;26;5561
48457;2402;328429;14;488
31770;2696;286085;17;2653
3617;1141;79163;18;8629
207357;506;645505;20;9966
1640;1138;437647;9;8236
88675;394;621561;24;5584
215480;1410;736623;21;6042
77239;16;429254;4;9474
216329;644;621963;10;2965
239485;1354;702734;24;6697
89625;1649;798248;13;7889
118833;2552;552545;9;583
58749;2268;446878;9;9864
16272;2939;215972;18;9849
228783;1831;159050;23;8115
245911;884;501552;9;9165
220364;1822;177007;24;8831
148425;362;311744;29;6743
153710;2817;47411;2;3444
241605;1497;317334;18;251
60808;1725;640476;15;9284
77111;2423;661462;21;6112
83173;598;103317;23;5205
176701;2414;689965;8;9398
188651;2242;317626;28;2177
157548;2799;382990;23;4064
233755;2427;271857;12;5209
105895;1347;342076;6;5418
195574;757;751246;3;5793
247598;42;532339;29;9483
145094;2430;260840;29;3461
164101;1914;763815;14;3645
90970;2411;620599;8;7406
121354;2912;172937;22;3069
167088;2436;173723;15;16
121994;1717;519342;19;1032
26865;2932;537957;5;1663
103697;1763;472274;7;9409
42564;1253;229854;26;7304
177607;530;183263;3;8771
160601;1943;539530;13;5963
92201;25;633633;1;6848
136955;1002;458314;24;9929
82121;2870;689521;17;267
245473;2502;509283;20;5190
7855;2689;49144;18;9304
189193;960;234877;26;2725
203766;195;344461;16;6506
65959;2368;48130;2;516
71648;590;566406;22;1457
139698;2545;21070;4;5211
217874;933;274794;3;977
239843;2953;558761;16;5115
152919;986;33220;27;422
178159;1912;388127;23;4875
104108;2621;194415;20;7799
51233;1969;299573;3;2810
87168;269;470626;29;8679
215067;1641;26792;15;7616
17482;35;37759;3;5928
7955;2380;216758;21;8240
138670;1268;434489;11;3044
106535;999;541877;27;7085
137774;1670;619174;13;2410
175177;600;498014;28;5918
242152;2311;141344;11;7965
7213;2916;80487;16;7812
88673;2203;251815;27;8364
137330;796;468344;14;7419
23223;375;265127;8;7647
108747;622;500755;28;1839
212809;1291;542329;3;4755
239488;2553;692741;28;9923
4093;495;747630;27;6519
103011;2760;178494;16;5320
158272;723;73612;5;4826
104038;1827;118960;25;6593
71309;1294;706904;9;8097
68217;1457;236274;22;3635
165757;973;304757;6;6806
84124;18;462059;7;666
248880;2955;427759;22;6275
37535;2249;2875;16;3941
9746;88;184167;18;8315
73561;165;77790;21;8839
150972;984;74456;9;7026
128088;2271;447784;9;3199
66591;1514;232652;6;651
161176;2372;128784;4;2063
171026;2968;153681;27;9957
108232;190;168538;3;8626
248157;799;337914;12;9170
94207;21;283244;9;195
143258;2190;349199;27;3565
232385;1264;336090;20;8911
175699;1220;128541;9;9296
241083;2227;114240;26;9209
122790;1985;64713;22;5629
164378;1417;146806;18;7657
61783;102;483312;20;3497
58405;2262;69312;15;7599
163338;2090;165747;10;7011
76333;1569;654770;28;4257
31713;2621;70418;12;7026
238451;2620;235599;10;6008
92801;1144;174264;26;3906
120518;363;127915;26;5251
33888;2504;566481;28;2605
137907;1793;192024;7;2480
7360;2355;166515;25;1115
83264;831;115654;12;5151
176955;539;661505;19;4841
36996;1395;47425;21;8348
220710;1577;619790;22;4119
171306;1446;586376;27;7199
43909;898;725134;3;8296
49344;9;109124;7;1412
149540;248;51811;18;7874
120814;1320;276277;13;8981
40306;2375;135431;5;2164
220039;2788;152610;14;2801
131407;946;472516;18;5033
18565;1790;156670;17;6518
163949;2860;624343;10;9804
243726;874;357581;29;1701
61913;1724;765530;21;8200
208251;361;592470;29;9458
215360;2159;428090;7;5119
213701;1227;450694;19;8364
115105;2339;626519;10;6869
156038;234;535510;29;894
19219;2881;790595;5;943
164274;1764;720376;22;4653
248974;2154;435218;14;8805
151189;767;320117;11;4581
143112;508;727453;22;1224
116501;816;82517;10;6450
44231;475;191182;6;2827
200994;2412;503457;29;8559
249782;681;477959;15;1776
178508;422;630370;2;9469
146448;64;49365;28;4939
430;774;105030;23;6709
30913;187;137705;5;8288
231972;2070;167232;4;2983
195219;1706;725897;28;9788
246147;1643;363215;16;3533
220875;979;742385;27;1309
46003;2814;599515;28;159
144723;2407;754062;23;6334
90199;20;79701;20;9922
115021;696;354137;14;5572
179012;2939;617559;4;5934
46341;2306;138267;16;4156
118396;1712;318358;9;7892
98622;129;672495;19;5569
133665;1425;745576;23;4492
12114;714;355758;8;4497
154106;2377;797639;24;3637
225742;359;278525;17;8687
247162;202;722984;2;4796
19419;1285;92980;3;1380
126006;2284;721275;25;6133
138681;1198;655185;18;2644
233206;180;198900;3;5047
223978;2363;234492;14;1502
93295;1794;245612;6;6617
79273;2818;419998;27;9547
199096;2108;93013;1;3403
49232;1666;632143;8;2121
54512;884;251528;28;2493
32974;2982;500492;29;5303
65687;1701;599975;17;6646
182628;1938;788373;2;8286
223133;2321;108959;14;6113
93743;2171;327746;4;1569
31278;1603;488494;20;3212
120506;1990;220858;15;3499
12149;2238;201526;21;3458
75183;844;618008;7;458
189753;2923;372312;3;971
154289;352;721993;1;9859
136521;1895;132398;21;5703
72035;2171;369278;13;8442
127200;1184;330281;4;4758
238202;1372;453127;1;8347
64391;2073;614983;3;1610
102712;551;276512;21;4074
109597;582;394191;21;5687
201890;1648;395240;11;4831
113682;2923;274694;22;1540
104280;1459;726844;3;6198
190902;2852;68029;21;6772
245193;2454;443000;23;258
209951;449;172915;5;4771
112709;679;628685;8;2300
211334;682;122817;3;5606
89383;1472;516213;21;9764
107047;999;616078;18;803
119173;2183;491082;7;5927
488;2960;615183;10;5241
74324;2194;734173;26;1338
164482;99;605136;27;9171
129344;1992;41279;13;4005
169594;116;159139;24;9467
38836;1614;707480;7;8973
133727;1024;541122;6;2468
5689;2781;491464;12;6092
72752;405;635448;18;6044
78308;2273;185482;25;258
208582;939;416586;13;4951
195522;1969;749545;10;9957
217197;2844;195614;6;3407
183864;2858;421341;7;8716
243882;2591;191993;18;9162
240910;166;556896;24;8202
145327;2892;353843;29;9769
47451;82;42726;3;7542
42959;741;81400;6;642
167762;1939;203335;9;5943
47492;2586;704843;29;2187
509;516;274433;5;1075
100512;2021;350569;28;6585
230898;581;279086;22;5793
234406;2095;104120;16;974
248057;2511;582552;12;5697
165570;130;477781;26;2454
182914;1820;68656;10;1934
47591;1570;36170;9;1216
233060;1286;782095;21;1731
211038;242;487611;6;3266
74961;1852;12647;28;2382
204991;1573;794530;21;8086
84526;2621;457835;13;1605
77048;1225;1263;2;6359
210614;542;606305;26;8622
126630;2636;618304;9;5104
47122;1267;13022;15;686
226140;2846;263920;14;6635
143202;2070;627188;4;2398
42818;365;283156;24;6100
84316;2130;295921;1;6690
199739;64;787590;20;8816
26081;337;215066;5;5005
31294;2250;27745;25;3331
73880;775;574376;28;9628
102774;315;701318;4;2259
198574;2543;254331;25;1806
134409;2587;682809;2;6771
6860;2550;499033;1;1617
142084;1469;35035;14;4322
218232;1636;713309;5;6106
140403;313;550225;3;3912
229252;1599;746231;17;6846
53919;2008;497622;19;9414
11187;89;563300;17;9376
103971;578;547639;3;9206
56539;164;525021;29;5545
139861;1701;657476;29;7193
206832;614;509945;18;2461
64643;1367;634359;5;7311
42960;1600;99482;7;6340
11144;1041;8554;25;2663
228793;1195;620661;9;1822
36596;1759;145993;21;471
138673;1037;313653;26;9871
35125;388;797010;13;4421
176569;2060;464986;29;8877
15289;1934;389575;23;6603
183693;654;560336;15;851
245501;1980;558191;25;7591
102268;2935;48025;15;9612
129120;2360;29020;8;2292
67714;2954;797521;27;3556
87833;2326;618292;1;534
101471;859;645326;10;2860
130483;538;447826;9;4442
196273;2658;790145;3;1448
33334;561;109021;21;3512
156519;961;639624;8;2618
247215;1283;660526;3;7016
157748;200;532160;15;5152
184871;365;338339;27;9740
81391;408;144324;14;1583
103740;312;556844;10;6415
19372;2089;729569;21;5551
119601;1310;220032;25;2604
112867;269;674265;1;6856
116927;847;728041;4;1826
102125;585;438483;15;6766
49039;1897;206331;26;6324
90911;2683;742569;9;8206
121413;80;474552;6;7721
230838;2446;583387;28;8193
33580;1491;105514;1;3821
167228;495;308460;3;5340
248786;1601;397398;29;7379
55681;1260;31587;24;6758
234170;334;53158;18;3082
249023;1683;649370;18;4366
228072;2023;558562;9;1994
131352;2738;317208;16;3967
145578;340;184208;12;955
26487;2591;38182;21;1958
146148;1981;325350;18;1495
243636;2101;302242;1;576
35981;2909;101020;21;1526
22009;1091;721475;8;8519
83740;2322;106563;18;3531
101099;1174;128917;24;2716
225263;908;134778;15;1714
5848;1460;595504;6;4855
203975;1559;171688;4;3782
72898;2109;530762;16;6750
222742;826;423931;6;8212
70274;961;567153;22;7834
146982;2592;492309;18;6793
13782;1112;709349;7;2621
167849;557;563861;2;5241
245629;1558;170599;9;7657
164574;1762;714902;12;6418
5876;932;326317;13;3113
104282;1650;99283;1;5588
233608;1854;466285;7;4248
173576;1936;225496;16;1270
214073;2808;463205;8;9943
51086;2471;614839;8;2850
185138;1182;192489;3;9377
165515;411;138323;14;6419
106870;1028;203821;26;4034
202814;860;640960;3;5109
241301;2054;597114;16;7712
180752;387;345832;21;761
195972;512;247044;26;6058
111869;324;667591;1;4941
27508;2494;460688;28;4351
161499;2265;297476;26;5294
58635;1939;663564;2;2320
183005;208;478549;6;8757
216730;1163;662413;23;7905
85863;503;224940;7;1323
164660;201;529391;3;5149
66725;257;154266;14;8534
241234;2096;587734;28;9054
182108;2896;144759;16;8184
201989;261;25276;15;1054
12408;311;612573;7;2795
234421;2040;720976;1;2879
204477;827;324413;25;3321
231002;2198;70545;8;7730
62444;959;127502;27;8521
4971;508;131289;4;3680
4323;369;258823;8;2930
219137;167;160070;1;6024
230386;2065;243116;25;5081
218887;1242;678416;17;5956
234604;2340;625128;7;7037
153781;1712;274699;27;7340
173243;62;700143;5;2050
6935;2061;595971;29;8166
152099;1804;588966;21;3654
85311;519;703471;2;5881
125291;1240;666999;1;603
241858;2720;586540;24;6565
139943;720;654136;5;4176
47459;300;579414;1;7174
137067;1172;128515;29;3151
167048;1626;18406;9;6909
29382;169;144610;26;4876
152387;984;616268;8;2743
42144;97;798030;11;882
57260;2127;182795;25;925
228819;2915;778169;2;2187
96522;2464;219459;11;6383
200844;2919;510412;4;7407
149698;692;186868;1;765
247936;1723;698423;3;9913
95846;205;673802;13;9231
39946;1978;476809;1;6614
37596;2739;475631;27;4933
134123;2873;67629;10;1224
212060;2419;229992;16;7711
179264;1099;473039;23;4429
192878;2450;152119;8;9456
104076;2728;281972;17;1889
142827;331;15647;25;6596
112676;693;572230;7;5504
24364;420;711544;10;3219
213619;2798;795717;23;3612
81181;1379;60075;18;8704
160113;971;98907;26;7007
226298;1869;725395;22;7496
46642;2736;154852;27;8817
228924;586;381339;24;1891
176294;2521;313304;23;5588
132218;331;252724;17;4589
229262;1457;527123;21;4564
124817;214;498917;14;8906
219824;808;650699;5;3204
120175;2412;441935;10;9146
76504;1161;555449;20;6205
194737;697;577177;7;2752
203516;1773;172167;20;5792
88532;2482;285845;25;274
172871;1838;606744;15;7060
199261;1216;309978;4;7360
112752;67;424085;23;8187
8385;1212;660862;3;7428
149197;1223;34650;28;3287
179776;1077;645572;10;8954
84629;817;151288;26;6238
177455;1730;300250;23;562
134728;2854;262003;4;3459
237476;2097;328751;26;3682
45972;769;708094;16;6064
100021;2622;292532;14;2750
128810;494;346199;16;3346
221218;2181;144786;21;2548
64857;2690;774340;10;1824
248550;2319;325029;23;1323
178535;2004;478070;26;1315
59471;1805;787568;25;6856
192185;1356;620197;15;5853
60066;261;306822;7;4183
71724;2580;770680;26;3771
22024;539;708788;22;7674
212546;262;256775;6;3804
94038;1288;245157;9;7566
97811;1250;246197;17;5396
22763;2623;235474;4;8733
22371;174;318149;8;1551
98046;2075;755005;20;1096
222889;2044;343984;27;5112
100510;2454;285357;29;1580
76272;1998;76210;4;8189
137445;209;329443;21;7775
179255;638;81263;21;6659
115634;1528;471944;26;935
57833;1909;727206;19;287
96039;1955;17942;20;148
6506;2458;240726;24;7877
240315;250;469894;15;5202
55456;2037;674327;12;1996
118512;2142;563361;16;3415
241277;1596;405394;15;7690
46730;2734;451239;7;9879
126057;320;597818;23;2587
148398;1971;231332;14;7995
226524;279;605238;25;6200
236773;2679;390887;25;2324
67009;2565;11073;18;8654
198734;1516;334960;11;8712
55245;667;740308;14;6035
106941;1012;712408;15;8562
37642;1590;292611;3;6092
86615;1533;33743;4;2230
162593;1677;550763;15;1091
194286;1084;273219;16;5258
163981;2379;122627;9;8405
11059;166;699941;28;4790
71789;2253;539316;7;7126
50895;2804;6997;14;9353
172757;2566;467890;20;1439
114185;1014;552320;20;8990
127785;1425;546005;2;4753
219569;2145;220038;28;7402
114841;2996;237845;6;5516
73805;1885;339493;5;1199
58759;2159;16908;28;6408
237748;2769;107723;2;6406
44229;1852;247549;10;7649
92397;1224;673665;25;7314
118577;2074;693462;21;1135
101866;608;665948;20;8269
139815;516;18523;9;4633
127988;1150;387527;19;6115
100799;1972;19069;15;5617
146568;1946;296816;21;778
132682;1423;93070;16;6457
241537;449;67432;14;5687
209753;1542;106737;1;9736
24243;2390;58999;25;1069
240990;2781;640350;7;9822
79149;2111;95761;4;5027
19904;2551;303545;19;932
76654;920;189998;19;6595
67157;467;231280;7;7703
199168;1679;606008;15;3047
53423;2382;290746;5;2094
20663;1745;331887;7;7619
103459;309;217809;11;4259
34895;984;368188;22;3726
46677;2754;41085;27;5953
170790;1179;235577;22;9134
247483;110;91119;15;6873
202233;2827;496308;15;1497
131073;727;635861;12;153
76568;570;221902;13;2320
171404;2177;153806;3;9717
150136;512;765777;18;990
164493;847;281954;22;709
155542;2825;716327;27;5858
234067;1402;749453;14;1684
218292;2464;337498;16;1599
84712;603;755252;20;5651
221670;865;203101;19;8813
173939;674;517612;24;2568
140794;1995;674662;3;5049
17575;1970;387254;9;9956
64162;1010;126307;15;9122
67513;602;276389;17;2491
198597;776;548118;26;3519
195356;2730;589091;10;2897
