Reklamation_ID;Produktionsauftrag_ID;Produkt_ID;Kunden_ID;Fehlerart;Ausschussquote;Reklamationskosten
1766;695073;301;1967;Funktionsfehler;0,0453;32410,3
184;604542;318;1604;Funktionsfehler;0,0272;24397,85
88225;132454;232;55;Materialfehler;0,0407;3059,69
807;621570;437;481;Materialfehler;0,0471;15278,51
82085;788826;329;1334;Montagefehler;0,0556;44698,72
77931;437527;164;492;Montagefehler;0,0601;5879,09
23830;137177;162;1945;Funktionsfehler;0,0373;15027,18
54678;693310;95;1110;Materialfehler;0,0435;25770,43
59402;83067;43;355;Transportschaden;0,0768;28744,25
28568;538468;58;987;Funktionsfehler;0,0476;13930,72
40211;612718;242;2084;Transportschaden;0,0587;17919,5
90817;43766;211;2501;Montagefehler;0,0387;21531,83
29644;736354;98;2436;Funktionsfehler;0,0754;70206,4
45507;625370;320;2554;Transportschaden;0,0296;7292,3
15499;192668;338;1060;Materialfehler;0,0329;5950,42
3480;128061;190;2604;Montagefehler;0,0456;13943,35
61457;337411;447;2789;Optischer Fehler;0,0448;17130,31
90629;658781;257;130;Transportschaden;0,0415;36218,77
21045;701048;43;752;Materialfehler;0,0597;4656,34
37117;336991;257;314;Montagefehler;0,0322;41133,55
12908;496951;98;1835;Transportschaden;0,0485;9553,63
80388;512734;86;211;Montagefehler;0,0272;9553,14
65983;2974;239;1344;Optischer Fehler;0,0453;28697,14
67901;420379;181;2275;Materialfehler;0,0588;7204,14
20096;388117;290;1714;Transportschaden;0,0254;7030,21
84296;727606;267;2137;Funktionsfehler;0,056;38556,61
94610;627833;341;2145;Transportschaden;0,0392;28720,05
99994;665273;362;1067;Funktionsfehler;0,0351;14601,96
72154;528450;238;2509;Funktionsfehler;0,0321;5922,81
20555;584868;390;2134;Transportschaden;0,0691;38147,25
41767;164669;241;1024;Optischer Fehler;0,1094;36966,22
14700;158027;31;447;Funktionsfehler;0,0526;25722,49
44128;510858;352;910;Optischer Fehler;0,0569;53142,47
75964;554259;253;31;Transportschaden;0,0675;23867,31
16726;207285;383;1873;Transportschaden;0,0331;5412,63
47285;561056;93;757;Materialfehler;0,1025;35864,21
36792;550529;285;1328;Montagefehler;0,0382;2431,96
19011;7030;406;2181;Montagefehler;0,0196;11701,25
99228;766856;78;1320;Montagefehler;0,0281;5006,36
92048;688137;270;39;Montagefehler;0,0646;59035,4
70550;186647;394;904;Optischer Fehler;0,0643;34072,52
51234;782975;475;986;Funktionsfehler;0,0556;47493,81
59074;279391;262;3;Optischer Fehler;0,0283;6277,83
96791;714286;292;1714;Montagefehler;0,0545;17104,12
82939;75003;477;104;Funktionsfehler;0,0388;16390,48
70832;261137;166;1123;Funktionsfehler;0,0517;32288,68
26882;547418;41;2576;Materialfehler;0,0901;19761,84
31023;211408;257;84;Montagefehler;0,0394;35217,13
45649;195460;112;2586;Materialfehler;0,0466;2501,01
53456;401557;331;289;Funktionsfehler;0,0486;33985,03
12414;375800;334;658;Funktionsfehler;0,0414;33371,33
50912;665679;12;2234;Montagefehler;0,0551;31204,54
2368;651702;6;2020;Funktionsfehler;0,0316;21210,78
6254;242679;371;1468;Materialfehler;0,0527;5609,99
6985;193526;404;1468;Transportschaden;0,0491;17616,01
61380;200073;114;2612;Funktionsfehler;0,0706;13093,9
68320;726632;265;408;Optischer Fehler;0,0359;54157,94
61501;572202;444;2289;Funktionsfehler;0,0263;4053,92
56267;351092;245;2496;Optischer Fehler;0,0662;74696,56
64580;494712;60;1850;Transportschaden;0,0278;9972,67
60214;629684;146;1185;Materialfehler;0,0621;8782,54
35043;247641;3;2072;Montagefehler;0,0552;10040,79
28094;673345;376;533;Funktionsfehler;0,0847;14593,67
29964;246342;88;2935;Transportschaden;0,0395;7298,51
68075;476574;342;1182;Transportschaden;0,0432;15056,75
36640;103386;87;1211;Montagefehler;0,056;26184,85
14872;617187;403;425;Transportschaden;0,044;6958,14
66064;745727;497;1308;Montagefehler;0,0673;17251,52
9437;680065;284;2074;Materialfehler;0,0258;28580,97
38789;695251;328;1590;Funktionsfehler;0,0431;25470,54
50592;340180;22;2066;Materialfehler;0,0489;43746,94
16056;346369;213;419;Materialfehler;0,0543;4166,25
71035;299819;117;933;Funktionsfehler;0,0736;1353,94
53571;141375;230;1848;Optischer Fehler;0,0446;18669,6
69209;175277;326;446;Materialfehler;0,0503;7176,73
91891;174362;327;2463;Funktionsfehler;0,0363;2642,38
60793;661638;365;1066;Transportschaden;0,0326;17342,38
80858;296155;45;910;Optischer Fehler;0,0419;18675,43
15098;614734;3;2833;Optischer Fehler;0,0561;21686,64
33336;775063;256;725;Transportschaden;0,0531;8033,83
57849;363025;184;2301;Montagefehler;0,0785;14720,08
83126;308332;96;423;Funktionsfehler;0,0277;2431,66
81715;228609;480;381;Montagefehler;0,0369;40325,72
22245;58263;163;14;Transportschaden;0,0755;76913,41
84862;694008;20;1535;Transportschaden;0,038;27684,66
82987;237057;119;759;Funktionsfehler;0,0505;11756,19
93092;692711;346;1935;Transportschaden;0,0347;27569,47
94649;250595;479;1418;Materialfehler;0,0641;29709,34
95427;327327;72;2212;Optischer Fehler;0,0457;2175,59
43935;229984;93;322;Montagefehler;0,0492;46569,95
71869;718920;235;2415;Optischer Fehler;0,0429;17260,39
81824;520845;288;562;Materialfehler;0,0446;18160,78
16128;225559;90;1767;Funktionsfehler;0,0438;27997,86
11052;729502;194;386;Funktionsfehler;0,0469;12172,7
72682;383446;49;2545;Optischer Fehler;0,0357;8349,14
17537;562608;406;121;Optischer Fehler;0,0267;7901,55
81376;679994;100;656;Montagefehler;0,0471;15974,4
83734;402858;396;1535;Optischer Fehler;0,0359;50815,68
97653;217477;387;2081;Montagefehler;0,0481;56287,45
69047;746714;130;1071;Transportschaden;0,0445;37196,48
47020;281833;10;1482;Funktionsfehler;0,0304;32864,36
75891;745734;407;949;Optischer Fehler;0,0333;9387,08
69981;305485;260;2265;Montagefehler;0,032;1719,85
14086;130679;300;2078;Montagefehler;0,0363;22713,63
40913;622768;428;2229;Funktionsfehler;0,0608;23524,09
52330;226991;467;366;Materialfehler;0,0378;3544,98
79431;69229;146;577;Funktionsfehler;0,081;59905,96
11485;704684;396;2554;Funktionsfehler;0,0355;11127,25
18707;100335;34;48;Funktionsfehler;0,0485;7495,91
95819;580338;276;1774;Transportschaden;0,0452;22219,54
8380;778041;32;154;Optischer Fehler;0,0693;29493,49
61631;767945;111;347;Materialfehler;0,0333;10738,11
31250;284875;76;2865;Optischer Fehler;0,044;10914,8
68620;457643;279;1035;Montagefehler;0,0399;21145,9
3298;290920;339;904;Montagefehler;0,0259;4089,45
52924;367808;91;2952;Funktionsfehler;0,0756;64506,43
92006;286969;122;1655;Funktionsfehler;0,0713;48849,89
70002;210612;268;673;Funktionsfehler;0,0354;25541,12
67239;676077;420;1001;Montagefehler;0,0623;52945,28
30244;344601;224;511;Transportschaden;0,0289;28227,82
58317;325160;43;60;Optischer Fehler;0,0416;42049,61
68370;240680;151;428;Materialfehler;0,0417;6003,72
52311;613723;16;1210;Materialfehler;0,0336;7504,86
306;514965;132;1048;Funktionsfehler;0,0846;18504,46
53753;208320;117;162;Transportschaden;0,088;44858,39
48132;131309;456;957;Optischer Fehler;0,0475;34666,78
54767;578793;331;2033;Montagefehler;0,0382;11874,21
68170;75816;236;2257;Montagefehler;0,0471;6278,84
19474;527901;370;2027;Montagefehler;0,0602;31836,0
16655;403014;372;423;Materialfehler;0,0518;47979,52
11921;107590;54;2786;Optischer Fehler;0,0582;42034,91
19227;440890;363;2094;Materialfehler;0,0515;21008,13
68051;776567;388;1811;Optischer Fehler;0,0643;19352,15
2377;146955;199;1567;Funktionsfehler;0,0357;22612,25
56539;176957;49;1699;Optischer Fehler;0,0933;55565,17
70701;540388;411;1132;Materialfehler;0,0332;55523,71
33448;536141;125;487;Funktionsfehler;0,0291;14577,8
8663;596646;450;2207;Funktionsfehler;0,0422;10615,35
29033;236377;294;2286;Montagefehler;0,0531;41764,47
95593;644004;482;2699;Montagefehler;0,1003;84371,33
41617;605546;112;1149;Materialfehler;0,0557;43864,44
12822;247013;350;99;Materialfehler;0,0718;64327,12
50121;202085;174;1319;Montagefehler;0,0562;47385,52
326;475353;372;483;Montagefehler;0,071;11360,81
88158;206154;355;1358;Montagefehler;0,0485;13220,57
28540;106185;387;1679;Transportschaden;0,0526;25931,32
46063;455865;432;599;Transportschaden;0,0616;1932,1
96033;249190;395;2811;Funktionsfehler;0,0507;28952,32
93842;438848;442;810;Transportschaden;0,0408;13491,02
64360;15176;285;2431;Materialfehler;0,0295;6632,78
51763;649484;165;1368;Materialfehler;0,0291;43179,56
32969;535657;377;2654;Materialfehler;0,0473;9664,6
85851;767065;490;97;Montagefehler;0,0459;15118,14
71711;162862;401;945;Funktionsfehler;0,0768;2143,67
57182;167527;500;1198;Montagefehler;0,0799;22149,79
46934;97132;391;1165;Funktionsfehler;0,0396;14804,1
49716;483577;371;98;Montagefehler;0,0457;6897,22
8002;523210;111;1028;Optischer Fehler;0,0904;32038,61
93415;309788;168;113;Transportschaden;0,0769;4560,1
11107;61439;60;925;Montagefehler;0,0267;29917,66
69582;86471;342;2019;Materialfehler;0,0628;40036,0
58855;563044;90;1954;Transportschaden;0,0777;16260,39
21569;182114;302;519;Materialfehler;0,0753;31853,26
79850;78220;320;2410;Montagefehler;0,0276;4418,32
35193;747550;453;2514;Transportschaden;0,0273;9093,13
29648;622343;22;2343;Funktionsfehler;0,0306;12735,33
56446;268581;461;1599;Transportschaden;0,0855;101794,46
49140;547186;288;489;Transportschaden;0,0368;19969,38
883;98606;377;2645;Transportschaden;0,0389;947,62
59303;49083;424;593;Transportschaden;0,0358;33848,78
9363;752293;44;1154;Transportschaden;0,0288;27714,89
86437;570326;214;2765;Transportschaden;0,0512;23258,96
92821;460454;239;2925;Optischer Fehler;0,0402;3579,66
22726;667312;133;234;Funktionsfehler;0,0477;23067,17
51470;798324;395;2502;Optischer Fehler;0,0511;10409,91
86849;143919;479;2776;Montagefehler;0,0697;29340,49
44976;781703;44;860;Funktionsfehler;0,043;9174,67
28994;205535;415;2323;Funktionsfehler;0,0658;11099,39
77257;767715;346;791;Materialfehler;0,051;14699,57
15810;541179;383;1206;Montagefehler;0,0257;15556,73
52241;368797;191;1759;Optischer Fehler;0,0591;21270,1
32098;173395;92;1006;Transportschaden;0,032;6529,01
4558;632529;456;2298;Funktionsfehler;0,0256;36056,79
22230;530189;257;1361;Materialfehler;0,0456;18971,24
90344;760908;461;2840;Transportschaden;0,0358;34110,82
2534;737076;420;2146;Materialfehler;0,0495;11345,85
79650;510318;430;2780;Transportschaden;0,0324;12511,24
93062;57800;26;689;Materialfehler;0,0577;61855,69
70935;169223;106;112;Funktionsfehler;0,0594;6561,52
90603;497130;96;699;Transportschaden;0,0352;6093,36
63018;490341;311;2374;Materialfehler;0,0315;9895,28
39729;351556;303;837;Optischer Fehler;0,0401;4472,11
13042;616289;138;692;Optischer Fehler;0,0511;34620,75
25367;498525;229;2693;Montagefehler;0,0402;17176,66
74806;411490;64;649;Funktionsfehler;0,0887;7166,66
59432;537760;271;2942;Materialfehler;0,0427;21625,27
6729;248364;226;1911;Montagefehler;0,0499;15080,07
19833;131130;322;2812;Montagefehler;0,0875;60310,66
82294;521555;376;2412;Transportschaden;0,0511;33780,32
39184;730141;401;647;Transportschaden;0,0497;6465,12
2055;506550;47;2716;Materialfehler;0,042;31710,72
5003;491315;265;1492;Funktionsfehler;0,0516;70527,04
59439;150660;262;1093;Transportschaden;0,0382;16187,32
33914;700177;379;619;Transportschaden;0,0722;19747,98
86471;607709;231;325;Transportschaden;0,044;8252,4
96304;746570;63;287;Transportschaden;0,0786;24318,55
11092;565923;173;2417;Materialfehler;0,0618;51905,85
65118;684131;11;752;Transportschaden;0,0414;26539,4
21313;685042;349;900;Materialfehler;0,0634;38194,67
923;469823;231;2211;Materialfehler;0,0554;49473,92
23336;46377;135;1046;Montagefehler;0,0466;54090,35
55379;531289;261;2904;Montagefehler;0,0437;13006,37
94351;476271;242;2694;Funktionsfehler;0,0561;52877,49
52698;284273;303;1493;Funktionsfehler;0,0535;6874,53
12481;465061;214;1494;Transportschaden;0,0403;47713,44
72049;138512;58;2085;Funktionsfehler;0,0384;18532,01
31798;448635;39;1418;Transportschaden;0,0575;34601,63
12014;53163;353;643;Montagefehler;0,0708;33068,13
58302;194571;283;31;Materialfehler;0,0367;17186,34
88157;321526;349;1300;Materialfehler;0,0539;57104,44
78775;683692;446;2197;Transportschaden;0,0455;4666,87
17172;656997;473;1089;Materialfehler;0,0245;3620,36
37560;3281;281;1883;Optischer Fehler;0,0343;29129,84
33496;442472;435;1260;Funktionsfehler;0,0682;34429,72
59181;265237;219;1073;Transportschaden;0,0389;34501,68
25788;15851;39;1762;Materialfehler;0,0754;27259,63
33677;107976;492;766;Optischer Fehler;0,0239;4248,82
88131;421526;119;1264;Montagefehler;0,0661;64566,1
6819;753787;435;1456;Optischer Fehler;0,03;7904,12
34311;315364;218;690;Montagefehler;0,0592;7510,07
47004;133785;425;2982;Materialfehler;0,0461;9478,08
44309;635527;313;359;Materialfehler;0,0479;13774,84
82830;360264;62;2780;Optischer Fehler;0,0302;1698,17
9529;638617;332;148;Transportschaden;0,0512;5199,38
55498;54279;261;474;Materialfehler;0,06;11549,01
9844;360485;426;2514;Montagefehler;0,046;18422,39
34191;626744;341;673;Materialfehler;0,0329;22960,05
72164;96751;238;2421;Montagefehler;0,0567;10101,82
58424;223911;128;1086;Materialfehler;0,0379;23315,66
65928;277855;351;2010;Materialfehler;0,0488;4280,49
20320;799336;492;2955;Transportschaden;0,0282;34344,71
94335;490017;466;2736;Funktionsfehler;0,0463;11473,84
64085;141019;180;968;Montagefehler;0,0307;2359,38
20393;696891;66;2954;Montagefehler;0,0737;17060,96
19802;301847;222;1904;Optischer Fehler;0,0499;7009,21
52870;674124;373;1216;Montagefehler;0,0964;20283,6
19804;386539;326;1474;Montagefehler;0,0379;9372,11
86104;578194;294;2559;Montagefehler;0,0928;58650,73
50664;398873;310;1583;Optischer Fehler;0,0405;8379,93
922;238793;201;2275;Optischer Fehler;0,0521;10420,76
84120;512442;144;2826;Materialfehler;0,0679;14072,72
88209;94348;219;2005;Optischer Fehler;0,0418;24704,94
65283;69842;376;1240;Materialfehler;0,0635;15477,46
46182;473836;58;1997;Transportschaden;0,0382;10026,93
49509;754579;268;2708;Optischer Fehler;0,0287;19924,71
98475;79529;393;1253;Transportschaden;0,0443;34859,0
24428;418245;410;2359;Funktionsfehler;0,0325;19363,16
64377;319332;282;2281;Materialfehler;0,105;12396,15
93651;172967;18;910;Transportschaden;0,0645;3235,4
54721;357712;180;518;Transportschaden;0,0228;4394,12
96608;285923;134;790;Funktionsfehler;0,0414;27701,58
28122;671044;213;1229;Transportschaden;0,0348;9219,8
80667;29763;233;715;Montagefehler;0,0615;25805,93
52261;461709;148;2032;Transportschaden;0,0417;9755,66
37365;351534;199;2535;Montagefehler;0,0301;29524,04
66156;201363;468;1565;Materialfehler;0,033;15397,91
62572;605460;3;102;Transportschaden;0,0505;14681,81
26717;136337;104;574;Funktionsfehler;0,0485;13864,91
17836;461495;93;2866;Funktionsfehler;0,042;6955,59
93912;640637;477;2319;Funktionsfehler;0,0322;10064,9
24286;584834;79;1444;Montagefehler;0,0292;19414,68
454;300724;184;1162;Transportschaden;0,072;40796,52
77583;160431;463;2138;Materialfehler;0,0767;61258,29
75516;33395;92;2095;Montagefehler;0,0307;8796,79
49377;526165;141;220;Transportschaden;0,0367;65978,64
36407;489259;476;123;Transportschaden;0,0518;10414,55
45412;481366;302;2335;Optischer Fehler;0,0375;25012,89
72358;201943;433;1846;Transportschaden;0,0481;7326,82
82669;383294;140;912;Funktionsfehler;0,0754;16570,67
28329;422635;1;348;Funktionsfehler;0,0657;25527,9
39476;268279;268;1449;Funktionsfehler;0,0312;22072,07
89719;155101;406;174;Montagefehler;0,0444;7574,79
78545;110548;326;2062;Optischer Fehler;0,069;5722,48
21343;324985;186;2789;Transportschaden;0,0542;19274,67
47282;443612;388;260;Funktionsfehler;0,0442;2479,55
91563;362339;332;2464;Transportschaden;0,0505;40595,33
11932;611036;459;2572;Montagefehler;0,0486;17488,87
89713;50799;158;1126;Optischer Fehler;0,0536;17908,58
67177;762158;427;1136;Montagefehler;0,0505;20005,17
73477;165693;271;543;Optischer Fehler;0,0345;9219,03
65828;489904;288;260;Funktionsfehler;0,0285;12227,84
44224;595874;150;2957;Transportschaden;0,0366;7111,96
10234;288949;55;1247;Materialfehler;0,0452;21702,63
61486;503939;29;1890;Optischer Fehler;0,0434;15719,24
87702;213278;273;2744;Optischer Fehler;0,0376;9504,03
86880;420461;295;2797;Materialfehler;0,0436;28823,43
77879;166359;204;385;Materialfehler;0,0808;40817,29
76692;293637;493;1170;Materialfehler;0,0431;17352,54
39588;15102;326;1199;Montagefehler;0,0472;20785,27
8949;77421;277;725;Materialfehler;0,0506;12571,3
19771;80033;33;2571;Transportschaden;0,039;57244,43
87888;522756;155;179;Montagefehler;0,0404;26670,83
43905;735826;272;2536;Funktionsfehler;0,0509;14197,05
69866;206662;164;55;Transportschaden;0,0522;16932,57
23398;139895;155;731;Materialfehler;0,0353;22485,4
36173;780650;149;1324;Materialfehler;0,0514;58846,16
1643;134702;87;2423;Funktionsfehler;0,0311;14737,72
71903;366144;224;548;Transportschaden;0,0439;21960,29
