Forecast_ID;Jahr;Monat;Produktgruppe;Geplante_Menge;Tatsaechliche_Menge
2396;2020;10;Getriebeteile;13420;11848
4104;2022;2;Kunststoffteile;19991;18296
3786;2022;2;Motorenteile;35421;31078
4635;2025;10;Metallkomponenten;95463;82776
3873;2021;7;Sicherheitsbauteile;94238;102759
3567;2020;3;Motorenteile;18412;18817
2414;2021;12;Kunststoffteile;21551;20391
1295;2022;3;Elektronik;44201;47137
1898;2023;12;Getriebeteile;8933;8914
179;2025;11;Motorenteile;69731;64022
1896;2023;10;Elektronik;63151;63704
853;2025;10;Getriebeteile;61611;70593
2387;2024;8;Kunststoffteile;89867;97259
4487;2020;4;Motorenteile;97063;99238
2721;2020;12;Sicherheitsbauteile;9366;10714
3734;2022;9;Motorenteile;47073;41943
2058;2024;6;Getriebeteile;40023;44735
4953;2020;4;Sicherheitsbauteile;4415;3884
1077;2025;2;Sicherheitsbauteile;91709;81891
4877;2020;5;Metallkomponenten;28277;30200
1092;2020;2;Sicherheitsbauteile;76205;72291
897;2024;6;Getriebeteile;51668;54963
3500;2020;10;Sicherheitsbauteile;84336;77136
3909;2020;11;Kunststoffteile;35747;30428
3251;2024;12;Sicherheitsbauteile;28041;27879
195;2020;4;Kunststoffteile;43311;49489
2639;2023;4;Metallkomponenten;4526;4112
1381;2021;7;Motorenteile;6630;7388
4788;2021;5;Sicherheitsbauteile;35022;37214
1605;2025;10;Motorenteile;25514;23173
1267;2021;3;Sicherheitsbauteile;35364;30695
2819;2025;8;Metallkomponenten;3035;3268
1223;2025;12;Elektronik;17575;16044
2854;2022;3;Motorenteile;68173;62734
1936;2020;12;Metallkomponenten;35469;35701
3580;2020;7;Elektronik;49447;52096
3664;2021;12;Motorenteile;31881;34706
1728;2024;11;Getriebeteile;59249;57447
2516;2023;3;Motorenteile;73652;77687
4898;2020;4;Metallkomponenten;31885;34594
1021;2023;2;Kunststoffteile;17484;15227
1967;2020;6;Metallkomponenten;59799;67286
4420;2023;3;Metallkomponenten;53330;60835
4711;2021;2;Elektronik;56329;56996
4476;2023;9;Metallkomponenten;57147;48970
4095;2023;2;Getriebeteile;27309;27845
1334;2023;3;Motorenteile;10966;12581
3443;2025;10;Sicherheitsbauteile;42098;43436
3890;2023;5;Elektronik;41118;39070
1393;2020;12;Kunststoffteile;10859;9937
3807;2024;9;Sicherheitsbauteile;65967;68250
2213;2021;1;Elektronik;36139;41056
3658;2025;9;Elektronik;29357;31356
3149;2020;5;Motorenteile;79763;81292
4364;2023;4;Motorenteile;92951;103380
4532;2020;10;Sicherheitsbauteile;48796;50417
4667;2023;7;Metallkomponenten;89636;91575
1677;2022;11;Kunststoffteile;56822;50419
228;2024;12;Getriebeteile;72520;71332
918;2025;9;Sicherheitsbauteile;78605;75000
1379;2023;9;Motorenteile;68641;74550
4956;2020;9;Metallkomponenten;4484;4714
4512;2022;1;Getriebeteile;60003;51238
1129;2022;12;Metallkomponenten;35560;35603
4637;2021;11;Getriebeteile;21710;24336
235;2020;6;Kunststoffteile;84137;77220
4921;2024;3;Getriebeteile;49122;42721
237;2024;6;Motorenteile;6349;5709
1961;2020;3;Kunststoffteile;85814;76741
1536;2025;6;Metallkomponenten;36739;40147
4139;2024;4;Elektronik;86920;94083
3413;2022;4;Kunststoffteile;64560;55435
3494;2025;12;Motorenteile;33046;33104
3561;2021;6;Elektronik;27141;27852
3899;2020;9;Elektronik;18676;20907
1554;2022;10;Kunststoffteile;71258;71730
246;2022;6;Kunststoffteile;64528;73156
1323;2020;3;Kunststoffteile;17442;17918
4332;2021;1;Metallkomponenten;61012;53987
3675;2024;1;Metallkomponenten;50691;54177
1640;2023;12;Getriebeteile;37725;41221
2857;2022;7;Getriebeteile;63072;58079
2406;2024;3;Elektronik;61972;65412
4114;2023;11;Elektronik;76885;70938
254;2022;11;Elektronik;6302;5866
2732;2023;12;Motorenteile;75319;80226
4986;2022;6;Motorenteile;61197;53251
1107;2022;12;Kunststoffteile;68839;74218
1043;2020;4;Motorenteile;9981;9096
2233;2022;11;Sicherheitsbauteile;88073;76396
2221;2020;11;Kunststoffteile;10840;11989
2860;2022;6;Sicherheitsbauteile;95194;95997
3969;2023;7;Metallkomponenten;31609;34176
3971;2022;9;Motorenteile;28729;26279
264;2022;10;Metallkomponenten;43103;37713
1189;2025;12;Elektronik;80858;77761
4611;2025;10;Motorenteile;5838;5378
1673;2021;8;Elektronik;31802;30531
3579;2021;2;Sicherheitsbauteile;20523;21344
4440;2022;11;Metallkomponenten;52319;59733
3400;2024;2;Motorenteile;46704;41908
3782;2025;4;Motorenteile;10820;12164
3872;2024;1;Elektronik;22021;23335
822;2021;7;Getriebeteile;72062;67340
1380;2020;7;Motorenteile;22711;21581
3259;2024;9;Getriebeteile;9291;9442
3054;2021;8;Elektronik;21099;21697
3644;2020;1;Metallkomponenten;16636;14329
4224;2021;3;Metallkomponenten;6027;6807
3906;2022;3;Sicherheitsbauteile;68603;63218
3121;2023;9;Kunststoffteile;99026;85383
3981;2021;12;Getriebeteile;22506;19196
2239;2022;12;Kunststoffteile;8532;8948
1326;2022;11;Metallkomponenten;11002;12634
4053;2024;7;Sicherheitsbauteile;22951;25689
2385;2020;4;Metallkomponenten;75967;65165
1612;2023;12;Elektronik;50349;56859
2804;2025;5;Elektronik;9261;8047
2323;2020;12;Elektronik;79478;70208
4493;2024;8;Getriebeteile;21917;19417
1065;2021;3;Metallkomponenten;89087;79414
4555;2021;6;Elektronik;52330;57312
4871;2024;2;Getriebeteile;67780;75390
1168;2024;12;Getriebeteile;58788;65113
4612;2021;11;Sicherheitsbauteile;58429;54260
3298;2025;11;Motorenteile;93040;93311
296;2023;3;Sicherheitsbauteile;55081;52708
2254;2020;6;Sicherheitsbauteile;11431;11805
1228;2025;7;Motorenteile;34872;30393
1302;2025;12;Metallkomponenten;6028;6731
300;2022;10;Getriebeteile;52224;51112
3127;2022;12;Elektronik;69089;71510
4900;2022;6;Motorenteile;77544;76140
2740;2022;10;Metallkomponenten;10039;9201
304;2020;8;Kunststoffteile;18868;20851
305;2024;5;Motorenteile;76973;68780
1197;2020;8;Motorenteile;2799;2583
4608;2021;7;Sicherheitsbauteile;28256;26385
4273;2024;11;Kunststoffteile;37641;42704
3200;2025;1;Kunststoffteile;40909;35612
2919;2024;4;Elektronik;23150;20655
3942;2020;6;Sicherheitsbauteile;42247;41842
4340;2022;12;Metallkomponenten;80003;77401
1852;2023;4;Metallkomponenten;1903;2128
4427;2025;3;Kunststoffteile;44739;50188
1291;2020;7;Getriebeteile;55795;55771
2289;2021;7;Motorenteile;40419;38586
1085;2024;1;Sicherheitsbauteile;3246;2884
854;2022;9;Sicherheitsbauteile;88242;75840
2912;2024;5;Kunststoffteile;69531;68503
4131;2023;1;Sicherheitsbauteile;74947;72239
2671;2020;2;Getriebeteile;23289;22387
1018;2023;9;Motorenteile;55583;58377
323;2020;11;Metallkomponenten;8970;7650
1692;2024;3;Motorenteile;87388;96191
4926;2022;6;Kunststoffteile;96387;101320
3597;2024;5;Getriebeteile;2783;2589
4791;2023;8;Metallkomponenten;88191;98485
4641;2025;10;Getriebeteile;74158;71818
2454;2022;4;Motorenteile;77126;82637
2465;2020;8;Kunststoffteile;85117;91732
2395;2024;3;Metallkomponenten;33664;31655
2191;2021;9;Motorenteile;99704;110663
2039;2023;9;Elektronik;14246;14903
4021;2024;5;Motorenteile;38832;40275
2901;2024;5;Metallkomponenten;21455;21302
1716;2024;5;Getriebeteile;91629;87343
3249;2023;3;Metallkomponenten;24118;26813
338;2021;12;Sicherheitsbauteile;30427;30350
2067;2023;7;Getriebeteile;46073;47265
2976;2021;10;Elektronik;53271;54938
802;2024;1;Getriebeteile;13787;13061
865;2020;11;Getriebeteile;28685;24630
2677;2021;7;Metallkomponenten;97517;100130
3911;2025;7;Metallkomponenten;19302;18870
2979;2022;1;Sicherheitsbauteile;5965;6041
3522;2020;2;Motorenteile;22705;23475
347;2022;7;Sicherheitsbauteile;27162;25744
4255;2020;6;Elektronik;9916;10098
1416;2024;9;Metallkomponenten;57680;49413
4277;2024;12;Kunststoffteile;39516;40251
351;2020;4;Motorenteile;11995;10591
4006;2024;7;Getriebeteile;26574;29414
894;2022;9;Elektronik;52222;44630
3311;2022;5;Motorenteile;91695;98048
1237;2024;3;Getriebeteile;44381;38386
356;2025;2;Elektronik;89294;83888
1458;2020;11;Sicherheitsbauteile;28293;26180
2540;2023;12;Getriebeteile;21511;19006
3682;2024;4;Getriebeteile;60954;68989
1528;2021;11;Elektronik;24504;25781
361;2020;6;Metallkomponenten;35227;35197
2253;2024;6;Motorenteile;70187;69425
1254;2023;8;Elektronik;23940;23464
2295;2022;7;Motorenteile;97226;98020
2186;2025;3;Getriebeteile;16589;15284
3180;2023;6;Kunststoffteile;73502;83155
4820;2020;11;Motorenteile;48972;48246
4047;2024;3;Metallkomponenten;24053;26052
3824;2022;1;Getriebeteile;61658;70175
4880;2024;4;Getriebeteile;34514;33205
1099;2025;12;Kunststoffteile;52952;46210
4385;2022;10;Kunststoffteile;84481;79472
3248;2023;7;Getriebeteile;92954;92686
374;2022;7;Elektronik;56420;59606
375;2021;1;Motorenteile;92987;93342
3468;2020;10;Metallkomponenten;92070;95891
2504;2020;7;Kunststoffteile;54149;50095
2930;2022;11;Elektronik;14786;14951
2621;2023;8;Elektronik;3596;3798
4836;2023;3;Sicherheitsbauteile;9198;9419
4927;2022;12;Elektronik;29756;27304
4210;2024;4;Getriebeteile;71323;61092
977;2020;10;Metallkomponenten;53771;59437
3491;2021;1;Elektronik;25668;25107
2340;2025;9;Motorenteile;98445;89881
3634;2024;12;Getriebeteile;51302;56882
1250;2022;5;Motorenteile;60817;54798
388;2021;2;Sicherheitsbauteile;10466;10654
4483;2021;2;Elektronik;30814;27362
3815;2022;8;Elektronik;35626;35174
391;2020;8;Sicherheitsbauteile;16467;15782
4020;2020;7;Elektronik;77868;77912
2947;2020;5;Metallkomponenten;74162;74111
1636;2024;11;Sicherheitsbauteile;67600;60715
2829;2024;5;Motorenteile;62196;69280
396;2021;1;Elektronik;95791;88597
1669;2022;5;Sicherheitsbauteile;70057;61054
1273;2023;1;Motorenteile;45153;50129
4172;2020;6;Motorenteile;73369;75706
3326;2023;10;Getriebeteile;49070;53563
2784;2020;6;Motorenteile;60353;65140
2499;2023;11;Metallkomponenten;66439;59188
1472;2023;4;Getriebeteile;22971;25645
1616;2020;10;Kunststoffteile;2600;2366
4304;2021;12;Elektronik;1615;1751
1482;2021;6;Sicherheitsbauteile;11796;11976
3791;2020;8;Sicherheitsbauteile;30394;30114
4292;2022;10;Kunststoffteile;79352;71114
1195;2021;6;Elektronik;60241;68717
3689;2021;8;Kunststoffteile;21491;24574
411;2022;9;Getriebeteile;77700;74745
4052;2023;6;Getriebeteile;52116;53812
892;2022;4;Sicherheitsbauteile;14566;15032
2998;2024;9;Metallkomponenten;8159;8402
1631;2023;12;Sicherheitsbauteile;97819;98916
1278;2025;8;Elektronik;25365;23728
847;2023;8;Motorenteile;85891;77823
1205;2024;7;Kunststoffteile;69344;77438
3528;2020;12;Elektronik;33252;35305
3709;2025;9;Getriebeteile;76955;69231
4051;2020;2;Sicherheitsbauteile;9657;9653
422;2021;5;Motorenteile;70786;81060
4737;2020;12;Motorenteile;30715;30456
1182;2023;5;Motorenteile;78169;78089
1865;2022;8;Kunststoffteile;35764;33260
3166;2022;3;Sicherheitsbauteile;37176;39578
2455;2021;4;Motorenteile;41430;40208
4426;2023;4;Sicherheitsbauteile;69207;64803
3356;2020;5;Elektronik;82113;89866
4902;2022;5;Elektronik;49110;50127
1615;2024;12;Getriebeteile;8851;9697
2827;2021;3;Kunststoffteile;50334;53205
2178;2021;1;Getriebeteile;44336;45628
2194;2021;1;Kunststoffteile;23426;23763
1696;2021;1;Motorenteile;51075;55192
1198;2023;9;Kunststoffteile;36548;31505
1290;2024;9;Getriebeteile;33286;32358
438;2024;12;Elektronik;26168;26163
4980;2022;9;Metallkomponenten;93551;98033
440;2025;3;Kunststoffteile;72180;63735
941;2023;10;Elektronik;58389;57653
3831;2023;10;Metallkomponenten;64281;69045
2618;2022;3;Motorenteile;71333;64495
2174;2025;8;Sicherheitsbauteile;41078;35198
445;2023;6;Kunststoffteile;48458;47193
1311;2024;10;Sicherheitsbauteile;25767;29520
2521;2022;5;Sicherheitsbauteile;71043;65726
448;2023;7;Kunststoffteile;59841;53055
1389;2025;3;Getriebeteile;2067;2051
2308;2025;10;Sicherheitsbauteile;18545;16852
451;2022;6;Kunststoffteile;11845;12047
1974;2023;6;Motorenteile;54494;46603
453;2022;10;Metallkomponenten;19394;18313
3148;2021;10;Kunststoffteile;43967;47642
1120;2025;1;Elektronik;69315;76312
456;2021;12;Kunststoffteile;60332;64822
4977;2020;6;Getriebeteile;32578;27893
3465;2020;9;Metallkomponenten;36200;37048
1950;2021;7;Elektronik;71392;72236
4748;2021;1;Motorenteile;83455;89607
1025;2025;6;Elektronik;61664;66622
3391;2025;12;Elektronik;16015;16328
2359;2024;4;Metallkomponenten;69079;68316
1504;2022;12;Motorenteile;88680;77114
2794;2025;11;Sicherheitsbauteile;47172;40442
4397;2021;4;Elektronik;69906;79832
1122;2020;2;Elektronik;47491;49558
4607;2024;9;Sicherheitsbauteile;44560;50613
2263;2022;2;Motorenteile;48387;48785
1886;2023;5;Sicherheitsbauteile;16582;18327
1492;2020;9;Metallkomponenten;60402;62389
2064;2020;11;Elektronik;17007;16946
2539;2022;10;Elektronik;71585;70188
2249;2021;2;Metallkomponenten;60784;60148
2113;2024;12;Motorenteile;68170;74917
2488;2025;2;Sicherheitsbauteile;39130;37770
4239;2024;6;Motorenteile;93230;96294
478;2024;1;Metallkomponenten;57132;59768
479;2022;1;Getriebeteile;53979;47419
480;2023;8;Motorenteile;59013;55805
2905;2024;10;Metallkomponenten;28371;24544
3813;2025;7;Metallkomponenten;60683;65039
3289;2025;4;Sicherheitsbauteile;17905;20304
1179;2022;4;Elektronik;95075;90759
485;2020;7;Motorenteile;27014;23600
4371;2023;10;Getriebeteile;79082;67606
4465;2023;8;Elektronik;51396;51090
488;2023;11;Sicherheitsbauteile;31028;28557
1255;2022;7;Motorenteile;74346;80716
2874;2021;7;Kunststoffteile;33780;29852
491;2025;7;Elektronik;68573;65036
492;2025;5;Getriebeteile;75292;82527
905;2021;7;Sicherheitsbauteile;10675;11553
4925;2020;2;Motorenteile;12023;11546
2154;2022;1;Kunststoffteile;25009;23926
496;2023;7;Elektronik;17603;17506
4341;2022;7;Elektronik;1205;1051
498;2021;6;Kunststoffteile;43597;49845
3114;2020;4;Motorenteile;20861;23670
3576;2025;7;Sicherheitsbauteile;52030;57500
4291;2024;5;Sicherheitsbauteile;9167;8768
2202;2023;8;Getriebeteile;77034;80035
503;2025;2;Motorenteile;42751;46069
1604;2020;1;Kunststoffteile;27875;27205
1001;2025;7;Motorenteile;19227;21816
4219;2023;11;Kunststoffteile;15620;17343
1941;2021;7;Kunststoffteile;31416;34201
2496;2021;2;Getriebeteile;4044;3792
509;2023;8;Motorenteile;98869;110119
1499;2022;11;Metallkomponenten;47303;53351
1905;2024;2;Kunststoffteile;60145;54177
512;2021;9;Kunststoffteile;10522;10739
1080;2025;1;Metallkomponenten;56535;48816
4533;2024;9;Metallkomponenten;49743;47035
3964;2020;6;Kunststoffteile;76676;67269
2638;2022;9;Metallkomponenten;14986;13732
2780;2022;12;Elektronik;81799;85218
4241;2021;11;Elektronik;34978;35036
3947;2021;10;Getriebeteile;36319;37648
3378;2025;1;Motorenteile;82136;81970
1269;2021;3;Motorenteile;95410;103254
4454;2021;10;Getriebeteile;61040;63033
945;2021;5;Motorenteile;54790;47418
3408;2024;12;Elektronik;10145;10902
4197;2021;6;Kunststoffteile;43553;45095
3333;2022;6;Sicherheitsbauteile;88409;92158
4792;2025;7;Kunststoffteile;11006;10760
528;2023;2;Kunststoffteile;63708;68718
4756;2022;9;Motorenteile;99847;92952
530;2020;12;Metallkomponenten;59390;65664
3143;2020;9;Motorenteile;66994;66918
3587;2024;1;Kunststoffteile;32795;34751
2989;2022;6;Elektronik;32280;27938
1661;2025;12;Elektronik;99651;112679
2000;2021;5;Kunststoffteile;31932;29996
536;2022;11;Elektronik;84301;71949
4654;2021;9;Sicherheitsbauteile;86823;96774
4498;2024;7;Elektronik;26061;26806
4075;2025;9;Kunststoffteile;68975;73783
3523;2024;10;Getriebeteile;70381;78366
1040;2023;3;Sicherheitsbauteile;49155;51419
2993;2022;5;Elektronik;27583;23613
3955;2023;3;Getriebeteile;39623;34044
2145;2020;7;Elektronik;46056;49481
545;2025;11;Motorenteile;50979;55655
546;2021;1;Metallkomponenten;26465;22568
547;2024;1;Metallkomponenten;54900;51811
2049;2021;6;Getriebeteile;6362;5734
4288;2021;3;Elektronik;13089;14007
4403;2024;7;Kunststoffteile;22134;22229
1777;2025;6;Metallkomponenten;60696;54479
1136;2023;8;Elektronik;88778;86908
4851;2025;6;Sicherheitsbauteile;10868;10619
3690;2023;10;Motorenteile;49720;49290
2616;2025;6;Motorenteile;21872;21890
4797;2022;7;Motorenteile;51393;57085
1473;2022;2;Metallkomponenten;26727;29684
558;2021;5;Sicherheitsbauteile;81541;79025
2259;2023;5;Metallkomponenten;56372;56963
1835;2022;9;Metallkomponenten;25550;25288
3192;2023;1;Sicherheitsbauteile;70192;75529
1799;2021;2;Elektronik;12564;11056
3457;2023;3;Getriebeteile;81664;84619
2137;2021;7;Motorenteile;40979;45217
1989;2021;11;Elektronik;90447;94278
4106;2020;5;Elektronik;60790;57590
1415;2020;1;Elektronik;85715;86350
2585;2024;10;Sicherheitsbauteile;80923;73078
1003;2025;7;Getriebeteile;96259;107760
4307;2020;2;Motorenteile;42936;43982
4709;2022;5;Motorenteile;4870;4927
3876;2022;6;Sicherheitsbauteile;73009;83052
4924;2025;1;Kunststoffteile;26358;29631
1033;2022;6;Getriebeteile;63257;63280
2756;2021;11;Elektronik;6000;6353
1525;2020;12;Getriebeteile;57144;56382
1142;2023;6;Getriebeteile;51010;52734
1962;2022;11;Sicherheitsbauteile;73739;70395
3096;2023;11;Kunststoffteile;98813;91712
3999;2025;5;Motorenteile;90432;101248
1904;2025;3;Elektronik;85590;92936
582;2020;12;Elektronik;83427;82331
3535;2021;1;Metallkomponenten;81398;82393
2771;2023;10;Metallkomponenten;23380;22551
4772;2024;3;Kunststoffteile;41204;43689
586;2020;5;Getriebeteile;84045;86148
4688;2023;10;Motorenteile;15999;15366
2934;2025;7;Motorenteile;14794;15968
4094;2023;1;Getriebeteile;59914;62398
590;2020;6;Motorenteile;89003;98867
3699;2024;3;Sicherheitsbauteile;89378;98153
1724;2021;7;Sicherheitsbauteile;67912;75140
1603;2024;12;Getriebeteile;54619;48459
594;2025;4;Elektronik;68474;66589
4475;2022;8;Kunststoffteile;63167;61478
2748;2025;8;Motorenteile;94949;108904
2843;2022;4;Getriebeteile;28025;24211
2641;2025;10;Kunststoffteile;45361;51266
3008;2023;3;Sicherheitsbauteile;25395;26377
1230;2024;11;Metallkomponenten;67084;64884
3542;2021;9;Metallkomponenten;32066;36398
1036;2024;4;Kunststoffteile;37551;39238
4350;2024;10;Metallkomponenten;96698;92911
4587;2022;4;Elektronik;30075;31099
4259;2021;3;Metallkomponenten;21782;19724
3487;2024;11;Sicherheitsbauteile;45258;41092
2179;2023;8;Getriebeteile;9070;8954
608;2020;8;Kunststoffteile;8038;8959
3746;2024;9;Getriebeteile;45775;49853
610;2025;12;Kunststoffteile;88659;77132
3504;2020;10;Kunststoffteile;2130;2171
612;2022;10;Motorenteile;77586;74000
4256;2022;10;Motorenteile;66911;68840
804;2021;7;Metallkomponenten;53879;49201
1606;2020;11;Elektronik;23580;22982
3412;2023;12;Metallkomponenten;25119;23925
4544;2020;11;Metallkomponenten;69456;64606
618;2020;8;Metallkomponenten;90987;80164
1741;2020;8;Motorenteile;48252;44746
3488;2024;8;Kunststoffteile;5470;5426
2435;2024;10;Sicherheitsbauteile;57377;53911
896;2021;5;Metallkomponenten;91450;80272
2971;2024;11;Metallkomponenten;65057;57422
624;2020;9;Sicherheitsbauteile;72458;76432
