Mitarbeiter_ID;Alter;Abteilung;Weiterbildungen;Krankheitstage;Betriebszugehörigkeit;Leistungsbewertung
1320;63;Instandhaltung;2;4;18;66.1
1315;61;Instandhaltung;4;10;27;69.0
844;59;Finanzen;11;8;3;96.1
124;61;Instandhaltung;3;11;3;58.6
125;57;Einkauf;9;11;13;78.8
1152;48;Logistik;3;11;8;70.7
127;44;Finanzen;12;14;7;78.6
128;52;Instandhaltung;10;13;18;75.0
129;18;Einkauf;9;2;1;74.1
130;52;Instandhaltung;2;12;0;61.0
131;54;Produktion;1;7;12;43.9
1404;62;Vertrieb;11;5;12;91.2
133;31;Finanzen;13;6;31;85.2
134;20;Einkauf;0;8;29;72.8
135;18;Instandhaltung;7;9;5;78.4
136;22;Einkauf;2;7;32;73.6
1405;60;Logistik;10;12;15;80.5
138;31;Finanzen;5;6;9;74.2
139;56;Logistik;12;7;14;81.8
140;44;Produktion;7;10;22;84.9
141;26;Einkauf;12;9;0;82.7
142;32;Vertrieb;14;9;7;92.9
1176;27;Logistik;1;10;25;66.7
1198;50;Instandhaltung;9;2;21;75.2
1477;48;Instandhaltung;13;9;2;86.2
146;30;Finanzen;13;4;33;96.3
147;49;Vertrieb;4;13;5;66.6
1261;64;Finanzen;5;6;21;71.7
149;49;Einkauf;10;11;28;87.2
1218;40;Einkauf;9;9;19;74.5
151;47;Produktion;7;8;17;80.5
152;54;Logistik;2;7;29;72.7
153;40;Produktion;10;11;14;88.0
154;56;Einkauf;11;8;14;75.5
1219;36;Vertrieb;8;5;6;65.3
1225;47;Vertrieb;3;11;1;62.6
1155;31;Vertrieb;13;3;31;94.0
158;46;Qualität;8;5;18;83.2
159;53;Einkauf;1;6;2;54.2
1279;38;Vertrieb;1;6;14;67.0
161;49;Qualität;9;5;10;80.2
1159;28;Produktion;1;7;3;63.9
163;39;Finanzen;14;7;27;95.5
1237;21;Produktion;5;10;25;74.7
1006;54;Finanzen;1;10;11;58.7
166;59;Instandhaltung;4;8;8;74.8
167;62;Vertrieb;10;8;10;81.7
168;23;Logistik;10;4;5;78.5
1335;63;Logistik;10;7;2;74.2
170;45;Instandhaltung;7;13;11;78.5
171;61;Logistik;11;6;21;88.4
1385;57;Logistik;9;5;19;80.2
173;37;Instandhaltung;5;9;32;76.8
174;47;Logistik;7;9;16;77.4
175;28;Einkauf;10;3;28;89.3
176;45;Instandhaltung;4;8;9;70.7
918;64;Einkauf;3;9;27;67.7
1420;56;Einkauf;4;6;31;84.1
1369;24;Instandhaltung;9;6;30;85.3
1075;32;Finanzen;11;8;16;89.6
181;44;Finanzen;11;16;31;81.8
1288;38;Einkauf;2;10;14;73.3
1021;26;Qualität;11;7;1;77.6
905;43;Vertrieb;8;8;11;73.9
185;56;Instandhaltung;12;13;2;82.1
186;23;Produktion;0;4;32;69.1
954;41;Qualität;7;9;29;79.9
1055;55;Qualität;12;11;0;81.2
1168;40;Einkauf;0;11;22;63.8
1165;43;Logistik;10;8;22;75.8
1339;62;Vertrieb;14;7;10;93.0
1413;34;Instandhaltung;14;10;6;96.5
193;61;Finanzen;9;6;25;90.0
194;41;Einkauf;2;8;10;67.8
195;32;Qualität;7;5;26;75.9
1486;48;Einkauf;14;10;23;92.2
1042;43;Vertrieb;8;9;33;83.4
198;41;Vertrieb;7;9;9;80.9
199;58;Vertrieb;10;6;20;85.1
200;29;Instandhaltung;12;9;14;92.3
1328;19;Vertrieb;12;8;9;83.9
202;19;Finanzen;0;3;29;69.2
1403;34;Instandhaltung;4;6;11;62.9
204;54;Produktion;7;8;23;77.5
1269;52;Vertrieb;14;4;19;95.1
206;19;Finanzen;7;7;2;64.8
207;19;Finanzen;11;6;14;88.0
809;34;Instandhaltung;8;9;19;79.9
209;40;Produktion;10;10;17;88.2
210;54;Instandhaltung;10;5;18;96.1
950;48;Logistik;0;8;14;60.5
1050;25;Einkauf;3;12;1;67.3
947;41;Instandhaltung;6;10;2;72.9
214;36;Qualität;12;6;33;94.7
1207;37;Finanzen;14;14;0;86.4
847;23;Einkauf;14;13;13;94.4
217;43;Einkauf;9;10;3;75.7
218;49;Qualität;3;7;13;68.6
920;64;Finanzen;3;10;18;70.8
1192;61;Vertrieb;5;7;4;71.0
221;21;Einkauf;5;8;22;72.3
222;28;Einkauf;11;6;12;85.4
223;34;Instandhaltung;6;9;8;75.5
875;31;Qualität;11;7;27;87.4
1065;31;Qualität;0;6;31;69.7
226;22;Qualität;12;11;16;90.2
227;51;Vertrieb;9;7;15;80.2
1087;44;Instandhaltung;12;9;1;84.9
1179;52;Finanzen;2;9;3;72.9
813;41;Finanzen;4;3;22;84.3
231;33;Einkauf;6;6;13;74.2
1379;18;Vertrieb;12;9;30;96.6
948;26;Instandhaltung;14;8;15;92.2
234;23;Finanzen;10;5;28;88.2
822;64;Finanzen;13;7;12;88.1
971;62;Qualität;5;13;25;70.2
237;20;Instandhaltung;6;7;19;77.8
894;55;Qualität;10;7;13;76.8
239;53;Produktion;1;5;26;71.4
240;36;Produktion;3;5;31;79.4
241;43;Finanzen;1;4;9;66.4
1121;37;Qualität;0;8;8;56.4
243;36;Vertrieb;12;9;32;89.1
1163;54;Finanzen;4;12;29;78.0
245;49;Qualität;11;6;17;85.0
246;24;Finanzen;6;7;8;72.5
1060;42;Produktion;0;8;7;63.7
1094;27;Finanzen;11;10;5;90.0
1432;61;Produktion;12;11;21;88.7
949;20;Einkauf;7;11;28;80.0
986;55;Einkauf;7;11;34;75.3
252;57;Vertrieb;8;8;27;81.0
841;22;Einkauf;4;8;6;68.3
1388;56;Instandhaltung;8;9;17;83.6
1351;51;Finanzen;1;11;5;50.7
256;42;Vertrieb;1;3;15;66.5
257;40;Logistik;11;5;25;88.0
1101;62;Logistik;13;16;9;87.8
1081;44;Instandhaltung;5;5;13;69.0
260;59;Einkauf;2;8;16;66.7
261;52;Vertrieb;5;5;15;75.3
262;24;Finanzen;2;7;9;64.7
263;33;Vertrieb;13;7;30;94.8
264;43;Qualität;6;7;9;69.9
1278;54;Logistik;10;9;31;78.4
266;18;Produktion;8;10;5;75.0
921;39;Logistik;13;8;11;89.9
268;22;Logistik;14;9;27;93.5
1033;54;Logistik;2;4;22;73.8
1270;49;Logistik;2;7;21;61.4
271;26;Instandhaltung;14;8;1;90.6
272;58;Instandhaltung;13;12;7;90.0
273;52;Instandhaltung;4;4;8;74.6
274;36;Qualität;12;9;7;86.8
1371;62;Produktion;3;7;16;67.0
276;20;Logistik;3;9;8;76.3
1365;57;Produktion;4;5;20;72.2
278;41;Finanzen;3;6;8;63.0
279;50;Finanzen;1;11;30;59.5
280;41;Produktion;3;6;24;70.8
1125;55;Produktion;2;5;30;74.6
827;33;Vertrieb;1;6;20;56.1
283;53;Einkauf;11;7;30;83.3
284;55;Einkauf;5;7;16;77.0
285;57;Logistik;0;8;18;69.5
286;37;Einkauf;9;12;2;79.2
1346;38;Einkauf;4;6;6;67.5
288;42;Finanzen;0;4;9;61.2
1108;64;Einkauf;4;8;21;76.6
290;42;Vertrieb;9;7;17;85.6
1306;22;Produktion;3;8;23;70.1
1423;54;Qualität;6;9;4;66.4
293;63;Instandhaltung;1;7;10;76.3
294;35;Einkauf;1;6;8;55.7
295;19;Einkauf;13;7;23;90.3
834;49;Qualität;10;6;29;89.8
1069;23;Einkauf;6;10;3;61.4
1156;57;Instandhaltung;3;7;11;73.0
1100;53;Logistik;6;6;4;79.0
300;50;Vertrieb;10;11;10;85.8
301;21;Qualität;2;7;27;72.0
302;50;Instandhaltung;3;11;7;64.3
1284;27;Qualität;8;9;32;87.2
304;38;Qualität;11;6;24;89.6
305;37;Produktion;6;8;8;77.6
306;25;Logistik;12;12;7;83.1
307;24;Produktion;10;6;2;78.5
952;54;Instandhaltung;12;9;0;87.0
309;34;Qualität;5;8;34;81.8
310;50;Produktion;14;10;16;89.9
1463;34;Logistik;14;9;16;85.0
1391;51;Logistik;8;8;30;83.6
313;39;Qualität;10;8;18;86.1
314;63;Logistik;9;11;21;88.4
919;53;Finanzen;4;7;14;66.2
1178;58;Instandhaltung;5;8;32;84.0
953;53;Vertrieb;9;9;28;77.4
318;62;Qualität;13;6;19;87.8
1043;21;Logistik;0;8;7;60.7
1212;57;Einkauf;1;8;34;65.8
1131;63;Vertrieb;7;7;29;79.7
322;51;Vertrieb;0;5;4;50.9
1070;23;Instandhaltung;3;13;29;78.8
1080;56;Vertrieb;7;8;16;75.7
325;50;Vertrieb;8;9;21;83.4
326;45;Logistik;6;2;9;79.7
327;64;Einkauf;14;8;19;93.0
328;50;Finanzen;6;7;27;68.5
1280;31;Vertrieb;12;8;12;94.7
330;36;Logistik;12;8;34;89.2
331;21;Finanzen;10;13;0;77.1
939;38;Instandhaltung;10;7;30;84.6
1352;34;Vertrieb;12;9;3;79.0
334;61;Einkauf;14;9;8;100.0
839;36;Logistik;6;8;0;72.6
842;35;Vertrieb;14;9;2;81.4
337;46;Logistik;5;8;15;70.7
1002;57;Einkauf;3;8;17;60.0
339;23;Finanzen;10;8;12;90.8
340;52;Finanzen;2;4;32;81.9
1316;41;Qualität;3;5;12;69.4
967;32;Einkauf;10;8;34;92.3
817;19;Vertrieb;10;8;5;63.9
344;46;Logistik;7;6;9;70.1
345;63;Einkauf;11;10;0;80.1
1250;40;Qualität;11;8;1;80.5
347;52;Instandhaltung;4;4;28;75.3
348;50;Einkauf;14;4;16;87.7
349;38;Finanzen;4;8;3;68.1
1174;26;Produktion;9;11;23;88.1
1407;26;Produktion;1;10;13;58.2
848;18;Vertrieb;4;10;30;80.0
353;20;Logistik;2;11;4;71.2
354;35;Finanzen;8;8;5;86.9
978;37;Finanzen;14;9;26;88.9
1471;24;Qualität;1;8;20;61.0
357;48;Finanzen;10;14;27;95.9
1296;64;Qualität;11;1;2;85.8
359;57;Vertrieb;9;9;3;80.7
1479;56;Finanzen;13;2;15;88.7
1455;58;Produktion;9;15;5;74.6
362;49;Produktion;14;12;22;90.1
972;61;Einkauf;4;11;33;79.2
364;39;Einkauf;12;11;13;82.0
1344;23;Instandhaltung;7;6;18;77.6
366;19;Instandhaltung;0;7;22;69.4
367;44;Finanzen;8;7;2;71.3
958;37;Instandhaltung;5;9;7;68.5
1227;57;Qualität;13;7;10;93.1
370;43;Produktion;1;7;33;74.9
371;34;Produktion;14;14;23;95.4
1182;28;Einkauf;14;10;1;81.5
373;50;Vertrieb;10;4;11;83.5
1103;32;Finanzen;7;7;14;79.8
1181;43;Finanzen;10;6;7;70.0
1498;61;Finanzen;14;10;30;91.4
377;46;Einkauf;8;5;27;86.9
378;59;Produktion;0;7;13;60.4
1489;61;Einkauf;4;4;16;75.3
380;52;Logistik;4;10;17;71.5
1466;38;Logistik;14;4;27;98.8
382;41;Logistik;14;5;32;90.8
383;30;Finanzen;10;7;24;87.7
384;24;Instandhaltung;13;5;12;93.6
1450;35;Finanzen;6;9;10;66.0
386;62;Einkauf;3;7;32;73.1
387;37;Produktion;6;9;20;80.3
388;18;Finanzen;2;7;33;77.1
1164;38;Einkauf;1;4;19;68.5
895;52;Einkauf;10;7;24;83.7
391;33;Produktion;4;2;22;76.9
853;63;Instandhaltung;0;2;29;69.4
393;29;Qualität;11;6;34;85.6
394;40;Qualität;9;12;13;89.1
1482;59;Finanzen;8;4;12;70.7
396;45;Einkauf;3;5;18;74.0
976;21;Instandhaltung;9;6;12;83.9
1113;44;Vertrieb;8;3;20;86.1
1372;34;Einkauf;1;9;28;65.5
820;60;Qualität;12;11;16;97.2
401;39;Einkauf;13;10;26;87.3
1398;64;Produktion;9;6;12;82.3
403;39;Einkauf;0;10;29;60.3
828;25;Qualität;1;13;5;62.5
405;59;Qualität;11;4;18;86.2
406;23;Einkauf;3;8;15;76.0
1412;57;Instandhaltung;0;6;29;74.5
962;32;Finanzen;11;10;16;79.5
1295;18;Produktion;6;6;8;76.7
898;54;Vertrieb;6;7;0;72.5
411;25;Finanzen;11;8;20;89.3
833;20;Qualität;12;13;20;85.3
413;61;Vertrieb;5;11;5;72.1
414;22;Logistik;5;11;17;66.3
415;56;Logistik;4;6;34;77.4
416;21;Qualität;4;8;26;77.2
1336;21;Finanzen;4;3;4;70.7
418;62;Vertrieb;7;6;6;77.7
851;29;Einkauf;12;7;21;98.0
1151;45;Instandhaltung;5;10;10;76.3
913;27;Logistik;5;5;33;82.0
422;52;Einkauf;0;8;9;63.6
423;57;Produktion;7;13;34;86.6
424;33;Vertrieb;4;5;34;79.2
425;30;Vertrieb;1;9;19;71.9
846;38;Einkauf;6;9;1;70.7
1201;39;Produktion;5;9;23;66.9
428;36;Vertrieb;13;7;18;83.5
1076;64;Instandhaltung;4;6;24;70.0
430;36;Logistik;14;4;3;82.2
431;45;Qualität;5;7;18;74.4
432;43;Qualität;10;8;13;82.3
883;43;Finanzen;4;8;28;68.2
434;43;Produktion;8;8;27;85.0
831;21;Finanzen;6;7;2;73.2
1487;41;Finanzen;1;7;23;75.8
437;29;Instandhaltung;5;9;22;82.4
1136;57;Qualität;7;7;24;74.8
1364;44;Produktion;14;6;22;100.0
440;64;Vertrieb;10;5;17;75.1
1347;59;Einkauf;0;7;6;66.2
1314;39;Qualität;14;7;24;95.2
443;42;Einkauf;7;13;5;73.0
444;57;Produktion;8;7;18;80.2
445;62;Qualität;0;8;11;59.1
891;64;Finanzen;13;8;10;89.9
447;33;Instandhaltung;8;10;34;81.4
448;56;Finanzen;13;8;0;92.7
449;22;Instandhaltung;14;5;4;93.6
450;39;Instandhaltung;5;10;0;64.1
451;46;Produktion;5;13;7;66.6
452;20;Instandhaltung;11;3;17;97.2
975;43;Logistik;8;5;23;75.8
454;43;Einkauf;0;1;4;57.4
455;33;Produktion;9;5;3;75.8
456;54;Logistik;7;10;28;73.6
885;24;Finanzen;11;4;13;79.4
458;46;Logistik;11;11;29;85.9
459;31;Vertrieb;0;6;0;54.3
460;45;Einkauf;1;9;2;67.4
461;22;Qualität;0;11;21;58.3
1095;50;Instandhaltung;1;5;8;64.3
463;47;Logistik;8;6;17;75.5
464;63;Produktion;12;4;24;89.4
465;22;Qualität;13;10;19;85.1
466;29;Instandhaltung;0;13;30;66.8
467;33;Produktion;12;6;29;93.1
468;43;Qualität;3;6;15;76.3
1431;54;Finanzen;0;14;10;57.1
470;38;Vertrieb;5;8;16;81.3
866;34;Instandhaltung;1;7;5;60.7
884;31;Qualität;14;9;3;80.8
1090;39;Einkauf;5;4;21;65.8
474;47;Produktion;6;8;16;89.7
475;54;Vertrieb;9;13;8;86.2
476;40;Instandhaltung;13;8;8;85.7
937;50;Logistik;8;5;17;70.8
478;22;Finanzen;1;9;10;66.6
479;53;Finanzen;14;6;7;90.6
480;51;Einkauf;1;7;24;62.8
1332;26;Produktion;6;10;9;78.4
1104;46;Qualität;5;10;32;73.7
483;36;Vertrieb;11;4;23;83.3
1293;35;Einkauf;13;10;21;99.0
1111;62;Einkauf;14;6;27;100.0
1223;62;Qualität;5;4;30;76.8
487;62;Qualität;12;3;10;85.1
488;21;Vertrieb;2;7;5;63.7
882;62;Einkauf;1;5;33;72.5
490;41;Produktion;5;7;31;78.3
1319;47;Einkauf;12;8;11;86.7
803;59;Produktion;1;8;32;64.5
1059;50;Finanzen;4;5;14;84.6
494;49;Produktion;6;6;16;70.2
495;44;Vertrieb;14;7;2;87.8
1134;43;Logistik;3;7;33;70.9
497;41;Produktion;1;14;11;63.3
1230;18;Vertrieb;5;3;34;79.0
499;52;Produktion;7;7;5;81.5
1361;44;Produktion;0;3;26;66.1
1307;54;Instandhaltung;12;6;9;89.7
1119;44;Einkauf;6;7;6;75.7
503;54;Vertrieb;13;10;17;83.5
504;29;Vertrieb;3;11;26;74.8
505;20;Einkauf;13;9;20;97.1
506;18;Instandhaltung;14;5;33;94.5
507;50;Logistik;10;6;32;78.8
830;57;Produktion;8;4;15;86.2
509;27;Einkauf;6;6;2;71.6
1228;36;Instandhaltung;0;10;33;63.2
511;61;Logistik;3;10;0;67.0
512;46;Logistik;3;7;5;68.8
513;30;Einkauf;5;8;18;66.5
514;29;Finanzen;9;12;21;91.3
1089;21;Qualität;2;14;1;54.6
516;63;Finanzen;9;8;4;68.1
1492;20;Produktion;10;5;15;90.4
518;52;Finanzen;2;5;20;72.9
519;40;Einkauf;14;6;27;100.0
806;46;Produktion;14;7;21;93.3
521;43;Produktion;11;8;23;91.5
522;25;Produktion;9;13;7;76.3
1497;40;Vertrieb;4;9;24;78.5
1386;28;Logistik;12;12;10;78.3
525;27;Logistik;1;4;19;57.4
526;43;Qualität;5;3;15;76.6
527;51;Vertrieb;11;13;9;80.7
1235;47;Einkauf;2;10;25;75.7
812;37;Instandhaltung;8;12;5;72.7
530;21;Instandhaltung;12;10;29;96.5
1384;28;Einkauf;4;8;30;69.4
532;28;Qualität;12;8;24;86.0
533;46;Instandhaltung;2;8;6;66.4
534;53;Qualität;9;7;19;69.5
535;42;Instandhaltung;2;8;16;64.5
536;38;Logistik;6;8;2;72.7
537;53;Produktion;13;9;25;88.9
1377;19;Instandhaltung;2;6;15;71.4
539;54;Einkauf;12;8;33;86.0
540;26;Vertrieb;7;11;13;67.6
1426;47;Logistik;12;5;6;91.6
1457;43;Einkauf;4;8;33;80.3
543;52;Qualität;4;9;9;80.7
544;53;Produktion;6;6;14;75.2
545;35;Qualität;2;9;21;72.3
546;56;Qualität;11;5;30;85.3
1062;50;Logistik;2;4;34;79.1
1154;46;Finanzen;12;9;33;100.0
1058;32;Instandhaltung;7;7;1;75.9
1265;45;Finanzen;1;3;20;66.3
1290;36;Vertrieb;8;9;5;78.2
1135;30;Einkauf;7;13;31;85.3
1214;18;Einkauf;1;7;11;64.8
554;40;Vertrieb;8;8;30;84.8
555;42;Qualität;10;10;28;88.3
556;52;Finanzen;2;8;26;76.3
1194;42;Finanzen;12;6;3;81.5
558;47;Finanzen;9;3;8;87.6
559;34;Qualität;2;9;19;64.4
560;37;Instandhaltung;2;4;34;73.8
561;42;Finanzen;12;12;14;88.9
1097;30;Logistik;0;5;25;65.2
854;51;Produktion;0;6;32;64.8
968;28;Instandhaltung;12;8;3;77.7
1294;19;Logistik;2;6;30;71.3
1030;25;Finanzen;13;13;8;91.2
567;58;Qualität;6;9;18;75.5
568;36;Qualität;11;9;2;89.7
1282;35;Finanzen;7;8;10;80.0
1238;18;Logistik;8;7;29;87.9
988;28;Vertrieb;9;8;16;84.5
572;45;Finanzen;14;8;16;84.1
573;31;Instandhaltung;9;8;23;83.3
574;48;Vertrieb;12;7;16;84.9
1449;42;Finanzen;2;11;33;64.5
1400;36;Finanzen;9;4;20;85.0
1491;51;Einkauf;11;8;5;72.5
1185;24;Qualität;4;9;5;62.5
1016;48;Instandhaltung;0;8;14;65.3
1129;64;Finanzen;11;9;21;86.9
581;42;Vertrieb;13;8;11;82.0
1132;60;Qualität;5;5;25;80.2
960;28;Finanzen;5;8;24;68.1
1446;33;Produktion;10;8;32;91.5
1109;21;Qualität;12;10;14;94.8
1312;61;Qualität;6;8;9;70.4
587;62;Produktion;2;9;32;69.9
588;59;Produktion;8;9;29;74.8
589;56;Instandhaltung;3;5;23;68.2
590;31;Logistik;9;11;22;92.1
1401;52;Instandhaltung;11;8;3;75.2
592;22;Vertrieb;1;6;2;68.5
593;52;Finanzen;3;5;6;68.1
594;40;Einkauf;1;10;21;64.5
1054;49;Vertrieb;6;8;10;75.8
1053;31;Einkauf;9;11;0;73.0
597;28;Produktion;3;9;15;66.3
598;35;Qualität;5;10;33;74.3
599;64;Produktion;6;9;9;65.3
600;29;Finanzen;9;9;6;74.3
601;26;Qualität;2;11;24;72.3
602;27;Produktion;2;10;26;66.8
603;61;Produktion;9;7;14;85.5
1023;29;Vertrieb;10;11;25;87.0
605;55;Instandhaltung;12;9;27;90.4
606;24;Einkauf;11;2;8;83.9
607;63;Vertrieb;2;11;6;66.3
1437;33;Produktion;0;7;31;67.5
907;42;Qualität;10;7;31;85.8
1349;58;Einkauf;4;10;17;68.1
611;26;Einkauf;4;6;16;65.9
1244;27;Finanzen;1;7;12;69.7
981;29;Vertrieb;9;7;30;89.2
614;22;Produktion;2;8;1;68.3
1197;41;Instandhaltung;7;5;15;73.7
616;54;Einkauf;7;7;31;81.8
617;55;Vertrieb;3;6;28;77.2
1356;29;Einkauf;4;7;10;70.5
619;25;Qualität;6;9;7;68.4
620;62;Finanzen;9;8;1;80.3
621;18;Logistik;11;7;30;78.6
1158;39;Finanzen;6;10;16;77.0
1277;21;Finanzen;13;7;24;95.4
624;24;Finanzen;1;6;16;72.2
996;22;Vertrieb;11;10;29;89.1
626;62;Logistik;4;7;21;72.2
627;21;Produktion;4;8;5;71.8
1378;60;Produktion;8;7;17;71.5
629;23;Qualität;12;7;30;89.4
897;42;Finanzen;4;11;17;64.8
1456;62;Vertrieb;4;6;0;74.0
632;61;Einkauf;5;7;15;73.9
633;56;Instandhaltung;11;10;24;82.0
634;44;Einkauf;12;10;21;90.4
1145;53;Qualität;1;10;34;77.5
993;50;Logistik;7;6;7;71.1
637;36;Instandhaltung;7;6;11;70.0
999;61;Instandhaltung;8;3;10;80.4
1172;38;Finanzen;13;3;29;100.0
868;53;Vertrieb;8;8;2;74.1
1302;20;Instandhaltung;0;9;14;60.8
1259;40;Finanzen;11;13;14;87.6
1348;53;Finanzen;12;11;29;90.1
644;45;Instandhaltung;0;10;17;60.9
645;25;Produktion;10;7;32;88.5
942;21;Instandhaltung;11;7;27;92.1
924;25;Produktion;14;3;24;100.0
814;22;Instandhaltung;12;6;7;89.2
1149;25;Qualität;4;7;33;76.3
650;30;Logistik;2;10;33;72.9
651;45;Instandhaltung;4;7;23;70.7
1015;47;Vertrieb;4;6;31;70.7
653;50;Finanzen;14;5;4;87.9
654;55;Instandhaltung;0;5;23;67.1
655;23;Einkauf;7;6;4;75.9
656;61;Instandhaltung;11;8;5;80.9
657;62;Einkauf;7;13;3;59.7
869;18;Qualität;2;10;17;62.2
1107;46;Qualität;3;6;21;73.4
983;18;Einkauf;12;6;23;88.7
1096;55;Instandhaltung;5;4;30;71.2
662;33;Produktion;14;7;30;99.3
1008;34;Instandhaltung;14;6;26;96.8
664;28;Finanzen;9;6;16;83.2
665;54;Instandhaltung;2;7;22;67.1
666;53;Logistik;5;8;12;69.3
667;52;Produktion;13;6;26;82.5
668;36;Logistik;9;9;19;82.6
669;37;Vertrieb;12;7;12;87.7
670;35;Finanzen;9;6;23;83.5
671;64;Qualität;11;6;2;82.1
1417;57;Vertrieb;7;9;21;67.2
861;64;Logistik;2;8;13;68.6
674;32;Vertrieb;0;7;12;59.0
675;48;Instandhaltung;4;4;13;74.4
676;18;Logistik;3;12;32;73.4
1389;57;Vertrieb;0;1;32;76.2
1137;35;Einkauf;11;8;12;84.4
1072;24;Instandhaltung;0;6;4;51.7
1041;31;Finanzen;6;10;2;64.3
