Maschinen_ID;Maschinentyp;Produktionslinie;Baujahr;Anschaffungskosten;Wartungsintervall_Tage
240;Alt;L5;2009;89224;88
241;Modern;L2;2024;1384377;138
242;Modern;L4;2023;513224;150
243;Modern;L6;2023;540738;106
244;Standard;L2;2011;475875;69
245;Alt;L4;2006;99688;86
246;Modern;L4;2024;1263978;144
247;Standard;L5;2015;289649;108
248;Modern;L1;2019;1032358;136
249;Modern;L1;2022;626161;101
250;Modern;L3;2019;1032954;151
251;Standard;L5;2015;469905;75
252;Standard;L4;2012;448512;83
253;Modern;L6;2020;1162143;172
254;Standard;L1;2016;191914;67
255;Alt;L4;1997;120507;60
256;Standard;L1;2016;277738;80
257;Modern;L1;2024;1496530;170
258;Standard;L1;2015;396965;82
259;Standard;L6;2012;479670;96
260;Alt;L5;2009;120835;83
261;Standard;L6;2013;432100;75
262;Modern;L2;2022;718967;159
263;Alt;L4;1996;96240;37
264;Standard;L5;2011;244270;84
265;Modern;L5;2023;1291189;171
266;Standard;L5;2012;169097;84
267;Standard;L5;2012;291467;71
268;Standard;L6;2016;297313;74
269;Standard;L5;2017;308768;118
270;Standard;L3;2010;396726;85
271;Modern;L4;2024;1356912;115
272;Modern;L5;2022;1070451;136
273;Modern;L4;2021;519816;121
274;Modern;L3;2019;1467344;99
275;Standard;L3;2016;383619;75
276;Standard;L4;2010;464997;66
277;Modern;L1;2018;655989;106
278;Standard;L2;2016;246731;82
279;Standard;L1;2015;302638;85
280;Modern;L1;2019;706524;174
281;Modern;L6;2023;1087111;175
282;Standard;L1;2013;301878;117
283;Standard;L5;2010;356592;66
284;Alt;L6;1995;51759;43
285;Standard;L6;2014;407164;74
286;Alt;L3;1998;91949;82
287;Standard;L1;2010;283554;66
288;Standard;L3;2013;436586;68
289;Standard;L4;2011;243501;110
290;Standard;L2;2012;414223;107
291;Alt;L6;2003;52717;37
292;Alt;L4;2007;109676;79
293;Modern;L4;2019;1445456;148
294;Standard;L5;2016;367516;82
295;Alt;L2;1998;92460;58
296;Standard;L4;2016;240397;77
297;Modern;L4;2023;1097135;128
298;Alt;L2;1996;143607;64
299;Standard;L2;2016;370178;77
300;Alt;L4;2002;68449;88
