Logistik_ID;Produktionsauftrag_ID;Lieferzeit;Produktionsverzoegerung;Materialverfuegbarkeit
25933;135922;23;4;98
15298;490093;21;1;76
61943;141096;14;9;63
65762;245620;26;1;75
35970;732173;21;1;82
24598;337331;14;5;63
65938;747307;2;1;69
7934;217395;16;6;83
71632;758439;9;2;80
76308;623489;25;8;65
36514;28518;4;3;74
167;735717;9;5;57
87151;484271;29;6;98
94365;246814;15;5;67
74887;438232;25;9;56
15795;416982;3;0;98
70370;567690;14;2;99
4571;708176;15;1;89
6787;534232;14;1;76
88651;288226;18;4;86
79177;524041;28;5;81
66711;552026;9;7;87
11484;364717;3;9;82
41261;189520;22;6;50
42569;284839;19;0;92
46189;164958;23;9;73
66160;752370;5;4;67
34458;216740;29;6;60
66040;700507;14;1;58
67776;669288;8;5;90
45677;321697;29;9;89
77275;679635;26;9;56
16586;298952;1;4;53
80830;456463;13;7;75
15063;776654;7;2;75
26354;570273;5;8;64
55316;797453;28;3;72
90582;83279;27;7;58
39939;172239;4;9;75
3297;339120;15;4;99
70539;738813;17;1;97
16222;732120;14;5;88
22892;22767;24;4;80
55900;667279;16;0;90
4059;680333;26;5;78
8769;394799;10;0;81
87042;708405;4;2;55
203;451270;14;8;73
55532;420690;29;0;84
52428;696268;29;9;81
42053;454960;14;6;87
52461;56585;10;0;94
72676;467957;8;6;52
26561;29785;11;3;71
50623;756707;16;2;52
14406;201665;2;0;93
97101;108954;21;0;84
97092;423958;6;2;97
66638;707512;27;1;64
76484;385189;9;4;63
64338;175545;16;4;78
57669;654224;4;9;57
62379;55089;4;1;87
27217;475522;14;5;99
66432;637232;26;1;55
72766;497163;12;8;99
93498;380373;12;0;91
30986;413856;16;4;92
21544;307920;8;7;70
51663;377817;13;1;83
91986;109074;23;3;97
39814;334037;2;7;51
92163;755146;5;1;88
1024;421241;25;4;67
32548;539911;15;4;61
75713;448009;27;9;86
35298;394711;10;1;81
88041;145336;8;2;64
10974;43014;3;7;54
28013;109807;22;3;71
88739;152058;4;8;54
95033;498275;15;0;92
62607;33900;23;7;56
21189;723572;25;8;72
82764;327227;17;1;89
2141;758843;27;0;61
52433;103014;16;6;96
12630;290691;5;6;54
98248;17670;27;9;90
29936;702175;28;0;69
55413;97528;14;8;63
35111;731816;12;2;53
7115;726500;26;5;53
6678;601235;14;5;86
88881;312273;29;1;78
11839;216097;16;8;87
50199;208169;4;0;88
94945;367339;28;3;79
62343;215401;28;4;51
60453;611546;9;4;94
51228;631470;8;4;89
20250;727246;6;5;94
4805;143928;19;3;63
36215;142525;27;9;99
44571;594226;16;9;79
8892;582315;3;8;50
19891;248466;23;8;84
18350;683691;28;0;56
54904;505658;22;4;92
80158;377505;3;9;56
92976;465095;3;7;86
33338;745414;3;5;57
16826;319541;7;4;74
60253;616131;25;5;98
46006;62276;20;2;89
97577;331269;3;4;87
89128;610214;18;9;66
93515;184208;14;0;83
68423;224149;3;6;74
17276;660262;7;1;94
16777;189100;6;9;72
27340;39215;27;5;98
84104;609709;3;1;98
97602;689862;24;2;61
95649;582822;17;9;55
96462;543216;11;9;87
47682;750773;28;2;89
46779;210464;27;0;99
21650;336812;17;2;96
72424;270603;23;2;85
42323;681039;6;1;72
77075;409623;3;6;96
54521;58947;6;8;70
47800;431404;10;6;66
32046;584828;1;2;75
12660;233983;11;3;68
42319;346337;22;0;87
51207;705395;29;7;82
25047;117279;22;7;71
35418;658771;28;2;68
92328;94309;8;2;81
52704;692329;23;8;56
42556;768820;1;3;58
6682;305274;6;4;73
86125;223257;21;9;86
99841;148077;29;6;55
73919;365339;1;0;52
88125;514117;23;8;70
46527;194942;19;7;51
30494;549230;14;5;51
3288;542388;13;9;95
41357;84971;1;4;79
79449;672658;27;9;53
58299;457028;14;6;82
48214;244502;3;3;97
26959;714969;13;4;66
75289;74245;13;7;88
33435;745446;28;8;63
23833;768732;24;1;56
31576;536297;2;6;94
78734;428640;28;1;88
45426;128212;11;1;78
92824;221720;21;7;83
94479;69494;4;3;83
91368;52467;3;6;91
81134;407867;25;7;57
33486;26908;1;0;90
97618;673643;27;0;87
91583;128346;17;1;73
63135;455402;29;4;98
57539;288262;1;2;80
49936;213045;13;7;77
92946;476779;12;5;93
329;77506;10;4;69
31398;527736;1;4;82
63437;404765;3;8;89
51805;749436;21;8;66
88664;216277;25;7;90
20966;8196;19;0;52
95212;777541;11;0;87
12647;683445;25;4;73
37159;757182;14;6;80
88382;176525;19;5;95
46542;364168;7;7;73
47868;340569;1;2;79
92341;329905;7;2;68
3377;414995;13;6;97
12189;207893;7;7;50
97413;513748;19;2;54
64904;746710;23;2;62
47581;734138;27;7;83
72572;374585;11;2;72
43969;404047;9;1;65
5664;550243;1;9;92
8188;368947;29;5;88
99578;270590;1;4;70
80574;285210;20;3;74
24148;562923;7;9;61
92905;699862;25;3;87
10187;115075;20;5;61
95605;230998;3;6;97
99804;48737;8;7;99
80356;626022;10;8;99
57212;679284;25;3;83
36397;668236;11;8;57
40737;644712;18;8;62
21838;131236;6;2;59
82022;574335;8;9;84
57855;219381;17;9;52
41112;53270;29;1;97
76329;337423;14;1;72
27446;14285;19;7;78
80527;608369;7;6;68
8062;115141;15;5;99
76404;784881;23;1;88
87152;539992;5;4;71
12383;578367;23;4;56
27223;79883;29;9;66
13555;622130;16;0;93
75334;109573;12;5;93
59970;214025;8;9;80
42722;378103;5;3;65
31680;143868;12;6;98
13970;730527;25;9;89
78352;76030;11;5;77
90223;276172;8;4;80
47036;68579;11;2;58
83376;182237;24;0;81
384;648308;10;0;96
22697;67115;5;2;95
62867;318480;27;3;80
91562;260371;9;9;90
11516;53011;1;1;81
44953;64203;20;0;79
13868;412611;3;1;53
45128;582976;1;8;86
6561;296214;20;4;60
30544;191719;4;4;66
45972;742138;26;4;88
98292;409412;29;7;76
86442;135255;29;5;53
37410;396770;13;1;60
30680;732451;1;0;52
43773;173028;29;7;50
3469;507821;14;0;86
52237;77667;4;7;89
35604;339036;29;9;51
92629;179884;16;3;52
22940;280131;20;4;56
1525;259569;7;1;68
30743;96850;28;3;69
35713;753146;9;9;94
50892;178609;21;6;67
12776;439845;1;9;72
5303;785946;24;2;92
99175;487645;14;4;85
65930;759413;3;0;93
13156;420412;17;9;93
63377;495087;14;0;92
26386;58309;8;4;56
62427;536387;25;3;79
33439;368600;17;0;65
31733;698120;13;3;64
68265;86180;16;9;99
19840;597447;27;4;53
66057;110026;27;4;90
41075;227363;8;7;58
13910;716178;8;0;87
85276;610645;3;0;60
64124;216002;27;5;86
28819;307837;9;6;58
62539;756963;10;0;81
43711;96170;18;0;54
9045;196937;17;4;75
3405;491451;7;2;90
18113;156309;5;0;81
38610;652557;7;1;66
73589;337338;3;8;68
15171;760007;24;3;63
99765;300105;22;2;83
39134;203624;25;5;55
30075;169462;2;5;68
31814;424573;10;5;88
75699;771287;16;3;73
54528;289263;25;6;62
44548;792320;14;1;60
87631;624393;8;6;83
79080;498865;8;4;65
81271;128417;23;7;75
38376;651223;17;9;59
84508;627407;5;6;67
26013;670433;1;5;69
87679;693777;18;2;82
34192;551689;20;4;54
99305;596971;25;1;68
22777;146005;4;9;61
25926;241820;5;4;97
47093;249760;22;6;90
36493;376891;19;3;88
62734;170165;17;6;92
49667;703506;4;1;55
77919;216793;1;0;93
12766;457142;14;6;90
30078;349034;27;6;50
78096;468402;7;0;63
98754;588342;22;1;59
77386;543983;4;0;71
54752;76657;12;2;76
79450;790302;10;7;55
14884;766752;26;1;84
17879;216198;7;6;93
21945;355463;1;7;60
7694;395461;12;4;79
47963;535181;18;6;84
88931;227217;26;9;72
24907;353278;8;5;71
71456;657427;13;3;75
17142;682359;8;0;61
73135;675159;14;8;74
18463;128994;24;5;67
7024;623983;24;6;68
44148;70682;9;9;53
42915;710027;1;8;62
43475;195395;29;3;99
47495;406010;15;2;99
55114;537645;23;2;61
45901;200288;6;1;85
26377;549127;25;8;90
63530;37036;11;9;59
62662;261113;15;7;59
38039;227623;2;1;63
91960;606226;28;8;52
17473;290112;7;8;98
78686;657410;9;3;54
89886;613422;14;7;98
79363;725737;17;3;79
10012;425911;2;2;62
37801;355387;11;7;89
47758;502970;18;0;72
74200;155660;25;8;50
21284;692457;24;9;79
53299;538182;15;9;51
98594;62809;28;4;69
45712;207872;5;4;59
34288;56236;20;0;81
81159;345527;29;9;53
20160;527528;8;1;73
89274;634633;14;8;54
24417;46653;18;0;86
40999;756771;7;9;88
27215;743709;23;0;61
81170;316401;27;4;60
63032;428782;2;9;83
66154;543361;10;6;99
39542;175000;3;9;88
50900;26086;27;3;61
23063;305263;20;5;62
38383;554927;12;4;72
73564;525728;15;4;63
94536;764906;7;0;87
94429;343877;16;5;90
37175;25941;5;2;51
72773;426214;26;3;80
93088;47031;22;0;77
70704;513414;16;3;97
48149;451383;4;5;89
68371;396645;24;1;80
40796;267945;10;1;77
48585;609664;10;9;80
62094;669327;13;3;58
70107;182533;7;8;50
25716;666416;5;0;64
86952;633807;3;5;82
13638;597519;17;6;60
64799;575758;12;9;86
7766;301408;4;6;85
42589;767810;9;0;76
90822;733479;8;3;55
93948;138950;2;9;86
98307;520332;24;6;78
92385;419578;25;9;70
66575;581554;20;7;99
61461;120024;27;8;64
84827;548196;26;8;66
28020;619493;1;9;84
7046;545000;10;7;75
3738;664930;10;4;92
96752;246578;27;5;80
32628;526920;3;2;54
27995;583668;25;0;74
84462;222012;23;8;78
35423;600984;6;3;56
24262;450584;19;5;91
64814;714624;17;8;96
55117;314038;8;9;97
11774;78785;26;1;92
20073;779341;21;4;53
30207;798982;13;0;66
39444;784856;5;5;90
32092;262678;17;3;64
74921;283371;5;4;63
51525;461601;17;3;98
90145;348233;27;9;93
74551;796171;14;9;84
99079;711487;3;5;51
8882;553007;26;5;55
32206;601270;12;6;94
928;417171;19;7;84
48985;197468;20;7;73
27225;721156;8;2;51
43233;226070;12;7;99
93512;284915;13;9;87
98824;294125;24;9;88
89214;299747;21;1;70
95914;492299;6;7;61
9625;72783;13;4;55
87075;434011;19;2;62
65420;92966;3;4;56
29685;188913;24;0;96
92503;370903;8;3;63
31285;569391;20;9;88
53789;90135;16;3;92
36205;590532;24;1;77
79357;249395;11;5;99
27345;680584;6;5;53
43687;725309;22;6;74
63323;227872;13;8;54
46672;403328;19;7;55
14465;226598;10;1;99
94069;336783;7;1;74
97462;174361;18;0;82
65443;758339;10;0;76
74417;373008;19;3;81
95399;442165;29;0;56
41466;796614;24;1;55
61038;631380;24;8;78
25468;352618;5;9;70
55090;278546;3;2;81
89344;269711;12;0;55
18780;225441;15;1;54
69709;412871;20;3;52
58521;10695;27;0;94
26576;122476;17;6;89
23157;347807;29;2;98
52065;149683;10;2;97
50221;478420;12;7;85
34184;7462;28;0;84
38303;404141;10;1;57
30325;279053;4;5;67
48870;669018;29;1;79
18247;482334;28;3;94
40161;579090;16;0;99
28753;786229;16;6;63
55466;691348;3;2;88
32174;403074;2;4;87
98850;547359;26;0;94
57829;338072;25;4;84
93838;469365;22;3;72
19251;153024;29;9;72
19740;310895;3;6;84
25382;549668;13;7;77
21768;569206;1;9;52
7035;245283;12;4;80
40123;230997;17;8;55
97331;270747;21;9;55
92081;370166;5;2;82
75162;33720;11;1;71
35091;682157;18;3;82
89640;267656;19;7;57
95354;269801;27;5;78
96980;622631;6;8;55
95753;403503;24;8;60
51062;51570;23;0;65
98615;480337;21;4;56
12948;177044;27;4;78
34552;777190;4;3;66
79858;602639;23;0;77
7622;212236;5;5;91
82195;30715;25;8;53
69022;697531;1;8;57
16011;452437;3;3;51
80115;728137;23;4;55
31961;596270;3;1;89
59631;522161;20;0;72
5771;504678;3;1;78
20893;353124;10;5;91
47154;786442;24;3;54
52731;17459;29;3;94
86845;3403;16;8;81
93216;62326;13;5;81
91214;276349;5;9;63
38450;111012;26;0;71
29847;58528;14;5;98
95677;332046;1;4;76
36312;493692;26;1;89
46141;355621;22;4;89
37682;676741;10;0;59
64655;653762;5;4;81
11348;659600;19;3;64
11212;45709;17;6;64
89400;75328;26;7;55
14577;658147;26;9;68
94696;270287;5;6;54
48175;239078;5;5;82
18708;446296;29;4;98
83349;714393;14;0;85
43234;382949;5;6;98
74628;515460;25;5;65
93513;791198;27;7;93
84414;323805;7;9;99
19419;360373;17;9;51
46054;439835;3;8;51
78495;74822;27;6;57
74388;442536;1;0;96
14680;239692;11;4;64
42304;86170;2;5;78
81575;274015;17;5;92
95115;133061;20;5;95
29210;579824;5;9;75
59283;371211;23;5;73
94987;729372;25;3;66
97711;381063;5;4;82
82041;247278;11;8;51
71283;673100;16;3;93
49412;224390;6;3;96
80932;350795;13;6;53
78412;582885;26;1;83
24398;192703;15;1;56
38728;576005;11;2;93
71912;615583;21;9;95
52350;538119;8;4;65
60700;4018;4;9;89
918;24072;24;3;61
71625;260274;21;9;52
13585;668302;15;9;80
29644;87421;5;0;64
92676;296695;26;4;85
64367;194184;14;6;66
49585;535445;17;4;94
99603;483728;27;3;86
68314;649330;14;7;87
20772;786960;24;8;66
4552;439031;18;1;62
6275;414028;26;9;60
79772;301905;28;6;59
18577;57354;22;5;63
34680;791676;14;0;75
54952;224542;10;4;68
97425;715176;4;4;60
79631;563950;19;7;56
4000;184457;25;8;76
55951;431856;3;8;57
42515;788043;21;8;61
62615;233388;1;9;67
97279;28584;4;1;69
57260;184940;5;3;86
71808;352035;2;1;68
82569;178004;20;5;81
48715;368550;26;3;63
92382;302001;15;0;94
24176;150695;20;0;80
39935;748611;4;4;51
4086;309736;12;2;71
32434;450837;20;8;68
28515;580382;22;3;97
85696;717872;10;8;89
86646;27642;26;0;58
31661;525605;9;8;54
30348;514634;18;8;77
59420;23887;3;8;85
32893;4903;5;5;91
57698;6157;22;5;75
1202;492314;3;8;72
13356;246301;8;8;92
27001;333020;8;5;73
62458;642646;4;3;56
62267;159067;27;2;54
43799;617663;23;6;55
89849;118440;16;5;68
4013;391859;13;5;80
18409;517256;10;4;59
99135;245407;3;3;52
31230;771564;26;9;79
34841;481122;28;0;72
45520;537442;26;7;91
16638;594609;25;3;83
51512;534414;22;3;94
24024;642758;29;6;88
9050;557177;9;5;50
61839;217476;18;9;57
12173;225785;12;5;64
86439;299243;19;0;97
30091;53078;6;2;88
85069;661711;15;0;87
42740;517145;19;5;80
51325;682092;3;9;93
752;638354;9;8;64
18578;245742;1;5;80
68361;389776;26;3;92
73208;617258;19;8;88
21298;40479;14;2;63
27648;39588;21;5;89
78714;651965;2;3;67
81296;319968;28;5;69
60687;352367;14;1;85
49158;788208;4;7;96
38848;191568;9;9;96
90795;622334;18;7;76
86170;223423;5;8;72
33530;709228;8;5;58
2395;651177;22;9;87
47290;391389;15;0;92
90392;502830;21;2;83
8436;157256;11;0;90
57314;345687;4;2;59
8066;335835;25;0;96
48706;680656;14;0;95
79728;542995;13;2;59
50685;642412;11;9;67
42695;535347;19;9;78
62250;709347;6;1;90
26021;574892;3;8;73
36255;181421;3;4;91
72561;651953;10;2;97
38256;368888;28;1;52
46477;535845;8;7;85
2768;632501;13;3;74
38903;128717;1;5;77
25257;273080;10;6;77
2328;566957;27;3;92
3743;130545;15;0;98
30919;517104;21;4;77
12655;417166;13;0;74
37911;659023;16;3;85
95300;740336;14;9;92
80851;567692;12;1;97
36655;45429;5;9;98
62092;608209;22;7;56
27643;536300;1;8;51
94903;117961;5;9;67
51169;754945;23;7;83
89040;53148;13;3;65
81260;570264;2;0;84
40574;636950;8;7;84
3372;724985;28;9;77
