Sicherheitsfall_ID;Datum;Maschinen_ID;Schweregrad;Sicherheitsverstöße;Produktionsausfall_h
1459;2020-07-01 06:00:00;236;Mittel;4;4,35
17462;2025-12-22 15:00:00;34;Mittel;1;2,28
15373;2025-04-05 12:00:00;254;Niedrig;0;7,2
16246;2025-07-23 15:00:00;86;Niedrig;5;1,75
14707;2025-01-12 06:00:00;157;Niedrig;3;0,29
13088;2024-06-23 21:00:00;122;Niedrig;2;5,87
14510;2024-12-18 15:00:00;12;Niedrig;2;5,77
8040;2022-10-01 21:00:00;220;Mittel;2;1,01
1187;2020-05-28 06:00:00;268;Niedrig;4;3,66
9218;2023-02-26 03:00:00;205;Mittel;0;0,9
17500;2025-12-27 09:00:00;271;Niedrig;4;2,3
3368;2021-02-24 21:00:00;279;Mittel;0;9,1
8713;2022-12-25 00:00:00;41;Mittel;3;5,93
19942;2026-10-28 15:00:00;291;Niedrig;1;17,4
71;2020-01-09 18:00:00;188;Niedrig;4;0,99
16868;2025-10-09 09:00:00;40;Niedrig;2;7,02
3886;2021-04-30 15:00:00;279;Niedrig;4;4,81
13624;2024-08-29 21:00:00;138;Niedrig;2;1,34
14120;2024-10-30 21:00:00;265;Niedrig;2;4,25
7833;2022-09-06 00:00:00;239;Hoch;2;0,59
2713;2020-12-05 00:00:00;41;Niedrig;5;9,85
8632;2022-12-14 21:00:00;203;Mittel;0;2,86
7159;2022-06-13 18:00:00;295;Hoch;0;1,11
16880;2025-10-10 21:00:00;171;Niedrig;3;2,26
81;2020-01-11 00:00:00;81;Niedrig;4;0,82
2382;2020-10-24 15:00:00;98;Niedrig;1;1,64
83;2020-01-11 06:00:00;289;Niedrig;1;0,04
6848;2022-05-05 21:00:00;286;Niedrig;3;4,43
18226;2026-03-28 03:00:00;191;Niedrig;1;21,04
17795;2026-02-02 06:00:00;146;Niedrig;1;10,19
19217;2026-07-30 00:00:00;68;Niedrig;3;0,96
16461;2025-08-19 12:00:00;153;Mittel;4;0,73
10456;2023-07-30 21:00:00;126;Mittel;5;5,92
2238;2020-10-06 15:00:00;20;Hoch;4;0,04
16583;2025-09-03 18:00:00;179;Niedrig;0;0,66
8129;2022-10-13 00:00:00;249;Niedrig;3;0,37
1202;2020-05-30 03:00:00;137;Niedrig;4;0,24
18250;2026-03-31 03:00:00;111;Niedrig;3;3,83
16595;2025-09-05 06:00:00;277;Niedrig;1;7,16
17906;2026-02-16 03:00:00;162;Niedrig;3;6,85
15347;2025-04-02 06:00:00;77;Niedrig;3;0,55
12135;2024-02-25 18:00:00;169;Niedrig;1;2,34
4004;2021-05-15 09:00:00;214;Mittel;2;5,16
1670;2020-07-27 15:00:00;264;Mittel;1;3,9
11275;2023-11-10 06:00:00;101;Niedrig;2;0,82
102;2020-01-13 15:00:00;131;Niedrig;5;0,32
3020;2021-01-12 09:00:00;209;Mittel;2;0,58
104;2020-01-13 21:00:00;5;Niedrig;2;4,62
5560;2021-11-25 21:00:00;181;Mittel;3;2,84
2434;2020-10-31 03:00:00;267;Niedrig;1;0,46
1544;2020-07-11 21:00:00;300;Niedrig;1;4,38
10958;2023-10-01 15:00:00;298;Niedrig;5;11,53
16598;2025-09-05 15:00:00;145;Niedrig;4;20,97
11102;2023-10-19 15:00:00;296;Niedrig;3;9,98
4726;2021-08-13 15:00:00;276;Niedrig;2;3,81
9064;2023-02-06 21:00:00;255;Niedrig;3;12,17
17402;2025-12-15 03:00:00;78;Mittel;0;0,18
10725;2023-09-02 12:00:00;206;Niedrig;2;2,81
115;2020-01-15 06:00:00;52;Niedrig;2;0,67
13981;2024-10-13 12:00:00;103;Mittel;3;3,09
7798;2022-09-01 15:00:00;91;Niedrig;2;6,79
9076;2023-02-08 09:00:00;299;Niedrig;3;3,1
17168;2025-11-15 21:00:00;248;Niedrig;3;6,78
16807;2025-10-01 18:00:00;10;Niedrig;0;2,52
4698;2021-08-10 03:00:00;84;Niedrig;3;1,58
3831;2021-04-23 18:00:00;59;Niedrig;2;1,9
8031;2022-09-30 18:00:00;104;Mittel;3;6,43
5042;2021-09-22 03:00:00;271;Niedrig;5;6,48
8874;2023-01-14 03:00:00;136;Niedrig;0;3,01
14753;2025-01-18 00:00:00;43;Mittel;2;1,91
10621;2023-08-20 12:00:00;290;Niedrig;6;2,56
19187;2026-07-26 06:00:00;12;Hoch;5;2,62
3572;2021-03-22 09:00:00;25;Niedrig;5;3,02
6963;2022-05-20 06:00:00;99;Niedrig;1;0,71
4450;2021-07-10 03:00:00;19;Hoch;0;0,9
14278;2024-11-19 15:00:00;168;Niedrig;2;9,08
9021;2023-02-01 12:00:00;218;Mittel;1;12,21
13963;2024-10-11 06:00:00;274;Niedrig;1;8,79
18960;2026-06-27 21:00:00;73;Niedrig;3;5,39
14496;2024-12-16 21:00:00;209;Niedrig;1;0,86
18023;2026-03-02 18:00:00;33;Niedrig;1;3,29
10015;2023-06-05 18:00:00;41;Niedrig;1;2,4
5758;2021-12-20 15:00:00;269;Mittel;4;3,98
1285;2020-06-09 12:00:00;9;Niedrig;2;3,67
10376;2023-07-20 21:00:00;250;Hoch;0;3,5
15924;2025-06-13 09:00:00;193;Mittel;4;1,69
17352;2025-12-08 21:00:00;270;Mittel;5;8,53
12095;2024-02-20 18:00:00;158;Niedrig;2;7,53
18134;2026-03-16 15:00:00;12;Niedrig;2;8,61
8194;2022-10-21 03:00:00;141;Niedrig;2;5,0
13886;2024-10-01 15:00:00;141;Mittel;0;2,59
1636;2020-07-23 09:00:00;293;Mittel;5;0,25
8288;2022-11-01 21:00:00;276;Mittel;2;0,13
5385;2021-11-04 00:00:00;224;Niedrig;1;3,62
17724;2026-01-24 09:00:00;200;Niedrig;5;3,35
3131;2021-01-26 06:00:00;181;Niedrig;2;14,23
153;2020-01-20 00:00:00;234;Niedrig;0;3,7
14219;2024-11-12 06:00:00;246;Niedrig;1;10,26
15140;2025-03-07 09:00:00;47;Niedrig;4;5,04
6593;2022-04-04 00:00:00;116;Hoch;3;11,69
17128;2025-11-10 21:00:00;190;Niedrig;2;3,69
14446;2024-12-10 15:00:00;182;Niedrig;1;1,14
13469;2024-08-10 12:00:00;36;Niedrig;2;6,97
9385;2023-03-19 00:00:00;12;Niedrig;2;2,13
4507;2021-07-17 06:00:00;229;Niedrig;3;1,34
1771;2020-08-09 06:00:00;108;Niedrig;4;2,95
15661;2025-05-11 12:00:00;176;Niedrig;4;3,34
12212;2024-03-06 09:00:00;173;Hoch;1;9,57
7405;2022-07-14 12:00:00;141;Niedrig;2;0,75
17158;2025-11-14 15:00:00;286;Niedrig;3;0,77
4419;2021-07-06 06:00:00;145;Mittel;2;8,57
17236;2025-11-24 09:00:00;32;Niedrig;4;4,67
2337;2020-10-19 00:00:00;44;Niedrig;0;2,15
14233;2024-11-14 00:00:00;13;Niedrig;4;4,75
16068;2025-07-01 09:00:00;59;Niedrig;1;1,25
14009;2024-10-17 00:00:00;177;Mittel;0;0,74
7494;2022-07-25 15:00:00;192;Niedrig;3;0,83
2433;2020-10-31 00:00:00;197;Niedrig;2;3,01
4557;2021-07-23 12:00:00;99;Hoch;1;2,53
16757;2025-09-25 12:00:00;18;Niedrig;3;5,69
1929;2020-08-29 00:00:00;244;Niedrig;2;1,51
178;2020-01-23 03:00:00;53;Niedrig;1;0,41
18479;2026-04-28 18:00:00;12;Mittel;2;1,83
5832;2021-12-29 21:00:00;10;Niedrig;3;5,41
7008;2022-05-25 21:00:00;212;Niedrig;3;0,49
19857;2026-10-18 00:00:00;240;Mittel;2;9,02
3445;2021-03-06 12:00:00;175;Mittel;2;1,59
16700;2025-09-18 09:00:00;250;Niedrig;2;0,37
6819;2022-05-02 06:00:00;83;Niedrig;3;2,0
6817;2022-05-02 00:00:00;27;Niedrig;4;1,29
5617;2021-12-03 00:00:00;105;Hoch;2;2,85
6656;2022-04-11 21:00:00;180;Niedrig;2;0,44
18510;2026-05-02 15:00:00;123;Niedrig;3;5,47
16679;2025-09-15 18:00:00;165;Niedrig;1;0,72
3652;2021-04-01 09:00:00;92;Niedrig;1;6,11
9857;2023-05-17 00:00:00;32;Mittel;0;5,9
5841;2021-12-31 00:00:00;214;Hoch;3;6,81
13120;2024-06-27 21:00:00;259;Niedrig;3;2,62
4125;2021-05-30 12:00:00;278;Mittel;0;7,99
196;2020-01-25 09:00:00;124;Hoch;0;5,72
853;2020-04-16 12:00:00;270;Niedrig;2;0,76
7529;2022-07-30 00:00:00;267;Niedrig;4;1,03
1827;2020-08-16 06:00:00;78;Niedrig;4;0,9
10483;2023-08-03 06:00:00;280;Niedrig;1;1,52
12496;2024-04-10 21:00:00;84;Niedrig;2;5,09
1296;2020-06-10 21:00:00;227;Niedrig;2;0,85
3147;2021-01-28 06:00:00;16;Niedrig;0;2,73
17713;2026-01-23 00:00:00;213;Mittel;2;32,89
4223;2021-06-11 18:00:00;269;Niedrig;0;1,9
15942;2025-06-15 15:00:00;277;Niedrig;2;1,81
19805;2026-10-11 12:00:00;97;Hoch;6;3,17
7693;2022-08-19 12:00:00;88;Niedrig;3;7,82
1298;2020-06-11 03:00:00;120;Niedrig;2;2,32
210;2020-01-27 03:00:00;99;Niedrig;4;0,53
13526;2024-08-17 15:00:00;282;Mittel;3;0,99
2371;2020-10-23 06:00:00;152;Niedrig;3;0,28
5895;2022-01-06 18:00:00;220;Niedrig;1;6,87
9163;2023-02-19 06:00:00;105;Niedrig;2;1,24
14024;2024-10-18 21:00:00;223;Mittel;5;5,79
7914;2022-09-16 03:00:00;271;Hoch;4;1,75
1868;2020-08-21 09:00:00;67;Niedrig;3;1,87
19847;2026-10-16 18:00:00;133;Hoch;2;16,45
8512;2022-11-29 21:00:00;38;Mittel;5;0,18
12649;2024-04-30 00:00:00;108;Niedrig;1;11,19
1931;2020-08-29 06:00:00;239;Niedrig;4;0,86
18351;2026-04-12 18:00:00;116;Mittel;3;2,11
3995;2021-05-14 06:00:00;277;Mittel;2;3,8
11040;2023-10-11 21:00:00;54;Niedrig;1;15,12
11668;2023-12-29 09:00:00;15;Niedrig;5;1,21
1802;2020-08-13 03:00:00;68;Mittel;1;1,57
1050;2020-05-11 03:00:00;147;Niedrig;5;2,06
16435;2025-08-16 06:00:00;162;Niedrig;3;4,32
12312;2024-03-18 21:00:00;27;Mittel;3;1,93
1244;2020-06-04 09:00:00;266;Hoch;1;5,75
8910;2023-01-18 15:00:00;100;Niedrig;1;7,76
15161;2025-03-10 00:00:00;124;Niedrig;3;8,63
7654;2022-08-14 15:00:00;79;Niedrig;4;2,43
15162;2025-03-10 03:00:00;77;Mittel;2;0,94
17697;2026-01-21 00:00:00;231;Niedrig;1;0,6
13713;2024-09-10 00:00:00;132;Mittel;2;2,95
8174;2022-10-18 15:00:00;76;Mittel;1;7,76
3183;2021-02-01 18:00:00;90;Niedrig;0;8,52
14077;2024-10-25 12:00:00;14;Hoch;2;1,55
13052;2024-06-19 09:00:00;242;Mittel;5;3,11
13920;2024-10-05 21:00:00;153;Niedrig;3;0,06
12191;2024-03-03 18:00:00;36;Niedrig;0;0,42
243;2020-01-31 06:00:00;169;Niedrig;2;1,85
11981;2024-02-06 12:00:00;146;Mittel;0;1,0
11580;2023-12-18 09:00:00;77;Niedrig;1;13,5
2006;2020-09-07 15:00:00;221;Niedrig;1;1,19
17153;2025-11-14 00:00:00;138;Niedrig;0;1,94
14808;2025-01-24 21:00:00;34;Hoch;2;4,59
10883;2023-09-22 06:00:00;159;Niedrig;5;14,89
11863;2024-01-22 18:00:00;197;Hoch;1;1,82
8466;2022-11-24 03:00:00;155;Mittel;2;2,81
11015;2023-10-08 18:00:00;138;Niedrig;1;2,62
2588;2020-11-19 09:00:00;41;Niedrig;5;3,48
10676;2023-08-27 09:00:00;167;Niedrig;3;5,16
4181;2021-06-06 12:00:00;256;Niedrig;1;0,43
4924;2021-09-07 09:00:00;210;Mittel;1;0,4
13186;2024-07-06 03:00:00;122;Niedrig;0;2,43
10902;2023-09-24 15:00:00;298;Mittel;1;2,26
15163;2025-03-10 06:00:00;123;Mittel;2;0,34
12683;2024-05-04 06:00:00;265;Mittel;3;0,9
3046;2021-01-15 15:00:00;213;Niedrig;2;0,26
15316;2025-03-29 09:00:00;135;Mittel;2;12,09
3118;2021-01-24 15:00:00;29;Mittel;4;4,11
3766;2021-04-15 15:00:00;295;Mittel;1;3,38
10584;2023-08-15 21:00:00;81;Mittel;0;10,49
16484;2025-08-22 09:00:00;135;Mittel;1;0,85
14766;2025-01-19 15:00:00;292;Niedrig;4;1,14
7521;2022-07-29 00:00:00;273;Mittel;5;2,03
9970;2023-05-31 03:00:00;43;Niedrig;1;1,24
4034;2021-05-19 03:00:00;29;Niedrig;2;5,37
10170;2023-06-25 03:00:00;130;Mittel;2;5,89
272;2020-02-03 21:00:00;17;Mittel;0;1,72
5842;2021-12-31 03:00:00;121;Mittel;0;9,49
4586;2021-07-27 03:00:00;63;Mittel;2;9,91
8137;2022-10-14 00:00:00;66;Mittel;2;4,48
6789;2022-04-28 12:00:00;186;Niedrig;6;0,8
12679;2024-05-03 18:00:00;127;Niedrig;2;12,62
278;2020-02-04 15:00:00;99;Niedrig;2;23,0
14564;2024-12-25 09:00:00;189;Niedrig;2;9,0
12767;2024-05-14 18:00:00;117;Niedrig;0;3,15
12338;2024-03-22 03:00:00;244;Mittel;3;2,37
9943;2023-05-27 18:00:00;60;Niedrig;0;6,99
5507;2021-11-19 06:00:00;9;Niedrig;1;0,0
18583;2026-05-11 18:00:00;297;Niedrig;3;3,18
14221;2024-11-12 12:00:00;8;Niedrig;1;5,2
11987;2024-02-07 06:00:00;300;Mittel;1;6,95
7205;2022-06-19 12:00:00;246;Niedrig;0;3,67
8233;2022-10-26 00:00:00;289;Niedrig;0;1,9
5464;2021-11-13 21:00:00;260;Mittel;1;2,01
16012;2025-06-24 09:00:00;137;Mittel;2;2,6
3375;2021-02-25 18:00:00;54;Mittel;1;27,24
6113;2022-02-03 00:00:00;145;Niedrig;1;3,9
1516;2020-07-08 09:00:00;264;Mittel;0;3,22
4458;2021-07-11 03:00:00;50;Niedrig;1;0,07
9824;2023-05-12 21:00:00;187;Niedrig;1;0,31
10421;2023-07-26 12:00:00;48;Niedrig;5;0,85
4376;2021-06-30 21:00:00;56;Niedrig;2;0,44
4551;2021-07-22 18:00:00;127;Niedrig;1;2,52
13978;2024-10-13 03:00:00;125;Niedrig;3;13,55
2650;2020-11-27 03:00:00;93;Niedrig;2;0,09
3240;2021-02-08 21:00:00;48;Niedrig;1;8,74
14838;2025-01-28 15:00:00;278;Niedrig;1;0,32
8694;2022-12-22 15:00:00;131;Niedrig;1;0,04
16102;2025-07-05 15:00:00;180;Niedrig;4;5,35
5299;2021-10-24 06:00:00;186;Niedrig;5;3,79
19905;2026-10-24 00:00:00;74;Niedrig;0;2,94
6226;2022-02-17 03:00:00;146;Mittel;3;0,25
6154;2022-02-08 03:00:00;141;Mittel;3;4,12
17528;2025-12-30 21:00:00;262;Niedrig;3;3,87
19984;2026-11-02 21:00:00;122;Niedrig;4;3,87
12506;2024-04-12 03:00:00;113;Mittel;2;7,63
1436;2020-06-28 09:00:00;12;Niedrig;2;0,09
10974;2023-10-03 15:00:00;104;Mittel;0;2,22
3550;2021-03-19 15:00:00;84;Niedrig;2;2,04
9031;2023-02-02 18:00:00;183;Hoch;0;7,33
1015;2020-05-06 18:00:00;55;Niedrig;4;1,36
11434;2023-11-30 03:00:00;117;Niedrig;1;6,32
3644;2021-03-31 09:00:00;123;Niedrig;2;2,85
6208;2022-02-14 21:00:00;62;Niedrig;0;1,03
9173;2023-02-20 12:00:00;146;Niedrig;4;0,34
321;2020-02-10 00:00:00;288;Mittel;2;2,86
12209;2024-03-06 00:00:00;68;Niedrig;2;3,25
3429;2021-03-04 12:00:00;198;Niedrig;1;0,96
6573;2022-04-01 12:00:00;182;Niedrig;3;0,65
17176;2025-11-16 21:00:00;234;Niedrig;3;1,34
10429;2023-07-27 12:00:00;50;Niedrig;1;6,73
12965;2024-06-08 12:00:00;290;Niedrig;3;2,24
16812;2025-10-02 09:00:00;18;Niedrig;1;5,52
3770;2021-04-16 03:00:00;71;Niedrig;2;4,35
17466;2025-12-23 03:00:00;158;Niedrig;1;1,6
3509;2021-03-14 12:00:00;215;Niedrig;2;7,61
1183;2020-05-27 18:00:00;198;Mittel;0;3,97
3128;2021-01-25 21:00:00;92;Niedrig;1;6,73
1172;2020-05-26 09:00:00;101;Niedrig;2;9,55
4349;2021-06-27 12:00:00;253;Mittel;2;2,46
7573;2022-08-04 12:00:00;23;Niedrig;0;3,66
2427;2020-10-30 06:00:00;227;Niedrig;0;2,58
18567;2026-05-09 18:00:00;138;Niedrig;2;5,22
13322;2024-07-23 03:00:00;194;Niedrig;1;2,85
18481;2026-04-29 00:00:00;133;Niedrig;5;8,3
2077;2020-09-16 12:00:00;264;Niedrig;1;2,16
3098;2021-01-22 03:00:00;54;Niedrig;3;7,06
12768;2024-05-14 21:00:00;13;Niedrig;1;8,01
17049;2025-11-01 00:00:00;4;Hoch;1;10,83
1374;2020-06-20 15:00:00;163;Mittel;1;0,38
953;2020-04-29 00:00:00;182;Mittel;0;11,99
17448;2025-12-20 21:00:00;32;Niedrig;2;2,41
9101;2023-02-11 12:00:00;228;Niedrig;1;3,2
17048;2025-10-31 21:00:00;67;Niedrig;2;9,25
13135;2024-06-29 18:00:00;266;Niedrig;2;3,43
4091;2021-05-26 06:00:00;60;Mittel;1;2,84
18499;2026-05-01 06:00:00;283;Niedrig;3;10,68
2104;2020-09-19 21:00:00;138;Mittel;3;10,06
14997;2025-02-17 12:00:00;164;Niedrig;3;9,13
18074;2026-03-09 03:00:00;76;Niedrig;4;1,79
3613;2021-03-27 12:00:00;299;Niedrig;0;3,0
6792;2022-04-28 21:00:00;11;Niedrig;0;5,94
15496;2025-04-20 21:00:00;68;Mittel;1;11,62
8056;2022-10-03 21:00:00;203;Mittel;6;0,79
12634;2024-04-28 03:00:00;122;Niedrig;4;3,99
19708;2026-09-29 09:00:00;81;Niedrig;2;2,9
9799;2023-05-09 18:00:00;281;Mittel;1;4,49
3765;2021-04-15 12:00:00;245;Niedrig;2;15,62
18760;2026-06-02 21:00:00;66;Niedrig;2;11,28
1176;2020-05-26 21:00:00;12;Mittel;1;0,64
4445;2021-07-09 12:00:00;273;Mittel;2;1,54
1334;2020-06-15 15:00:00;262;Niedrig;2;4,03
19917;2026-10-25 12:00:00;252;Niedrig;4;1,38
19798;2026-10-10 15:00:00;108;Niedrig;1;2,21
17933;2026-02-19 12:00:00;226;Mittel;3;9,78
7706;2022-08-21 03:00:00;204;Hoch;2;4,37
8397;2022-11-15 12:00:00;146;Niedrig;2;0,52
18435;2026-04-23 06:00:00;206;Niedrig;3;0,94
5541;2021-11-23 12:00:00;291;Niedrig;0;0,34
19579;2026-09-13 06:00:00;274;Niedrig;3;0,83
6205;2022-02-14 12:00:00;283;Mittel;0;4,7
4804;2021-08-23 09:00:00;72;Niedrig;1;0,8
15787;2025-05-27 06:00:00;6;Mittel;2;0,27
3418;2021-03-03 03:00:00;241;Niedrig;3;1,16
4167;2021-06-04 18:00:00;131;Niedrig;3;5,58
10341;2023-07-16 12:00:00;166;Mittel;5;1,68
9365;2023-03-16 12:00:00;200;Niedrig;1;1,0
4935;2021-09-08 18:00:00;260;Hoch;2;7,58
1449;2020-06-30 00:00:00;50;Niedrig;5;1,16
9442;2023-03-26 03:00:00;265;Niedrig;3;3,16
4538;2021-07-21 03:00:00;175;Niedrig;6;6,67
7566;2022-08-03 15:00:00;280;Hoch;5;0,86
16136;2025-07-09 21:00:00;65;Niedrig;3;2,41
15369;2025-04-05 00:00:00;279;Niedrig;3;0,39
9020;2023-02-01 09:00:00;70;Mittel;1;0,69
10317;2023-07-13 12:00:00;78;Niedrig;0;1,62
10979;2023-10-04 06:00:00;110;Niedrig;0;0,82
19399;2026-08-21 18:00:00;228;Niedrig;3;4,72
17732;2026-01-25 09:00:00;77;Hoch;1;0,24
6960;2022-05-19 21:00:00;85;Mittel;1;2,58
12343;2024-03-22 18:00:00;23;Niedrig;0;6,93
11022;2023-10-09 15:00:00;48;Niedrig;1;1,77
12523;2024-04-14 06:00:00;257;Niedrig;1;1,38
15460;2025-04-16 09:00:00;113;Niedrig;1;1,64
5685;2021-12-11 12:00:00;212;Niedrig;3;7,24
2124;2020-09-22 09:00:00;258;Niedrig;5;4,82
6799;2022-04-29 18:00:00;278;Mittel;1;0,08
15699;2025-05-16 06:00:00;300;Mittel;2;9,35
11289;2023-11-12 00:00:00;194;Niedrig;2;10,81
13458;2024-08-09 03:00:00;21;Mittel;0;6,66
4569;2021-07-25 00:00:00;241;Niedrig;0;4,72
7558;2022-08-02 15:00:00;24;Niedrig;0;2,51
13100;2024-06-25 09:00:00;274;Niedrig;2;5,24
15707;2025-05-17 06:00:00;262;Niedrig;3;0,28
14763;2025-01-19 06:00:00;148;Niedrig;1;0,02
18809;2026-06-09 00:00:00;142;Mittel;1;0,4
6993;2022-05-24 00:00:00;13;Niedrig;2;1,24
8214;2022-10-23 15:00:00;281;Mittel;1;4,22
18761;2026-06-03 00:00:00;235;Mittel;1;4,74
17549;2026-01-02 12:00:00;151;Niedrig;3;13,12
2941;2021-01-02 12:00:00;104;Niedrig;1;4,15
3466;2021-03-09 03:00:00;240;Niedrig;2;0,97
17102;2025-11-07 15:00:00;208;Niedrig;1;0,16
9414;2023-03-22 15:00:00;180;Niedrig;4;0,53
15225;2025-03-18 00:00:00;260;Niedrig;2;1,4
19904;2026-10-23 21:00:00;103;Niedrig;0;5,03
17811;2026-02-04 06:00:00;285;Niedrig;2;7,91
11490;2023-12-07 03:00:00;90;Mittel;2;1,78
1338;2020-06-16 03:00:00;92;Niedrig;1;1,68
5194;2021-10-11 03:00:00;259;Mittel;1;1,73
7003;2022-05-25 06:00:00;104;Niedrig;3;5,93
16008;2025-06-23 21:00:00;187;Niedrig;1;2,2
3624;2021-03-28 21:00:00;275;Niedrig;3;11,16
6604;2022-04-05 09:00:00;59;Niedrig;4;8,95
430;2020-02-23 15:00:00;35;Niedrig;0;1,26
2603;2020-11-21 06:00:00;268;Niedrig;0;6,42
14778;2025-01-21 03:00:00;84;Mittel;3;3,5
19192;2026-07-26 21:00:00;245;Mittel;0;1,06
6776;2022-04-26 21:00:00;171;Mittel;5;8,14
18220;2026-03-27 09:00:00;291;Niedrig;4;2,96
19507;2026-09-04 06:00:00;182;Mittel;2;1,17
437;2020-02-24 12:00:00;105;Niedrig;3;2,88
4773;2021-08-19 12:00:00;46;Niedrig;4;12,59
12810;2024-05-20 03:00:00;9;Niedrig;0;0,42
8181;2022-10-19 12:00:00;130;Niedrig;1;1,15
12796;2024-05-18 09:00:00;55;Mittel;2;1,77
5948;2022-01-13 09:00:00;280;Niedrig;0;0,09
14929;2025-02-09 00:00:00;285;Niedrig;1;7,13
2080;2020-09-16 21:00:00;79;Hoch;1;3,52
9760;2023-05-04 21:00:00;181;Niedrig;1;1,74
9848;2023-05-15 21:00:00;5;Mittel;2;5,88
15403;2025-04-09 06:00:00;52;Niedrig;0;5,31
3897;2021-05-02 00:00:00;173;Mittel;5;0,24
4591;2021-07-27 18:00:00;17;Niedrig;7;0,04
12164;2024-02-29 09:00:00;72;Niedrig;2;0,67
4767;2021-08-18 18:00:00;231;Niedrig;3;5,11
11128;2023-10-22 21:00:00;171;Niedrig;0;1,07
17829;2026-02-06 12:00:00;276;Mittel;1;1,03
12361;2024-03-25 00:00:00;272;Niedrig;2;0,28
19824;2026-10-13 21:00:00;148;Niedrig;4;1,42
1590;2020-07-17 15:00:00;298;Mittel;2;0,65
14486;2024-12-15 15:00:00;74;Niedrig;2;4,64
11011;2023-10-08 06:00:00;91;Mittel;1;4,59
459;2020-02-27 06:00:00;279;Mittel;1;3,28
1207;2020-05-30 18:00:00;103;Niedrig;0;1,83
2960;2021-01-04 21:00:00;234;Niedrig;3;2,38
10212;2023-06-30 09:00:00;91;Mittel;1;1,36
7988;2022-09-25 09:00:00;199;Niedrig;0;8,31
7192;2022-06-17 21:00:00;222;Hoch;1;4,28
14162;2024-11-05 03:00:00;212;Mittel;0;0,04
14303;2024-11-22 18:00:00;190;Niedrig;2;0,78
9708;2023-04-28 09:00:00;208;Niedrig;0;8,28
14432;2024-12-08 21:00:00;24;Niedrig;2;0,75
