Produktionsauftrag_ID;Datum;Produkt_ID;Maschinen_ID;Schicht_ID;Zulieferer_ID;Produktionslinie;Produzierte_Menge;Produktionsdauer_h;Ausschussmenge;Nachbearbeitungsmenge;Materialverbrauch;Energieverbrauch;Downtime_h;Materialkosten;Energiekosten;Ausschusskosten;Nacharbeitskosten;Produktionskosten;Umsatz;Gewinn
695423;28.12.2023;413;190;6654;38;L2;5875;27,24;369;147;10281,25;8812,5;16,89;25703,12;2643,75;5535;1176;35057,88;1092691,25;1057633,38
777029;28.10.2024;203;154;8044;128;L6;6108;23,76;385;154;11605,2;9772,8;5,49;29013,0;2931,84;5775;1232;38951,84;1284084,84;1245133,0
31675;02.05.2024;489;162;7227;81;L4;3305;10,75;219;87;4296,5;3966,0;5,12;10741,25;1189,8;3285;696;15912,05;368110,9;352198,85
213794;28.06.2020;298;295;819;88;L2;1281;11,09;62;24;2241,75;1921,5;13,99;5604,38;576,45;930;192;7302,82;238791,21;231488,38
144348;24.09.2022;335;113;4552;29;L5;8646;19,91;221;88;9942,9;9510,6;1,08;24857,25;2853,18;3315;704;31729,43;563978,58;532249,15
505941;22.08.2021;69;57;2738;118;L2;1672;12,41;83;33;2173,6;2006,4;16,53;5434,0;601,92;1245;264;7544,92;144042,8;136497,88
647731;27.10.2025;171;28;9706;69;L2;7636;27,61;369;147;14508,4;12217,6;2,68;36271,0;3665,28;5535;1176;46647,28;1454199,84;1407552,56
366792;07.05.2021;464;152;2250;73;L1;1521;14,25;142;56;3346,2;2737,8;16,57;8365,5;821,34;2130;448;11764,84;380599,83;368834,99
182553;10.07.2024;396;98;7543;36;L1;4985;19,82;241;96;9471,5;7976,0;5,34;23678,75;2392,8;3615;768;30454,55;964996,3;934541,75
58054;28.10.2025;152;235;9712;59;L2;2494;10,41;139;55;2868,1;2743,4;9,65;7170,25;823,02;2085;440;10518,27;158319,12;147800,85
669840;08.12.2025;226;74;9896;139;L3;1411;4,84;45;18;2469,25;2116,5;0,65;6173,12;634,95;675;144;7627,08;262714,09;255087,02
784330;19.01.2021;210;26;1755;118;L2;10779;45,29;544;217;25330,65;20480,1;0,9;63326,62;6144,03;8160;1736;79366,66;3046253,19;2966886,54
440227;10.07.2020;155;199;875;143;L2;2147;6,18;95;38;3113,15;2791,1;0,67;7782,88;837,33;1425;304;10349,2;318314,22;307965,01
93445;02.04.2022;2;99;3756;44;L2;1042;6,31;51;20;1198,3;1146,2;7,96;2995,75;343,86;765;160;4264,61;85798,28;81533,67
646379;12.07.2024;52;150;7551;141;L1;783;3,47;29;11;1370,25;1174,5;1,93;3425,62;352,35;435;88;4300,98;117027,18;112726,2
788962;28.04.2022;259;134;3873;122;L2;7637;23,36;281;112;11073,65;9928,1;5,17;27684,12;2978,43;4215;896;35773,56;807994,6;772221,04
548030;24.02.2021;295;210;1920;135;L3;2634;12,39;147;58;4609,5;3951,0;7,92;11523,75;1185,3;2205;464;15378,05;443091,48;427713,43
113060;19.07.2021;103;228;2583;58;L4;3997;19,64;153;61;9992,5;7994,0;4,11;24981,25;2398,2;2295;488;30162,45;1232674,8;1202512,35
283772;03.10.2024;487;2;7929;99;L4;3969;15,11;185;74;8136,45;6747,3;1,02;20341,12;2024,19;2775;592;25732,31;928428,48;902696,16
294082;22.03.2022;292;55;3706;97;L5;6204;23,92;347;138;11787,6;9926,4;5,16;29469,0;2977,92;5205;1104;38755,92;1180062,84;1141306,92
672258;20.02.2024;231;110;6901;10;L3;7445;31,49;404;161;11912,0;10423,0;18,9;29780,0;3126,9;6060;1288;40254,9;1144594,3;1104339,4
788334;15.06.2021;283;78;2426;78;L5;3949;15,3;198;79;5133,7;4738,8;11,01;12834,25;1421,64;2970;632;17857,89;389568,85;371710,96
444094;12.07.2024;165;34;7552;57;L1;3747;11,1;115;46;5433,15;4871,1;1,81;13582,88;1461,33;1725;368;17137,21;484636,98;467499,78
84809;20.01.2024;359;85;6757;109;L4;1075;4,46;70;28;1881,25;1612,5;2,04;4703,12;483,75;1050;224;6460,88;215279,5;208818,62
558854;13.09.2023;317;268;6169;7;L6;4307;11,01;150;60;4953,05;4737,7;2,73;12382,62;1421,31;2250;480;16533,93;286114,01;269580,08
248674;24.03.2025;414;107;8714;59;L5;3761;17,62;199;79;8838,35;7145,9;3,95;22095,88;2143,77;2985;632;27856,64;1029724,19;1001867,54
567165;29.06.2025;405;175;9158;60;L5;7204;30,75;375;150;16929,4;13687,6;1,57;42323,5;4106,28;5625;1200;53254,78;2092401,8;2039147,02
637224;07.08.2025;433;287;9338;74;L1;5621;24,38;325;130;12366,2;10117,8;4,69;30915,5;3035,34;4875;1040;39865,84;1417953,46;1378087,62
358232;10.01.2023;280;122;5048;106;L2;754;2,07;21;8;1093,3;980,2;0,03;2733,25;294,06;315;64;3406,31;109284,76;105878,45
666558;28.10.2025;33;202;9712;132;L1;3284;16,55;209;83;4761,8;4269,2;15,24;11904,5;1280,76;3135;664;16984,26;408660,96;391676,7
534669;08.01.2021;128;253;1706;47;L6;10009;27,25;387;154;14513,05;13011,7;0,05;36282,62;3903,51;5805;1232;47223,14;1116804,22;1069581,08
724618;11.01.2024;497;242;6718;64;L4;8096;30,06;309;123;16596,8;13763,2;0,53;41492,0;4128,96;4635;984;51239,96;1701536,32;1650296,36
53016;10.03.2023;155;3;5314;140;L6;8954;26,2;511;204;12983,3;11640,2;3,68;32458,25;3492,06;7665;1632;45247,31;1327520,04;1282272,73
470084;23.10.2020;313;98;1356;51;L1;1719;4,6;72;28;1976,85;1890,9;1,5;4942,12;567,27;1080;224;6813,4;103105,62;96292,22
376696;05.04.2022;378;155;3769;12;L4;4107;10,25;110;44;5339,1;4928,4;0,13;13347,75;1478,52;1650;352;16828,27;387865,08;371036,81
603192;31.12.2021;3;209;3333;77;L2;1974;14,81;148;59;4638,9;3750,6;13,2;11597,25;1125,18;2220;472;15414,43;506666,58;491252,15
464787;02.11.2021;407;82;3067;144;L4;2805;10,63;132;52;5329,5;4488,0;1,97;13323,75;1346,4;1980;416;17066,15;550088,55;533022,4
475524;19.08.2021;424;180;2724;87;L3;2331;17,19;174;69;5827,5;4662,0;13,86;14568,75;1398,6;2610;552;19129,35;662936,4;643807,05
799290;05.12.2023;67;196;6548;28;L2;8198;30,81;531;212;15576,2;13116,8;5,21;38940,5;3935,04;7965;1696;52536,54;1564424,34;1511887,8
226110;30.09.2023;10;177;6245;40;L4;6338;18,83;200;80;9190,1;8239,4;3,18;22975,25;2471,82;3000;640;29087,07;902467,82;873380,75
422019;11.04.2023;182;274;5460;116;L3;2406;9,04;100;40;4571,4;3849,6;1,52;11428,5;1154,88;1500;320;14403,38;546017,64;531614,26
502380;10.09.2022;362;233;4488;48;L3;5460;16,65;197;78;7917,0;7098,0;3,6;19792,5;2129,4;2955;624;25500,9;679333,2;653832,3
578523;25.05.2023;154;263;5660;150;L4;6827;24,58;374;149;7851,05;7509,7;18,57;19627,62;2252,91;5610;1192;28682,54;535987,77;507305,24
765013;12.04.2025;94;248;8804;68;L1;3837;14,57;210;84;7865,85;6522,9;0,9;19664,62;1956,87;3150;672;25443,5;772963,65;747520,15
582756;21.10.2025;52;154;9678;144;L6;6961;24,81;309;123;12181,75;10441,5;5,07;30454,38;3132,45;4635;984;39205,82;1040391,06;1001185,24
456914;14.12.2025;441;100;9923;105;L3;4948;20,66;213;85;5690,2;5442,8;19,16;14225,5;1632,84;3195;680;19733,34;418501,84;398768,5
97950;21.10.2021;218;286;3012;129;L3;4708;23,68;255;102;7532,8;6591,2;19,49;18832,0;1977,36;3825;816;25450,36;648527,0;623076,64
657116;04.05.2021;426;98;2235;30;L1;8684;22,7;404;161;11289,2;10420,8;2,32;28223,0;3126,24;6060;1288;38697,24;731192,8;692495,56
647723;01.07.2021;99;250;2501;30;L3;693;2,18;35;14;1108,8;970,2;0,26;2772,0;291,06;525;112;3700,06;105800,31;102100,25
42745;24.08.2021;408;145;2745;51;L4;5283;21,51;269;107;10830,15;8981,1;4,13;27075,38;2694,33;4035;856;34660,7;1173090,15;1138429,44
109250;05.06.2020;284;222;716;118;L1;5089;17,08;261;104;8905,75;7633,5;1,59;22264,38;2290,05;3915;832;29301,42;1000497,4;971195,98
78938;12.08.2022;370;93;4357;110;L3;9306;36,98;402;160;20473,2;16750,8;0,99;51183,0;5025,24;6030;1280;63518,24;2381777,64;2318259,4
185202;06.05.2020;411;168;579;102;L1;3880;18,88;223;89;6790,0;5820,0;12,92;16975,0;1746,0;3345;712;22778,0;721330,8;698552,8
771586;09.11.2021;274;32;3096;19;L5;2250;16,0;123;49;5287,5;4275,0;13,28;13218,75;1282,5;1845;392;16738,25;656460,0;639721,75
614123;12.11.2021;464;17;3109;27;L5;6094;25,43;314;125;13406,8;10969,2;3,08;33517,0;3290,76;4710;1000;42517,76;1524901,62;1482383,86
182817;21.07.2021;244;25;2593;139;L2;8605;29,37;346;138;15058,75;12907,5;3,67;37646,88;3872,25;5190;1104;47813,12;1309250,75;1261437,62
407909;29.11.2023;35;43;6519;57;L5;1477;12,29;108;43;2584,75;2215,5;15,12;6461,88;664,65;1620;344;9090,52;261000,67;251910,14
333506;20.03.2021;383;11;2030;117;L3;3186;13,8;136;54;5097,6;4460,4;8,74;12744,0;1338,12;2040;432;16554,12;460568,16;444014,04
510048;21.01.2024;271;113;6761;118;L5;1440;4,79;46;18;2304,0;2016,0;1,05;5760,0;604,8;690;144;7198,8;188971,2;181772,4
50952;26.02.2022;189;194;3597;41;L3;4364;21,61;235;94;10910,0;8728,0;4,81;27275,0;2618,4;3525;752;34170,4;1297635,4;1263465,0
151303;21.05.2020;11;206;645;8;L5;5410;23,6;314;125;9467,5;8115,0;12,58;23668,75;2434,5;4710;1000;31813,25;858999,8;827186,55
750034;21.02.2020;448;279;237;49;L1;7887;19,56;255;102;9070,05;8675,7;3,8;22675,12;2602,71;3825;816;29918,84;630407,91;600489,08
644630;12.03.2022;352;47;3659;45;L6;6395;24,53;303;121;12150,5;10232,0;5,05;30376,25;3069,6;4545;968;38958,85;1341095,45;1302136,6
702614;12.10.2024;365;267;7971;127;L5;4787;14,84;318;127;7659,2;6701,8;1,35;19148,0;2010,54;4770;1016;26944,54;764866,86;737922,32
612180;03.02.2020;378;288;154;24;L3;3472;10,4;128;51;4513,6;4166,4;3,59;11284,0;1249,92;1920;408;14861,92;327895,68;313033,76
162714;04.01.2020;232;120;15;140;L1;6147;19,9;311;124;9835,2;8605,8;3,4;24588,0;2581,74;4665;992;32826,74;1067488,02;1034661,28
708169;03.04.2025;52;133;8761;99;L4;2429;12,16;148;59;4250,75;3643,5;8,78;10626,88;1093,05;2220;472;14411,92;363038,34;348626,42
227592;12.06.2021;163;274;2411;34;L3;7080;31,87;412;164;17700,0;14160,0;1,43;44250,0;4248,0;6180;1312;55990,0;2141700,0;2085710,0
502043;30.12.2021;217;175;3330;110;L5;2168;8,59;111;44;4444,4;3685,6;1,22;11111,0;1105,68;1665;352;14233,68;527040,8;512807,12
291161;29.08.2023;392;262;6101;22;L2;2613;9,14;97;38;4964,7;4180,8;0,3;12411,75;1254,24;1455;304;15424,99;472325,88;456900,89
235483;14.02.2023;404;128;5207;103;L4;5343;20,53;338;135;10953,15;9083,1;1,73;27382,88;2724,93;5070;1080;36257,8;1236637,35;1200379,54
189327;08.02.2024;45;140;6843;55;L4;7950;25,83;379;151;13912,5;11925,0;0,79;34781,25;3577,5;5685;1208;45251,75;1393476,0;1348224,25
522802;22.10.2020;364;29;1348;147;L6;1201;4,86;70;28;1921,6;1681,4;2,62;4804,0;504,42;1050;224;6582,42;196063,25;189480,83
415312;22.04.2025;318;268;8848;78;L6;8191;20,03;228;91;9419,65;9010,1;3,36;23549,12;2703,03;3420;728;30400,16;684685,69;654285,54
701474;29.12.2024;300;54;8328;1;L4;9340;25,76;300;120;13543,0;12142,0;0,71;33857,5;3642,6;4500;960;42960,1;1227089,2;1184129,1
588316;27.11.2025;363;143;9848;107;L6;8186;24,9;304;121;11869,7;10641,8;5,28;29674,25;3192,54;4560;968;38394,79;1002048,26;963653,47
373135;21.07.2021;127;217;2589;135;L3;6218;19,1;219;87;9016,1;8083,4;4,36;22540,25;2425,02;3285;696;28946,27;894397,12;865450,85
612235;01.06.2021;467;201;2361;67;L4;2487;7,21;110;44;2860,05;2735,7;3,27;7150,12;820,71;1650;352;9972,83;246014,04;236041,2
439278;09.04.2020;127;93;455;38;L3;4781;13,86;152;60;6932,45;6215,3;1,72;17331,12;1864,59;2280;480;21955,72;687699,04;665743,33
712486;18.12.2025;137;67;9943;31;L6;1635;13,59;71;28;2861,25;2452,5;16,71;7153,12;735,75;1065;224;9177,88;288136,05;278958,18
637075;22.02.2025;121;110;8578;30;L3;577;7,67;53;21;1269,4;1038,6;10,82;3173,5;311,58;795;168;4448,08;145080,88;140632,8
570260;31.10.2022;97;28;4720;50;L2;5730;15,73;242;96;6589,5;6303,0;5,79;16473,75;1890,9;3630;768;22762,65;423332,4;400569,75
297226;10.12.2025;403;154;9905;73;L6;3558;13,13;257;102;6760,2;5692,8;1,78;16900,5;1707,84;3855;816;23279,34;731987,34;708708,0
571520;01.09.2023;278;8;6114;113;L4;11527;40,45;360;144;21901,3;18443,2;1,59;54753,25;5532,96;5400;1152;66838,21;2382861,44;2316023,23
79667;15.12.2023;46;147;6593;10;L5;8540;27,91;351;140;14945,0;12810,0;1,17;37362,5;3843,0;5265;1120;47590,5;1538993,4;1491402,9
634618;16.06.2020;119;293;764;115;L4;5484;22,05;228;91;12064,8;9871,2;1,11;30162,0;2961,36;3420;728;37271,36;1448159,88;1410888,52
211021;17.11.2024;93;176;8134;107;L3;8791;41,79;605;242;19340,2;15823,8;14,66;48350,5;4747,14;9075;1936;64108,64;2279770,03;2215661,39
562813;13.07.2024;460;62;7558;92;L6;2408;8,41;85;34;3491,6;3130,4;3,72;8729,0;939,12;1275;272;11215,12;350701,12;339486,0
23821;14.02.2021;448;281;1876;62;L6;4108;9,94;113;45;4724,2;4518,8;1,48;11810,5;1355,64;1695;360;15221,14;328352,44;313131,3
402959;26.07.2023;65;197;5947;72;L4;9593;24,44;320;128;12470,9;11511,6;1,31;31177,25;3453,48;4800;1024;40454,73;986160,4;945705,67
567022;31.10.2025;93;286;9726;106;L3;4137;22,53;335;134;9101,4;7446,6;12,62;22753,5;2233,98;5025;1072;31084,48;1072848,21;1041763,73
395741;28.08.2021;301;21;2764;122;L1;4431;20,04;236;94;11077,5;8862,0;1,08;27693,75;2658,6;3540;752;34644,35;1265050,5;1230406,15
477929;31.03.2021;44;134;2081;48;L2;6607;26,82;299;119;13544,35;11231,9;5,01;33860,88;3369,57;4485;952;42667,44;1468339,68;1425672,24
171994;16.07.2022;206;150;4232;113;L1;6375;17,52;195;78;8287,5;7650,0;3,43;20718,75;2295,0;2925;624;26562,75;603138,75;576576,0
86191;31.10.2025;266;1;9722;78;L5;6003;24,99;241;96;12306,15;10205,1;5,81;30765,38;3061,53;3615;768;38209,9;1288363,86;1250153,96
571979;23.08.2020;362;159;1074;137;L3;8501;31,46;602;240;12326,45;11051,3;16,67;30816,12;3315,39;9030;1920;45081,52;1057694,42;1012612,9
437365;29.07.2022;262;281;4291;20;L6;7136;18,6;212;84;9276,8;8563,2;1,81;23192,0;2568,96;3180;672;29612,96;702967,36;673354,4
201101;25.06.2025;118;294;9140;80;L5;4201;15,3;211;84;6721,6;5881,4;5,74;16804,0;1764,42;3165;672;22405,42;632040,45;609635,03
569536;02.06.2024;140;242;7370;136;L4;4705;12,21;158;63;6116,5;5646,0;1,08;15291,25;1693,8;2370;504;19859,05;569963,7;550104,65
310838;10.08.2022;174;243;4348;127;L6;2557;10,95;147;58;6008,95;4858,3;0,62;15022,38;1457,49;2205;464;19148,87;681287,08;662138,22
80272;19.11.2022;262;233;4807;84;L3;4791;12,56;180;72;6228,3;5749,2;1,37;15570,75;1724,76;2700;576;20571,51;471961,41;451389,9
508106;11.03.2025;4;94;8657;67;L5;8959;22,24;397;158;10302,85;9854,9;4,35;25757,12;2956,47;5955;1264;35932,6;767696,71;731764,12
286017;14.01.2020;375;118;64;84;L2;4136;25,84;337;134;10340,0;8272,0;15,28;25850,0;2481,6;5055;1072;34458,6;1239228,32;1204769,72
345554;04.11.2024;298;250;8076;31;L3;11878;38,13;295;118;20786,5;17817,0;0,23;51966,25;5345,1;4425;944;62680,35;2214177,98;2151497,63
377536;05.09.2022;336;75;4467;14;L2;6788;20,7;330;132;10860,8;9503,2;1,22;27152,0;2850,96;4950;1056;36008,96;968919,12;932910,16
459750;19.02.2022;166;47;3564;100;L6;3989;16,33;140;56;8177,45;6781,3;3,3;20443,62;2034,39;2100;448;25026,01;1044439,87;1019413,85
520202;14.10.2021;417;268;2978;75;L6;6694;29,93;341;136;15730,9;12718,6;4,17;39327,25;3815,58;5115;1088;49345,83;1932825,56;1883479,73
46770;14.06.2021;497;206;2423;92;L5;3895;23,59;290;116;7984,75;6621,5;18,52;19961,87;1986,45;4350;928;27226,32;818612,15;791385,82
303333;17.05.2021;285;111;2293;37;L1;9333;39,32;477;190;20532,6;16799,4;5,47;51331,5;5039,82;7155;1520;65046,32;2238520,05;2173473,73
422385;28.03.2022;62;47;3733;51;L6;4446;17,56;226;90;9114,3;7558,2;2,4;22785,75;2267,46;3390;720;29163,21;1002083,94;972920,73
460457;25.05.2024;93;267;7334;34;L5;5234;23,42;347;138;11514,8;9421,2;5,81;28787,0;2826,36;5205;1104;37922,36;1357333,22;1319410,86
488147;20.08.2022;103;28;4394;113;L2;10550;47,58;501;200;26375,0;21100,0;2,32;65937,5;6330,0;7515;1600;81382,5;3253620,0;3172237,5
742801;22.08.2022;375;262;4403;81;L2;3486;15,4;239;95;8715,0;6972,0;0,12;21787,5;2091,6;3585;760;28224,1;1044475,32;1016251,22
443240;25.01.2024;36;89;6782;131;L1;2113;7,95;67;26;4331,65;3592,1;0,34;10829,12;1077,63;1005;208;13119,76;480179,25;467059,5
534180;18.03.2022;325;60;3687;4;L4;5420;21,68;325;130;11111,0;9214,0;3,47;27777,5;2764,2;4875;1040;36456,7;1292290,6;1255833,9
442256;14.02.2022;42;156;3542;102;L1;4274;21,47;261;104;6197,3;5556,2;19,69;15493,25;1666,86;3915;832;21907,11;581905,1;559997,99
799283;01.03.2020;147;46;276;21;L5;1043;4,88;50;20;1981,7;1668,8;2,59;4954,25;500,64;750;160;6364,89;202029,1;195664,21
591265;12.03.2021;371;15;1991;120;L2;4713;22,7;348;139;8954,7;7540,8;12,96;22386,75;2262,24;5220;1112;30980,99;977523,33;946542,34
338186;03.07.2021;1;119;2511;115;L3;5786;20,77;217;86;10993,4;9257,6;1,73;27483,5;2777,28;3255;688;34203,78;1111664,18;1077460,4
685782;22.05.2025;134;226;8983;80;L4;3957;18,79;295;118;6924,75;5935,5;12,25;17311,88;1780,65;4425;944;24461,52;604313,04;579851,52
313451;22.10.2024;476;284;8019;113;L6;6980;25,18;340;136;11168,0;9772,0;9,05;27920,0;2931,6;5100;1088;37039,6;1282854,2;1245814,6
17228;07.05.2020;215;238;583;150;L3;7752;30,58;583;233;14728,8;12403,2;7,82;36822,0;3720,96;8745;1864;51151,96;1530942,48;1479790,52
249141;02.01.2020;57;217;7;82;L3;2799;8,69;91;36;3218,85;3078,9;4,83;8047,12;923,67;1365;288;10623,8;279844,02;269220,23
275007;11.01.2021;73;5;1721;115;L4;8185;38,91;626;250;19234,75;15551,5;9,72;48086,88;4665,45;9390;2000;64142,32;2134320,6;2070178,28
175011;17.08.2024;362;156;7714;60;L1;4769;15,69;250;100;6915,05;6199,7;5,43;17287,62;1859,91;3750;800;23697,54;593358,98;569661,44
