Sensorwert_ID;Produktionsauftrag_ID;Maschinen_ID;Temperatur_C;Druck_bar;Vibration_mm;Stromaufnahme_A;Drehzahl_RPM;Ausfallrisiko;Zeitstempel
45062;502873;192;50,97;10,08;1,59;314,79;3069;25,63;07.08.2022 16:35
121640;584053;48;74,24;10,83;5,2;294,87;3082;58,61;23.03.2021 08:10
541671;298214;93;58,41;10,09;2,85;303,92;2753;36,39;01.08.2022 09:22
966078;47659;2;64,99;11,29;2,77;224,6;2581;38,81;11.10.2024 18:19
1023294;451200;190;94,22;11,77;7,25;142,64;2121;92,74;16.11.2024 02:06
947586;797120;104;68,25;11,5;4,07;203,72;2662;48,42;15.03.2021 18:23
1041290;619092;274;56,93;9,38;2,17;158,47;2538;30,22;19.12.2020 23:36
927328;159230;177;79,88;11,95;5,28;155,47;2605;63,16;26.10.2021 01:27
125832;543243;149;100,1;11,52;6,24;155,35;2107;93,85;08.06.2020 08:14
213137;343910;11;74,63;12,07;5,75;246,5;2716;74,92;12.12.2020 13:07
226344;102663;215;84,57;11,91;4,94;190,57;2232;64,41;20.08.2020 18:48
79684;691672;284;90,69;12,42;8,31;137,62;2111;124,4;22.03.2020 08:54
740365;74524;5;98,52;12,45;6,2;129,87;1870;90,54;18.08.2025 10:28
375215;404074;195;72,53;11,82;5,41;149,25;2469;59,86;20.03.2024 06:06
214173;660994;266;64,11;12,04;3,36;181,43;2512;50,81;16.01.2020 04:23
278260;342251;155;63,61;10,9;2,13;150,17;2241;31,04;16.06.2021 13:34
423145;645802;210;107,87;11,53;5,9;211,69;2695;89,53;11.03.2024 22:31
45026;200722;12;52,75;9,95;1,98;146,52;2181;29,14;28.12.2024 01:47
100310;687897;243;57,86;10,33;2,24;143,65;2222;32,06;13.01.2025 21:04
330077;224722;138;87,12;11,35;4,21;235;3011;58,01;02.01.2021 18:07
27535;219056;130;65,39;11,16;3,71;176,28;1989;45,59;07.07.2024 17:59
181518;263586;112;97,75;10,27;4,82;167,51;2261;96,53;11.12.2023 01:15
543235;601413;223;104,01;13,95;12,03;235,29;2774;141,56;17.05.2023 06:07
969586;510193;152;82,97;12,15;7,24;139,58;2152;86,81;06.09.2020 18:19
976017;470972;101;90,31;11,68;5,3;244,7;2833;75,46;06.10.2020 02:31
248743;55014;96;75,9;11,53;4,63;200,51;2180;55,33;27.12.2021 04:27
670655;753633;74;58,6;10,57;2,57;156,63;2410;33,22;28.11.2020 16:30
718165;216858;96;65,61;10,98;3,88;191,18;2557;52,05;31.01.2021 23:15
780322;468623;34;62,17;10,73;2,89;224,29;2472;35,93;29.06.2020 06:10
479384;578177;227;61,1;10,81;2,42;123,3;2115;33,73;09.04.2025 12:16
1031210;333447;50;91,48;12,49;7,62;185,56;2244;99,57;29.07.2023 20:51
352770;40416;89;49,51;10,43;2,35;221,28;3230;30,84;25.03.2020 15:16
223455;643240;152;117,39;11,54;6,13;202,82;3023;109,26;02.04.2023 19:29
967870;289157;268;90,1;11,41;3,52;140,98;2768;52,89;18.02.2021 02:49
364441;660945;70;52,27;10,4;1,99;166,29;2248;26,51;10.07.2021 14:37
116358;527387;52;55,45;9,88;1,97;271,59;2625;27,86;26.03.2024 07:03
806389;429512;143;55,13;10,23;2,69;199,61;2435;40,25;22.04.2025 20:41
205582;441080;175;75,23;11,35;3,53;269,96;2948;47,49;07.12.2025 21:16
936129;90123;224;89,05;11,17;4,9;275,06;2715;61,28;24.07.2020 02:10
436523;732593;112;97,39;11,32;7,06;152,67;2324;112,62;28.10.2023 19:47
783234;539559;114;56,81;9,88;2,29;302,87;3218;31,39;02.04.2024 13:38
819807;781677;139;73,3;12,43;4,11;258,72;2973;51,54;24.05.2024 14:45
840052;594986;290;68,89;11,6;3,03;202,58;2244;42,53;02.12.2023 20:05
693793;534865;166;52,17;10,44;1,76;291,13;3167;26,73;16.10.2024 04:57
236299;127667;14;97,68;12,23;5,85;191,13;2229;84,08;04.01.2021 08:17
407666;155988;83;70,34;11,83;4,23;164,95;2253;58,8;18.05.2024 13:13
427151;504292;189;81,89;11,95;3,1;208,85;2652;47,44;21.09.2024 07:05
78823;258397;28;65,4;11,72;5,67;295,26;2983;64,39;02.04.2023 13:55
684565;727527;190;92,34;12,08;7,81;152,03;2379;111,08;11.07.2024 14:30
289318;522406;18;74,57;10,28;2,79;138,08;2232;40,79;06.04.2025 06:16
560716;681389;67;91,26;12,44;7,1;143,16;2362;96,41;25.08.2025 16:02
488041;701316;294;69,52;10,6;5,05;215,61;2563;63,62;11.09.2023 03:52
991797;39533;108;52,78;10,79;2,25;192,4;2419;31,76;12.01.2021 15:35
57656;795147;236;72,58;11;4,21;192,51;2604;54,57;25.03.2023 05:42
741002;404244;38;95,03;11,65;8,23;188,03;2330;103,42;17.07.2023 18:50
933043;667069;66;52,98;10,92;4,49;157,9;2213;49,04;19.04.2022 21:23
941882;731256;64;69,93;11,06;3,99;209,88;2298;55,94;25.10.2024 23:54
343908;703968;184;59,45;10,51;2,43;118,56;1845;34,02;15.11.2022 03:48
800483;593247;196;65,05;11,09;3,77;189,56;2235;49,66;23.03.2021 06:30
1389;656640;213;72,54;11,33;4,58;196,39;2336;58,68;27.05.2020 10:20
570841;206114;298;108,51;13,21;9,37;246,34;2845;134,2;30.03.2021 21:38
205737;644105;80;87,88;12,33;7,55;168,7;2338;94,19;22.04.2020 22:05
142348;106227;64;83,86;12,33;6,03;216,91;2567;68,93;25.01.2024 12:26
358891;21871;161;68,93;11,2;4,34;217,55;2559;55,02;02.07.2024 08:31
921826;402913;281;48,46;10,3;2,79;241,73;3189;35,85;07.10.2025 17:59
96280;393255;9;75,71;11,16;3,81;138,82;2352;55,42;03.02.2022 17:39
667638;292689;113;66,2;9,84;2,82;227,36;2396;38,44;04.05.2023 23:20
924639;684888;285;55,2;11,05;5,14;178,04;2492;59,34;13.03.2024 20:40
708050;242568;4;75,13;11,59;2,13;167,51;2136;35,3;13.08.2022 14:38
713373;172707;216;105,38;11,24;4,82;178,37;2328;85,8;08.06.2024 04:55
192263;188519;252;66,97;11,94;4,82;157,16;2422;55,65;26.10.2023 02:26
165771;411218;269;78,28;11,23;3,49;148,57;2009;53,67;28.04.2020 00:34
501377;720687;115;69,41;10,76;3,72;158,88;2487;49,43;30.01.2021 21:39
796752;676858;18;68,16;10,09;2,98;279,42;3040;42,63;29.05.2025 01:38
857670;790510;64;54,51;11,29;4,71;142,74;1741;51,28;02.01.2025 07:47
18273;98027;134;70,73;11,15;4,32;182,68;2219;60,71;25.12.2025 18:02
950220;550188;192;57,33;11,24;2,98;137,16;1983;36,35;09.09.2021 05:22
112928;270174;235;110,52;12,53;7,89;184,15;2244;104,01;20.08.2020 12:20
569681;631369;188;83,02;12,17;4,96;154,46;2322;62,44;09.11.2021 18:34
850595;249155;20;78,41;11,01;4,64;221,21;3016;61,53;22.07.2020 03:11
197694;275178;66;73,55;12,69;5,11;291,14;2809;64,59;25.11.2023 17:01
571631;240247;48;71,99;10,09;2,31;242;2968;42,98;22.09.2020 16:26
969256;245075;291;98,86;11,41;4,56;205,56;2974;82,38;15.02.2025 02:47
190287;256863;95;58,41;10,98;1,96;284;3012;30,02;13.07.2023 13:55
122317;786009;30;85,4;11,73;6,88;178,92;2558;106,41;04.05.2022 16:43
107055;455262;6;76,03;12,21;6,5;179,12;2438;80,16;19.11.2020 15:31
205068;410756;95;56,57;11,13;3,33;307,01;2961;40,84;18.01.2023 16:35
314114;61519;32;90,09;12,9;8,27;176,54;2602;99,91;11.06.2020 07:10
375204;381698;197;78,28;12,34;5,71;186,07;2329;71,26;16.06.2023 14:44
35773;600936;150;74,02;12,19;4,42;160,65;2138;57,67;22.06.2021 21:32
1002933;627943;106;108,63;11,48;6,39;208,48;3013;94,86;10.08.2020 14:56
1036062;615004;144;64,39;11,66;4,9;163,01;2704;58,25;23.09.2024 14:21
467575;743432;228;73,59;11,9;3,89;244,67;2627;48,42;30.06.2024 05:31
833180;587748;224;62,23;11,57;4,89;228,5;2650;53,98;20.12.2024 17:29
832776;218303;132;94,24;12,89;9,41;168,76;2142;122,38;26.06.2022 17:10
1017578;193246;31;70,9;9,52;2,42;202,28;2888;41,85;10.02.2020 09:01
1021587;720203;258;73,05;11,04;3,64;211,8;2558;54,5;07.10.2025 01:35
99817;629439;48;59,93;11,19;4,37;211,13;2802;52,1;05.01.2025 07:05
129177;149558;208;61,61;10,23;3,04;208,22;2490;45,32;28.10.2020 08:41
400771;256657;276;69,81;11,25;4,3;156,16;2205;59,21;15.05.2023 17:13
814759;23596;164;82,1;12,03;4,91;200,66;2481;59,7;12.11.2022 18:41
688209;786409;203;108,88;10,95;4,27;117,62;2058;83,48;14.12.2021 01:27
602366;548603;218;62,1;10,64;3,25;183,62;2591;49,49;22.08.2020 03:48
166507;33599;255;94,82;12,83;7,76;165,91;2236;114,6;01.02.2021 22:14
1007203;408684;258;67,11;11,54;5,55;243,53;2656;65,42;29.09.2023 04:12
338457;694443;164;72,43;11,34;3,74;213,95;2627;48,06;14.06.2024 03:02
227809;427948;228;75,04;11,64;3,43;165,61;2451;51,62;16.10.2025 00:15
671658;108595;50;95,48;11,15;4,82;280,89;2728;74,35;14.01.2022 19:58
835137;363331;176;88,73;12,13;5,89;146,28;2147;96,81;16.02.2020 14:03
206320;389881;14;81,93;12,93;8,2;210,38;2665;100,03;31.03.2025 04:01
800556;207896;189;68,66;11,5;3,88;229,82;2613;49,36;26.04.2023 22:17
385963;524742;25;73,27;11,59;4,15;217,57;2735;55,97;05.05.2024 04:55
407006;416084;130;68,84;11,61;5,21;196,62;2495;58,46;20.05.2022 15:21
505720;748566;162;69,52;12,1;2,87;135,65;2472;46,87;02.12.2025 22:56
437240;498977;251;83,27;11,23;4,9;163,63;2245;66,72;12.01.2022 11:16
504159;458087;172;58,03;12,61;5,81;212,65;3069;69,26;08.01.2023 17:30
670141;317833;4;68,59;11,47;5,04;231,55;2616;59,06;25.09.2022 15:35
599805;369711;135;59,92;10,45;1,26;224,06;2860;24,76;06.09.2022 00:11
634125;95668;202;113,23;11,68;7,38;153,2;2207;120,14;04.01.2025 13:38
163255;237137;54;54,06;10,38;2,4;194,52;2722;33,17;17.11.2024 19:33
656972;14134;191;102,7;12,99;7,8;220,38;2566;117,25;21.08.2022 21:06
978459;315226;226;91,66;10,95;4,14;190,45;2504;84,31;22.02.2024 07:11
703468;547583;69;106,64;12,97;8,05;149,49;2235;125,71;14.11.2023 23:57
683552;58792;3;78,12;11,17;2,91;193,21;2436;49,81;03.05.2025 18:51
1016453;765755;222;62,69;10,3;3,1;246,45;2662;41,22;11.07.2023 11:42
162507;297581;86;60,36;10,67;1,69;138,01;2150;32,79;17.10.2024 23:44
869387;732837;87;59,21;11,41;4,68;179,9;2401;54,32;23.09.2021 19:02
474458;332917;222;76,66;11,87;3,77;289,01;2846;56,01;18.07.2024 04:53
742109;303970;158;56,71;10,85;2,31;161,16;1991;32,52;08.06.2020 08:10
334811;599153;53;51,23;11,51;2,91;247,25;2937;34,14;07.10.2020 06:50
606786;95903;276;78,61;11,47;3,48;176,83;2471;45,71;08.09.2020 06:28
999007;393769;106;100,91;12,33;7,72;194,92;2519;109,07;04.09.2020 07:53
376299;609808;9;81,74;11,96;4,35;200,21;2677;56,41;22.04.2022 00:10
707988;528431;58;93,56;12,21;7,32;118;2084;97,8;10.12.2021 19:34
726199;304215;18;66,82;11;4,67;220,77;2745;56,88;19.04.2020 03:53
837895;798585;129;91,74;13,02;7,59;226,63;2664;96,7;12.10.2021 21:11
725406;364641;45;74,73;10,57;2,94;183,94;2369;45,42;04.03.2021 07:03
569747;319519;133;98,91;11,72;5,22;168,73;2242;71,68;28.08.2024 16:43
76093;753445;30;85,63;12,64;6,87;146,44;2256;88,38;28.04.2025 19:37
52838;322936;133;99,72;12,57;7,23;206,28;2765;90,27;27.09.2024 14:30
884760;257231;128;57,29;10,17;3,39;261,26;2825;39,75;26.02.2023 18:30
820717;200563;114;51,52;10,66;2,11;149,85;2342;27,93;23.10.2024 09:58
495948;275076;106;105,44;11,47;5,71;141,15;2416;84,08;09.05.2023 21:18
287752;745373;279;69,2;11,07;3,53;230,93;2754;44,91;14.10.2025 03:35
872536;548742;22;104,09;12,73;5,96;156,36;2219;106,2;11.08.2022 09:19
60865;280195;175;75,63;10,93;3,28;217,32;2826;52,51;18.08.2022 23:13
754596;479148;229;48,53;11,19;2,82;272,8;2850;34,66;02.02.2022 10:01
320216;49057;132;76,99;11,76;6,2;144,91;2121;81,25;11.11.2023 18:03
939351;77874;180;99,26;13,07;9,76;121,47;2082;128,42;04.05.2020 12:12
7415;637507;17;63,83;11,02;2,97;226,1;2343;39,89;25.05.2023 04:38
60473;165095;229;66,07;10,58;1,66;270,98;2966;29,53;14.08.2024 11:35
4448;415535;106;89,02;11,76;7,01;168,66;2409;91,36;25.05.2020 21:00
614822;385199;164;70,98;10,97;3,46;175,03;2276;52,24;06.12.2024 09:45
195129;450811;110;108,49;11,85;6,94;164,38;2100;105,73;23.03.2023 13:05
307044;26010;176;78,2;13,5;11,35;174,72;2525;119,98;26.10.2022 11:43
422401;684561;53;57,22;10,38;1,43;200,89;2548;24,4;21.04.2024 06:55
597613;311815;245;93,08;11,76;8,55;198,78;2735;112,55;30.04.2020 13:19
749273;238100;196;64,21;10,64;2,62;140,54;2112;44,26;05.04.2022 03:12
776055;329120;255;75,92;12,79;7,8;220,68;2835;89,63;08.03.2025 15:01
678702;323984;34;50,15;9,92;1,89;138,91;2013;27,89;17.06.2022 22:59
255882;457058;11;87,51;13,17;7,65;200,96;2618;93,45;22.02.2020 15:05
242529;443246;184;51,9;11,26;3,49;133,96;2149;39,3;10.10.2023 19:21
616396;198301;36;64,69;9,93;1,16;261,49;3105;24;29.01.2025 04:57
505588;374257;235;101,24;12,41;7,61;264,86;2827;110,33;01.09.2020 11:01
776525;81535;212;86,1;11,82;4,72;138,47;1893;65,87;22.01.2021 12:21
506851;695089;106;104,03;11,87;6,83;191,34;2458;109,49;15.06.2025 00:10
565294;661267;124;84,75;12,25;7,25;146,12;2656;100,53;22.08.2022 11:23
286935;217554;114;59,78;10,92;1,18;230,37;2879;24,62;13.01.2024 03:07
630444;459506;87;76,92;10,98;3,03;266,8;2990;45,16;02.08.2024 19:05
934984;687632;14;97,73;10,87;4,65;135,65;2440;71,05;21.01.2023 01:52
181136;113605;167;79,13;12,25;5,01;196,6;2828;61,65;19.09.2024 03:30
252226;389710;283;68,72;12,31;5,44;190,84;2481;64,56;30.10.2024 17:14
728189;693703;193;61,92;10,36;2,16;304,06;3257;30,19;05.06.2022 05:13
535011;763053;61;66,42;11,02;3,36;206,52;2619;50,62;21.07.2020 11:02
218147;641694;209;81,06;12,47;6,66;146,49;1979;94,3;26.11.2021 17:13
1043865;686475;184;55,18;10,88;3,05;161,68;1866;37,55;17.10.2024 02:45
417382;511683;73;85,21;11,97;5,99;131,87;1796;104,02;20.06.2023 19:39
761950;438197;53;62,07;10,52;1,47;245,45;3064;25,21;15.06.2022 21:39
757640;452869;20;73,45;11,25;3,95;144,93;2255;57,78;29.09.2023 01:02
972509;623368;165;109,21;12,08;8,15;121,88;2278;113,42;26.08.2025 12:23
1007219;717158;19;81,59;10,76;3,38;133,44;2244;47,07;11.11.2024 02:13
654824;146426;43;107,62;13,08;8,84;214,71;2648;126,74;01.08.2021 07:57
1035903;413656;185;63,8;12,01;4,88;243,86;2593;60,67;03.06.2022 21:42
799004;436550;126;73,53;11,91;5,27;224,22;2287;68,7;10.10.2024 18:31
585212;119816;84;94,63;13,07;8,31;200,44;2440;122,22;10.10.2025 15:26
1100;607813;67;93,89;11,81;7,1;149,16;1935;106,44;04.03.2023 11:37
658766;629024;245;77,3;13,09;8,63;243,5;2525;95,22;21.01.2024 04:17
458778;270107;223;103,88;12,23;6,91;144,51;2102;108,24;12.01.2023 07:46
638423;317270;42;77,87;10,76;3,56;235,27;3111;51,39;29.09.2024 06:39
74231;604362;65;64,27;12,49;6,28;229,69;2988;74,89;02.04.2022 07:55
132026;148392;15;126,57;11,71;7,84;191,8;2432;117,49;29.07.2022 14:10
657506;286271;55;78,39;11,48;5,16;165,64;2450;61,39;18.07.2024 20:38
224100;140333;201;76,76;11,46;4,15;254,74;3067;57,95;20.07.2025 17:52
825999;140762;176;97,6;11,6;6,07;178,34;2538;86,09;29.01.2021 19:36
459705;643578;87;52,63;11,51;3,5;275,04;2824;47,8;05.01.2021 03:05
904394;757825;54;54,79;10,52;2,1;242,01;2996;30,08;07.07.2022 14:25
615142;449771;240;107,92;13,06;8,04;167,12;2259;111,7;10.06.2020 03:12
677749;503740;253;55,42;10,87;2,34;220,43;2744;30,74;14.02.2022 16:39
738575;407414;180;80,06;12,8;7,13;229,92;2693;88,06;06.02.2022 01:18
835576;273734;167;75,45;11,84;3,77;205,92;2488;47,24;20.07.2024 07:06
1003091;49391;162;64,8;11,46;3,64;146,18;2151;46,38;12.04.2023 22:53
528270;22131;219;73,54;11,61;2,91;133,4;2159;41,39;08.01.2022 11:06
977795;321645;26;60,3;10,41;2,66;228,48;2680;36,44;14.02.2021 18:19
794195;614578;125;94,02;12,45;7,96;195,73;2717;92,82;02.05.2022 10:28
612416;57002;295;84,42;10,99;4,37;183,95;2729;62,16;26.03.2022 20:57
906553;616661;76;78,88;10,97;3,32;132,73;2277;53,08;05.12.2025 12:53
483119;244966;270;73,56;11,33;5,54;231,22;2916;70,95;26.05.2020 08:11
585791;595196;129;89,18;12,04;5,1;182,63;2408;78,24;09.05.2025 10:02
646165;125550;165;88,37;12,64;7,98;203,22;2545;118,99;24.08.2020 18:36
822505;214138;94;75,92;10,89;2,69;145,41;2379;41,61;20.09.2024 14:25
258504;559068;267;65,34;10,96;4,37;233,27;2392;56,94;14.07.2025 00:23
610489;719177;10;62,17;11,51;3,7;205,23;2682;49,24;14.04.2020 10:15
45666;545516;242;58,55;10,75;2,55;281,34;3418;32,44;03.01.2024 14:49
618135;413687;113;50,47;11,49;2,2;278,22;3075;28,59;27.09.2021 10:38
1047634;137404;280;56,58;10,06;2,02;137,2;2113;29,75;13.09.2023 11:51
809820;264822;190;87,55;11,11;4,02;210,5;2788;68,28;08.10.2021 18:41
302531;48233;49;60,77;11,22;3,98;241,18;2437;49,51;11.06.2022 14:29
559011;625534;182;110,07;12,59;8,7;168,09;2222;121,23;16.03.2020 13:47
628167;295893;173;84,24;11,04;4,68;181,45;2346;61,35;11.04.2021 01:21
701199;213962;251;66;12,26;6,16;167,67;2396;66,21;11.10.2021 16:25
402140;198957;154;73,03;11,09;5,25;216,9;2691;62,01;05.05.2022 13:53
166828;485088;119;51,56;10,28;2,75;325,22;3463;35,6;27.02.2021 00:12
134886;375897;185;69;10,64;2,87;154,54;2102;42,71;06.09.2025 03:35
348317;179861;168;85,68;9,91;3,11;161,16;2525;57,73;26.09.2024 03:51
378431;16371;217;73,27;11,1;3,67;134,67;2159;55,79;24.03.2023 15:58
175389;220769;110;91,94;11,52;4,67;193,03;2513;87,12;24.09.2023 23:25
961387;265769;95;60,59;10,87;1,63;248,24;3126;26,94;19.08.2024 10:51
713816;276451;48;74,36;11,93;3,88;247,05;2806;57,14;20.11.2025 20:13
439550;276904;110;103,5;12,55;7,79;191,45;2762;93,41;16.02.2021 04:41
205082;390642;28;83,82;11,29;3;192,63;2529;47,77;13.08.2020 23:15
555244;260269;48;68,67;11,65;4,07;181,33;2161;48,42;30.10.2022 16:29
64122;482246;125;92,35;11,99;7,39;277,14;2731;116,57;26.10.2022 17:22
164349;610800;186;59,91;11,2;4,3;172,19;2310;51,79;12.02.2023 10:08
621451;289446;283;69,77;11,3;4,47;236,31;2689;57,55;16.03.2024 10:45
647494;218562;174;95,12;11,3;5,29;139,18;2122;83,43;24.10.2022 19:45
842121;703107;55;59,73;11,23;4,22;195,21;2466;50,8;05.09.2024 00:13
198704;744094;103;85,29;10,62;1,81;207,87;2488;41,39;19.06.2022 12:27
15541;223060;218;58,29;11,18;2,09;139,93;2120;32,14;30.05.2025 02:40
229379;67254;140;55,79;11,04;1,9;266,01;3298;27,13;16.11.2023 14:18
223852;616789;114;52,67;10,13;2,81;221,56;2571;35,13;16.03.2022 22:26
408897;284237;239;74,58;12,14;5,27;210,53;2804;66,47;18.07.2021 01:59
553204;235859;284;98,55;10,65;2,61;172,1;2341;73,66;05.03.2023 03:50
38306;469908;157;72,81;10,84;2,39;208,73;2520;37,34;12.07.2020 06:37
