Produkt_ID;Produktname;Produktgruppe;Komplexitaet;Verkaufspreis;Standardkosten;Materialfaktor;Energiefaktor;Gewicht_kg;Gewinnmarge;Produktionsdauerfaktor;Ausschussfaktor
57;Produkt_57;Motorenteile;1;99,98;72,37;1,15;1,1;3,08;0,18;1,12;1,08
58;Produkt_58;Motorenteile;1;90,22;58,74;1,15;1,1;16,59;0,39;1,12;1,08
59;Produkt_59;Motorenteile;8;222,39;146,12;2,2;1,8;20,64;0,23;1,96;1,64
60;Produkt_60;Getriebeteile;2;80,81;58,94;1,3;1,2;9,82;0,4;1,24;1,16
61;Produkt_61;Elektronik;8;240,63;174,0;2,2;1,8;19,5;0,44;1,96;1,64
62;Produkt_62;Getriebeteile;7;225,39;179,82;2,05;1,7;24,13;0,43;1,84;1,56
63;Produkt_63;Metallkomponenten;10;307,76;179,15;2,5;2,0;5,49;0,34;2,2;1,8
64;Produkt_64;Getriebeteile;10;289,11;166,54;2,5;2,0;13,32;0,33;2,2;1,8
65;Produkt_65;Getriebeteile;2;102,8;75,16;1,3;1,2;7,53;0,2;1,24;1,16
66;Produkt_66;Elektronik;6;188,67;131,05;1,9;1,6;19,92;0,42;1,72;1,48
67;Produkt_67;Motorenteile;6;190,83;118,03;1,9;1,6;14,65;0,24;1,72;1,48
68;Produkt_68;Metallkomponenten;3;103,9;59,21;1,45;1,3;16,05;0,32;1,36;1,24
69;Produkt_69;Motorenteile;2;86,15;49,23;1,3;1,2;20,05;0,25;1,24;1,16
70;Produkt_70;Sicherheitsbauteile;1;54,72;42,33;1,15;1,1;10,2;0,2;1,12;1,08
71;Produkt_71;Metallkomponenten;6;185,36;110,84;1,9;1,6;22,92;0,37;1,72;1,48
72;Produkt_72;Motorenteile;5;190,8;120,37;1,75;1,5;13,56;0,17;1,6;1,4
73;Produkt_73;Motorenteile;9;260,76;158,19;2,35;1,9;4,37;0,41;2,08;1,72
74;Produkt_74;Metallkomponenten;1;114,49;73,13;1,15;1,1;17,55;0,26;1,12;1,08
75;Produkt_75;Kunststoffteile;7;232,4;131,85;2,05;1,7;19,93;0,15;1,84;1,56
76;Produkt_76;Kunststoffteile;5;177,77;120,84;1,75;1,5;8,26;0,33;1,6;1,4
77;Produkt_77;Metallkomponenten;5;162,12;91,91;1,75;1,5;21,5;0,17;1,6;1,4
78;Produkt_78;Motorenteile;2;110,5;82,89;1,3;1,2;22,7;0,25;1,24;1,16
79;Produkt_79;Getriebeteile;3;116,37;70,8;1,45;1,3;7,28;0,4;1,36;1,24
80;Produkt_80;Motorenteile;7;226,83;155,38;2,05;1,7;24,6;0,17;1,84;1,56
81;Produkt_81;Metallkomponenten;6;238,4;183,57;1,9;1,6;3,95;0,44;1,72;1,48
82;Produkt_82;Kunststoffteile;2;98,56;70,24;1,3;1,2;5,45;0,15;1,24;1,16
83;Produkt_83;Getriebeteile;6;217,24;148,43;1,9;1,6;5,01;0,24;1,72;1,48
84;Produkt_84;Motorenteile;2;89,45;56,45;1,3;1,2;22,4;0,41;1,24;1,16
85;Produkt_85;Getriebeteile;2;99,48;62,99;1,3;1,2;16,53;0,26;1,24;1,16
86;Produkt_86;Getriebeteile;2;126,56;90,79;1,3;1,2;4,23;0,19;1,24;1,16
87;Produkt_87;Kunststoffteile;3;115,6;92,31;1,45;1,3;11,29;0,28;1,36;1,24
88;Produkt_88;Kunststoffteile;2;127,19;91,0;1,3;1,2;15,57;0,24;1,24;1,16
89;Produkt_89;Metallkomponenten;4;160,62;110,74;1,6;1,4;2,54;0,44;1,48;1,32
90;Produkt_90;Elektronik;9;266,56;195,3;2,35;1,9;22,12;0,26;2,08;1,72
91;Produkt_91;Motorenteile;6;209,49;139,58;1,9;1,6;20,19;0,43;1,72;1,48
92;Produkt_92;Kunststoffteile;1;89,59;50,62;1,15;1,1;12,88;0,46;1,12;1,08
93;Produkt_93;Metallkomponenten;8;259,33;179,08;2,2;1,8;24,19;0,3;1,96;1,64
94;Produkt_94;Elektronik;7;201,45;159,02;2,05;1,7;10,74;0,47;1,84;1,56
95;Produkt_95;Metallkomponenten;10;289,09;171,67;2,5;2,0;24,61;0,28;2,2;1,8
96;Produkt_96;Elektronik;3;121,29;87,63;1,45;1,3;16,86;0,49;1,36;1,24
97;Produkt_97;Elektronik;1;73,88;44,35;1,15;1,1;16,05;0,18;1,12;1,08
98;Produkt_98;Elektronik;5;184,31;126,06;1,75;1,5;4,57;0,39;1,6;1,4
99;Produkt_99;Motorenteile;4;152,67;87,66;1,6;1,4;22,11;0,32;1,48;1,32
100;Produkt_100;Motorenteile;10;279,97;185,51;2,5;2,0;10,97;0,29;2,2;1,8
101;Produkt_101;Motorenteile;8;255,7;188,97;2,2;1,8;4,47;0,37;1,96;1,64
102;Produkt_102;Kunststoffteile;1;84,16;53,6;1,15;1,1;0,81;0,4;1,12;1,08
103;Produkt_103;Getriebeteile;10;308,4;220,88;2,5;2,0;14,21;0,15;2,2;1,8
104;Produkt_104;Elektronik;1;91,21;68,31;1,15;1,1;13,42;0,21;1,12;1,08
105;Produkt_105;Sicherheitsbauteile;4;162,51;127,05;1,6;1,4;18,12;0,4;1,48;1,32
106;Produkt_106;Getriebeteile;8;256,89;156,36;2,2;1,8;22,31;0,38;1,96;1,64
107;Produkt_107;Elektronik;5;173,95;113,04;1,75;1,5;2,45;0,49;1,6;1,4
108;Produkt_108;Metallkomponenten;2;75,09;44,16;1,3;1,2;18,42;0,42;1,24;1,16
109;Produkt_109;Getriebeteile;6;206,44;164,77;1,9;1,6;5,09;0,48;1,72;1,48
110;Produkt_110;Motorenteile;5;178,12;139,24;1,75;1,5;21,53;0,4;1,6;1,4
111;Produkt_111;Getriebeteile;2;104,07;71,29;1,3;1,2;20,57;0,25;1,24;1,16
112;Produkt_112;Motorenteile;3;105,85;80,5;1,45;1,3;13,75;0,19;1,36;1,24
113;Produkt_113;Sicherheitsbauteile;9;258,78;176,04;2,35;1,9;17,9;0,42;2,08;1,72
114;Produkt_114;Metallkomponenten;7;240,8;169,98;2,05;1,7;8,2;0,38;1,84;1,56
115;Produkt_115;Kunststoffteile;7;224,41;128,42;2,05;1,7;12,04;0,17;1,84;1,56
116;Produkt_116;Metallkomponenten;6;210,22;155,32;1,9;1,6;20,63;0,28;1,72;1,48
117;Produkt_117;Metallkomponenten;8;250,42;145,73;2,2;1,8;11,75;0,48;1,96;1,64
118;Produkt_118;Motorenteile;4;150,45;113,82;1,6;1,4;9,27;0,33;1,48;1,32
119;Produkt_119;Metallkomponenten;8;264,07;196,87;2,2;1,8;12,61;0,3;1,96;1,64
120;Produkt_120;Elektronik;4;142,26;103,45;1,6;1,4;20,79;0,31;1,48;1,32
121;Produkt_121;Metallkomponenten;8;251,44;140,57;2,2;1,8;8,71;0,22;1,96;1,64
122;Produkt_122;Metallkomponenten;9;268,07;167,75;2,35;1,9;4,76;0,28;2,08;1,72
123;Produkt_123;Getriebeteile;3;118,48;72,96;1,45;1,3;17,94;0,28;1,36;1,24
124;Produkt_124;Motorenteile;3;120,36;77,04;1,45;1,3;20,74;0,17;1,36;1,24
125;Produkt_125;Getriebeteile;2;103,33;59,1;1,3;1,2;2,97;0,42;1,24;1,16
126;Produkt_126;Elektronik;10;292,82;229,64;2,5;2,0;6,38;0,3;2,2;1,8
127;Produkt_127;Metallkomponenten;3;143,84;99,02;1,45;1,3;3,98;0,44;1,36;1,24
128;Produkt_128;Metallkomponenten;3;111,58;69,89;1,45;1,3;9,02;0,45;1,36;1,24
129;Produkt_129;Motorenteile;5;172,2;111,8;1,75;1,5;11,53;0,22;1,6;1,4
130;Produkt_130;Elektronik;5;168,4;111,45;1,75;1,5;18,85;0,38;1,6;1,4
131;Produkt_131;Elektronik;2;121,7;85,21;1,3;1,2;16,45;0,32;1,24;1,16
132;Produkt_132;Getriebeteile;10;302,95;205,68;2,5;2,0;15,71;0,46;2,2;1,8
133;Produkt_133;Motorenteile;6;215,48;168,04;1,9;1,6;9,13;0,23;1,72;1,48
134;Produkt_134;Getriebeteile;5;152,72;102,97;1,75;1,5;21,12;0,39;1,6;1,4
135;Produkt_135;Sicherheitsbauteile;6;204,01;162,8;1,9;1,6;12,05;0,36;1,72;1,48
136;Produkt_136;Getriebeteile;1;88,34;67,39;1,15;1,1;24,49;0,25;1,12;1,08
137;Produkt_137;Elektronik;5;176,23;106,12;1,75;1,5;16,04;0,2;1,6;1,4
138;Produkt_138;Kunststoffteile;9;290,98;227,74;2,35;1,9;3,59;0,38;2,08;1,72
139;Produkt_139;Elektronik;10;292,24;169,23;2,5;2,0;17,07;0,41;2,2;1,8
140;Produkt_140;Sicherheitsbauteile;2;121,14;91,38;1,3;1,2;8,47;0,26;1,24;1,16
141;Produkt_141;Sicherheitsbauteile;1;109,48;70,63;1,15;1,1;17,32;0,38;1,12;1,08
142;Produkt_142;Getriebeteile;10;294,56;226,66;2,5;2,0;2,21;0,29;2,2;1,8
143;Produkt_143;Elektronik;9;268,32;205,8;2,35;1,9;4,78;0,4;2,08;1,72
144;Produkt_144;Getriebeteile;10;321,8;241,83;2,5;2,0;21,47;0,22;2,2;1,8
145;Produkt_145;Getriebeteile;9;298,69;223,28;2,35;1,9;6,07;0,46;2,08;1,72
146;Produkt_146;Motorenteile;9;267,16;167,29;2,35;1,9;21,01;0,25;2,08;1,72
147;Produkt_147;Kunststoffteile;6;193,7;110,45;1,9;1,6;7,34;0,28;1,72;1,48
148;Produkt_148;Elektronik;8;245,77;159,94;2,2;1,8;16,25;0,17;1,96;1,64
149;Produkt_149;Motorenteile;1;54,83;32,54;1,15;1,1;17,51;0,19;1,12;1,08
150;Produkt_150;Getriebeteile;10;286,22;207,15;2,5;2,0;13,06;0,33;2,2;1,8
151;Produkt_151;Sicherheitsbauteile;4;134,94;85,89;1,6;1,4;7,98;0,24;1,48;1,32
152;Produkt_152;Getriebeteile;1;63,48;50,4;1,15;1,1;5,71;0,44;1,12;1,08
153;Produkt_153;Motorenteile;8;249,48;177,19;2,2;1,8;1,31;0,16;1,96;1,64
154;Produkt_154;Elektronik;1;78,51;59,33;1,15;1,1;7,95;0,28;1,12;1,08
155;Produkt_155;Sicherheitsbauteile;3;148,26;86,45;1,45;1,3;16,5;0,27;1,36;1,24
156;Produkt_156;Getriebeteile;4;135,02;103,36;1,6;1,4;23,49;0,16;1,48;1,32
157;Produkt_157;Kunststoffteile;8;264,76;206,7;2,2;1,8;21,84;0,19;1,96;1,64
158;Produkt_158;Metallkomponenten;6;196,79;132,2;1,9;1,6;19,27;0,29;1,72;1,48
159;Produkt_159;Getriebeteile;10;299,26;209,95;2,5;2,0;19,82;0,32;2,2;1,8
160;Produkt_160;Kunststoffteile;7;235,12;174,27;2,05;1,7;16,79;0,29;1,84;1,56
161;Produkt_161;Elektronik;8;233,16;138,43;2,2;1,8;6,88;0,34;1,96;1,64
162;Produkt_162;Kunststoffteile;2;105,74;71,44;1,3;1,2;22,73;0,36;1,24;1,16
163;Produkt_163;Kunststoffteile;10;302,5;196,52;2,5;2,0;16,93;0,15;2,2;1,8
164;Produkt_164;Elektronik;8;257,39;150,98;2,2;1,8;14,23;0,31;1,96;1,64
165;Produkt_165;Motorenteile;3;129,34;83,02;1,45;1,3;3,22;0,49;1,36;1,24
166;Produkt_166;Metallkomponenten;7;261,83;148,47;2,05;1,7;11,45;0,33;1,84;1,56
167;Produkt_167;Getriebeteile;3;115,43;64,23;1,45;1,3;11,78;0,39;1,36;1,24
168;Produkt_168;Motorenteile;7;217,04;126,7;2,05;1,7;21,68;0,26;1,84;1,56
169;Produkt_169;Motorenteile;2;90,65;71,69;1,3;1,2;13,89;0,42;1,24;1,16
170;Produkt_170;Elektronik;10;291,67;200,49;2,5;2,0;9,82;0,42;2,2;1,8
171;Produkt_171;Kunststoffteile;6;190,44;150,72;1,9;1,6;24,43;0,33;1,72;1,48
172;Produkt_172;Motorenteile;3;142,84;94,0;1,45;1,3;3,21;0,49;1,36;1,24
173;Produkt_173;Elektronik;3;146,31;91,87;1,45;1,3;10,85;0,19;1,36;1,24
174;Produkt_174;Getriebeteile;9;266,44;180,26;2,35;1,9;1,53;0,16;2,08;1,72
175;Produkt_175;Kunststoffteile;7;212,51;140,23;2,05;1,7;18,63;0,42;1,84;1,56
176;Produkt_176;Motorenteile;5;182,07;104,95;1,75;1,5;22,99;0,43;1,6;1,4
177;Produkt_177;Kunststoffteile;10;291,72;207,18;2,5;2,0;7,36;0,19;2,2;1,8
178;Produkt_178;Elektronik;7;234,49;141,64;2,05;1,7;21,53;0,24;1,84;1,56
179;Produkt_179;Sicherheitsbauteile;9;278,04;195,99;2,35;1,9;7,66;0,16;2,08;1,72
180;Produkt_180;Motorenteile;1;52,26;37,24;1,15;1,1;22,81;0,25;1,12;1,08
181;Produkt_181;Getriebeteile;7;248,21;145,95;2,05;1,7;18,97;0,42;1,84;1,56
182;Produkt_182;Motorenteile;6;226,94;128,3;1,9;1,6;20,22;0,33;1,72;1,48
183;Produkt_183;Sicherheitsbauteile;10;290,81;216,71;2,5;2,0;0,94;0,27;2,2;1,8
184;Produkt_184;Metallkomponenten;9;269,18;178,99;2,35;1,9;24,09;0,28;2,08;1,72
185;Produkt_185;Getriebeteile;1;79,29;44,76;1,15;1,1;18,3;0,15;1,12;1,08
186;Produkt_186;Kunststoffteile;4;155,02;123,81;1,6;1,4;7,97;0,25;1,48;1,32
187;Produkt_187;Metallkomponenten;9;284,88;160,8;2,35;1,9;20,82;0,38;2,08;1,72
188;Produkt_188;Elektronik;4;180,15;130,39;1,6;1,4;7,4;0,49;1,48;1,32
189;Produkt_189;Elektronik;10;297,35;236,66;2,5;2,0;21,88;0,45;2,2;1,8
190;Produkt_190;Getriebeteile;3;113,03;68,92;1,45;1,3;3,26;0,16;1,36;1,24
191;Produkt_191;Motorenteile;9;254,31;148,91;2,35;1,9;17,74;0,46;2,08;1,72
192;Produkt_192;Metallkomponenten;2;89,04;51,67;1,3;1,2;13,75;0,42;1,24;1,16
193;Produkt_193;Sicherheitsbauteile;4;149,5;93,56;1,6;1,4;2,87;0,42;1,48;1,32
194;Produkt_194;Kunststoffteile;6;226,92;130,54;1,9;1,6;6,43;0,31;1,72;1,48
195;Produkt_195;Getriebeteile;2;92,24;66,69;1,3;1,2;0,8;0,29;1,24;1,16
196;Produkt_196;Getriebeteile;8;253,36;143,29;2,2;1,8;11,98;0,26;1,96;1,64
197;Produkt_197;Kunststoffteile;8;249,75;169,17;2,2;1,8;7,88;0,17;1,96;1,64
198;Produkt_198;Metallkomponenten;1;92,83;74,18;1,15;1,1;15,16;0,23;1,12;1,08
199;Produkt_199;Metallkomponenten;3;162,9;122,75;1,45;1,3;7,78;0,24;1,36;1,24
200;Produkt_200;Metallkomponenten;10;292,04;205,54;2,5;2,0;7,85;0,32;2,2;1,8
201;Produkt_201;Kunststoffteile;9;267,66;167,7;2,35;1,9;18,71;0,41;2,08;1,72
202;Produkt_202;Motorenteile;5;190,66;134,6;1,75;1,5;1,68;0,32;1,6;1,4
203;Produkt_203;Motorenteile;6;210,23;143,33;1,9;1,6;22,62;0,17;1,72;1,48
204;Produkt_204;Metallkomponenten;4;177,7;116,66;1,6;1,4;21,38;0,49;1,48;1,32
205;Produkt_205;Kunststoffteile;10;308,76;179,91;2,5;2,0;16,86;0,48;2,2;1,8
206;Produkt_206;Motorenteile;2;94,61;73,01;1,3;1,2;15,03;0,42;1,24;1,16
207;Produkt_207;Motorenteile;8;258,86;171,48;2,2;1,8;22,36;0,5;1,96;1,64
208;Produkt_208;Kunststoffteile;6;216,63;129,69;1,9;1,6;5,04;0,34;1,72;1,48
209;Produkt_209;Motorenteile;5;187,31;120,24;1,75;1,5;2,43;0,49;1,6;1,4
210;Produkt_210;Motorenteile;9;282,61;184,69;2,35;1,9;6,37;0,18;2,08;1,72
211;Produkt_211;Elektronik;1;91,0;68,88;1,15;1,1;19,97;0,28;1,12;1,08
212;Produkt_212;Kunststoffteile;5;192,54;141,21;1,75;1,5;1,35;0,23;1,6;1,4
213;Produkt_213;Kunststoffteile;6;220,73;163,86;1,9;1,6;14,78;0,22;1,72;1,48
214;Produkt_214;Getriebeteile;5;184,73;102,11;1,75;1,5;24,89;0,2;1,6;1,4
215;Produkt_215;Kunststoffteile;6;197,49;129,17;1,9;1,6;21,46;0,37;1,72;1,48
216;Produkt_216;Getriebeteile;6;202,2;135,54;1,9;1,6;13,28;0,42;1,72;1,48
217;Produkt_217;Getriebeteile;7;243,1;134,87;2,05;1,7;2,06;0,35;1,84;1,56
218;Produkt_218;Metallkomponenten;4;137,75;84,71;1,6;1,4;20,87;0,2;1,48;1,32
219;Produkt_219;Kunststoffteile;8;255,53;189,11;2,2;1,8;15,17;0,43;1,96;1,64
220;Produkt_220;Metallkomponenten;7;219,1;128,02;2,05;1,7;3,32;0,37;1,84;1,56
221;Produkt_221;Kunststoffteile;9;275,43;188,35;2,35;1,9;2,8;0,29;2,08;1,72
222;Produkt_222;Elektronik;7;244,18;147,43;2,05;1,7;22,79;0,39;1,84;1,56
223;Produkt_223;Motorenteile;3;127,87;70,71;1,45;1,3;16,9;0,24;1,36;1,24
224;Produkt_224;Elektronik;3;125,7;76,71;1,45;1,3;20,82;0,27;1,36;1,24
225;Produkt_225;Getriebeteile;8;229,6;182,3;2,2;1,8;22,03;0,47;1,96;1,64
226;Produkt_226;Getriebeteile;5;186,19;139,72;1,75;1,5;14,51;0,25;1,6;1,4
227;Produkt_227;Sicherheitsbauteile;4;159,68;126,13;1,6;1,4;13,18;0,31;1,48;1,32
228;Produkt_228;Elektronik;8;282,45;189,8;2,2;1,8;11,05;0,46;1,96;1,64
229;Produkt_229;Metallkomponenten;6;195,38;112,82;1,9;1,6;8,27;0,4;1,72;1,48
230;Produkt_230;Kunststoffteile;2;103,29;70,96;1,3;1,2;11,15;0,17;1,24;1,16
231;Produkt_231;Metallkomponenten;4;153,74;102,02;1,6;1,4;19,46;0,2;1,48;1,32
232;Produkt_232;Elektronik;4;173,66;132,17;1,6;1,4;15,25;0,15;1,48;1,32
233;Produkt_233;Elektronik;6;198,57;114,08;1,9;1,6;22,37;0,37;1,72;1,48
234;Produkt_234;Elektronik;6;204,19;137,22;1,9;1,6;11,36;0,31;1,72;1,48
235;Produkt_235;Motorenteile;1;84,12;49,42;1,15;1,1;15,37;0,2;1,12;1,08
236;Produkt_236;Kunststoffteile;8;252,8;159,56;2,2;1,8;15,97;0,49;1,96;1,64
237;Produkt_237;Getriebeteile;6;193,3;141,95;1,9;1,6;15,0;0,34;1,72;1,48
238;Produkt_238;Motorenteile;3;127,91;85,57;1,45;1,3;17,71;0,23;1,36;1,24
239;Produkt_239;Kunststoffteile;9;291,1;187,46;2,35;1,9;6,32;0,33;2,08;1,72
240;Produkt_240;Motorenteile;2;84,6;54,87;1,3;1,2;13,05;0,39;1,24;1,16
241;Produkt_241;Sicherheitsbauteile;8;251,99;167,54;2,2;1,8;3,05;0,18;1,96;1,64
242;Produkt_242;Sicherheitsbauteile;10;289,5;216,04;2,5;2,0;9,92;0,25;2,2;1,8
243;Produkt_243;Sicherheitsbauteile;3;142,93;110,48;1,45;1,3;12,45;0,43;1,36;1,24
244;Produkt_244;Elektronik;5;152,15;120,02;1,75;1,5;16,48;0,31;1,6;1,4
245;Produkt_245;Motorenteile;6;191,62;143,08;1,9;1,6;23,79;0,34;1,72;1,48
246;Produkt_246;Sicherheitsbauteile;10;305,66;192,21;2,5;2,0;15,22;0,3;2,2;1,8
247;Produkt_247;Elektronik;6;223,48;161,36;1,9;1,6;18,72;0,17;1,72;1,48
248;Produkt_248;Sicherheitsbauteile;4;149,01;98,26;1,6;1,4;12,9;0,21;1,48;1,32
249;Produkt_249;Sicherheitsbauteile;3;116,67;71,6;1,45;1,3;16,04;0,31;1,36;1,24
250;Produkt_250;Metallkomponenten;4;178,22;135,48;1,6;1,4;2,24;0,22;1,48;1,32
251;Produkt_251;Getriebeteile;1;53,28;29,82;1,15;1,1;6,73;0,17;1,12;1,08
252;Produkt_252;Elektronik;4;117,02;90,74;1,6;1,4;9,37;0,45;1,48;1,32
253;Produkt_253;Metallkomponenten;1;81,6;54,29;1,15;1,1;12,08;0,49;1,12;1,08
254;Produkt_254;Getriebeteile;1;67,47;47,86;1,15;1,1;1,62;0,43;1,12;1,08
255;Produkt_255;Motorenteile;10;284,68;203,5;2,5;2,0;3,93;0,45;2,2;1,8
256;Produkt_256;Elektronik;6;210,63;162,98;1,9;1,6;7,28;0,23;1,72;1,48
257;Produkt_257;Sicherheitsbauteile;5;178,66;126,7;1,75;1,5;24,3;0,49;1,6;1,4
258;Produkt_258;Kunststoffteile;4;141,54;99,57;1,6;1,4;8,62;0,22;1,48;1,32
259;Produkt_259;Elektronik;3;105,8;59,95;1,45;1,3;12,31;0,48;1,36;1,24
260;Produkt_260;Motorenteile;1;88,09;59,86;1,15;1,1;5,3;0,5;1,12;1,08
261;Produkt_261;Kunststoffteile;6;209,75;123,24;1,9;1,6;15,46;0,4;1,72;1,48
262;Produkt_262;Sicherheitsbauteile;2;98,51;72,34;1,3;1,2;7,38;0,49;1,24;1,16
263;Produkt_263;Motorenteile;8;277,7;188,3;2,2;1,8;5,57;0,35;1,96;1,64
264;Produkt_264;Elektronik;10;283,95;204,46;2,5;2,0;13,16;0,24;2,2;1,8
265;Produkt_265;Metallkomponenten;5;152,12;85,25;1,75;1,5;0,63;0,3;1,6;1,4
266;Produkt_266;Metallkomponenten;7;214,62;122,59;2,05;1,7;0,69;0,36;1,84;1,56
267;Produkt_267;Kunststoffteile;10;299,32;218,23;2,5;2,0;5,87;0,18;2,2;1,8
268;Produkt_268;Kunststoffteile;2;103,65;58,88;1,3;1,2;1,4;0,37;1,24;1,16
269;Produkt_269;Getriebeteile;8;246,38;139,9;2,2;1,8;3,15;0,49;1,96;1,64
