Material_ID;Produktionsauftrag_ID;Zulieferer_ID;Materialcharge;Materialtyp;Materialverbrauch;Materialkosten
336621;240027;133;478171;Aluminium;16210,3;40525,75
92222;302373;133;364056;Kunststoff;14473,0;36182,5
387062;583835;42;253293;Elektronik;1118,6;2796,5
113702;482998;78;386609;Stahl;9015,5;22538,75
189299;374532;125;887897;Stahl;5057,2;12643,0
218542;227798;51;336808;Stahl;20655,8;51639,5
287621;105004;45;510762;Stahl;1983,75;4959,37
151132;372370;28;893932;Aluminium;8898,7;22246,75
264907;798856;120;360725;Stahl;7905,4;19763,5
319981;633430;123;542179;Aluminium;15353,0;38382,5
197793;657467;62;225174;Kupfer;5198,6;12996,5
127182;338938;93;675272;Aluminium;8835,0;22087,5
247999;168781;116;253981;Kupfer;10375,9;25939,75
316633;486350;116;550732;Aluminium;4529,8;11324,5
77051;108641;132;102836;Kupfer;12436,8;31092,0
217740;168297;73;653495;Kunststoff;2209,8;5524,5
297876;660644;124;346849;Stahl;4421,75;11054,38
86046;41169;61;658602;Stahl;13295,05;33237,62
151095;685488;75;405329;Aluminium;1527,5;3818,75
17858;292996;60;181748;Kunststoff;25460,0;63650,0
318783;493383;35;158180;Elektronik;21937,5;54843,75
48950;692585;92;468578;Stahl;15561,55;38903,88
351359;315023;134;649111;Elektronik;1420,9;3552,25
332724;84070;79;660666;Kunststoff;22122,5;55306,25
262416;308838;41;237729;Kupfer;2224,3;5560,75
283444;84406;37;750848;Elektronik;12973,4;32433,5
194315;608396;106;860920;Aluminium;19866,4;49666,0
223076;529683;138;978333;Kupfer;6898,5;17246,25
221672;405021;95;566177;Stahl;15908,2;39770,5
243556;133815;95;481466;Kupfer;8476,8;21192,0
118748;273532;79;576389;Elektronik;10969,25;27423,12
152053;684598;118;457480;Kunststoff;3325,0;8312,5
316851;180068;16;313266;Kupfer;20245,0;50612,5
149039;281163;98;857761;Kupfer;10728,0;26820,0
391883;23178;20;916775;Kupfer;4087,6;10219,0
165250;127319;128;276552;Kunststoff;10846,8;27117,0
102358;77103;130;749898;Stahl;10680,5;26701,25
6749;438455;90;452854;Kunststoff;7204,8;18012,0
160153;509217;31;219261;Aluminium;7896,7;19741,75
181062;31834;94;399947;Stahl;867,15;2167,88
24602;138317;121;188909;Kupfer;1281,25;3203,12
201127;519269;57;573371;Kunststoff;14376,65;35941,62
107009;761932;106;467161;Stahl;5001,35;12503,37
220690;346228;127;674662;Elektronik;10979,8;27449,5
395697;59796;95;228538;Kunststoff;13562,9;33907,25
378475;445922;31;604175;Elektronik;6819,35;17048,38
111497;601988;23;500125;Elektronik;1275,2;3188,0
106158;629017;129;330448;Kupfer;3227,4;8068,5
323446;341110;117;837072;Kupfer;8579,0;21447,5
145481;286541;54;249557;Elektronik;5984,0;14960,0
206990;38920;130;884021;Elektronik;13172,5;32931,25
191454;36537;109;441622;Aluminium;1836,55;4591,38
2743;744306;84;407257;Aluminium;5205,25;13013,12
376124;512822;118;911283;Kunststoff;5703,45;14258,62
45938;530050;79;143798;Kupfer;12141,7;30354,25
182169;781286;77;871187;Kunststoff;11684,4;29211,0
74711;293611;79;540163;Elektronik;25485,0;63712,5
109939;632852;111;290325;Kupfer;12556,7;31391,75
363057;677823;26;302825;Kunststoff;14801,6;37004,0
10917;155111;28;244378;Elektronik;4162,4;10406,0
272704;123995;55;897473;Stahl;6881,8;17204,5
29551;47618;51;638738;Elektronik;18855,0;47137,5
264756;774233;121;145200;Elektronik;2047,5;5118,75
117623;296243;12;620363;Elektronik;723,35;1808,37
59847;53150;140;708300;Stahl;2095,3;5238,25
159869;519814;103;435535;Elektronik;3346,4;8366,0
294235;589175;113;874320;Aluminium;9644,8;24112,0
153508;287633;75;569282;Aluminium;18978,6;47446,5
219734;607951;72;364636;Kupfer;11799,8;29499,5
363092;196351;60;243932;Aluminium;10906,0;27265,0
163775;103391;77;438067;Kunststoff;5557,5;13893,75
377523;689875;3;944562;Kunststoff;7019,2;17548,0
233763;208832;123;683443;Kupfer;10488,0;26220,0
221487;562969;97;256043;Kunststoff;6053,25;15133,12
36821;701079;27;378531;Aluminium;20611,85;51529,63
27970;376951;9;754654;Stahl;18116,15;45290,38
295378;652217;33;995146;Kupfer;3700,7;9251,75
269016;382545;148;149835;Aluminium;4245,0;10612,5
366509;84604;36;357609;Stahl;7251,2;18128,0
35583;668613;51;212892;Kunststoff;15405,0;38512,5
261237;162066;75;422564;Kunststoff;8586,5;21466,25
91313;485978;61;287722;Stahl;13044,85;32612,12
337514;240693;87;165384;Elektronik;21683,2;54208,0
313707;263265;123;806652;Aluminium;6067,5;15168,75
68766;386042;81;114200;Kupfer;14076,8;35192,0
57381;20367;2;322331;Kupfer;8830,5;22076,25
226023;298862;133;243172;Elektronik;10494,4;26236,0
313488;240387;125;430334;Stahl;6650,8;16627,0
75371;392402;69;125685;Aluminium;10678,8;26697,0
362570;779845;115;564958;Kupfer;11903,5;29758,75
161748;581759;48;642315;Aluminium;5845,4;14613,5
247371;626238;70;756480;Kunststoff;1300,65;3251,62
44682;466818;146;809066;Stahl;14691,3;36728,25
350488;199546;72;465706;Stahl;11928,95;29822,37
334464;343649;72;284892;Kunststoff;4257,9;10644,75
120517;478471;130;736092;Kunststoff;8177,6;20444,0
151264;611318;85;999327;Kupfer;11116,8;27792,0
107733;271917;103;147718;Aluminium;24605,0;61512,5
114825;503991;150;762635;Kupfer;7211,65;18029,12
276771;335322;59;816505;Kunststoff;6688,5;16721,25
225745;252118;143;104793;Aluminium;16164,25;40410,62
16036;152443;126;707648;Kupfer;22127,5;55318,75
30248;504160;119;813839;Kunststoff;19977,5;49943,75
264842;122162;136;826099;Kunststoff;3772,8;9432,0
289765;770792;56;361219;Aluminium;12777,5;31943,75
122858;698828;15;455846;Kupfer;1962,7;4906,75
42909;173026;30;314174;Aluminium;1311,0;3277,5
113754;713034;81;719765;Kunststoff;9550,95;23877,37
211176;631235;120;683961;Stahl;21237,5;53093,75
213960;722741;29;333079;Stahl;18677,0;46692,5
357805;495232;68;641818;Aluminium;11887,2;29718,0
66889;452740;29;874047;Kupfer;17445,5;43613,75
201947;98400;14;711206;Kupfer;3157,0;7892,5
214635;104555;46;897995;Aluminium;10560,45;26401,12
362270;117475;117;230366;Kunststoff;2295,95;5739,88
241759;90325;142;866448;Elektronik;11028,6;27571,5
245141;679673;19;447327;Aluminium;4364,25;10910,62
379402;551012;111;671537;Elektronik;6612,8;16532,0
322265;442250;84;811847;Kupfer;9782,4;24456,0
365192;6906;138;981291;Stahl;21543,45;53858,62
38672;82498;139;889399;Stahl;9411,75;23529,38
222416;514776;111;664593;Stahl;12065,6;30164,0
290451;218052;146;229185;Kupfer;1281,6;3204,0
220869;518435;86;642122;Stahl;18911,25;47278,12
250683;617032;12;958169;Aluminium;1904,4;4761,0
395438;639681;109;835128;Stahl;8432,2;21080,5
94348;661822;61;914047;Aluminium;1283,4;3208,5
149037;246646;52;680535;Aluminium;9792,6;24481,5
227037;7685;44;953848;Aluminium;7642,5;19106,25
162149;218773;17;778716;Kunststoff;11033,1;27582,75
8591;287725;115;435949;Kunststoff;11213,65;28034,12
7357;26262;96;412579;Kunststoff;12007,15;30017,88
80730;38462;124;968127;Aluminium;7212,4;18031,0
113166;312865;31;136308;Kupfer;7339,3;18348,25
396175;339023;2;376887;Kunststoff;20238,8;50597,0
49751;511302;42;525329;Elektronik;10324,8;25812,0
187878;237937;36;725098;Kupfer;6465,8;16164,5
130697;396226;101;972784;Stahl;6886,2;17215,5
88611;331568;88;961981;Elektronik;14494,8;36237,0
312088;450083;40;928838;Kunststoff;9138,5;22846,25
61564;455959;101;551352;Kupfer;9205,0;23012,5
221240;270637;142;315666;Aluminium;7741,8;19354,5
198449;307433;104;112234;Elektronik;3988,95;9972,38
236426;711981;2;815060;Elektronik;5911,4;14778,5
246471;607579;8;548849;Kupfer;16557,85;41394,62
119339;461749;74;523066;Stahl;6735,1;16837,75
82698;527574;31;765151;Stahl;16313,5;40783,75
195572;241145;101;845354;Kunststoff;20564,85;51412,13
3821;659319;98;192493;Stahl;6411,6;16029,0
359327;381358;142;265505;Stahl;14041,6;35104,0
202654;310646;107;368829;Stahl;4891,3;12228,25
17266;368494;52;402811;Kupfer;9392,25;23480,62
384882;440094;109;860209;Elektronik;7617,5;19043,75
231517;455601;114;569417;Kunststoff;2479,5;6198,75
84461;76685;73;970447;Aluminium;14863,75;37159,37
376386;81280;129;257199;Aluminium;5963,1;14907,75
53004;86931;111;291017;Kupfer;8422,6;21056,5
346976;260202;136;738475;Aluminium;2180,0;5450,0
399709;456118;137;499006;Kunststoff;22074,8;55187,0
251180;783988;52;928474;Kunststoff;4955,35;12388,37
238054;11245;102;199645;Kupfer;13000,75;32501,88
103972;366745;148;194308;Kunststoff;1459,9;3649,75
81939;313604;29;108622;Aluminium;3928,05;9820,12
103184;462238;48;345000;Stahl;3694,6;9236,5
322783;673177;16;441235;Elektronik;4756,4;11891,0
196353;109767;41;894863;Elektronik;4519,05;11297,62
384037;783089;106;403399;Kunststoff;21260,55;53151,38
367071;144508;91;122157;Stahl;21010,45;52526,12
231543;709458;84;357525;Elektronik;16003,7;40009,25
320200;674768;86;824324;Kupfer;1410,5;3526,25
355672;361223;99;448925;Kupfer;1155,0;2887,5
384713;70674;52;644779;Stahl;7060,05;17650,12
340521;310978;139;828274;Stahl;10771,1;26927,75
298381;487957;12;225414;Aluminium;15370,0;38425,0
180644;286569;15;979446;Kupfer;9689,6;24224,0
155541;187278;120;511585;Aluminium;9895,2;24738,0
146553;583212;60;884193;Kupfer;10268,7;25671,75
27219;416362;28;634402;Kupfer;12242,9;30607,25
318205;594269;37;508570;Kupfer;1371,95;3429,87
317457;257806;89;780975;Aluminium;8481,25;21203,12
247839;562952;53;520638;Kunststoff;9408,0;23520,0
334300;604732;2;484816;Kunststoff;2673,75;6684,38
87512;429887;130;919664;Elektronik;4939,0;12347,5
358828;697855;41;455254;Elektronik;2824,9;7062,25
313490;703183;6;160716;Stahl;18425,6;46064,0
340526;5753;25;897888;Aluminium;8088,7;20221,75
110627;207829;26;440989;Elektronik;4447,05;11117,62
357382;51309;23;652253;Kunststoff;2532,5;6331,25
59710;148629;51;263410;Stahl;1956,05;4890,12
102433;240491;44;248400;Kupfer;1097,2;2743,0
237331;223797;16;102435;Kunststoff;15407,8;38519,5
98648;87623;138;702230;Elektronik;5297,6;13244,0
274625;463202;71;569051;Kunststoff;8127,05;20317,62
242955;101896;4;108604;Stahl;20848,5;52121,25
302300;571421;45;931806;Kunststoff;13049,2;32623,0
9585;25402;90;769113;Elektronik;12888,75;32221,88
165593;752702;8;603670;Aluminium;7012,25;17530,62
389199;31874;141;959116;Kunststoff;4377,5;10943,75
15067;562762;44;856120;Kupfer;4079,05;10197,62
136817;717604;62;720383;Aluminium;1495,3;3738,25
98596;707478;83;720052;Kunststoff;10117,7;25294,25
300710;453244;120;678660;Aluminium;14416,6;36041,5
150781;432968;27;117343;Aluminium;24397,5;60993,75
291391;464184;58;334378;Elektronik;4107,8;10269,5
216862;560861;44;699128;Elektronik;8667,55;21668,88
68262;350505;82;905595;Aluminium;14757,3;36893,25
37123;145335;54;955446;Kunststoff;2698,0;6745,0
171011;177667;135;564776;Aluminium;12464,0;31160,0
202293;125511;85;893778;Kupfer;13954,6;34886,5
209691;248464;9;179596;Elektronik;11736,3;29340,75
309649;389566;59;991687;Kunststoff;22554,4;56386,0
19993;223389;89;329489;Aluminium;24105,3;60263,25
194735;62828;43;100246;Kunststoff;13408,15;33520,38
73824;133808;54;311770;Elektronik;5312,4;13281,0
194305;68230;84;114024;Kupfer;2638,35;6595,88
60193;547835;16;251055;Kunststoff;8452,05;21130,12
348939;560544;43;673516;Kupfer;21929,6;54824,0
234176;637568;96;826511;Kunststoff;10462,5;26156,25
69755;429552;70;541082;Kunststoff;12184,35;30460,88
236891;123768;122;440466;Kupfer;6626,5;16566,25
125345;494721;92;693640;Kupfer;7042,6;17606,5
89337;109128;62;586585;Stahl;16588,6;41471,5
360942;23722;22;259607;Aluminium;3321,6;8304,0
302961;43370;3;107919;Stahl;12688,95;31722,37
243495;656498;125;911874;Kupfer;9995,8;24989,5
148054;503136;89;292912;Stahl;1161,5;2903,75
286268;191482;61;426373;Aluminium;7907,8;19769,5
183499;501019;33;255738;Kunststoff;2644,25;6610,62
108185;629265;12;563571;Stahl;1041,9;2604,75
323829;413324;9;179021;Stahl;11732,0;29330,0
390582;663659;104;535561;Kunststoff;4565,5;11413,75
182270;68079;15;182255;Aluminium;15440,0;38600,0
267238;327918;70;144068;Aluminium;13248,7;33121,75
314226;367449;100;950803;Stahl;11132,1;27830,25
282676;77033;27;869471;Kupfer;2216,05;5540,12
312628;41251;97;269682;Kupfer;4776,5;11941,25
140330;31196;69;119740;Aluminium;3576,5;8941,25
3047;183988;24;518647;Stahl;2708,6;6771,5
327871;563543;139;187298;Kunststoff;4037,25;10093,12
14540;399836;62;579319;Kupfer;22742,5;56856,25
231263;698101;86;960488;Elektronik;5590,0;13975,0
62791;378980;98;356300;Stahl;5606,9;14017,25
205736;335368;60;741318;Kunststoff;8792,5;21981,25
33678;548889;17;823911;Kunststoff;8946,6;22366,5
343392;758003;110;764238;Kunststoff;5742,0;14355,0
366932;602161;71;810514;Aluminium;10885,2;27213,0
193417;756264;144;678598;Elektronik;12245,5;30613,75
97033;611248;114;870861;Kupfer;772,85;1932,12
391530;638960;58;736994;Stahl;2626,75;6566,88
217674;402180;139;879933;Kunststoff;2350,4;5876,0
38074;150598;26;187687;Aluminium;4320,75;10801,88
41756;443124;125;883096;Kupfer;2681,8;6704,5
167390;77696;21;731993;Elektronik;3888,5;9721,25
381094;350149;53;275376;Aluminium;4180,8;10452,0
210472;59267;95;291952;Aluminium;19864,5;49661,25
248310;300406;131;948133;Stahl;3744,4;9361,0
83972;191202;3;785825;Aluminium;13037,5;32593,75
64267;464201;74;895869;Kupfer;4971,25;12428,12
18068;122586;8;565992;Stahl;2104,0;5260,0
321879;145791;73;632790;Aluminium;15726,1;39315,25
352606;403133;3;565384;Elektronik;18674,25;46685,62
349292;289391;6;713357;Kunststoff;10550,7;26376,75
104321;229665;135;379305;Stahl;11149,2;27873,0
294514;393158;46;250757;Elektronik;1116,5;2791,25
371089;452122;62;621667;Elektronik;5808,65;14521,62
6913;554031;67;188302;Kunststoff;10167,5;25418,75
93208;784335;38;971461;Kupfer;18713,2;46783,0
386833;7756;110;973717;Stahl;1260,0;3150,0
146857;406903;18;562636;Kupfer;13160,4;32901,0
172355;625911;15;269230;Stahl;10562,5;26406,25
127696;489781;145;690007;Kunststoff;21272,85;53182,12
277056;333168;115;177586;Kunststoff;13819,95;34549,88
103928;597777;9;135001;Kupfer;6598,95;16497,38
121227;291038;146;180635;Aluminium;7441,6;18604,0
360359;520233;149;149821;Stahl;5396,0;13490,0
161342;482994;68;980924;Aluminium;8822,8;22057,0
153890;651857;33;605284;Aluminium;5077,8;12694,5
309403;233468;49;566762;Elektronik;8622,15;21555,38
218093;713373;140;695009;Kunststoff;5278,5;13196,25
200886;33420;110;138334;Aluminium;9818,9;24547,25
288698;547211;24;285759;Kupfer;27332,5;68331,25
361359;267389;99;220522;Stahl;1252,55;3131,38
32637;672639;73;580854;Kunststoff;3138,8;7847,0
245535;45289;6;695259;Aluminium;8336,05;20840,12
238355;174255;15;445409;Kupfer;3948,1;9870,25
338552;540457;150;853569;Elektronik;6146,8;15367,0
272769;289658;55;957763;Aluminium;5069,2;12673,0
356755;14564;122;471393;Stahl;3953,9;9884,75
251282;330179;78;186466;Kupfer;1109,25;2773,12
351842;594208;85;655510;Kunststoff;3730,85;9327,12
300567;200996;69;923420;Kunststoff;4334,4;10836,0
255934;498661;55;496991;Kupfer;15965,25;39913,12
2331;682453;15;620985;Kunststoff;15787,5;39468,75
51375;124524;133;299885;Stahl;7478,4;18696,0
8318;64720;78;313893;Stahl;564,65;1411,62
167858;133195;45;592498;Kunststoff;17006,8;42517,0
104646;414927;137;315477;Elektronik;4503,7;11259,25
282771;659644;103;530315;Aluminium;3056,55;7641,37
326076;429762;42;401901;Kupfer;10467,2;26168,0
383319;455015;122;953842;Kunststoff;8510,4;21276,0
186849;486827;12;635630;Elektronik;11079,25;27698,12
244085;43413;14;489356;Stahl;20860,1;52150,25
337320;579644;107;187165;Stahl;4395,0;10987,5
201353;610481;48;643806;Stahl;5970,0;14925,0
317577;93744;38;816855;Kupfer;21773,4;54433,5
229303;519840;50;679831;Elektronik;5782,2;14455,5
268508;206956;18;317726;Elektronik;10701,9;26754,75
11057;71406;145;338411;Kunststoff;11694,25;29235,62
254149;428636;140;593898;Elektronik;4589,95;11474,88
177888;242424;124;836121;Elektronik;26890,0;67225,0
217438;705295;107;222800;Stahl;20982,5;52456,25
365401;67459;54;165510;Aluminium;11182,6;27956,5
297710;575879;147;229342;Elektronik;13833,6;34584,0
307836;508200;106;669394;Elektronik;7351,75;18379,38
360553;219680;114;645861;Kunststoff;15840,35;39600,88
193436;489857;105;835665;Aluminium;19213,6;48034,0
86105;566931;48;274164;Kunststoff;7793,55;19483,88
18975;649700;115;445564;Stahl;10022,4;25056,0
296117;267516;141;627819;Elektronik;17382,5;43456,25
146111;530328;111;353279;Kupfer;5398,4;13496,0
115894;222458;119;960785;Kunststoff;7904,6;19761,5
236136;419950;27;141963;Stahl;8480,0;21200,0
293066;453986;92;383633;Aluminium;5830,5;14576,25
120405;76114;105;741924;Kunststoff;910,6;2276,5
372838;398308;70;767481;Stahl;1279,2;3198,0
151262;295997;43;685940;Kunststoff;5522,4;13806,0
283996;83439;57;582799;Kupfer;7064,2;17660,5
110856;17551;148;704282;Kunststoff;2453,0;6132,5
176732;764145;15;768986;Elektronik;6818,0;17045,0
57442;729426;28;514225;Stahl;12834,5;32086,25
96916;689143;36;810580;Stahl;12115,25;30288,12
308652;409296;75;631659;Kupfer;22889,0;57222,5
41216;396158;104;178740;Aluminium;11719,75;29299,38
298987;389226;93;214804;Aluminium;5278,0;13195,0
312382;137743;51;950542;Aluminium;14793,4;36983,5
382848;632007;130;144203;Aluminium;7877,2;19693,0
37499;398361;64;238192;Kupfer;6478,4;16196,0
71875;386213;133;685988;Aluminium;7698,6;19246,5
37545;783130;55;533963;Stahl;2755,0;6887,5
246127;21970;28;890830;Aluminium;2180,8;5452,0
58866;429991;130;785799;Kupfer;6154,1;15385,25
277325;266241;70;686157;Kupfer;4429,75;11074,38
115367;288121;49;751995;Elektronik;12143,75;30359,38
57050;61195;70;792428;Aluminium;13633,4;34083,5
285607;320091;94;989756;Stahl;12625,6;31564,0
338254;633050;28;303219;Aluminium;13035,2;32588,0
204931;286258;102;537268;Elektronik;6827,2;17068,0
55573;780305;132;927931;Kunststoff;19127,5;47818,75
293443;12586;114;652165;Kunststoff;2951,6;7379,0
81596;448877;133;899509;Elektronik;7480,75;18701,87
294506;395843;19;312744;Kunststoff;1257,25;3143,12
237769;41391;52;762332;Kupfer;19023,4;47558,5
79348;586821;63;913570;Kupfer;11352,0;28380,0
101731;261291;98;168231;Kupfer;15000,25;37500,62
85556;379275;85;625732;Kunststoff;18717,75;46794,38
54665;336511;53;609656;Elektronik;13390,75;33476,88
380728;292150;11;858755;Elektronik;7820,75;19551,88
117242;371685;85;275129;Kupfer;6847,1;17117,75
114251;96204;23;222842;Stahl;11056,1;27640,25
265562;643206;147;845311;Elektronik;23932,4;59831,0
45691;640736;110;587268;Aluminium;11060,0;27650,0
273072;179797;36;543245;Aluminium;20752,85;51882,13
74305;628826;147;649621;Kupfer;6846,0;17115,0
187553;392042;88;981533;Aluminium;8888,25;22220,62
151569;660673;108;407385;Kupfer;3692,5;9231,25
166133;642531;66;874519;Elektronik;13890,85;34727,12
168526;65991;69;521297;Elektronik;17932,85;44832,13
204084;609518;145;452042;Elektronik;11874,9;29687,25
250097;164272;49;376336;Aluminium;14272,7;35681,75
95628;348486;57;993144;Stahl;2565,05;6412,62
262616;30357;146;538869;Kunststoff;10309,2;25773,0
390952;19742;26;475000;Aluminium;14284,2;35710,5
254430;348730;47;945400;Stahl;17279,5;43198,75
132921;798396;15;853730;Kupfer;6471,4;16178,5
243378;438888;35;493118;Kunststoff;21179,4;52948,5
154441;258206;114;690389;Elektronik;9318,45;23296,12
82516;631273;63;261645;Kunststoff;8641,6;21604,0
261074;609323;32;196779;Aluminium;10814,7;27036,75
52994;365358;107;940582;Kunststoff;13538,2;33845,5
148486;15365;145;565637;Kupfer;4583,8;11459,5
150045;120182;3;909036;Kunststoff;8790,25;21975,62
280837;201743;65;681103;Kupfer;7221,9;18054,75
362258;380860;33;962109;Elektronik;15922,0;39805,0
397503;367971;17;168054;Elektronik;2125,7;5314,25
173541;135241;31;872033;Stahl;2892,55;7231,37
88999;428744;141;970862;Kunststoff;3669,9;9174,75
346358;768253;117;154792;Kunststoff;5203,9;13009,75
78866;198329;129;638496;Aluminium;9338,0;23345,0
390462;148337;76;565328;Kunststoff;7764,8;19412,0
389197;408659;70;292092;Stahl;6883,7;17209,25
228021;472569;131;319248;Kupfer;5482,4;13706,0
337709;471585;148;598546;Kunststoff;4854,4;12136,0
67057;792634;119;216539;Stahl;18748,8;46872,0
395964;688393;10;420137;Kupfer;12028,8;30072,0
27880;699827;37;207127;Stahl;5387,2;13468,0
343359;313935;84;726438;Kupfer;17185,55;42963,88
282426;276022;127;831918;Elektronik;5960,5;14901,25
192741;246478;1;490487;Stahl;2626,0;6565,0
319818;346468;101;334838;Kunststoff;6851,4;17128,5
60706;159681;10;564623;Kupfer;11392,5;28481,25
91174;276445;104;285955;Elektronik;13680,0;34200,0
159180;251710;27;652621;Aluminium;12668,8;31672,0
392969;711035;32;126294;Aluminium;3782,25;9455,62
114862;508604;63;755671;Aluminium;4609,6;11524,0
352620;449439;6;653426;Kupfer;954,5;2386,25
370885;731691;108;928603;Kupfer;8366,8;20917,0
216259;473028;27;673533;Aluminium;21873,5;54683,75
63389;482204;92;817184;Elektronik;26807,5;67018,75
86398;318592;29;562277;Kunststoff;13512,5;33781,25
354515;775062;61;350499;Kunststoff;8901,2;22253,0
53136;164960;127;512546;Aluminium;9285,3;23213,25
303717;109670;61;297781;Aluminium;3323,4;8308,5
71105;631333;56;534952;Kupfer;22537,5;56343,75
16993;781016;116;690127;Elektronik;1255,8;3139,5
229208;752677;99;920323;Kupfer;5293,1;13232,75
283111;364547;92;806802;Elektronik;5054,0;12635,0
225833;450870;115;174605;Stahl;1930,25;4825,62
85429;462968;75;198951;Stahl;11894,45;29736,12
180143;748888;150;785560;Stahl;12756,8;31892,0
125401;721188;35;733252;Kupfer;8132,0;20330,0
66970;259043;104;741405;Stahl;8930,9;22327,25
200890;549355;58;797123;Elektronik;10784,4;26961,0
60420;556560;9;745559;Aluminium;6845,45;17113,62
223261;387043;39;735901;Elektronik;2158,55;5396,37
384770;312480;72;963658;Aluminium;8265,0;20662,5
271958;299458;51;206570;Kunststoff;10195,0;25487,5
364946;27497;89;127429;Kupfer;1073,8;2684,5
353216;622779;63;945787;Elektronik;15397,55;38493,88
78228;66740;121;214503;Kunststoff;17307,75;43269,38
148362;790002;61;979673;Elektronik;5343,25;13358,12
177034;692134;15;540982;Elektronik;13328,0;33320,0
287177;351561;91;546610;Kupfer;18925,6;47314,0
372577;222591;122;601088;Kunststoff;6803,4;17008,5
179812;487251;139;636244;Aluminium;6018,95;15047,38
360160;186055;97;626287;Aluminium;12196,5;30491,25
348710;778290;146;379725;Aluminium;8000,55;20001,38
295887;656576;122;912392;Aluminium;15994,0;39985,0
124023;525770;80;854113;Elektronik;1358,65;3396,62
301897;676071;9;817033;Aluminium;1515,8;3789,5
388739;633332;86;943065;Elektronik;1703,75;4259,38
214378;337421;10;970593;Stahl;4149,2;10373,0
364379;145566;41;705034;Kunststoff;20983,15;52457,88
226832;698087;137;210414;Kupfer;11932,8;29832,0
357059;446384;96;766139;Stahl;11462,25;28655,62
69551;395328;88;279973;Elektronik;11547,8;28869,5
340006;97359;141;451521;Kunststoff;10921,2;27303,0
375936;345256;101;214404;Kupfer;13030,4;32576,0
172016;79694;75;659177;Aluminium;8567,0;21417,5
377793;462884;56;321314;Elektronik;10228,4;25571,0
238015;460832;30;931169;Kupfer;22706,25;56765,62
384772;82130;83;997329;Stahl;1120,6;2801,5
382105;722975;33;576319;Kupfer;8395,4;20988,5
215328;211560;101;644351;Stahl;13731,05;34327,62
148863;748348;129;575194;Elektronik;12437,35;31093,37
143578;435545;86;821508;Stahl;1683,45;4208,62
221378;93244;11;812693;Kunststoff;4232,0;10580,0
170894;525866;75;577297;Kupfer;19951,8;49879,5
36591;51443;109;371449;Elektronik;13136,4;32841,0
