Datum;Jahr;Quartal;Monat;Monatsname;KW;Wochentag;Wochenende
2020-08-17;2020;3;8;August;34;Monday;False
2023-11-01;2023;4;11;November;44;Wednesday;False
2020-08-19;2020;3;8;August;34;Wednesday;False
2020-08-20;2020;3;8;August;34;Thursday;False
2020-08-21;2020;3;8;August;34;Friday;False
2020-08-22;2020;3;8;August;34;Saturday;True
2022-11-29;2022;4;11;November;48;Tuesday;False
2020-08-24;2020;3;8;August;35;Monday;False
2020-08-25;2020;3;8;August;35;Tuesday;False
2020-08-26;2020;3;8;August;35;Wednesday;False
2020-08-27;2020;3;8;August;35;Thursday;False
2025-05-28;2025;2;5;May;22;Wednesday;False
2024-03-14;2024;1;3;March;11;Thursday;False
2020-08-30;2020;3;8;August;35;Sunday;True
2025-05-25;2025;2;5;May;21;Sunday;True
2025-06-28;2025;2;6;June;26;Saturday;True
2023-08-02;2023;3;8;August;31;Wednesday;False
2020-09-03;2020;3;9;September;36;Thursday;False
2020-09-04;2020;3;9;September;36;Friday;False
2024-06-19;2024;2;6;June;25;Wednesday;False
2024-09-30;2024;3;9;September;40;Monday;False
2022-04-28;2022;2;4;April;17;Thursday;False
2025-02-14;2025;1;2;February;7;Friday;False
2023-06-10;2023;2;6;June;23;Saturday;True
2025-11-17;2025;4;11;November;47;Monday;False
2025-10-26;2025;4;10;October;43;Sunday;True
2020-09-12;2020;3;9;September;37;Saturday;True
2022-03-27;2022;1;3;March;12;Sunday;True
2020-09-14;2020;3;9;September;38;Monday;False
2022-10-20;2022;4;10;October;42;Thursday;False
2022-11-19;2022;4;11;November;46;Saturday;True
2020-09-17;2020;3;9;September;38;Thursday;False
2023-12-22;2023;4;12;December;51;Friday;False
2023-06-23;2023;2;6;June;25;Friday;False
2022-08-02;2022;3;8;August;31;Tuesday;False
2020-09-21;2020;3;9;September;39;Monday;False
2025-05-18;2025;2;5;May;20;Sunday;True
2020-09-23;2020;3;9;September;39;Wednesday;False
2020-09-24;2020;3;9;September;39;Thursday;False
2024-11-06;2024;4;11;November;45;Wednesday;False
2022-06-06;2022;2;6;June;23;Monday;False
2023-12-24;2023;4;12;December;51;Sunday;True
2020-09-28;2020;3;9;September;40;Monday;False
2025-12-21;2025;4;12;December;51;Sunday;True
2022-10-17;2022;4;10;October;42;Monday;False
2025-03-12;2025;1;3;March;11;Wednesday;False
2022-07-22;2022;3;7;July;29;Friday;False
2023-03-09;2023;1;3;March;10;Thursday;False
2025-03-03;2025;1;3;March;10;Monday;False
2020-10-05;2020;4;10;October;41;Monday;False
2025-08-04;2025;3;8;August;32;Monday;False
2023-06-20;2023;2;6;June;25;Tuesday;False
2022-10-30;2022;4;10;October;43;Sunday;True
2023-10-04;2023;4;10;October;40;Wednesday;False
2023-04-11;2023;2;4;April;15;Tuesday;False
2022-09-30;2022;3;9;September;39;Friday;False
2020-10-12;2020;4;10;October;42;Monday;False
2020-10-13;2020;4;10;October;42;Tuesday;False
2023-12-11;2023;4;12;December;50;Monday;False
2024-07-21;2024;3;7;July;29;Sunday;True
2020-10-16;2020;4;10;October;42;Friday;False
2025-03-07;2025;1;3;March;10;Friday;False
2020-10-18;2020;4;10;October;42;Sunday;True
2025-08-22;2025;3;8;August;34;Friday;False
2023-02-10;2023;1;2;February;6;Friday;False
2024-02-28;2024;1;2;February;9;Wednesday;False
2023-11-02;2023;4;11;November;44;Thursday;False
2020-10-23;2020;4;10;October;43;Friday;False
2023-11-17;2023;4;11;November;46;Friday;False
2020-10-25;2020;4;10;October;43;Sunday;True
2020-10-26;2020;4;10;October;44;Monday;False
2025-12-05;2025;4;12;December;49;Friday;False
2024-09-18;2024;3;9;September;38;Wednesday;False
2020-10-29;2020;4;10;October;44;Thursday;False
2022-03-22;2022;1;3;March;12;Tuesday;False
2023-03-26;2023;1;3;March;12;Sunday;True
2020-11-01;2020;4;11;November;44;Sunday;True
2020-11-02;2020;4;11;November;45;Monday;False
2023-01-31;2023;1;1;January;5;Tuesday;False
2020-11-04;2020;4;11;November;45;Wednesday;False
2025-06-15;2025;2;6;June;24;Sunday;True
2024-12-30;2024;4;12;December;1;Monday;False
2023-05-02;2023;2;5;May;18;Tuesday;False
2020-11-08;2020;4;11;November;45;Sunday;True
2022-07-29;2022;3;7;July;30;Friday;False
2025-08-27;2025;3;8;August;35;Wednesday;False
2025-12-18;2025;4;12;December;51;Thursday;False
2023-04-28;2023;2;4;April;17;Friday;False
2025-09-30;2025;3;9;September;40;Tuesday;False
2024-09-04;2024;3;9;September;36;Wednesday;False
2020-11-15;2020;4;11;November;46;Sunday;True
2023-07-10;2023;3;7;July;28;Monday;False
2020-11-17;2020;4;11;November;47;Tuesday;False
2025-01-18;2025;1;1;January;3;Saturday;True
2020-11-19;2020;4;11;November;47;Thursday;False
2023-01-26;2023;1;1;January;4;Thursday;False
2022-07-03;2022;3;7;July;26;Sunday;True
2025-04-02;2025;2;4;April;14;Wednesday;False
2020-11-23;2020;4;11;November;48;Monday;False
2025-03-24;2025;1;3;March;13;Monday;False
2022-08-31;2022;3;8;August;35;Wednesday;False
2025-04-14;2025;2;4;April;16;Monday;False
2024-02-24;2024;1;2;February;8;Saturday;True
2024-07-30;2024;3;7;July;31;Tuesday;False
2020-11-29;2020;4;11;November;48;Sunday;True
2024-05-23;2024;2;5;May;21;Thursday;False
2023-05-04;2023;2;5;May;18;Thursday;False
2023-07-17;2023;3;7;July;29;Monday;False
2020-12-03;2020;4;12;December;49;Thursday;False
2020-12-04;2020;4;12;December;49;Friday;False
2020-12-05;2020;4;12;December;49;Saturday;True
2025-07-21;2025;3;7;July;30;Monday;False
2023-07-06;2023;3;7;July;27;Thursday;False
2020-12-08;2020;4;12;December;50;Tuesday;False
2020-12-09;2020;4;12;December;50;Wednesday;False
2025-01-22;2025;1;1;January;4;Wednesday;False
2020-12-11;2020;4;12;December;50;Friday;False
2025-09-10;2025;3;9;September;37;Wednesday;False
2020-12-13;2020;4;12;December;50;Sunday;True
2022-11-10;2022;4;11;November;45;Thursday;False
2023-02-11;2023;1;2;February;6;Saturday;True
2023-11-07;2023;4;11;November;45;Tuesday;False
2025-05-02;2025;2;5;May;18;Friday;False
2022-11-17;2022;4;11;November;46;Thursday;False
2020-12-19;2020;4;12;December;51;Saturday;True
2020-12-20;2020;4;12;December;51;Sunday;True
2020-12-21;2020;4;12;December;52;Monday;False
2022-07-13;2022;3;7;July;28;Wednesday;False
2020-12-23;2020;4;12;December;52;Wednesday;False
2025-01-20;2025;1;1;January;4;Monday;False
2023-03-28;2023;1;3;March;13;Tuesday;False
2023-02-05;2023;1;2;February;5;Sunday;True
2025-12-15;2025;4;12;December;51;Monday;False
2023-01-24;2023;1;1;January;4;Tuesday;False
2024-01-17;2024;1;1;January;3;Wednesday;False
2020-12-30;2020;4;12;December;53;Wednesday;False
2020-12-31;2020;4;12;December;53;Thursday;False
2024-11-20;2024;4;11;November;47;Wednesday;False
2021-01-02;2021;1;1;January;53;Saturday;True
2021-01-03;2021;1;1;January;53;Sunday;True
2021-01-04;2021;1;1;January;1;Monday;False
2025-02-04;2025;1;2;February;6;Tuesday;False
2024-03-28;2024;1;3;March;13;Thursday;False
2025-06-10;2025;2;6;June;24;Tuesday;False
2021-01-08;2021;1;1;January;1;Friday;False
2022-04-09;2022;2;4;April;14;Saturday;True
2022-03-23;2022;1;3;March;12;Wednesday;False
2025-06-21;2025;2;6;June;25;Saturday;True
2023-02-13;2023;1;2;February;7;Monday;False
2022-05-12;2022;2;5;May;19;Thursday;False
2025-10-11;2025;4;10;October;41;Saturday;True
2021-01-15;2021;1;1;January;2;Friday;False
2025-08-31;2025;3;8;August;35;Sunday;True
2023-03-20;2023;1;3;March;12;Monday;False
2021-01-18;2021;1;1;January;3;Monday;False
2021-01-19;2021;1;1;January;3;Tuesday;False
2021-01-20;2021;1;1;January;3;Wednesday;False
2021-01-21;2021;1;1;January;3;Thursday;False
2022-04-25;2022;2;4;April;17;Monday;False
2023-03-19;2023;1;3;March;11;Sunday;True
2025-09-07;2025;3;9;September;36;Sunday;True
2025-07-12;2025;3;7;July;28;Saturday;True
2021-01-26;2021;1;1;January;4;Tuesday;False
2021-01-27;2021;1;1;January;4;Wednesday;False
2021-01-28;2021;1;1;January;4;Thursday;False
2024-06-30;2024;2;6;June;26;Sunday;True
2021-01-30;2021;1;1;January;4;Saturday;True
2023-10-22;2023;4;10;October;42;Sunday;True
2025-10-28;2025;4;10;October;44;Tuesday;False
2021-02-02;2021;1;2;February;5;Tuesday;False
2022-07-31;2022;3;7;July;30;Sunday;True
2021-02-04;2021;1;2;February;5;Thursday;False
2025-04-22;2025;2;4;April;17;Tuesday;False
2022-04-02;2022;2;4;April;13;Saturday;True
2021-02-07;2021;1;2;February;5;Sunday;True
2022-08-05;2022;3;8;August;31;Friday;False
2022-09-03;2022;3;9;September;35;Saturday;True
2022-03-12;2022;1;3;March;10;Saturday;True
2024-05-18;2024;2;5;May;20;Saturday;True
2024-10-17;2024;4;10;October;42;Thursday;False
2024-04-22;2024;2;4;April;17;Monday;False
2021-02-14;2021;1;2;February;6;Sunday;True
2025-11-08;2025;4;11;November;45;Saturday;True
2025-12-04;2025;4;12;December;49;Thursday;False
2021-02-17;2021;1;2;February;7;Wednesday;False
2021-02-18;2021;1;2;February;7;Thursday;False
2021-02-19;2021;1;2;February;7;Friday;False
2022-06-08;2022;2;6;June;23;Wednesday;False
2021-02-21;2021;1;2;February;7;Sunday;True
2023-11-15;2023;4;11;November;46;Wednesday;False
2023-08-08;2023;3;8;August;32;Tuesday;False
2024-06-17;2024;2;6;June;25;Monday;False
2023-01-05;2023;1;1;January;1;Thursday;False
2023-12-25;2023;4;12;December;52;Monday;False
2021-02-27;2021;1;2;February;8;Saturday;True
2024-12-19;2024;4;12;December;51;Thursday;False
2021-03-01;2021;1;3;March;9;Monday;False
2021-03-02;2021;1;3;March;9;Tuesday;False
2021-03-03;2021;1;3;March;9;Wednesday;False
2022-08-04;2022;3;8;August;31;Thursday;False
2023-07-12;2023;3;7;July;28;Wednesday;False
2025-11-25;2025;4;11;November;48;Tuesday;False
2023-03-01;2023;1;3;March;9;Wednesday;False
2022-09-17;2022;3;9;September;37;Saturday;True
2024-05-26;2024;2;5;May;21;Sunday;True
2023-12-31;2023;4;12;December;52;Sunday;True
2021-03-11;2021;1;3;March;10;Thursday;False
2021-03-12;2021;1;3;March;10;Friday;False
2022-11-18;2022;4;11;November;46;Friday;False
2021-03-14;2021;1;3;March;10;Sunday;True
2023-01-17;2023;1;1;January;3;Tuesday;False
2024-04-28;2024;2;4;April;17;Sunday;True
2025-07-23;2025;3;7;July;30;Wednesday;False
2023-11-12;2023;4;11;November;45;Sunday;True
2021-03-19;2021;1;3;March;11;Friday;False
2023-03-12;2023;1;3;March;10;Sunday;True
2023-10-14;2023;4;10;October;41;Saturday;True
2022-09-22;2022;3;9;September;38;Thursday;False
2021-03-23;2021;1;3;March;12;Tuesday;False
2021-03-24;2021;1;3;March;12;Wednesday;False
2021-03-25;2021;1;3;March;12;Thursday;False
2023-11-16;2023;4;11;November;46;Thursday;False
2021-03-27;2021;1;3;March;12;Saturday;True
2021-03-28;2021;1;3;March;12;Sunday;True
2021-03-29;2021;1;3;March;13;Monday;False
2021-03-30;2021;1;3;March;13;Tuesday;False
2022-03-28;2022;1;3;March;13;Monday;False
2025-03-30;2025;1;3;March;13;Sunday;True
2023-08-25;2023;3;8;August;34;Friday;False
2025-07-17;2025;3;7;July;29;Thursday;False
2021-04-04;2021;2;4;April;13;Sunday;True
2024-05-10;2024;2;5;May;19;Friday;False
2023-05-13;2023;2;5;May;19;Saturday;True
2024-08-01;2024;3;8;August;31;Thursday;False
2025-01-30;2025;1;1;January;5;Thursday;False
2021-04-09;2021;2;4;April;14;Friday;False
2021-04-10;2021;2;4;April;14;Saturday;True
2024-03-31;2024;1;3;March;13;Sunday;True
2021-04-12;2021;2;4;April;15;Monday;False
2025-07-15;2025;3;7;July;29;Tuesday;False
2021-04-14;2021;2;4;April;15;Wednesday;False
2022-12-12;2022;4;12;December;50;Monday;False
2022-07-28;2022;3;7;July;30;Thursday;False
2025-10-06;2025;4;10;October;41;Monday;False
2025-04-09;2025;2;4;April;15;Wednesday;False
2025-12-27;2025;4;12;December;52;Saturday;True
2025-04-10;2025;2;4;April;15;Thursday;False
2021-04-21;2021;2;4;April;16;Wednesday;False
2021-04-22;2021;2;4;April;16;Thursday;False
2024-03-24;2024;1;3;March;12;Sunday;True
2023-02-27;2023;1;2;February;9;Monday;False
2022-08-16;2022;3;8;August;33;Tuesday;False
2023-01-06;2023;1;1;January;1;Friday;False
2021-04-27;2021;2;4;April;17;Tuesday;False
2022-05-09;2022;2;5;May;19;Monday;False
2024-09-11;2024;3;9;September;37;Wednesday;False
2025-06-04;2025;2;6;June;23;Wednesday;False
2021-05-01;2021;2;5;May;17;Saturday;True
2025-03-26;2025;1;3;March;13;Wednesday;False
2021-05-03;2021;2;5;May;18;Monday;False
2021-05-04;2021;2;5;May;18;Tuesday;False
2024-01-05;2024;1;1;January;1;Friday;False
2022-10-14;2022;4;10;October;41;Friday;False
2022-12-02;2022;4;12;December;48;Friday;False
2022-09-12;2022;3;9;September;37;Monday;False
2021-05-09;2021;2;5;May;18;Sunday;True
2024-12-26;2024;4;12;December;52;Thursday;False
2021-05-11;2021;2;5;May;19;Tuesday;False
2021-05-12;2021;2;5;May;19;Wednesday;False
2021-05-13;2021;2;5;May;19;Thursday;False
2021-05-14;2021;2;5;May;19;Friday;False
2021-05-15;2021;2;5;May;19;Saturday;True
2023-09-24;2023;3;9;September;38;Sunday;True
2021-05-17;2021;2;5;May;20;Monday;False
2022-12-27;2022;4;12;December;52;Tuesday;False
2025-06-11;2025;2;6;June;24;Wednesday;False
2021-05-20;2021;2;5;May;20;Thursday;False
2023-02-01;2023;1;2;February;5;Wednesday;False
2021-05-22;2021;2;5;May;20;Saturday;True
2025-07-06;2025;3;7;July;27;Sunday;True
2025-07-14;2025;3;7;July;29;Monday;False
2023-07-09;2023;3;7;July;27;Sunday;True
2021-05-26;2021;2;5;May;21;Wednesday;False
2025-12-07;2025;4;12;December;49;Sunday;True
2021-05-28;2021;2;5;May;21;Friday;False
2021-05-29;2021;2;5;May;21;Saturday;True
2023-06-02;2023;2;6;June;22;Friday;False
2021-05-31;2021;2;5;May;22;Monday;False
2024-03-16;2024;1;3;March;11;Saturday;True
2022-03-19;2022;1;3;March;11;Saturday;True
2024-10-10;2024;4;10;October;41;Thursday;False
2023-08-07;2023;3;8;August;32;Monday;False
2024-04-19;2024;2;4;April;16;Friday;False
2021-06-06;2021;2;6;June;22;Sunday;True
2021-06-07;2021;2;6;June;23;Monday;False
2024-11-12;2024;4;11;November;46;Tuesday;False
2025-06-18;2025;2;6;June;25;Wednesday;False
2021-06-10;2021;2;6;June;23;Thursday;False
2024-05-17;2024;2;5;May;20;Friday;False
2025-01-10;2025;1;1;January;2;Friday;False
2025-11-24;2025;4;11;November;48;Monday;False
2021-06-14;2021;2;6;June;24;Monday;False
2021-06-15;2021;2;6;June;24;Tuesday;False
2024-12-28;2024;4;12;December;52;Saturday;True
2021-06-17;2021;2;6;June;24;Thursday;False
2022-03-31;2022;1;3;March;13;Thursday;False
2025-12-08;2025;4;12;December;50;Monday;False
2022-06-29;2022;2;6;June;26;Wednesday;False
2025-09-23;2025;3;9;September;39;Tuesday;False
2024-09-26;2024;3;9;September;39;Thursday;False
2022-05-31;2022;2;5;May;22;Tuesday;False
2025-01-04;2025;1;1;January;1;Saturday;True
2023-01-14;2023;1;1;January;2;Saturday;True
2024-03-11;2024;1;3;March;11;Monday;False
2021-06-27;2021;2;6;June;25;Sunday;True
2021-06-28;2021;2;6;June;26;Monday;False
2021-06-29;2021;2;6;June;26;Tuesday;False
2022-03-29;2022;1;3;March;13;Tuesday;False
2025-09-26;2025;3;9;September;39;Friday;False
2022-11-03;2022;4;11;November;44;Thursday;False
2024-06-11;2024;2;6;June;24;Tuesday;False
2025-04-29;2025;2;4;April;18;Tuesday;False
2024-09-21;2024;3;9;September;38;Saturday;True
2022-12-18;2022;4;12;December;50;Sunday;True
2021-07-07;2021;3;7;July;27;Wednesday;False
2021-07-08;2021;3;7;July;27;Thursday;False
2023-11-22;2023;4;11;November;47;Wednesday;False
2021-07-10;2021;3;7;July;27;Saturday;True
2021-07-11;2021;3;7;July;27;Sunday;True
