Lager_ID;Produkt_ID;Bestand;Mindestbestand;Lagerwert
79140;463;46123;4593;31824,36
87105;292;25738;1482;265985,61
101296;496;26860;4786;351274,55
110565;245;22443;766;45727,08
57498;90;13985;1171;453673,48
58379;35;28643;3688;122651,62
127004;127;27323;3170;331426,73
79178;271;13933;246;96083,12
126225;267;192;2988;220899,62
64954;179;24278;4934;305309,06
24729;494;17378;2205;133240,9
7174;103;37877;4676;332682,38
108895;133;18975;2158;23072,35
18411;25;16145;601;357616,69
53517;123;12309;1796;20275,14
110659;347;24161;2118;233664,28
127971;260;22842;2456;35840,5
146193;332;25750;3865;20757,98
51306;197;1516;4426;89774,8
30440;146;26883;892;499060,91
145846;439;22814;1046;101173,97
3603;376;29523;3776;315680,97
109411;243;36992;2789;55500,25
66321;67;620;3476;219961,93
6811;7;27318;3228;221719,63
118648;146;39365;4422;406958,24
133871;383;22117;4538;390219,21
24533;11;32077;814;488195,76
49073;274;17428;3247;175320,58
47728;34;5804;4469;210880,35
140032;302;14166;1231;63160,38
38292;496;21352;1589;398688,43
126486;82;21271;2545;416242,77
82374;8;2175;4137;166950,27
100687;132;17288;3021;224551,39
9705;236;39852;3792;395546,36
89374;394;43047;2776;320932,34
100587;214;45011;4855;403902,58
143955;25;349;3456;227909,66
56786;90;20726;1756;184132,91
9397;181;3691;3138;499744,34
125607;79;23343;4425;245113,29
71335;457;39204;3335;256817,46
112851;198;19008;882;403603,96
29565;54;23432;2280;245741,66
113620;288;17383;4895;146179,78
20707;193;14086;2626;328616,91
149256;353;42879;4646;65396,0
124328;264;19547;2660;377189,95
145561;382;35416;3308;473970,42
130533;478;29212;1994;74146,69
25148;476;39304;2000;301443,13
121860;311;18568;2088;444169,62
90253;250;37706;3769;215167,63
64567;172;2349;3393;107036,89
143824;188;20153;637;105857,87
139673;272;25521;1079;124346,37
59879;89;37042;2979;484697,6
135212;450;17251;3843;79815,72
106746;440;22373;1917;489006,17
143553;134;30721;3378;142815,88
108168;355;28203;1018;95388,51
21328;16;44906;2574;62508,56
21382;122;7786;4117;43961,26
4593;166;9544;4773;465490,38
40922;460;22116;1493;180705,54
108586;434;21446;4639;477213,86
10022;258;17062;466;335234,92
47974;19;2877;1768;240685,81
43529;19;44334;1307;293734,14
81372;193;36015;1302;260050,84
101446;252;35943;1965;379489,68
14293;382;18690;2869;41079,42
84206;92;3769;3549;75817,22
97597;50;32064;4823;108628,35
119118;345;20880;4446;359181,98
66259;110;2178;4764;78957,24
32217;372;2685;3837;309746,43
93965;104;45610;201;244420,13
26621;240;10386;3838;60364,68
134067;86;5543;132;198839,03
127983;307;9452;404;413183,54
116202;388;41849;3497;35828,68
109844;38;974;1000;129440,53
7439;405;43475;1008;58188,83
38937;300;7272;3823;399142,33
73211;43;49273;4771;32796,73
5699;382;6774;3509;43107,56
73389;117;35551;2656;303673,14
128450;167;10163;1544;357805,65
105130;461;6371;4689;386942,76
40122;94;6479;1080;64320,62
56888;425;3995;3391;294531,03
3018;379;27986;3827;264432,38
30977;324;15501;3894;178014,71
89891;18;24456;103;153411,38
146657;202;12199;3893;132307,29
92744;90;28461;3998;429208,64
130532;118;3170;4464;323401,79
94647;498;2549;3893;13607,15
39618;219;18969;807;10074,02
133557;430;10972;4045;149109,51
78491;358;4917;2673;153054,94
129799;231;41112;2197;144758,45
22591;385;1302;4059;496839,97
146187;445;8258;1126;246444,31
89732;480;13718;3484;391323,88
94406;47;2187;3741;475323,1
109329;205;38259;4381;115144,61
1948;81;36987;1345;356577,8
92013;30;38359;1537;276323,56
115303;19;1443;1611;130821,18
88795;389;19433;1347;498020,03
83155;289;45901;3692;463316,24
99896;485;3145;4191;327021,58
35450;147;13142;3495;199847,47
88621;441;37263;533;393749,49
47099;72;29730;4929;480448,11
107119;372;41459;904;94344,39
136761;69;28075;1362;419891,26
35952;123;17317;798;173576,24
119034;461;9748;2676;229161,07
114026;357;29845;2979;361273,09
47724;478;48315;4279;307515,04
42158;260;37814;1883;94544,75
147871;442;42009;4606;411238,67
116417;251;15074;2338;485543,85
105659;37;41001;3127;417550,96
36919;163;46602;1465;273662,76
67918;198;41944;2356;369828,03
72528;325;33169;2747;396527,15
42744;473;35081;3531;28766,83
62824;335;48627;2426;378741,12
124366;334;5226;3589;72219,6
140670;283;35983;4942;384969,32
76108;64;46179;3594;127936,55
100382;273;4958;421;441293,12
76056;14;39158;4264;2823,78
113667;435;33254;2089;471307,14
36946;243;32189;4435;376322,37
82015;107;5524;743;410963,7
72256;426;30368;3510;135135,1
133929;65;4338;812;300633,49
3094;125;43248;4581;330596,14
87988;258;9255;1601;255877,47
48017;272;40959;197;145698,11
134975;314;43565;2561;263945,2
39878;398;22267;2282;41280,77
92282;63;30048;3065;298924,17
21304;360;32823;4247;368164,65
104156;184;44641;2393;279070,38
23888;41;39617;467;232577,18
143291;272;38634;2754;46176,19
144084;382;35861;1168;447916,6
149048;344;36321;4360;285919,8
32081;425;39195;4969;376495,37
31126;219;37719;4125;386063,96
46180;403;15504;4388;15446,91
45151;271;15940;1837;157192,67
91440;340;24611;3873;397089,93
56241;193;49454;4108;296164,76
16971;170;12536;1610;1755,47
92518;438;48819;854;246110,87
66588;242;23025;2984;46087,4
58195;119;2777;1961;306416,33
27305;214;35332;475;498339,33
96057;450;7940;2430;482394,04
129186;370;43417;4136;411735,14
143455;316;49646;1578;88303,21
40105;459;3878;4169;24352,72
56825;184;13055;4817;376285,17
98202;120;17662;4475;449224,26
44684;13;25470;2927;78861,48
100426;336;24987;1836;491588,12
59653;177;32648;2839;58286,92
33492;316;28072;1268;395944,87
144503;240;24966;4072;452947,8
43650;179;31721;281;19592,0
38794;398;33678;4367;467392,49
47075;9;2125;4540;293793,16
84394;107;25367;3484;375728,31
88233;38;35212;2463;59514,24
60558;408;20966;3999;388190,13
109885;368;46476;2682;159955,52
73716;456;16632;3577;143798,96
83790;158;19868;2818;181752,5
92043;409;48869;143;150072,39
145294;94;9753;341;103109,95
80859;335;8293;1337;156835,84
94255;18;21576;2521;111017,57
91361;51;37783;2672;177715,44
105067;300;8907;4262;82788,64
75870;157;23157;2058;255736,0
147679;179;21484;2421;18142,61
141022;311;8108;1105;213085,88
80439;412;3234;1220;196086,47
63965;215;48846;3521;447797,64
93473;409;42413;2333;436735,32
28996;482;12580;668;354936,07
129030;444;2975;1645;216103,81
115789;434;20921;1181;35099,3
145684;221;9752;672;213049,27
42826;486;41759;2924;302651,61
59898;460;17176;4775;409984,75
30762;270;6481;1726;473925,94
112297;129;17058;881;393676,77
105635;139;15212;3410;66742,57
57883;266;47002;4067;172365,28
115587;116;6567;4176;410313,65
9885;44;24677;3348;389665,48
107382;8;9574;1696;59768,49
30703;216;9258;3965;279201,91
123700;207;4879;3958;394205,35
23195;385;41075;1704;367099,8
84133;162;39042;3009;305259,19
108674;412;49823;3954;26039,71
122946;314;5569;3886;185686,57
120677;25;25226;1026;362534,55
8587;495;49733;2975;493662,99
33222;62;7213;4908;14140,62
50542;246;38456;1434;431501,15
139716;336;40810;3334;250954,82
77315;277;37740;2164;156608,12
20686;419;44273;226;58465,13
82217;264;35920;1232;371447,07
147868;351;44757;225;321326,52
86905;211;26122;1453;483958,45
148618;3;24550;122;498539,15
33481;150;13596;3976;176627,7
91297;209;47521;4647;21125,92
77124;348;36838;732;43196,9
98800;328;28591;1819;426039,15
120314;418;6638;186;109159,37
22892;476;38918;2485;352747,79
95240;409;13189;3564;17176,66
125709;313;24811;1832;449528,87
1546;496;22495;1056;283548,47
117569;308;9517;4278;436560,57
107184;327;25985;2141;255958,62
65328;108;27374;2633;279982,72
148704;465;44515;2137;295255,43
96479;402;24909;3111;329730,79
119885;135;33442;2415;240860,36
146741;6;49960;1597;276698,68
42985;208;14079;2873;494641,11
148593;197;4251;1279;1410,06
51175;453;7997;1428;114275,75
136758;348;12511;3066;178162,06
135999;150;33451;4954;240079,08
81881;496;17317;748;72296,91
124341;486;31049;1135;394998,2
86550;379;31768;2604;358572,93
7264;137;21515;1374;118140,62
54254;476;7429;548;297573,87
82957;446;14574;2476;439847,86
128054;354;45973;2905;80985,48
58818;388;37033;335;311540,42
143809;79;42719;4556;343119,82
31876;339;32593;2870;471708,57
50220;368;6249;4460;354444,22
21854;446;2854;2596;420689,11
70406;162;26088;1605;432673,03
131596;73;13374;3680;159013,18
18552;386;28632;4662;300820,74
16844;316;33182;2564;242091,77
46870;263;41057;4424;111093,41
109604;408;40910;2777;337788,01
53736;5;25331;1935;346894,24
61467;113;12799;3271;349695,17
16591;489;35471;3256;67490,96
35969;140;20823;4107;432635,63
116566;388;10726;2147;423801,01
82097;297;41728;2867;349802,88
139607;37;26948;4120;483135,69
91716;309;18694;1624;446072,82
78507;305;39799;229;324076,76
141866;30;14966;491;180111,59
133531;448;29124;797;453865,1
60110;352;38526;3472;102811,24
20763;463;41711;382;242094,99
719;35;41747;2234;251504,43
84431;68;16711;4378;41052,46
9428;211;16349;2158;278510,52
78154;432;41419;4905;182610,1
89630;340;14593;450;373623,4
72003;70;9466;2088;55186,13
106992;343;18044;4585;2377,51
84408;40;32276;3701;397796,53
96440;70;34615;3885;182900,01
24405;226;35988;1923;415082,02
8872;143;48525;3561;425990,11
13677;158;16033;2116;277485,59
41100;473;20816;3563;204443,0
129599;302;9052;2144;471523,83
21535;57;1309;3686;223458,42
11764;77;19021;2314;491670,97
47659;216;19565;2713;141180,51
50398;482;20964;3341;330302,49
3237;419;41892;3160;419328,48
80479;425;510;2501;328061,4
98513;68;12416;2201;37463,36
13495;136;44199;2801;245960,84
21093;261;19103;4717;341380,15
82413;196;1094;2179;387584,87
91364;386;44829;2519;438650,14
42622;404;2816;4608;340349,86
19233;243;6500;3690;115782,0
15231;24;4579;4542;125920,41
45246;29;10041;4227;431981,59
97101;215;8462;3113;442019,88
116167;127;18558;4186;378066,6
26737;112;12602;1136;189405,84
65163;23;22312;4909;145828,15
147924;272;11854;4920;249390,53
125030;48;7499;4068;221090,49
43581;172;29895;3305;468876,22
135938;292;23636;1847;183237,9
94000;227;9752;1327;49111,63
145680;418;17097;345;208353,18
83475;414;21544;2185;384511,1
114391;405;46048;372;7089,16
116399;166;1006;1264;97228,06
49849;426;20620;1836;13910,97
74419;139;14595;4678;345717,64
90826;242;3817;799;492815,61
147219;329;12664;1388;68837,09
72056;362;31060;3435;239794,03
32586;102;6783;4611;411161,63
1067;236;18744;3572;187372,39
87543;239;10831;3368;3534,96
130506;220;20053;4691;401938,78
76185;266;6292;4773;305120,06
5681;499;22950;2532;104480,78
65603;469;42292;4053;404931,56
4253;227;46419;1231;156117,01
25060;70;2561;3045;143803,27
124210;462;26566;120;243510,66
45144;412;12192;2614;285457,29
40661;219;18373;3129;434098,37
23300;35;36979;2382;230023,48
65143;40;32624;4409;314545,23
48062;106;36378;4123;43108,03
37121;125;37504;621;365691,91
107877;257;45583;880;292031,73
53144;61;6269;2091;273700,26
20584;166;34486;3961;97559,36
135694;256;9257;1569;164179,12
10916;494;31345;3359;176155,68
117517;404;7273;3388;137018,9
38744;123;23217;3880;197708,9
19791;375;19648;1678;111993,65
99566;147;48942;412;126932,86
145746;174;5632;4996;426834,29
25018;102;44789;1929;209253,56
15865;354;31627;338;298326,69
109850;453;41939;3756;103842,0
44406;401;954;801;435285,79
136302;291;33393;1215;192883,49
135827;358;48873;3669;424330,25
48919;128;12300;2874;49856,14
39265;468;32397;1524;427555,05
26405;28;6156;3460;313881,09
