Zuweisung_ID;Mitarbeiter_ID;Schicht_ID
11548;604;143
7607;1305;4943
4588;256;5049
22267;605;4656
6578;1206;8448
24530;610;5302
19863;132;7394
9292;231;6650
885;672;1635
23715;661;6120
19904;839;4938
15105;828;2243
22804;428;2967
18099;48;5500
14865;1490;4832
3320;659;3290
29586;731;7025
29770;1099;3716
11792;847;8313
22794;1447;3655
19742;531;1341
4496;842;920
28599;925;9977
29545;658;8601
28892;1143;5351
3503;421;3473
25580;160;2271
15296;1097;2975
18611;932;6935
23741;677;7893
803;881;2494
249;403;2622
18566;1346;9069
9034;1180;5595
9529;1420;7524
24825;310;4384
10491;1075;9052
9040;1006;2123
25803;984;4314
9257;630;6223
13942;493;3651
1372;736;7104
22287;854;4646
15958;227;1940
10408;101;3773
13689;616;2154
8659;121;6702
8976;1437;2255
15417;314;8027
1535;1195;2527
20544;498;9393
22642;1177;369
20656;211;5965
26644;840;5197
8601;558;6521
6184;791;8797
25049;582;8955
13457;967;4957
16828;113;7160
17561;885;9082
27974;1126;5708
17530;1180;2532
26609;929;6518
16934;1115;9346
21605;270;880
2489;253;3422
23274;1312;8760
18450;1301;5680
286;54;2574
16992;973;5682
15728;192;1399
289;587;9992
2869;1133;9501
4572;363;5013
4150;651;1402
2000;420;7161
11940;1032;538
27930;1320;5968
18039;1246;8597
7546;461;7874
14967;765;3778
20559;1054;1789
5427;370;8708
2556;101;9982
302;338;4052
303;822;8752
4681;289;3680
9551;962;9612
10479;934;3853
307;801;8241
8777;773;3811
13848;4;4892
19890;1420;9161
14933;72;9813
9116;250;7021
1484;1041;4689
10680;1169;8254
20111;414;880
23970;847;7091
25688;614;8165
19370;307;4101
1135;806;6326
23255;1036;3081
20442;604;4556
7014;485;2726
19973;1422;6163
3299;1300;2026
5868;582;9116
26020;260;9469
15124;297;50
328;438;4608
5301;1498;1252
2970;196;1104
9020;226;4062
15459;1166;6990
21519;51;8418
29033;1240;3509
27906;786;1102
3654;511;7747
21127;879;1065
20484;279;6944
9357;1406;312
24793;1209;3100
15667;762;4820
10401;668;2549
23921;774;2093
5070;1174;165
21234;1458;6600
2839;202;2447
8813;1196;1113
22539;750;7392
21317;618;2324
3000;629;9254
9463;267;8794
19203;483;2530
8178;1008;9724
1288;947;8293
4210;700;3275
10482;1015;7038
7630;1093;9261
2863;60;8120
3713;942;9795
8133;1227;1294
11952;1441;1654
21830;888;1506
22171;255;8827
28813;121;3550
19082;1252;1828
9032;647;9917
17455;1038;1283
19998;584;230
2412;912;1747
23700;5;2382
14766;785;8042
22250;1403;3806
21215;654;3031
4501;1365;793
25897;528;3740
20013;820;2935
15769;837;3487
11476;732;8262
27456;952;5293
16010;1413;4019
12375;784;4913
21661;1249;8147
10469;659;7550
28401;356;6050
24697;98;6644
28872;1443;1164
17057;205;9719
26782;40;8275
9865;1017;8542
13697;776;6023
5044;1458;8106
11499;1460;7270
2264;2;8291
6763;690;1239
10941;703;996
6738;179;3412
27126;701;7845
14888;627;1394
1615;564;7711
25458;153;9285
14211;573;3774
25309;1414;7102
12914;1240;8727
28339;913;8579
14458;474;1946
13282;118;3735
407;1116;9362
16653;1144;8439
12097;984;3564
10193;1223;4076
20993;3;3567
6520;1490;6703
23131;650;5004
13888;1477;6287
18126;34;4303
10428;1010;4632
19383;1374;1
12042;1346;8540
25206;1467;1465
2163;704;1611
11110;495;4783
25723;462;3577
23336;416;646
8287;826;8470
25754;321;8038
3452;387;1945
20750;1262;6403
24368;912;7368
29378;908;9116
19096;1278;5602
10262;1424;2715
7009;2;4835
22461;696;5910
10180;1003;91
6768;1456;780
15093;1382;5795
24752;636;627
2260;1168;7689
11523;1265;519
28720;965;7405
24512;570;7947
11999;751;4205
17349;897;1428
29477;1216;5865
14702;1402;2028
17871;16;7058
11086;517;1044
3830;632;1029
13796;721;5392
6553;550;8094
28973;426;5595
857;900;4384
8719;1453;6301
454;1498;5633
7655;247;8193
456;791;893
11838;950;4010
7314;547;1568
5780;483;2812
2278;312;3276
24971;1054;4562
29400;594;4543
9079;309;905
10523;539;93
15159;78;7964
7363;212;1807
26428;1367;3817
26442;79;1537
23014;170;4712
470;1296;3660
25797;1178;8184
17433;519;6816
21398;83;606
29981;624;5679
23326;150;1895
24100;438;8557
21226;579;954
12577;330;8201
7918;678;9113
12851;618;5363
7627;682;9783
7652;215;8770
28746;1221;335
23403;290;2071
9839;192;8235
25847;1099;9560
25711;437;7596
25015;218;4937
26289;1372;1138
1785;381;3433
28678;421;7999
28829;1175;5766
12238;423;7306
23751;230;6337
4464;1103;2154
23440;712;6171
3315;332;7234
13025;553;2731
499;551;1509
4706;137;9020
20960;505;3595
26449;690;9260
5558;761;9656
8123;1063;3912
24209;1261;4224
7393;378;7941
17071;962;8267
12115;1202;8390
3920;119;2835
510;442;7576
3938;555;8045
942;919;916
25870;1462;6549
8459;985;8980
1143;1285;2140
20560;577;4601
2967;250;9899
16874;423;5230
23639;955;9639
19351;112;3359
10203;157;3521
16292;1200;1676
26968;45;4351
8321;1231;4975
9401;1416;6681
23325;1140;6416
22871;84;8721
28312;516;251
13717;1228;7931
14946;106;2720
10387;1077;6139
28175;1268;6098
8105;1450;3166
22830;1294;7740
1803;1295;6805
10809;47;4668
4468;560;5162
11530;1383;4933
22358;132;132
13234;81;4742
2611;1460;9602
19237;382;799
6607;1192;5981
27682;303;2109
5814;520;9927
13989;1236;3930
1926;1440;2688
13708;879;3545
21300;1182;5150
22964;1263;6276
4186;707;2057
12707;1098;5630
1978;35;8546
16650;552;4778
24946;1279;7560
19772;42;9262
22093;1160;8337
4625;277;9444
11020;326;958
17973;1381;7282
19331;290;6716
9004;1165;599
10842;300;4217
13081;351;3809
3138;196;549
13531;658;4009
12751;876;2254
7700;165;8392
26955;52;1460
16995;288;7775
25065;1265;8778
13822;1238;5996
3486;1196;2798
6188;538;7538
18574;1346;481
18497;399;8263
4289;1165;2734
23667;632;8152
13660;1468;878
25371;880;5887
13034;104;2802
26340;451;1720
18979;446;5640
3482;1388;2312
12061;273;2065
21341;501;760
5517;203;1959
3090;559;901
18983;1497;6521
19579;401;7565
24629;534;9433
28857;81;6568
25547;1106;2775
14270;451;7734
23886;564;1074
17735;1155;134
10736;473;2596
12846;541;5676
12350;1481;1582
16446;275;6626
25434;1150;9171
15863;1302;7095
21965;375;2085
3402;957;5252
16369;1420;1877
28697;1222;7646
10027;568;371
22710;1441;285
21626;1086;8486
12028;766;8663
28823;693;6702
15229;244;4671
11325;445;9438
22682;804;2326
15869;476;5834
27685;176;936
17351;1152;1638
618;634;6124
17933;1191;5575
2589;242;4626
11725;852;8672
10564;1071;4467
24538;644;9504
9641;12;2262
625;751;9858
22797;439;2371
12033;1022;4472
15080;440;3244
629;954;6300
22266;589;142
26902;176;6621
29588;661;4902
10671;257;7578
18257;435;886
12138;575;4689
4498;54;3211
5956;298;9449
4416;1228;9561
8027;1144;2648
24204;1193;3589
6707;1031;9679
11049;583;2142
16019;540;7691
18630;1027;2411
3629;620;2912
25679;835;4719
1553;894;6381
24547;1308;8771
26515;274;1151
12083;1053;8150
13671;1161;6288
21473;1215;9321
17441;1389;1994
21818;1414;8692
2958;632;9779
24006;1378;1779
1948;1151;1145
4098;322;998
8948;867;1822
26021;393;1512
24076;300;9981
2414;657;5151
25443;944;4936
12478;596;2837
22996;1240;5912
13217;172;9867
12421;1119;9864
6930;521;5983
669;1244;402
1578;266;4721
7753;1320;9690
25623;1304;9092
16062;1337;7993
13663;898;4494
3069;774;9428
22150;164;5924
8514;768;5614
25575;208;7949
28714;507;7092
26698;202;3135
22155;634;5061
22026;1200;9341
24528;252;7193
8315;536;5954
5869;1140;74
17205;1491;3766
14715;726;2172
28718;759;4456
15629;1328;9417
6059;43;7324
16038;789;9744
19485;1005;28
3374;892;1339
9868;1066;7382
15618;753;3288
13827;253;4463
29430;1456;2859
2015;1261;3645
17491;395;6054
3237;424;7021
22459;33;638
6445;1394;3052
703;1426;2185
3393;907;299
705;1257;9705
12131;323;8483
10800;1486;5312
13561;1344;1774
22172;125;8400
13790;444;2343
27461;539;4391
18240;340;4203
6393;1232;1319
13347;133;7349
715;1354;7138
28863;1311;3097
2126;746;5974
9628;730;7376
24303;827;7321
27398;712;8592
8013;1391;8055
13175;865;460
18409;1012;4187
16813;1274;8981
21296;917;2158
16226;992;5142
27518;786;9041
3020;842;8155
8357;1136;6025
730;1340;308
1409;1311;8463
29572;632;2167
15330;69;3034
2128;375;8668
11562;429;6758
21643;916;1362
23497;103;4369
8272;537;4353
739;1169;9587
28254;256;5198
12168;529;3470
6714;134;4784
7872;379;3315
3271;1400;6059
28470;1167;1139
11373;769;3207
2218;1178;8628
15210;504;3352
1485;330;4074
3421;850;7542
29262;549;7227
8444;1255;1997
10498;1180;9114
23772;331;8228
23328;657;9945
4107;1197;54
25651;785;3705
21294;1492;2078
19184;621;2306
13485;168;6802
26351;766;102
12582;641;4712
16551;1437;8925
10972;1272;2462
28634;89;4501
23447;1154;5257
16259;1111;6577
11813;331;3782
15977;557;7658
989;662;6301
7185;177;4091
1550;493;5172
1912;122;1868
24698;279;9981
4535;963;161
12645;1419;3156
15495;1225;5344
778;511;4839
10672;672;5731
27543;979;1591
15955;1130;9699
10192;1487;2390
14408;652;3975
7338;1156;2137
24055;426;474
786;1461;4098
13420;1445;3674
788;997;2158
14194;417;240
17196;508;6106
29092;1003;2521
816;268;6631
15844;135;3882
13146;319;302
29680;262;8903
28917;898;2958
11068;427;12
21586;31;6922
14281;1083;8403
8535;523;4583
